id,name,brand,category,concentration,size_ml,price,top_notes,middle_notes,base_notes,description,release_year,in_stock
PF022,Flowerbomb,Viktor & Rolf,women,Eau de Parfum,100,175.00,Tea; Bergamot,Sambac Jasmine; Orchid; Freesia; Rose; Cattleya,Patchouli; Musk,An explosive floral bouquet that transforms negative into positive.,2005,true
PF023,Good Girl,Carolina Herrera,women,Eau de Parfum,80,140.00,Almond; Coffee,Tuberose; Jasmine Sambac; Bulgarian Rose,Tonka Bean; Cacao; Sandalwood,A daring fragrance in a stiletto-shaped bottle for the good girl gone bad.,2016,true
PF024,Si,Giorgio Armani,women,Eau de Parfum,100,145.00,Blackcurrant Nectar; Bergamot; Mandarin,Rose; May Rose; Freesia,Blonde Wood; Musk; Vanilla; Ambroxan,A chypre fragrance that says yes to all facets of femininity.,2013,true
PF025,Gucci Bloom,Gucci,women,Eau de Parfum,100,140.00,Natural Tuberose,Jasmine Bud; Rangoon Creeper,Honeysuckle,A rich white floral scent representing contemporary femininity.,2017,true
PF026,Baccarat Rouge 540,Maison Francis Kurkdjian,unisex,Eau de Parfum,70,325.00,Saffron; Jasmine,Amberwood,Fir Resin; Cedar,A poetic alchemy translating the concordance of complementary forces.,2015,true
PF027,Oud Wood,Tom Ford,unisex,Eau de Parfum,100,380.00,Rosewood; Cardamom; Chinese Pepper,Oud; Sandalwood; Vetiver,Tonka Bean; Amber,A smoky blend of exotic woods and spices.,2007,true
PF028,Tobacco Vanille,Tom Ford,unisex,Eau de Parfum,100,390.00,Tobacco Leaf; Spicy Notes,Vanilla; Cacao; Tonka Bean; Dried Fruit,Wood Sap,An opulent warm composition reminiscent of an English gentleman's club.,2007,true
PF029,Black Orchid,Tom Ford,unisex,Eau de Parfum,100,185.00,Black Truffle; Ylang-Ylang; Black Currant; Bergamot,Black Orchid; Lotus; Spicy Notes,Patchouli; Sandalwood; Dark Chocolate; Vetiver; Vanilla,A luxurious dark composition of black orchids and spice.,2006,true
PF030,Lost Cherry,Tom Ford,unisex,Eau de Parfum,50,355.00,Black Cherry; Cherry Liqueur; Bitter Almond,Turkish Rose; Jasmine Sambac,Peru Balsam; Roasted Tonka; Sandalwood; Vetiver; Cedar,An intoxicating cherry fantasy with a bitter almond bite.,2018,true
PF031,Aventus for Her,Creed,women,Eau de Parfum,75,345.00,Pink Pepper; Green Apple; Bergamot,Bulgarian Rose; Ylang-Ylang; Peach; Violet,Sandalwood; Musk; Amber; Styrax,A sophisticated fruity floral fragrance fit for an empress.,2016,true
PF032,Love Don't Be Shy,Kilian,unisex,Eau de Parfum,50,275.00,Neroli; Bergamot; Coriander; Pink Pepper,Orange Blossom; Jasmine; Honeysuckle; Rose,Marshmallow; Musk; Vanilla; Sugar,A voluptuous and addictive marshmallow fragrance.,2007,true
PF033,Delina,Parfums de Marly,women,Eau de Parfum,75,325.00,Lychee; Rhubarb; Bergamot; Nutmeg; Pink Pepper,Turkish Rose; Peony; Vanilla; Incense,Evernyl; Cashmeran; White Musk; Cedarwood,A romantic powdery rose fragrance with modern elegance.,2017,true
PF034,Layton,Parfums de Marly,men,Eau de Parfum,125,310.00,Apple; Mandarin; Bergamot,Jasmine; Lavender; Geranium; Violet,Guaiac Wood; Vanilla; Cardamom; Sandalwood; Pepper,A warm spicy oriental fragrance with apple and lavender.,2016,true
PF035,BR540 Extrait,Maison Francis Kurkdjian,unisex,Extrait de Parfum,70,395.00,Jasmine; Saffron,Amberwood; Ambergris,Fir Resin; Cedar,An extrait version with amplified luminosity and deeper amber notes.,2017,true
PF036,Molecule 01,Escentric Molecules,unisex,Eau de Toilette,100,145.00,Iso E Super,Iso E Super,Iso E Super,A single aroma-molecule fragrance with a velvety woody note.,2006,true
PF037,Not a Perfume,Juliette Has a Gun,unisex,Eau de Parfum,100,135.00,Cetalox,Cetalox,Cetalox,A single synthetic molecule creating an intimate second skin effect.,2010,true
PF038,Libre,Yves Saint Laurent,women,Eau de Parfum,90,145.00,Lavender; Mandarin; Black Currant; Petitgrain,Lavender Essence; Orange Blossom; Jasmine,Vanilla; Musk; Cedar; Ambergris,A feminine lavender fougere that breaks conventions.,2019,true
PF039,Poison Girl,Dior,women,Eau de Parfum,100,155.00,Bitter Orange; Lemon,Damascena Rose; Grasse Rose,Tonka Bean; Vanilla; Sandalwood,A hypnotic fragrance for the rebellious good girl.,2016,true
PF040,Mon Paris,Yves Saint Laurent,women,Eau de Parfum,90,145.00,Strawberry; Raspberry; Pear; Bergamot,Datura; Peony; Orange Blossom; Jasmine,White Musk; Patchouli; Ambroxan,A tribute to the city of love with intense sensuality.,2016,true
PF041,1 Million,Paco Rabanne,men,Eau de Toilette,100,105.00,Grapefruit; Blood Mandarin; Peppermint,Cinnamon; Rose; Spice Notes,Leather; Amber; Wood,An extravagant fresh spicy leather fragrance.,2008,true
PF042,Invictus,Paco Rabanne,men,Eau de Toilette,100,100.00,Marine Accord; Grapefruit,Bay Leaf; Jasmine,Guaiac Wood; Patchouli; Oak Moss; Ambergris,A triumphant fresh aquatic woody fragrance for winners.,2013,true
PF043,Boss Bottled,Hugo Boss,men,Eau de Parfum,100,105.00,Apple; Bergamot; Lemon,Cinnamon; Mahogany; Carnation; Geranium,Cedar; Vetiver; Sandalwood; Olive Tree,A refined woody floral fragrance for the confident man.,1998,true
PF044,Dior Homme Intense,Dior,men,Eau de Parfum,100,160.00,Lavender; Pear,Iris; Ambrette,Virginia Cedar; Vetiver,An elegant iris-based masculine fragrance with depth.,2011,true
PF045,Versace Pour Homme,Versace,men,Eau de Toilette,100,92.00,Lemon; Neroli; Citron; Bergamot,Hyacinth; Cedar; Clary Sage; Amber,Musk; Sycamore Wood,A Mediterranean fragrance evoking the freshness of the sea.,2008,true
PF046,Angel,Mugler,women,Eau de Parfum,50,150.00,Cotton Candy; Coconut; Cassia,Honey; Apricot; Blackberry; Plum; Jasmine; Rose,Chocolate; Caramel; Tonka Bean; Patchouli; Vanilla; Musk,A revolutionary gourmand oriental fragrance.,1992,true
PF047,Alien,Mugler,women,Eau de Parfum,60,135.00,Jasmine Sambac,Cashmeran Wood,White Amber,A mysterious solar fragrance from another world.,2005,true
PF048,Chance Eau Tendre,Chanel,women,Eau de Parfum,100,165.00,Grapefruit; Quince,Hyacinth; Jasmine,Iris; Virginia Cedar; Amber; White Musk,A soft floral fruity fragrance of unexpected encounters.,2010,true
PF049,Terre d'Hermès,Hermès,men,Eau de Toilette,100,140.00,Orange; Grapefruit; Pepper,Geranium; Patchouli; Pelargonium,Benzoin; Cedar; Vetiver,An earthy woody fragrance evoking raw materials.,2006,true
PF050,Ombré Leather,Tom Ford,unisex,Eau de Parfum,100,185.00,Cardamom; Violet Leaf,Jasmine Sambac; Leather,Patchouli; Moss; Amber; Musk,A textured leather fragrance with floral heart.,2018,true
PF051,Portrait of a Lady,Frederic Malle,women,Eau de Parfum,100,295.00,Turkish Rose; Cinnamon; Pink Pepper,Rose; Clove; Benzoin,Sandalwood; Patchouli; White Musk; Amber,A monumental rose fragrance with opulent depth.,2010,true
PF052,Santal 33,Le Labo,unisex,Eau de Parfum,100,295.00,Cardamom; Iris; Violet,Australian Sandalwood; Papyrus; Cedarwood,Leather; Amber; Musk,A unisex sandalwood fragrance that became a cult classic.,2011,true
PF053,Rose 31,Le Labo,unisex,Eau de Parfum,100,295.00,Cumin; Rose Absolute; Rose Petals,Gaiac Wood; Oud; Amber,Cistus; Musk; Cedar,A masculine take on rose with woody depth.,2006,true
PF054,Another 13,Le Labo,unisex,Eau de Parfum,100,295.00,Ambroxan; Jasmine Petals,Moss; Apple Bark; Ambrette,Musk,A clean intimate skin scent created with AnOther Magazine.,2010,true
PF055,Byredo Gypsy Water,Byredo,unisex,Eau de Parfum,100,290.00,Bergamot; Lemon; Pepper; Juniper Berries,Incense; Pine Needles; Orris,Amber; Vanilla; Sandalwood,A fresh woody fragrance capturing Romani soul.,2008,true
PF056,Bal d'Afrique,Byredo,unisex,Eau de Parfum,100,290.00,African Marigold; Bergamot; Lemon; Neroli,Violet; Jasmine Petals; Cyclamen,Moroccan Cedarwood; Vetiver; Black Amber,A fragrance inspired by 1920s African art in Paris.,2009,true
PF057,Mojave Ghost,Byredo,unisex,Eau de Parfum,100,290.00,Ambrette; Jamaica Rum,Magnolia; Violet; Sandalwood,Ambergris; Cedarwood; Musk,A woody floral fragrance inspired by the desert.,2014,true
PF058,Blanche,Byredo,women,Eau de Parfum,100,290.00,Pink Pepper; Aldehyde,Violet; Neroli; Rose; Peony,Sandalwood; Blonde Woods; Musk,A pure white clean fragrance like fresh laundry.,2009,true
PF059,Neroli Portofino,Tom Ford,unisex,Eau de Parfum,100,370.00,Bergamot; Mandarin; Lemon; Lavender; Bitter Orange; Myrtle,Orange Flower; Neroli; Jasmine; Rosemary,Amber; Ambrette; Angelica; Woody Notes,A Mediterranean escape with neroli and citrus.,2011,true
PF060,Tuscan Leather,Tom Ford,unisex,Eau de Parfum,100,380.00,Saffron; Raspberry,Olibanum; Night Blooming Jasmine,Leather; Suede; Amber; Wood,A rich leather fragrance inspired by Tuscan craftsmanship.,2007,true
PF061,Bitter Peach,Tom Ford,unisex,Eau de Parfum,100,395.00,Blood Orange; Cardamom,Peach; Davana; Rum; Cognac,Sandalwood; Patchouli; Benzoin; Cashmeran; Vanilla,A succulent hedonistic fruity fragrance.,2020,true
PF062,Soleil Blanc,Tom Ford,unisex,Eau de Parfum,100,370.00,Bergamot; Cardamom; Pistachio,Ylang-Ylang; Tuberose; Jasmine,Coconut; Tonka Bean; Amber; Musk,A beach escape with creamy coconut and florals.,2016,true
PF063,Wood Sage & Sea Salt,Jo Malone,unisex,Cologne,100,155.00,Ambrette; Sea Salt,Sea Sage,Driftwood,A windswept fragrance evoking the coast.,2014,true
PF064,Peony & Blush Suede,Jo Malone,women,Cologne,100,155.00,Red Apple,Peony; Jasmine; Rose; Carnation,Suede,A floral fragrance with a tender finish.,2013,true
PF065,Lime Basil & Mandarin,Jo Malone,unisex,Cologne,100,155.00,Mandarin; Basil,White Thyme; Lilac,Vetiver,A peppery basil sharpened with lime.,1999,true
PF066,English Pear & Freesia,Jo Malone,women,Cologne,100,155.00,King William Pear; Melon,Freesia; Rose,Amber; Patchouli; Rhubarb; Musk,A fresh fruity floral with ripe pears.,2010,true
PF067,Pomegranate Noir,Jo Malone,unisex,Cologne,100,155.00,Pomegranate; Raspberry; Plum,Casablanca Lily; Spicy Notes,Guaiac Wood; Patchouli,A rich fruity oriental fragrance.,2005,true
PF068,Grand Soir,Maison Francis Kurkdjian,unisex,Eau de Parfum,70,275.00,Amber; Labdanum,Benzoin; Tonka Bean,Vanilla; Cedar,A warm amber fragrance for elegant evenings.,2016,true
PF069,Oud Satin Mood,Maison Francis Kurkdjian,unisex,Eau de Parfum,70,315.00,Violet,Bulgarian Rose; Turkish Rose,Oud; Benzoin; Vanilla,A rose and oud fragrance with silky warmth.,2017,true
PF070,Aqua Universalis,Maison Francis Kurkdjian,unisex,Eau de Toilette,70,235.00,Calabrian Bergamot; Sicilian Lemon,Moroccan Neroli Flower; Lily of the Valley,White Musk,A fresh clean universal fragrance for everyday.,2009,true
PF071,À la rose,Maison Francis Kurkdjian,women,Eau de Parfum,70,245.00,Calabrian Bergamot,Grasse Rose; Egyptian Jasmine,Virginia Cedar; Musk,A pure radiant rose bouquet fragrance.,2014,true
PF072,Pegasus,Parfums de Marly,men,Eau de Parfum,125,310.00,Bergamot; Heliotrope,Bitter Almond; Lavender; Jasmine,Vanilla; Sandalwood; Amber; Musk,A powdery almond vanilla fragrance with freshness.,2011,true
PF073,Sedley,Parfums de Marly,men,Eau de Parfum,125,265.00,Bergamot; Spearmint; Lavender,Geranium; Cardamom,Vetiver; Musk; Oakmoss,A fresh aromatic fragrance with herbal notes.,2019,true
PF074,Cassili,Parfums de Marly,women,Eau de Parfum,75,295.00,Black Currant; Apple,Turkish Rose; Heliotrope; Peach,Musk; Vanilla; Sandalwood,A fruity floral fragrance with feminine elegance.,2019,true
PF075,Good Girl Supreme,Carolina Herrera,women,Eau de Parfum,80,145.00,Berry; Lemon,Egyptian Jasmine; Tuberose,Tonka Bean; Sandalwood; Vanilla,A bolder fruitier take on Good Girl.,2020,true
PF076,Very Good Girl,Carolina Herrera,women,Eau de Parfum,80,150.00,Lychee; Redcurrant,Rose de Mai; Vetiver,Vanilla; Tonka Bean,A seductive floral fragrance in a leg-shaped bottle.,2021,true
PF077,Voce Viva,Valentino,women,Eau de Parfum,100,165.00,Italian Bergamot; Mandarin,Orange Blossom; Crystal Moss,Golden Woods; Sandalwood; Musk,A radiant floral fragrance celebrating self-expression.,2020,true
PF078,Born in Roma,Valentino,women,Eau de Parfum,100,160.00,Black Currant; Pink Pepper,Lady Jasmine,Bourbon Vanilla; Cashmeran,A modern couture fragrance blending jasmine and vanilla.,2019,true
PF079,Uomo Valentino,Valentino,men,Eau de Toilette,100,115.00,Bergamot; Myrtle,Coffee; Hazelnut; Gianduja,White Leather; Cedarwood,A sophisticated Italian gentleman's fragrance.,2018,true
PF080,Phantom,Paco Rabanne,men,Eau de Toilette,100,105.00,Lemon; Lavender,Apple; Smoke,Vanilla; Cashmeran; Vetiver,A futuristic fragrance in a robot bottle.,2021,true
PF081,Fame,Paco Rabanne,women,Eau de Parfum,80,128.00,Mango,Jasmine; Incense,Sandalwood; Vanilla,A sensual feminine fragrance in a high-heel bottle.,2022,true
PF082,Olympéa,Paco Rabanne,women,Eau de Parfum,80,115.00,Green Mandarin; Water Jasmine,Ginger Lily; Salted Vanilla,Sandalwood; Cashmere Wood; Amber,A solar salty vanilla fragrance for a goddess.,2015,true
PF083,Cloud,Ariana Grande,women,Eau de Parfum,100,65.00,Lavender Blossom; Juicy Pear; Bergamot,Coconut; Praline; Vanilla Orchid,Creamy Musks; Blonde Woods; Cashmere,A dreamy airy fragrance with creamy sweetness.,2018,true
PF084,God Is A Woman,Ariana Grande,women,Eau de Parfum,100,68.00,Pear; Rose Petals,Orris; Madagascar Vanilla,Amberwood; Cedarwood; Musk,An empowering clean fragrance celebrating femininity.,2021,true
PF085,Born Original,Adidas,men,Eau de Toilette,100,28.00,Grapefruit; Pepper,Sage; Cardamom,Cedar; Musk,A fresh sporty fragrance for active men.,2015,true
PF086,Deep,Adidas,men,Eau de Toilette,100,25.00,Bergamot; Green Mandarin,Marine Accord; Lavender,Amber; Musk; Cedarwood,An aquatic fresh fragrance for sport.,2003,true
PF087,Versace Bright Crystal,Versace,women,Eau de Toilette,90,98.00,Pomegranate; Yuzu; Frost Accord,Magnolia; Peony; Lotus Flower,Amber; Musk; Mahogany,A fresh floral fragrance with pomegranate.,2006,true
PF088,Crystal Noir,Versace,women,Eau de Parfum,90,110.00,Ginger; Cardamom; Pepper,Gardenia; Orange Blossom; Peony,Sandalwood; Amber; Musk,A mysterious dark floral oriental fragrance.,2004,true
PF089,Yellow Diamond,Versace,women,Eau de Toilette,90,92.00,Pear Sorbet; Bergamot; Neroli; Citron,Freesia; Mimosa; Orange Blossom; Water Lily; Nymphea,Musk; Amber; Guaiac Wood,A luminous fresh fruity floral fragrance.,2011,true
PF090,Gucci Guilty,Gucci,women,Eau de Parfum,90,138.00,Mandarin; Pink Pepper; Bergamot,Lilac; Geranium; Rose Absolut,Patchouli; Ambery; Cedarwood,A contemporary bold feminine fragrance.,2010,true
PF091,Gucci Guilty Pour Homme,Gucci,men,Eau de Toilette,90,110.00,Lemon; Lavender; Bergamot,Neroli; Orange Blossom,Cedar; Patchouli; Amber,A modern aromatic fougere for confident men.,2011,true
PF092,Flora Gorgeous Gardenia,Gucci,women,Eau de Parfum,100,145.00,Pear Blossom; Red Berries,Gardenia; Jasmine,Brown Sugar; Patchouli; White Musk,A white floral fantasy with gardenia.,2021,true
PF093,Burberry Her,Burberry,women,Eau de Parfum,100,140.00,Blackberry; Black Currant; Raspberry; Strawberry; Sour Cherry; Mandarin Orange,Jasmine; Violet,Amber; Musk; Oakmoss; Sandalwood; Dry Cocoa,A British fruity floral fragrance.,2018,true
PF094,Burberry for Men,Burberry,men,Eau de Toilette,100,85.00,Lavender; Bergamot; Mint,Cedarwood; Sandalwood; Jasmine,Musk; Amber; Vanilla,A classic masculine aromatic woody fragrance.,1995,true
PF095,My Burberry,Burberry,women,Eau de Parfum,90,132.00,Sweet Pea; Bergamot,Rose; Geranium Leaf,Patchouli; Damson Plum,A trench coat-inspired fragrance with rain notes.,2014,true
PF096,Brit for Her,Burberry,women,Eau de Parfum,100,115.00,Italian Lime; Icy Pear,White Peony; Candied Almonds,Mahogany; Vanilla; Tonka Bean; Amber,A sweet almond oriental floral fragrance.,2003,true
PF097,Mont Blanc Legend,Mont Blanc,men,Eau de Toilette,100,85.00,Pineapple; Bergamot; Lavender,Rose; Geranium; Coumarin; Apple,Sandalwood; Tonka Bean; Musk; Oakmoss,A fresh fougere fragrance for modern men.,2011,true
PF098,Mont Blanc Explorer,Mont Blanc,men,Eau de Parfum,100,92.00,Bergamot; Pink Pepper,Clary Sage; Leather,Vetiver; Patchouli; Akigalawood; Cacao,An adventurous woody leather fragrance.,2019,true
PF099,Hugo Boss Man,Hugo Boss,men,Eau de Toilette,125,88.00,Green Apple; Citrus,Sage; Geranium,Cedar; Sandalwood; Olive Tree; Fir,A fresh green aromatic fragrance.,1995,true
PF100,Boss The Scent,Hugo Boss,men,Eau de Toilette,100,98.00,Ginger; Maninka Fruit,Lavender,Leather; Patchouli,A seductive woody oriental fragrance.,2015,true
PF101,Issey Miyake L'Eau d'Issey,Issey Miyake,women,Eau de Toilette,100,95.00,Lotus; Rose Water; Cyclamen,Lily; Peony; Carnation,Sandalwood; Musk; Cedar; Amber,A revolutionary aquatic floral fragrance.,1992,true
PF102,L'Eau d'Issey Pour Homme,Issey Miyake,men,Eau de Toilette,125,98.00,Yuzu; Bergamot; Lemon; Coriander,Nutmeg; Water Lily; Geranium; Sage,Sandalwood; Musk; Amber; Tobacco,A fresh aquatic woody fragrance for men.,1994,true
PF103,Nuit d'Issey,Issey Miyake,men,Eau de Toilette,125,105.00,Bergamot; Pink Pepper; Grapefruit,Leather; Vetiver; Black Tea,Incense; Ebony Wood; Tonka Bean; Patchouli,A nocturnal mysterious oriental fragrance.,2014,true
PF104,CK One,Calvin Klein,unisex,Eau de Toilette,200,75.00,Pineapple; Green Accord; Mandarin; Papaya; Bergamot; Cardamom; Lemon,Jasmine; Lily of the Valley; Rose; Nutmeg; Violet; Orris,Sandalwood; Amber; Musk; Cedar; Green Tea Accord,The original unisex fresh fragrance.,1994,true
PF105,CK Eternity,Calvin Klein,women,Eau de Parfum,100,98.00,Freesia; Mandarin; Sage,White Lily; Marigold; Lily of the Valley; Narcissus,Sandalwood; Heliotrope; Patchouli; Amber; Musk,A romantic timeless floral fragrance.,1988,true
PF106,CK Eternity for Men,Calvin Klein,men,Eau de Toilette,100,92.00,Lavender; Green Notes; Mandarin,Jasmine; Basil; Sage; Geranium,Sandalwood; Vetiver; Amber; Rosewood,A fresh green aromatic masculine fragrance.,1989,true
PF107,Euphoria,Calvin Klein,women,Eau de Parfum,100,105.00,Pomegranate; Persimmon,Black Orchid; Lotus Blossom; Champaca Flower,Mahogany Wood; Black Violet; Amber; Musk; Cream Accord,A sensual exotic oriental fragrance.,2005,true
PF108,Marc Jacobs Daisy,Marc Jacobs,women,Eau de Toilette,100,115.00,Strawberry; Violet Leaves; Grapefruit,Gardenia; Jasmine; Violet,White Woods; Musk; Vanilla,A fresh and feminine floral fragrance.,2007,true
PF109,Daisy Love,Marc Jacobs,women,Eau de Toilette,100,115.00,Cloudberries; Daisy Tree Petals,Daisy; Cashmere Musk,Driftwood; Musks,A radiant woody floral fragrance.,2018,true
PF110,Perfect,Marc Jacobs,women,Eau de Parfum,100,125.00,Rhubarb; Daffodil,Almond Milk,Cashmeran; Cedar,A self-love celebration fragrance.,2020,true
PF111,Dolce,Dolce & Gabbana,women,Eau de Parfum,75,120.00,Neroli Leaves; Papaya Flower,White Amaryllis; White Daffodil; White Water Lily,Cashmeran; Musk; Sandalwood,A delicate white floral fragrance.,2014,true
PF112,The Only One,Dolce & Gabbana,women,Eau de Parfum,100,130.00,Violet; Bergamot; Grapefruit,Coffee; Iris,Patchouli; Vanilla; Cedar; Cashmere,A sophisticated coffee iris fragrance.,2018,true
PF113,K by Dolce & Gabbana,Dolce & Gabbana,men,Eau de Parfum,100,125.00,Blood Orange; Sicilian Lemon; Juniper,Clary Sage; Geranium; Pimento,Cedar; Patchouli; Vetiver,A Mediterranean aromatic woody fragrance.,2019,true
PF114,Narciso Rodriguez for Her,Narciso Rodriguez,women,Eau de Parfum,100,145.00,Floral Notes,Orange Blossom; Osmanthus; Musk,Amber; Vetiver; Sandalwood; Patchouli,A signature musk fragrance with sensuality.,2003,true
PF115,Pure Musc,Narciso Rodriguez,women,Eau de Parfum,100,145.00,Orange Blossom; Bergamot; Pink Pepper,Musc; Floral Heart,Cashmere Wood; Ambrette,A hypnotic musc fragrance.,2019,true
PF116,Bleu Noir,Narciso Rodriguez,men,Eau de Parfum,100,125.00,Blue Cardamom; Nutmeg,Ebony Wood; Musk,Vetiver; Cedar; Amber,A magnetic woody oriental fragrance.,2018,true
PF117,Replica Jazz Club,Maison Margiela,unisex,Eau de Toilette,100,150.00,Pink Pepper; Lemon; Neroli,Clary Sage; Rum Absolute; Vetiver,Tobacco Leaf; Vanilla Bean; Styrax,A Brooklyn jazz club atmosphere.,2013,true
PF118,Replica By the Fireplace,Maison Margiela,unisex,Eau de Toilette,100,150.00,Clove Oil; Pink Pepper; Orange Flower,Chestnut Accord; Guaiac Wood,Vanilla Accord; Cashmeran; Peru Balsam,A cozy winter evening by the fire.,2015,true
PF119,Replica Coffee Break,Maison Margiela,unisex,Eau de Toilette,100,150.00,Lavender; Coffee,Milk Mousse,Sandalwood; Cedar; Vanilla,A mid-morning coffee break moment.,2018,true
PF120,Replica Beach Walk,Maison Margiela,unisex,Eau de Toilette,100,150.00,Bergamot; Pink Pepper; Lemon; Aldehydes,Ylang-Ylang; Coconut Milk; Heliotrope,Benzoin; Musk; Cedar,A sunny beach vacation fragrance.,2012,true
PF121,Replica Bubble Bath,Maison Margiela,unisex,Eau de Toilette,100,150.00,Lavender; Soap Accord; Pink Pepper,Coconut Milk; Rose Superessence; Jasmine,Musk; Sandalwood; Cedar,A clean comforting bath moment.,2020,true
