id,zpid,address,city,state,zip_code,latitude,longitude,price,zestimate,rent_zestimate,bedrooms,bathrooms,sqft,lot_size,year_built,home_type,property_status,days_on_zillow,views,saves,price_per_sqft,hoa_fee,property_tax,description,features,images_count,listing_agent,listing_broker,last_sold_date,last_sold_price
11,Z1011,555 5th Avenue Unit 45B,New York,NY,10017,40.7549,-73.9840,3200000,3150000,12000,2,2.5,1800,0,2019,Condo,For Sale,10,534,42,1778,2500,32000,Sophisticated Midtown residence with Central Park views. White glove building with full amenities. Custom Italian kitchen and spa bathrooms.,Central Park views|Doorman|Gym|Concierge|Wine storage,15,Elizabeth Warren Realtor,Douglas Elliman,2022-09-18,2900000
12,Z1012,123 West Village Way,New York,NY,10014,40.7358,-74.0036,2850000,2900000,9500,3,2.0,2200,0,1890,Townhouse,For Sale,35,478,39,1295,0,28500,Charming West Village townhouse with private garden. Original details restored including exposed brick and decorative fireplaces.,Private garden|Exposed brick|Fireplaces|Roof deck|Historic,22,James Patterson Realtor,Corcoran Group,2019-05-22,2400000
13,Z1013,789 Park Avenue Unit 12A,New York,NY,10021,40.7731,-73.9631,5500000,5650000,18000,4,4.0,3500,0,1962,Condo,For Sale,28,689,56,1571,3200,55000,Gracious Park Avenue classic with museum-quality finishes. Library formal dining and eat-in kitchen with butler's pantry.,Park views|Library|Formal dining|Butler's pantry|Pre-war details,18,Victoria Sterling,Brown Harris Stevens,2018-11-30,4800000
14,Z1014,456 Brooklyn Heights Promenade,Brooklyn,NY,11201,40.6966,-73.9972,2100000,2150000,7200,3,2.5,2400,0,1899,Townhouse,For Sale,14,412,35,875,0,21000,Stunning Brooklyn Heights brownstone with Manhattan skyline views. Original parlor details garden level apartment and private roof deck.,Skyline views|Brownstone|Garden apartment|Roof deck|Historic,25,Daniel Brooks,Compass Real Estate,2020-07-14,1800000
15,Z1015,234 Williamsburg Waterfront,Brooklyn,NY,11249,40.7145,-73.9645,1450000,1500000,5200,2,2.0,1350,0,2022,Condo,For Sale,7,345,27,1074,950,14500,New waterfront development with Manhattan views. Resort-style amenities including pool fitness center and rooftop lounge.,Waterfront|Pool|Fitness center|Rooftop lounge|Parking,14,Samantha Green,Stribling & Associates,2024-02-01,0
16,Z1016,567 Lincoln Park West,Chicago,IL,60614,41.9215,-87.6369,1850000,1900000,6800,4,3.5,3200,5500,1895,Single Family,For Sale,20,423,36,578,0,24050,Magnificent Lincoln Park greystone with coach house. Modern updates while preserving historic character. Chef's kitchen with Wolf and Sub-Zero appliances.,Coach house|Chef's kitchen|Historic|Garden|Near park,28,Michael O'Connor,@properties,2019-08-20,1550000
17,Z1017,890 Lake Shore Drive Unit 3201,Chicago,IL,60611,41.8998,-87.6167,2450000,2380000,8500,3,3.0,2650,0,2008,Condo,For Sale,32,567,44,925,1800,24500,Spectacular Lake Michigan views from every room. Building designed by renowned architect with white glove service.,Lake views|Full service|Gym|Pool|Valet,20,Jennifer Williams,Berkshire Hathaway,2021-04-10,2100000
18,Z1018,123 Wicker Park Avenue,Chicago,IL,60622,41.9088,-87.6796,975000,1000000,3800,3,2.0,1900,3000,1905,Single Family,For Sale,11,289,23,513,0,12675,Classic Wicker Park Victorian with modern updates. Open concept main floor exposed brick and spacious backyard.,Exposed brick|Updated|Backyard|Near restaurants|Walk score 92,16,David Martinez,Coldwell Banker,2022-01-25,820000
19,Z1019,456 River North Lofts,Chicago,IL,60654,41.8918,-87.6381,685000,700000,3200,2,2.0,1400,0,1920,Condo,For Sale,9,234,19,489,550,6850,Authentic timber loft in River North. 14-foot ceilings exposed brick and original hardwood floors. Pet friendly building.,Timber loft|High ceilings|Exposed brick|Pet friendly|Parking,12,Sarah Chen,Dream Town Realty,2023-05-15,625000
20,Z1020,789 Gold Coast Lane,Chicago,IL,60610,41.9025,-87.6258,3250000,3100000,10500,5,4.5,4500,8000,1912,Single Family,For Sale,45,612,51,722,0,42250,Stately Gold Coast mansion on a tree-lined street. Ballroom-sized living room library and wine cellar.,Mansion|Library|Wine cellar|Garden|Historic,32,Robert Thompson,Jameson Sotheby's,2017-03-08,2700000
21,Z1021,234 Coral Gables Way,Miami,FL,33146,25.7211,-80.2684,2850000,2750000,9500,5,4.0,4200,15000,1955,Single Family,For Sale,28,489,42,679,0,28500,Mediterranean estate in prestigious Coral Gables. Pool guest house and lush tropical landscaping. Minutes to downtown.,Pool|Guest house|Tropical gardens|Mediterranean style|Gated,26,Carlos Rodriguez,ONE Sotheby's,2019-11-12,2400000
22,Z1022,567 South Beach Avenue Unit 2801,Miami Beach,FL,33139,25.7814,-80.1324,4500000,4650000,15000,3,3.5,2800,0,2021,Condo,For Sale,18,678,55,1607,2200,45000,Ultra-luxury penthouse in iconic South Beach tower. Private elevator flow-through floor plan with sunrise and sunset views.,Ocean views|Private elevator|Pool|Spa|Beach club,22,Maria Santos,Douglas Elliman,2023-08-20,0
23,Z1023,890 Brickell Avenue Unit 5502,Miami,FL,33131,25.7578,-80.1918,1250000,1300000,4800,2,2.5,1650,0,2019,Condo,For Sale,12,378,31,758,890,12500,Modern Brickell living with bay and city views. Resort-style amenities and walking distance to restaurants and shopping.,Bay views|Pool|Gym|Concierge|Pet friendly,16,Juan Perez,Compass Real Estate,2022-04-05,1100000
24,Z1024,123 Coconut Grove Marina,Miami,FL,33133,25.7260,-80.2379,1950000,2000000,7200,4,3.0,2900,7500,1985,Single Family,For Sale,22,412,35,672,0,19500,Waterfront home in the Grove with private dock. Updated throughout with impact windows and new roof. Tropical backyard oasis.,Waterfront|Private dock|Impact windows|Pool|Updated,24,Ana Gonzalez,EWM Realty,2020-09-18,1650000
25,Z1025,456 Design District Lofts,Miami,FL,33137,25.8128,-80.1922,875000,890000,3400,2,2.0,1450,0,2017,Condo,For Sale,8,267,22,603,650,8750,Industrial chic loft in the Design District. Polished concrete floors 12-foot ceilings and designer finishes.,Loft|High ceilings|Modern|Near galleries|Parking,14,Diego Fernandez,Fortune International,2023-10-01,0
26,Z1026,789 Highland Park Estate,Dallas,TX,75205,32.8312,-96.8015,4250000,4100000,12000,6,5.5,6200,22000,1928,Single Family,For Sale,35,534,47,685,0,85000,Grand Highland Park estate on nearly half acre. Pool house tennis court and mature landscaping. Extensively renovated.,Pool house|Tennis court|Renovated|Guest quarters|Historic,38,William Anderson,Briggs Freeman,2018-06-25,3600000
27,Z1027,234 Uptown Dallas Tower,Dallas,TX,75201,32.7956,-96.8016,725000,740000,3200,2,2.0,1350,0,2020,Condo,For Sale,15,312,26,537,600,7250,Sleek Uptown high-rise with skyline views. Walk to Katy Trail restaurants and nightlife. Full-service building.,Skyline views|Concierge|Pool|Gym|Walk score 89,12,Jennifer Smith,Dave Perry-Miller,2023-03-12,0
28,Z1028,567 Preston Hollow Lane,Dallas,TX,75230,32.8842,-96.8125,2950000,3000000,9500,5,4.5,5400,35000,1992,Single Family,For Sale,25,467,39,546,0,59000,Prestigious Preston Hollow estate with pool and putting green. Recently updated with smart home technology throughout.,Pool|Putting green|Smart home|Gated|Wine room,30,Robert Miller,Allie Beth Allman,2020-01-30,2500000
29,Z1029,890 Knox Henderson Lofts,Dallas,TX,75205,32.8241,-96.7934,485000,500000,2200,1,1.5,950,0,1935,Condo,For Sale,6,198,15,511,350,4850,Converted warehouse loft in trendy Knox Henderson. Original brick exposed ductwork and oversized windows.,Loft|Exposed brick|High ceilings|Near restaurants|Pet friendly,10,Emily Davis,Compass Real Estate,2023-11-08,0
30,Z1030,123 Arts District Plaza,Dallas,TX,75201,32.7861,-96.7970,1150000,1180000,4200,2,2.5,1800,0,2022,Condo,For Sale,10,345,28,639,750,11500,Brand new construction in the Arts District. Floor-to-ceiling windows with downtown views and premium finishes.,Downtown views|New construction|Concierge|Rooftop pool|Parking,16,Michael Brown,Ebby Halliday,2024-01-25,0
31,Z1031,456 Cherry Creek North,Denver,CO,80206,39.7178,-104.9534,1650000,1700000,5800,4,3.5,3100,6500,1965,Single Family,For Sale,18,398,33,532,0,16500,Cherry Creek charmer with mountain views. Completely renovated with designer finishes. Walking distance to shopping.,Mountain views|Renovated|Near shopping|Updated kitchen|2-car garage,22,Sarah Johnson,LIV Sotheby's,2021-07-22,1400000
32,Z1032,789 RiNo District Lofts,Denver,CO,80205,39.7644,-104.9817,575000,590000,2600,2,2.0,1250,0,2019,Condo,For Sale,9,267,21,460,450,5750,Industrial cool in River North Art District. Polished concrete 10-foot ceilings and rooftop deck with city views.,Rooftop deck|High ceilings|Near breweries|Pet friendly|Parking,14,Jake Williams,milehimodern,2023-06-14,0
33,Z1033,234 Washington Park,Denver,CO,80209,39.7007,-104.9708,1250000,1280000,4500,4,2.5,2600,5000,1940,Single Family,For Sale,14,356,29,481,0,12500,Classic Wash Park bungalow with modern addition. Open floor plan finished basement and large backyard.,Near park|Finished basement|Large yard|Updated|Charming,18,Amanda Clark,Kentwood Real Estate,2022-08-30,1050000
34,Z1034,567 LoDo Historic District,Denver,CO,80202,39.7535,-105.0002,895000,920000,3800,2,2.0,1550,0,1895,Condo,For Sale,12,289,24,577,550,8950,Historic LoDo loft with original exposed brick and timber beams. Updated kitchen and baths. Steps to Union Station.,Historic loft|Exposed brick|Timber beams|Walk score 95|Parking,16,Chris Martinez,Urban Luxe,2023-02-18,0
35,Z1035,890 Highlands Ranch Estate,Denver,CO,80126,39.5491,-105.0079,875000,890000,3200,5,3.5,3800,8000,2005,Single Family,For Sale,20,312,26,230,175,8750,Spacious family home in top-rated school district. Finished basement home theater and mountain views.,Mountain views|Finished basement|Home theater|Top schools|3-car garage,20,Lisa Anderson,RE/MAX Alliance,2021-11-05,750000
36,Z1036,123 Queen Anne Hill,Seattle,WA,98109,47.6327,-122.3571,1450000,1500000,5200,3,2.5,2200,4500,1920,Single Family,For Sale,16,378,31,659,0,14500,Classic Queen Anne craftsman with Space Needle views. Updated while preserving original charm. Private backyard.,Space Needle views|Craftsman|Updated|Private yard|Near downtown,20,Jennifer Lee,Windermere Real Estate,2022-03-14,1250000
37,Z1037,456 Capitol Hill Condos,Seattle,WA,98102,47.6249,-122.3222,650000,670000,2800,2,1.5,1100,0,2018,Condo,For Sale,8,234,19,591,450,6500,Modern Capitol Hill living near Broadway. Open floor plan in-unit laundry and rooftop deck with views.,Rooftop deck|Modern|Near transit|Pet friendly|Parking,12,David Kim,Redfin,2023-09-25,0
38,Z1038,789 Ballard Maritime Way,Seattle,WA,98107,47.6650,-122.3843,1850000,1900000,6500,4,3.0,2800,5500,2021,Single Family,For Sale,22,445,37,661,0,18500,New construction in trendy Ballard. Rooftop deck with mountain and water views. High-end finishes throughout.,Rooftop deck|New construction|Water views|Smart home|2-car garage,24,Michael Chen,Compass Real Estate,2024-01-05,0
39,Z1039,234 South Lake Union Tower,Seattle,WA,98109,47.6265,-122.3378,975000,1000000,3600,2,2.0,1350,0,2019,Condo,For Sale,11,312,25,722,700,9750,Prime South Lake Union location near Amazon campus. Lake views concierge and top amenities.,Lake views|Concierge|Gym|Near tech campus|Pet friendly,14,Sarah Park,Realogics Sotheby's,2023-04-10,0
40,Z1040,567 Bellevue Waterfront,Bellevue,WA,98004,47.6101,-122.2015,3250000,3150000,10500,5,4.5,4500,12000,2015,Single Family,For Sale,30,534,44,722,0,32500,Stunning Eastside estate with Lake Washington views. Smart home gourmet kitchen and private dock access.,Lake views|Smart home|Gourmet kitchen|Private dock|Wine cellar,28,Robert Johnson,John L. Scott,2020-06-18,2800000
41,Z1041,890 Scottsdale Pinnacle,Scottsdale,AZ,85255,33.6741,-111.9261,2450000,2380000,8200,5,4.5,4800,25000,2018,Single Family,For Sale,25,467,39,510,350,24500,Desert contemporary with stunning mountain views. Negative edge pool outdoor kitchen and golf course access.,Mountain views|Pool|Outdoor kitchen|Golf access|Smart home,26,Jennifer Adams,Russ Lyon Sotheby's,2022-10-15,2200000
42,Z1042,123 Paradise Valley Estate,Paradise Valley,AZ,85253,33.5422,-111.9425,5750000,5500000,16000,6,7.0,8200,45000,2020,Single Family,For Sale,40,678,55,701,0,57500,Architectural masterpiece on 2.5 acres. Indoor-outdoor living with retractable walls and resort-style amenities.,Resort-style|2.5 acres|Guest house|Home theater|Smart home,35,Michael Stone,Walt Danley Realty,2023-07-20,0
43,Z1043,456 Tempe Town Lake,Tempe,AZ,85281,33.4315,-111.8988,485000,500000,2100,2,2.0,1200,0,2021,Condo,For Sale,7,223,18,404,400,4850,Modern lakefront living near ASU. Rooftop pool fitness center and stunning sunset views.,Lake views|Rooftop pool|Near ASU|Pet friendly|Parking,12,David Rodriguez,HomeSmart,2024-02-10,0
44,Z1044,789 Arcadia Camelback,Phoenix,AZ,85018,33.5097,-111.9818,1850000,1900000,6500,4,3.5,3400,12000,1962,Single Family,For Sale,18,389,32,544,0,18500,Mid-century modern gem in Arcadia. Pool casita and mature citrus trees. Mountain views from every room.,Mountain views|Pool|Casita|Mid-century|Citrus trees,22,Lisa Thompson,The Brokery,2021-09-30,1600000
45,Z1045,234 Kierland Commons,Scottsdale,AZ,85254,33.6223,-111.9289,725000,740000,3000,3,2.5,1850,0,2017,Townhouse,For Sale,12,289,24,392,275,7250,Lock-and-leave luxury near Kierland Commons. Open floor plan courtyard and attached 2-car garage.,Near shopping|Courtyard|Lock-and-leave|2-car garage|Pet friendly,14,Sarah Martinez,Realty ONE Group,2023-01-08,0
46,Z1046,567 Buckhead Mansion,Atlanta,GA,30305,33.8384,-84.3623,3450000,3300000,11000,6,5.5,6500,20000,1995,Single Family,For Sale,35,534,45,531,0,34500,Stately Buckhead estate on private cul-de-sac. Pool house wine cellar and home theater. Gated entry.,Pool house|Wine cellar|Home theater|Gated|Cul-de-sac,32,William Davis,Harry Norman Realtors,2019-04-22,2900000
47,Z1047,890 Midtown Atlanta Tower,Atlanta,GA,30308,33.7866,-84.3832,685000,700000,2800,2,2.0,1400,0,2022,Condo,For Sale,9,267,22,489,600,6850,Sleek Midtown high-rise with skyline views. Full amenity building near Piedmont Park and BeltLine.,Skyline views|Near BeltLine|Pool|Gym|Concierge,14,Jennifer White,Engel & Volkers,2023-11-15,0
48,Z1048,123 Virginia Highland,Atlanta,GA,30306,33.7834,-84.3519,875000,890000,3200,3,2.5,2100,5000,1935,Single Family,For Sale,14,334,28,417,0,8750,Charming Virginia Highland bungalow. Updated kitchen and baths while preserving original character.,Bungalow|Updated|Near restaurants|Walk score 85|Fenced yard,18,Michael Brown,Keller Williams,2022-07-08,725000
49,Z1049,456 Inman Park Lofts,Atlanta,GA,30307,33.7580,-84.3536,525000,540000,2300,2,2.0,1150,0,1920,Condo,For Sale,6,198,16,457,350,5250,Historic mill conversion in Inman Park. Exposed brick timber beams and soaring ceilings.,Historic loft|Exposed brick|Timber beams|Near BeltLine|Pet friendly,12,Sarah Chen,Atlanta Fine Homes,2023-08-22,0
50,Z1050,789 West Paces Ferry,Atlanta,GA,30327,33.8486,-84.4189,4750000,4600000,14000,7,6.5,8500,35000,1985,Single Family,For Sale,50,712,58,559,0,47500,Magnificent West Paces Ferry estate. Tennis court pool and guest house on 2 acres. Recently renovated.,Tennis court|Pool|Guest house|2 acres|Renovated,40,Robert Anderson,Dorsey Alston,2018-02-14,4000000
51,Z1051,234 Back Bay Brownstone,Boston,MA,02116,42.3503,-71.0810,3950000,4100000,12000,4,3.5,3200,0,1875,Townhouse,For Sale,28,489,41,1234,0,39500,Iconic Back Bay brownstone on tree-lined street. Original details throughout with modern updates.,Brownstone|Historic|Original details|Private garden|Near Newbury,25,Elizabeth Warren Agent,Gibson Sotheby's,2019-10-18,3400000
52,Z1052,567 Seaport District,Boston,MA,02210,42.3528,-71.0466,1650000,1700000,5500,2,2.5,1700,0,2020,Condo,For Sale,15,378,31,971,1100,16500,Ultra-modern Seaport living with harbor views. Full amenity building in Boston's newest neighborhood.,Harbor views|Modern|Concierge|Gym|Near waterfront,18,James Patterson Agent,Compass Real Estate,2023-05-10,0
53,Z1053,890 Beacon Hill,Boston,MA,02108,42.3588,-71.0707,2850000,2950000,9500,3,2.5,2400,0,1840,Townhouse,For Sale,22,445,37,1188,0,28500,Quintessential Beacon Hill townhouse. Gas lanterns brick sidewalks and private garden.,Historic|Gas lanterns|Private garden|Near Common|Parking,20,Victoria Sterling Agent,Hammond Residential,2020-08-25,2500000
54,Z1054,123 Cambridge Harvard Square,Cambridge,MA,02138,42.3736,-71.1189,1450000,1500000,4800,3,2.0,1800,3000,1925,Single Family,For Sale,18,356,29,806,0,14500,Classic Cambridge colonial near Harvard Square. Renovated with modern amenities and charming details.,Near Harvard|Renovated|Garden|Parking|Walk score 92,16,Daniel Brooks Agent,Coldwell Banker,2022-01-12,1250000
55,Z1055,456 South End Row House,Boston,MA,02118,42.3408,-71.0758,1950000,2000000,6500,4,3.0,2600,0,1865,Townhouse,For Sale,20,412,34,750,0,19500,Stunning South End row house with roof deck. Meticulously renovated with chef's kitchen.,Roof deck|Renovated|Chef's kitchen|Near restaurants|Parking,22,Sarah Mitchell Agent,William Raveis,2021-06-30,1700000
56,Z1056,789 Nob Hill Terrace,San Francisco,CA,94108,37.7929,-122.4120,5250000,5100000,15000,4,4.5,3800,0,1915,Condo,For Sale,38,623,52,1382,1800,52500,Grand Nob Hill residence with panoramic city views. White glove building doorman and valet.,City views|Doorman|Valet|Historic building|Renovated,28,Jennifer Chen,Pacific Union,2017-05-20,4500000
57,Z1057,234 Mission Dolores Park,San Francisco,CA,94114,37.7596,-122.4269,1550000,1600000,5200,3,2.0,1700,2500,1908,Single Family,For Sale,16,378,31,912,0,15500,Charming Victorian overlooking Dolores Park. Updated with modern kitchen and period details.,Park views|Victorian|Updated kitchen|Near transit|Garden,18,David Park,Vanguard Properties,2022-04-18,1350000
58,Z1058,567 SOMA Tech Lofts,San Francisco,CA,94103,37.7751,-122.4137,985000,1000000,3800,2,2.0,1350,0,2018,Condo,For Sale,10,289,24,730,650,9850,Modern SOMA loft near tech companies. Open floor plan in-unit laundry and rooftop access.,Modern|Near tech|Rooftop access|Pet friendly|Parking,14,Michael Wong,Compass Real Estate,2023-07-25,0
59,Z1059,890 Presidio Heights,San Francisco,CA,94118,37.7881,-122.4531,6500000,6300000,18000,5,5.5,5200,9000,1925,Single Family,For Sale,45,756,61,1250,0,65000,Prestigious Presidio Heights estate with views of the Golden Gate. Guest quarters wine cellar and gardens.,Golden Gate views|Guest quarters|Wine cellar|Gardens|Historic,35,Sarah Mitchell,Sotheby's International,2016-09-12,5500000
60,Z1060,123 Hayes Valley Modern,San Francisco,CA,94102,37.7759,-122.4245,1125000,1150000,4200,2,2.0,1200,0,2021,Condo,For Sale,8,267,22,938,550,11250,New construction in trendy Hayes Valley. High ceilings designer finishes and private deck.,Modern|Private deck|Near shops|Designer finishes|Parking,12,Lisa Thompson,Compass Real Estate,2024-01-18,0
61,Z1061,456 Austin Mueller,Austin,TX,78702,30.2916,-97.7097,875000,890000,3500,3,2.5,1900,4500,1955,Single Family,For Sale,14,334,28,461,0,8750,Updated East Austin bungalow near Mueller. Open floor plan large backyard and detached studio.,Updated|Large yard|Studio|Near Mueller|Walk score 82,16,Jake Williams,Kuper Sotheby's,2023-02-28,0
62,Z1062,789 Downtown Austin Tower,Austin,TX,78701,30.2672,-97.7431,695000,720000,3000,2,2.0,1250,0,2022,Condo,For Sale,9,256,21,556,650,6950,Modern high-rise living in downtown Austin. Walk to everything with resort-style amenities.,Downtown|Walk score 95|Pool|Gym|Concierge,14,Amanda Stevens,Compass Real Estate,2023-10-05,0
63,Z1063,234 Tarrytown Classic,Austin,TX,78703,30.2992,-97.7751,1650000,1700000,5500,4,3.5,3200,10000,1965,Single Family,For Sale,22,412,35,516,0,16500,Classic Tarrytown home on large lot. Pool updated throughout and top-rated schools.,Pool|Large lot|Top schools|Updated|Near lake,24,Jennifer Adams,Moreland Properties,2021-11-14,1400000
64,Z1064,567 South Congress Lofts,Austin,TX,78704,30.2439,-97.7508,585000,600000,2500,1,1.5,950,0,2019,Condo,For Sale,7,198,16,616,400,5850,Hip SoCo loft near restaurants and entertainment. Modern finishes and private balcony.,Near SoCo|Modern|Balcony|Pet friendly|Parking,10,Chris Martinez,Realty Austin,2023-12-01,0
65,Z1065,890 Lake Travis Waterfront,Austin,TX,78732,30.4155,-97.9201,2250000,2300000,7500,5,4.0,4200,15000,2010,Single Family,For Sale,28,489,41,536,0,22500,Stunning Lake Travis estate with private dock. Infinity pool outdoor kitchen and panoramic views.,Lake views|Private dock|Infinity pool|Outdoor kitchen|4-car garage,30,Robert Miller,Engel & Volkers,2020-07-22,1900000
66,Z1066,123 Portland Pearl District,Portland,OR,97209,45.5288,-122.6819,725000,740000,3000,2,2.0,1350,0,2018,Condo,For Sale,11,278,23,537,550,7250,Urban living in the Pearl District. Walk to galleries restaurants and the waterfront.,Walk score 95|Near galleries|Modern|Rooftop deck|Parking,14,Sarah Lee,Windermere Real Estate,2023-04-22,0
67,Z1067,456 Hawthorne Craftsman,Portland,OR,97214,45.5119,-122.6297,895000,920000,3200,3,2.0,2100,5500,1920,Single Family,For Sale,16,334,28,426,0,8950,Classic Hawthorne craftsman with modern updates. Original details preserved with updated systems.,Craftsman|Updated|Near Hawthorne|Large yard|Garage,18,David Kim,Cascade Sotheby's,2022-09-08,0
68,Z1068,789 Alberta Arts District,Portland,OR,97211,45.5590,-122.6516,685000,700000,2800,3,2.0,1600,3500,1945,Single Family,For Sale,12,267,22,428,0,6850,Charming Alberta Arts bungalow. Updated kitchen covered front porch and detached garage.,Near Alberta|Updated|Front porch|Fenced yard|Pet friendly,14,Jennifer White,Living Room Realty,2023-06-15,0
69,Z1069,234 Lake Oswego Waterfront,Lake Oswego,OR,97034,45.4207,-122.6706,1950000,2000000,6500,4,3.5,3500,8000,2005,Single Family,For Sale,25,423,36,557,0,19500,Waterfront estate on Lake Oswego. Private dock outdoor living and gourmet kitchen.,Waterfront|Private dock|Gourmet kitchen|Lake views|3-car garage,24,Michael Chen,John L. Scott,2021-03-10,1700000
70,Z1070,567 NW 23rd Avenue,Portland,OR,97210,45.5358,-122.6973,575000,590000,2400,2,1.5,1100,0,1925,Condo,For Sale,8,212,17,523,350,5750,Charming unit near NW 23rd shopping. Original details with updated kitchen and bath.,Near shopping|Original details|Updated|Walk score 90|Pet friendly,12,Lisa Anderson,Redfin,2023-11-20,0
71,Z1071,890 Santana Row,San Jose,CA,95128,37.3209,-121.9481,1250000,1300000,4200,2,2.5,1600,0,2020,Condo,For Sale,14,345,29,781,850,12500,Luxury living at Santana Row. Walk to dining shopping and entertainment. Resort amenities.,Walk to dining|Resort amenities|Modern|Concierge|Parking,16,Jennifer Chen,Intero Real Estate,2023-03-18,0
72,Z1072,123 Los Gatos Hills,Los Gatos,CA,95030,37.2268,-121.9571,3250000,3150000,10500,5,4.5,4200,25000,1992,Single Family,For Sale,30,489,41,774,0,32500,Stunning hillside estate in Los Gatos. Panoramic views pool and guest house.,Views|Pool|Guest house|Wine cellar|Top schools,28,David Park,Sereno Group,2019-08-14,2800000
73,Z1073,456 Willow Glen Victorian,San Jose,CA,95125,37.2969,-121.8911,1450000,1500000,4800,4,2.5,2400,6000,1905,Single Family,For Sale,18,378,31,604,0,14500,Charming Willow Glen Victorian. Updated while preserving historic character. Walk to downtown.,Historic|Updated|Walk to downtown|Large lot|2-car garage,20,Sarah Mitchell,Coldwell Banker,2022-05-25,1250000
