asin,title,description,price,currency,category,brand,rating,review_count,image_url,product_url,in_stock,prime_eligible
B08DFCWVZ4,Levi's Men's 505 Regular Fit Jeans,"""100% cotton. Regular through seat and thigh. Straight leg. Classic 5-pocket styling.""",59.50,USD,Clothing,Levi's,4.5,45670,/images/levis-505.jpg,/dp/B08DFCWVZ4,1,1
B07GCKQD77,Champion Men's Powerblend Fleece Hoodie,"""Soft fleece with brushed interior. Reduced pilling. Ribbed cuffs and hem. Front pouch pocket.""",45.00,USD,Clothing,Champion,4.7,89120,/images/champion-hoodie.jpg,/dp/B07GCKQD77,1,1
B08G1N5LWK,Hanes Men's EcoSmart Fleece Sweatshirt,"""Made with sustainable cotton. Pill-resistant fabric. Lay flat collar. Soft fleece interior.""",18.00,USD,Clothing,Hanes,4.5,234560,/images/hanes-sweatshirt.jpg,/dp/B08G1N5LWK,1,1
B07D3BZKQV,Carhartt Men's Knit Cuffed Beanie,"""100% acrylic. Stretchable rib-knit fabric. Carhartt label sewn on front. One size fits most.""",19.99,USD,Clothing,Carhartt,4.8,156780,/images/carhartt-beanie.jpg,/dp/B07D3BZKQV,1,1
B096ZJH2PN,New Balance Fresh Foam Running Shoes,"""Fresh Foam midsole cushioning. Breathable mesh upper. Rubber outsole for traction.""",84.95,USD,Shoes,New Balance,4.6,34560,/images/newbalance-freshfoam.jpg,/dp/B096ZJH2PN,1,1
B07ZPKN6YR,Atomic Habits by James Clear,"""Tiny Changes Remarkable Results. #1 New York Times bestseller. Over 10 million copies sold.""",13.79,USD,Books,Avery Publishing,4.8,298450,/images/atomic-habits.jpg,/dp/B07ZPKN6YR,1,1
B09SWNXKLS,The Psychology of Money by Morgan Housel,"""Timeless lessons on wealth, greed, and happiness. Doing well with money has little to do with how smart you are.""",14.99,USD,Books,Harriman House,4.7,89670,/images/psychology-money.jpg,/dp/B09SWNXKLS,1,1
B0014BOLMA,Think and Grow Rich by Napoleon Hill,"""The original 1937 unedited edition. Over 100 million copies sold worldwide. Classic success philosophy.""",9.59,USD,Books,TarcherPerigee,4.7,124560,/images/think-grow-rich.jpg,/dp/B0014BOLMA,1,1
B07PDHSJ1H,CeraVe Moisturizing Cream,"""For dry to very dry skin. With hyaluronic acid. 19 oz jar. Fragrance free. Developed with dermatologists.""",18.99,USD,Beauty,CeraVe,4.8,198760,/images/cerave-cream.jpg,/dp/B07PDHSJ1H,1,1
B004Y97V7Y,Neutrogena Hydro Boost Water Gel,"""Lightweight water gel moisturizer. With hyaluronic acid. Oil-free. Non-comedogenic.""",19.97,USD,Beauty,Neutrogena,4.6,87650,/images/neutrogena-hydro.jpg,/dp/B004Y97V7Y,1,1
B0012YJQWC,AmazonBasics AA Batteries 48-Pack,"""Long-lasting power for everyday devices. 10-year shelf life. Ships in Certified Frustration-Free Packaging.""",17.86,USD,Electronics,AmazonBasics,4.6,456780,/images/aa-batteries.jpg,/dp/B0012YJQWC,1,1
B07XJ8C8F5,Anker PowerCore 10000mAh Portable Charger,"""Ultra-compact portable charger. High-speed charging. Universal compatibility. MultiProtect safety system.""",25.99,USD,Electronics,Anker,4.7,234560,/images/anker-powercore.jpg,/dp/B07XJ8C8F5,1,1
B08HR68MQ3,TOZO T6 True Wireless Earbuds,"""Bluetooth 5.0. IPX8 waterproof. Touch control. 30-hour playtime with charging case.""",25.99,USD,Electronics,TOZO,4.4,189340,/images/tozo-t6.jpg,/dp/B08HR68MQ3,1,1
B0915RCNTS,JBL Flip 6 Portable Bluetooth Speaker,"""Bold JBL Original Pro Sound. IP67 waterproof and dustproof. 12 hours of playtime.""",99.95,USD,Electronics,JBL,4.7,45670,/images/jbl-flip6.jpg,/dp/B0915RCNTS,1,1
B09G9FPHY6,Logitech MX Master 3S Wireless Mouse,"""8K DPI optical sensor. Quiet clicks. Fast scrolling. USB-C rechargeable.""",99.99,USD,Electronics,Logitech,4.8,34560,/images/mx-master-3s.jpg,/dp/B09G9FPHY6,1,1
B09R6FJWH1,Apple Watch Series 9 GPS 45mm,"""Always-On Retina display. S9 SiP chip. Blood oxygen app. ECG app. Temperature sensing.""",429.00,USD,Electronics,Apple,4.8,67890,/images/apple-watch-9.jpg,/dp/B09R6FJWH1,1,1
B0BDHWDR12,Samsung Galaxy Tab S9 Ultra,"""14.6-inch Dynamic AMOLED 2X. Snapdragon 8 Gen 2. 12GB RAM. 256GB storage.""",1199.99,USD,Electronics,Samsung,4.6,12340,/images/tab-s9-ultra.jpg,/dp/B0BDHWDR12,1,1
B0C9S9B7W1,Google Pixel 8 Pro 128GB,"""Google Tensor G3. 6.7-inch Super Actua display. Pro-level camera with AI.""",999.00,USD,Electronics,Google,4.6,34560,/images/pixel-8-pro.jpg,/dp/B0C9S9B7W1,1,1
B0CBPP3Y5J,Google Nest Hub Max,"""10-inch HD touchscreen. Google Assistant. Video calling. Smart home control.""",229.99,USD,Electronics,Google,4.5,78920,/images/nest-hub-max.jpg,/dp/B0CBPP3Y5J,1,1
B09SVGMM61,Bose QuietComfort Ultra Headphones,"""World-class noise cancellation. Immersive Audio. Up to 24-hour battery life.""",379.00,USD,Electronics,Bose,4.7,45670,/images/bose-qc-ultra.jpg,/dp/B09SVGMM61,1,1
B0CCZ1L489,DJI Mini 4 Pro Drone,"""4K/60fps HDR video. 48MP photos. Omnidirectional obstacle sensing. 34-min flight time.""",759.00,USD,Electronics,DJI,4.7,12340,/images/dji-mini-4.jpg,/dp/B0CCZ1L489,1,1
B0BLS5NRG3,NVIDIA GeForce RTX 4090 Founders Edition,"""24GB GDDR6X. Ada Lovelace architecture. DLSS 3. Ray tracing cores.""",1599.99,USD,Electronics,NVIDIA,4.8,8920,/images/rtx-4090.jpg,/dp/B0BLS5NRG3,0,1
B0BSHXL1Q3,PlayStation 5 Console,"""Ultra-high speed SSD. Ray tracing. 4K-TV gaming. Up to 120fps.""",499.99,USD,Electronics,Sony,4.8,156780,/images/ps5.jpg,/dp/B0BSHXL1Q3,0,1
B0BCNKKZ91,Xbox Series X Console,"""12 teraflops of power. 4K gaming. Quick Resume. 1TB SSD.""",499.99,USD,Electronics,Microsoft,4.7,134560,/images/xbox-series-x.jpg,/dp/B0BCNKKZ91,1,1
B0BT4VL2JB,Nintendo Switch OLED Model,"""7-inch OLED screen. 64GB internal storage. Enhanced audio. Wide adjustable stand.""",349.99,USD,Electronics,Nintendo,4.8,189340,/images/switch-oled.jpg,/dp/B0BT4VL2JB,1,1
B0BFWF6P8X,Canon EOS R6 Mark II,"""24.2 MP Full-frame CMOS. 4K 60p video. Up to 40 fps. In-body stabilization.""",2499.00,USD,Electronics,Canon,4.8,8920,/images/canon-r6-ii.jpg,/dp/B0BFWF6P8X,1,1
B09JQMJHXY,Sony A7 IV Mirrorless Camera,"""33MP full-frame sensor. 4K 60p video. Real-time Eye AF. 5-axis stabilization.""",2498.00,USD,Electronics,Sony,4.8,12340,/images/sony-a7-iv.jpg,/dp/B09JQMJHXY,1,1
B0C5KNP9QX,Nikon Z8 Mirrorless Camera,"""45.7MP stacked CMOS sensor. 8K video. 120fps continuous shooting.""",3996.95,USD,Electronics,Nikon,4.8,5670,/images/nikon-z8.jpg,/dp/B0C5KNP9QX,1,1
B0BC63QJ9M,GoPro HERO12 Black,"""5.3K60 video. 27MP photos. HyperSmooth 6.0. Waterproof to 33ft.""",349.99,USD,Electronics,GoPro,4.6,45670,/images/gopro-hero12.jpg,/dp/B0BC63QJ9M,1,1
B0BHTN8HX5,Dell XPS 15 Laptop,"""15.6-inch OLED display. Intel Core i7. 16GB RAM. 512GB SSD.""",1599.99,USD,Electronics,Dell,4.6,23450,/images/dell-xps-15.jpg,/dp/B0BHTN8HX5,1,1
B0C5J6XZ8Y,HP Spectre x360 16,"""16-inch OLED touchscreen. Intel Core i7. 16GB RAM. 1TB SSD. 2-in-1 design.""",1649.99,USD,Electronics,HP,4.7,18920,/images/hp-spectre-x360.jpg,/dp/B0C5J6XZ8Y,1,1
B0BLNHZ89X,Lenovo ThinkPad X1 Carbon Gen 11,"""14-inch 2.8K OLED. Intel Core i7. 32GB RAM. 1TB SSD.""",2249.00,USD,Electronics,Lenovo,4.7,12340,/images/thinkpad-x1.jpg,/dp/B0BLNHZ89X,1,1
B0C7MGPJWY,ASUS ROG Zephyrus G16 Gaming Laptop,"""16-inch QHD+ 240Hz. Intel Core i9. RTX 4090. 32GB RAM.""",2999.99,USD,Electronics,ASUS,4.7,8920,/images/rog-zephyrus.jpg,/dp/B0C7MGPJWY,1,1
B0BV9XFG3X,Razer Blade 16 Gaming Laptop,"""16-inch UHD+ 120Hz. Intel Core i9. RTX 4080. 32GB RAM.""",3499.99,USD,Electronics,Razer,4.6,5670,/images/razer-blade-16.jpg,/dp/B0BV9XFG3X,1,1
B09W4BGHZ3,Dyson V15 Detect Cordless Vacuum,"""Laser detects hidden dust. LCD shows particle sizes. Up to 60 min runtime.""",749.99,USD,Home & Kitchen,Dyson,4.7,67890,/images/dyson-v15.jpg,/dp/B09W4BGHZ3,1,1
B0BNX4PPXP,Dyson Airwrap Multi-Styler Complete,"""Coanda air styling. Attachments for different hair types. No extreme heat.""",599.99,USD,Beauty,Dyson,4.5,89120,/images/dyson-airwrap.jpg,/dp/B0BNX4PPXP,1,1
B08CF3B7N1,Vitamix E310 Explorian Blender,"""Variable speed control. Pulse feature. Self-cleaning. 48-oz container.""",349.95,USD,Home & Kitchen,Vitamix,4.8,45670,/images/vitamix-e310.jpg,/dp/B08CF3B7N1,1,1
B08GKNB5LZ,KitchenAid Artisan Stand Mixer,"""5-quart stainless steel bowl. 10 speeds. Tilt-head design. 59 colors.""",379.99,USD,Home & Kitchen,KitchenAid,4.8,234560,/images/kitchenaid-mixer.jpg,/dp/B08GKNB5LZ,1,1
B09ZRYP7LW,Breville Barista Express Espresso Machine,"""Built-in conical burr grinder. PID temperature control. Steam wand.""",699.95,USD,Home & Kitchen,Breville,4.6,34560,/images/breville-barista.jpg,/dp/B09ZRYP7LW,1,1
B0B2WQWSXF,Nespresso Vertuo Next Coffee Machine,"""Centrifusion technology. 5 cup sizes. Automatic blend recognition.""",179.00,USD,Home & Kitchen,Nespresso,4.5,78920,/images/nespresso-vertuo.jpg,/dp/B0B2WQWSXF,1,1
B088KSPWSY,De'Longhi La Specialista Arte Espresso,"""Sensor grinding technology. Active temperature control. Smart tamping.""",699.99,USD,Home & Kitchen,De'Longhi,4.5,23450,/images/delonghi-specialista.jpg,/dp/B088KSPWSY,1,1
B07VQSNT6J,Cuisinart 14-Cup Food Processor,"""720-watt motor. BPA-free work bowl. Multiple blade attachments.""",199.95,USD,Home & Kitchen,Cuisinart,4.7,89340,/images/cuisinart-fp.jpg,/dp/B07VQSNT6J,1,1
B07QR73TML,Ninja Foodi 8-Qt Pressure Cooker,"""TenderCrisp technology. 8-quart capacity. Air fryer lid included.""",199.99,USD,Home & Kitchen,Ninja,4.7,156780,/images/ninja-foodi.jpg,/dp/B07QR73TML,1,1
B00004OCNS,Le Creuset Signature Round Dutch Oven,"""5.5 quart enameled cast iron. Heat resistant to 500°F. 101 colors.""",399.95,USD,Home & Kitchen,Le Creuset,4.8,67890,/images/lecreuset-dutch.jpg,/dp/B00004OCNS,1,1
B08DG85RD1,Staub Cast Iron Cocotte 5.5 Qt,"""Black matte enamel interior. Self-basting lid spikes. Nickel knob.""",299.95,USD,Home & Kitchen,Staub,4.8,23450,/images/staub-cocotte.jpg,/dp/B08DG85RD1,1,1
B0B7VFBR6M,OXO Good Grips 10-Piece Pop Container Set,"""Airtight seal. Space efficient. Stackable. BPA-free.""",99.99,USD,Home & Kitchen,OXO,4.8,89120,/images/oxo-containers.jpg,/dp/B0B7VFBR6M,1,1
B00H2D02WE,Pyrex Simply Store 18-Piece Glass Storage,"""Made in USA. Microwave and dishwasher safe. BPA-free lids.""",39.99,USD,Home & Kitchen,Pyrex,4.7,234560,/images/pyrex-storage.jpg,/dp/B00H2D02WE,1,1
B07W6JKN6J,Hydro Flask Wide Mouth Water Bottle 32oz,"""TempShield insulation. BPA-free. Keeps drinks cold 24hrs or hot 12hrs.""",44.95,USD,Sports & Outdoors,Hydro Flask,4.8,156780,/images/hydroflask-32.jpg,/dp/B07W6JKN6J,1,1
B07QK955LS,YETI Rambler 26 oz Bottle,"""18/8 stainless steel. Double-wall vacuum insulation. Dishwasher safe.""",40.00,USD,Sports & Outdoors,YETI,4.8,89340,/images/yeti-rambler.jpg,/dp/B07QK955LS,1,1
B0756CYWWD,Stanley Classic Legendary Bottle 1.5 Qt,"""Vacuum insulation. Lifetime warranty. BPA-free. Keeps hot 32 hours.""",40.00,USD,Sports & Outdoors,Stanley,4.7,123450,/images/stanley-classic.jpg,/dp/B0756CYWWD,1,1
B0BCVXHWJ7,Owala FreeSip Water Bottle 32 oz,"""Built-in straw and wide mouth. Double-wall insulation. Push-button lid.""",27.99,USD,Sports & Outdoors,Owala,4.8,89120,/images/owala-freesip.jpg,/dp/B0BCVXHWJ7,1,1
B07HFGWM8G,Contigo AUTOSEAL Chill Stainless Steel Water Bottle,"""AUTOSEAL technology. Double-wall insulation. 24-hour cold.""",19.99,USD,Sports & Outdoors,Contigo,4.7,145670,/images/contigo-chill.jpg,/dp/B07HFGWM8G,1,1
B0B6Q46FVG,Theragun Prime Massage Gun,"""QuietForce Technology. 5 speeds. 120-minute battery. Bluetooth app.""",299.00,USD,Sports & Outdoors,Therabody,4.6,34560,/images/theragun-prime.jpg,/dp/B0B6Q46FVG,1,1
B0CFL9N6L1,Hyperice Hypervolt 2 Pro,"""5 speed settings. Brushless motor. 3-hour battery. TSA approved.""",349.00,USD,Sports & Outdoors,Hyperice,4.6,23450,/images/hypervolt-2-pro.jpg,/dp/B0CFL9N6L1,1,1
B07ZL3N9F2,Fitbit Charge 6,"""Advanced health metrics. Built-in GPS. 7-day battery. Google apps.""",159.95,USD,Electronics,Fitbit,4.4,78920,/images/fitbit-charge-6.jpg,/dp/B07ZL3N9F2,1,1
B0CCJ3Z2DQ,Garmin Forerunner 265 Running Watch,"""AMOLED display. Training readiness. Sleep coach. GPS + GLONASS.""",449.99,USD,Electronics,Garmin,4.7,34560,/images/garmin-fr265.jpg,/dp/B0CCJ3Z2DQ,1,1
B09ZTSXM67,Whoop 4.0 Health Fitness Tracker,"""Strain coach. Sleep coach. Recovery metrics. 5-day battery.""",239.00,USD,Electronics,Whoop,4.3,45670,/images/whoop-4.jpg,/dp/B09ZTSXM67,1,1
B0B3PSRHHN,Oura Ring Gen 3,"""Sleep tracking. Activity tracking. Heart rate. Temperature sensing.""",299.00,USD,Electronics,Oura,4.4,56780,/images/oura-ring-3.jpg,/dp/B0B3PSRHHN,1,1
B0C7Q6L9Y6,Brooks Ghost 15 Running Shoes,"""DNA LOFT cushioning. Segmented crash pad. Engineered mesh upper.""",140.00,USD,Shoes,Brooks,4.7,89340,/images/brooks-ghost-15.jpg,/dp/B0C7Q6L9Y6,1,1
B0BJLW8RGW,Nike Air Zoom Pegasus 40,"""React foam midsole. Zoom Air unit. Breathable mesh. Rubber outsole.""",130.00,USD,Shoes,Nike,4.6,123450,/images/nike-pegasus-40.jpg,/dp/B0BJLW8RGW,1,1
B0C2Y3L7X4,Adidas Ultraboost 23,"""BOOST midsole technology. Primeknit upper. Continental rubber outsole.""",190.00,USD,Shoes,Adidas,4.7,67890,/images/adidas-ultraboost-23.jpg,/dp/B0C2Y3L7X4,1,1
B09NKGJ2S4,ASICS Gel-Kayano 30,"""GEL technology. LITETRUSS support. FlyteFoam propel.""",159.95,USD,Shoes,ASICS,4.7,45670,/images/asics-kayano-30.jpg,/dp/B09NKGJ2S4,1,1
B0BS9DQ9KC,HOKA Clifton 9,"""Responsive new foam. Light and bouncy ride. Breathable mesh upper.""",145.00,USD,Shoes,HOKA,4.7,34560,/images/hoka-clifton-9.jpg,/dp/B0BS9DQ9KC,1,1
B0B5FDMQQ4,Saucony Ride 16,"""PWRRUN foam. FORMFIT technology. Mesh upper. Rubber outsole.""",140.00,USD,Shoes,Saucony,4.6,56780,/images/saucony-ride-16.jpg,/dp/B0B5FDMQQ4,1,1
B09876HGFJ,On Cloud 5,"""CloudTec sole. Zero-gravity foam. Speedboard. Recycled materials.""",149.99,USD,Shoes,On Running,4.6,78920,/images/on-cloud-5.jpg,/dp/B09876HGFJ,1,1
B0CJLM3Y2X,Nike Air Force 1 '07,"""Full-grain leather upper. Air-Sole unit. Rubber cupsole.""",115.00,USD,Shoes,Nike,4.7,234560,/images/nike-af1.jpg,/dp/B0CJLM3Y2X,1,1
B0B9QZ8VGT,Adidas Stan Smith,"""Recycled upper. Rubber cupsole. Iconic perforated 3-Stripes.""",95.00,USD,Shoes,Adidas,4.7,189340,/images/adidas-stan-smith.jpg,/dp/B0B9QZ8VGT,1,1
B07MFZY2F2,Converse Chuck Taylor All Star,"""Canvas upper. OrthoLite insole. Rubber toe cap. Classic design.""",60.00,USD,Shoes,Converse,4.7,345670,/images/converse-chuck.jpg,/dp/B07MFZY2F2,1,1
B0C7FGHY8L,Vans Old Skool,"""Iconic side stripe. Padded collars. Signature rubber waffle outsoles.""",65.00,USD,Shoes,Vans,4.7,267890,/images/vans-oldskool.jpg,/dp/B0C7FGHY8L,1,1
B09HGHJ7S3,Dr. Martens 1460 Boot,"""Smooth leather. Air-cushion sole. Goodyear welt construction.""",180.00,USD,Shoes,Dr. Martens,4.6,134560,/images/drmartens-1460.jpg,/dp/B09HGHJ7S3,1,1
B0BCHFGJ7L,Timberland 6-Inch Premium Boot,"""400 grams insulation. Waterproof. Padded collar. Rubber lug outsole.""",198.00,USD,Shoes,Timberland,4.6,89340,/images/timberland-6inch.jpg,/dp/B0BCHFGJ7L,1,1
B0B8CFJG7S,Birkenstock Arizona Sandals,"""Contoured cork footbed. EVA sole. Adjustable buckle straps.""",110.00,USD,Shoes,Birkenstock,4.7,156780,/images/birkenstock-arizona.jpg,/dp/B0B8CFJG7S,1,1
B0CDFJG3S8,Crocs Classic Clog,"""Lightweight Croslite foam. Ventilation ports. Pivoting heel straps.""",49.99,USD,Shoes,Crocs,4.7,456780,/images/crocs-classic.jpg,/dp/B0CDFJG3S8,1,1
B09WGTV3S7,Allbirds Tree Runners,"""Eucalyptus tree fiber upper. SweetFoam midsole. Carbon-neutral.""",98.00,USD,Shoes,Allbirds,4.5,45670,/images/allbirds-tree.jpg,/dp/B09WGTV3S7,1,1
B0B7GHJK5L,Clarks Wallabee,"""Moccasin construction. Crepe sole. Suede upper. Originals icon.""",160.00,USD,Shoes,Clarks,4.6,34560,/images/clarks-wallabee.jpg,/dp/B0B7GHJK5L,1,1
B0BCFGJ8S2,Cole Haan GrandPro Topspin,"""GRANDFOAM cushioning. Leather upper. Lightweight construction.""",150.00,USD,Shoes,Cole Haan,4.6,23450,/images/colehaan-grandpro.jpg,/dp/B0BCFGJ8S2,1,1
B0C8GHJL9K,Ugg Classic Mini II,"""Twinface sheepskin. Lightweight sole. Treadlite by UGG outsole.""",150.00,USD,Shoes,UGG,4.6,78920,/images/ugg-classic-mini.jpg,/dp/B0C8GHJL9K,1,1
B09DFJGH2L,Patagonia Better Sweater Jacket,"""100% recycled polyester. Fair Trade Certified sewn.""",149.00,USD,Clothing,Patagonia,4.8,89340,/images/patagonia-sweater.jpg,/dp/B09DFJGH2L,1,1
B0BCGHJK8S,The North Face Thermoball Eco Jacket,"""ThermoBall Eco insulation. DWR finish. Recycled materials.""",199.00,USD,Clothing,The North Face,4.7,67890,/images/northface-thermoball.jpg,/dp/B0BCGHJK8S,1,1
B0C9GHJL7K,Arc'teryx Atom LT Hoody,"""Coreloft insulation. DWR finish. Permeable for active use.""",289.00,USD,Clothing,Arc'teryx,4.8,34560,/images/arcteryx-atom.jpg,/dp/B0C9GHJL7K,1,1
B0BDGHJK6L,Canada Goose Expedition Parka,"""Arctic Tech fabric. Duck down. Coyote fur ruff. -30°C rating.""",1395.00,USD,Clothing,Canada Goose,4.7,12340,/images/canada-goose-exp.jpg,/dp/B0BDGHJK6L,1,1
B0B6GHJL5K,Columbia Men's Watertight II Jacket,"""Omni-Tech waterproof. Mesh lining. Packable design.""",59.99,USD,Clothing,Columbia,4.5,145670,/images/columbia-watertight.jpg,/dp/B0B6GHJL5K,1,1
B0C7GHJM4L,Lululemon ABC Jogger,"""ABC technology. Warpstreme fabric. Four-way stretch.""",128.00,USD,Clothing,Lululemon,4.7,56780,/images/lululemon-abc.jpg,/dp/B0C7GHJM4L,1,1
B0B8GHJN3K,Vuori Kore Short,"""Moisture-wicking. Four-way stretch. Recycled polyester.""",64.00,USD,Clothing,Vuori,4.7,45670,/images/vuori-kore.jpg,/dp/B0B8GHJN3K,1,1
B0BCGHJP2L,Rhone Commuter Pant,"""GoldFusion anti-odor. Stretch fabric. Wrinkle-resistant.""",128.00,USD,Clothing,Rhone,4.6,34560,/images/rhone-commuter.jpg,/dp/B0BCGHJP2L,1,1
B0B7GHJQ1K,Outdoor Voices Exercise Dress,"""RecPoly fabric. Built-in shorts. UPF 50+ protection.""",100.00,USD,Clothing,Outdoor Voices,4.5,23450,/images/ov-exercise-dress.jpg,/dp/B0B7GHJQ1K,1,1
B0BDGHJR9S,Girlfriend Collective High-Rise Legging,"""Recycled plastic bottles. Compressive fit. High waist.""",68.00,USD,Clothing,Girlfriend Collective,4.6,67890,/images/girlfriend-legging.jpg,/dp/B0BDGHJR9S,1,1
B0C6GHJS8K,Alo Yoga Airlift High-Waist Suit Up Legging,"""Airlift fabric. Four-way stretch. Moisture-wicking.""",118.00,USD,Clothing,Alo Yoga,4.6,45670,/images/alo-airlift.jpg,/dp/B0C6GHJS8K,1,1
B0B5GHJT7L,Athleta Ultimate Train Tank,"""Unstinkable technology. Recycled materials. Quick-dry.""",59.00,USD,Clothing,Athleta,4.6,34560,/images/athleta-tank.jpg,/dp/B0B5GHJT7L,1,1
B0BCGHJU6K,Madewell Transport Tote,"""Vegetable-tanned leather. Magnetic closure. Interior pockets.""",178.00,USD,Clothing,Madewell,4.7,56780,/images/madewell-transport.jpg,/dp/B0BCGHJU6K,1,1
B0C8GHJV5L,Fjällräven Kånken Backpack,"""Vinylon F fabric. Dual top handles. Padded shoulder straps.""",80.00,USD,Clothing,Fjällräven,4.7,89340,/images/fjallraven-kanken.jpg,/dp/B0C8GHJV5L,1,1
B0B6GHJW4K,Osprey Farpoint 40 Travel Pack,"""Stowaway hip belt. LightWire suspension. Lockable zippers.""",185.00,USD,Clothing,Osprey,4.8,45670,/images/osprey-farpoint.jpg,/dp/B0B6GHJW4K,1,1
B0C7GHJY2K,Away Bigger Carry-On,"""Polycarbonate shell. Ejectable battery. Interior compression.""",295.00,USD,Clothing,Away,4.6,34560,/images/away-carryon.jpg,/dp/B0C7GHJY2K,1,1
B0B8GHJZ1L,Tumi Alpha 3 Expandable Carry-On,"""Ballistic nylon. USB power port. Anti-theft zippers.""",795.00,USD,Clothing,TUMI,4.7,23450,/images/tumi-alpha3.jpg,/dp/B0B8GHJZ1L,1,1
B0BCGHKA9K,Ray-Ban Wayfarer Sunglasses,"""Acetate frame. Polarized lenses. UV protection. Iconic design.""",163.00,USD,Clothing,Ray-Ban,4.6,189340,/images/rayban-wayfarer.jpg,/dp/B0BCGHKA9K,1,1
B0C6GHKB8L,Oakley Holbrook Sunglasses,"""O Matter frame. Prizm lenses. 3-point fit. Unobtainium earsocks.""",187.00,USD,Clothing,Oakley,4.7,78920,/images/oakley-holbrook.jpg,/dp/B0C6GHKB8L,1,1
B0B5GHKC7K,Persol PO0714 Folding Sunglasses,"""Meflecto temples. Glass lenses. Handcrafted in Italy.""",389.00,USD,Clothing,Persol,4.6,12340,/images/persol-0714.jpg,/dp/B0B5GHKC7K,1,1
B0BCGHKD6L,Maui Jim Kawika Sunglasses,"""PolarizedPlus2 lenses. SuperThin glass. MauiPure lenses.""",279.00,USD,Clothing,Maui Jim,4.7,45670,/images/maui-kawika.jpg,/dp/B0BCGHKD6L,1,1
B0C8GHKE5K,Warby Parker Durand Glasses,"""Hand-polished cellulose acetate. Anti-reflective coating. Spring hinges.""",95.00,USD,Clothing,Warby Parker,4.5,67890,/images/warby-durand.jpg,/dp/B0C8GHKE5K,1,1
B0B6GHKF4L,The Ordinary Niacinamide 10% + Zinc 1%,"""High-strength vitamin. Zinc balance for blemish-prone skin.""",5.90,USD,Beauty,The Ordinary,4.4,345670,/images/ordinary-niacinamide.jpg,/dp/B0B6GHKF4L,1,1
B0BDGHKG3K,CeraVe Hydrating Facial Cleanser,"""For normal to dry skin. With ceramides and hyaluronic acid.""",15.99,USD,Beauty,CeraVe,4.7,289340,/images/cerave-cleanser.jpg,/dp/B0BDGHKG3K,1,1
B0C7GHKH2L,La Roche-Posay Effaclar Duo,"""Acne spot treatment. Benzoyl peroxide 5.5%. Non-drying.""",29.99,USD,Beauty,La Roche-Posay,4.5,134560,/images/lrp-effaclar.jpg,/dp/B0C7GHKH2L,1,1
