id,year,make,model,trim,price,mileage,exterior_color,interior_color,fuel_type,transmission,drivetrain,engine,dealer_name,dealer_city,dealer_state,dealer_zip,deal_rating,one_owner,no_accidents,personal_use,source,url
CAR022,2023,BMW,3 Series,M340i,58500,6200,Portimao Blue,Black Vernasca,Gasoline,Automatic,AWD,3.0L Turbo I6,Pacific BMW,Glendale,CA,91204,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123022
CAR023,2022,BMW,5 Series,530i,52900,22400,Carbon Black,Cognac Leather,Gasoline,Automatic,RWD,2.0L Turbo,BMW of Santa Monica,Santa Monica,CA,90401,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123023
CAR024,2023,BMW,X3,xDrive30i,49900,11500,Phytonic Blue,Black SensaTec,Gasoline,Automatic,AWD,2.0L Turbo,Crevier BMW,Santa Ana,CA,92705,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123024
CAR025,2023,BMW,X5,xDrive40i,68500,7800,Mineral White,Coffee Vernasca,Gasoline,Automatic,AWD,3.0L Turbo I6,BMW of Riverside,Riverside,CA,92504,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123025
CAR026,2023,Mercedes-Benz,C-Class,C 300,49500,9200,Polar White,Black MB-Tex,Gasoline,Automatic,RWD,2.0L Turbo,Mercedes-Benz of Beverly Hills,Beverly Hills,CA,90210,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123026
CAR027,2023,Mercedes-Benz,C-Class,AMG C 43,62900,5800,Obsidian Black,Red/Black Leather,Gasoline,Automatic,AWD,2.0L Turbo,Fletcher Jones Motorcars,Newport Beach,CA,92660,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123027
CAR028,2022,Mercedes-Benz,E-Class,E 350,56500,18900,Selenite Grey,Macchiato Beige,Gasoline,Automatic,RWD,2.0L Turbo,Mercedes-Benz of Encino,Encino,CA,91436,Fair Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123028
CAR029,2023,Mercedes-Benz,GLC,GLC 300,52900,8500,Cirrus Silver,Black MB-Tex,Gasoline,Automatic,AWD,2.0L Turbo,Rusnak Mercedes-Benz,Pasadena,CA,91107,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123029
CAR030,2023,Mercedes-Benz,GLE,GLE 350,68900,6200,Diamond White,Macchiato Beige,Gasoline,Automatic,AWD,2.0L Turbo,Mercedes-Benz of West Covina,West Covina,CA,91791,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123030
CAR031,2023,Audi,A4,Premium Plus,46500,10200,Glacier White,Black Leather,Gasoline,Automatic,AWD,2.0L Turbo,Audi Beverly Hills,Beverly Hills,CA,90210,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123031
CAR032,2023,Audi,A4,S Line Premium,49900,7800,Mythos Black,Rock Gray Leather,Gasoline,Automatic,AWD,2.0L Turbo,Walter's Audi,Riverside,CA,92504,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123032
CAR033,2022,Audi,Q5,Premium Plus,48500,19500,Navarra Blue,Black Leather,Gasoline,Automatic,AWD,2.0L Turbo,Rusnak Audi,Pasadena,CA,91107,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123033
CAR034,2023,Audi,Q7,Premium Plus,62900,8900,Samurai Gray,Black Leather,Gasoline,Automatic,AWD,2.0L Turbo,McKenna Audi,Norwalk,CA,90650,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123034
CAR035,2023,Lexus,ES,ES 350,46500,11200,Eminent White,Black NuLuxe,Gasoline,Automatic,FWD,3.5L V6,Lexus of Beverly Hills,Beverly Hills,CA,90210,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123035
CAR036,2023,Lexus,ES,ES 350 F Sport,52900,6800,Ultrasonic Blue,Red F Sport,Gasoline,Automatic,FWD,3.5L V6,Longo Lexus,El Monte,CA,91731,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123036
CAR037,2022,Lexus,RX,RX 350,48900,24500,Atomic Silver,Black Leather,Gasoline,Automatic,AWD,3.5L V6,South Bay Lexus,Torrance,CA,90505,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123037
CAR038,2023,Lexus,RX,RX 500h F Sport,65900,5200,Grecian Water,White Leather,Hybrid,Automatic,AWD,2.4L Turbo Hybrid,Lexus of Glendale,Glendale,CA,91204,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123038
CAR039,2023,Tesla,Model 3,Long Range,42900,12500,Pearl White,Black Premium,Electric,Automatic,AWD,Dual Motor,Tesla Burbank,Burbank,CA,91502,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123039
CAR040,2023,Tesla,Model 3,Performance,49500,8200,Midnight Silver,White Premium,Electric,Automatic,AWD,Dual Motor,Tesla Santa Monica,Santa Monica,CA,90401,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123040
CAR041,2023,Tesla,Model Y,Long Range,48900,9800,Ultra Red,Black Premium,Electric,Automatic,AWD,Dual Motor,Tesla Costa Mesa,Costa Mesa,CA,92626,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123041
CAR042,2023,Tesla,Model Y,Performance,54500,5500,Quicksilver,White Premium,Electric,Automatic,AWD,Dual Motor,Tesla West LA,Los Angeles,CA,90025,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123042
CAR043,2022,Tesla,Model S,Long Range,78900,18500,Deep Blue,Cream Premium,Electric,Automatic,AWD,Dual Motor,Tesla Pasadena,Pasadena,CA,91107,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123043
CAR044,2023,Hyundai,Tucson,SEL,32500,14200,Amazon Gray,Black Cloth,Gasoline,Automatic,AWD,2.5L 4-Cylinder,Puente Hills Hyundai,City of Industry,CA,91748,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123044
CAR045,2023,Hyundai,Tucson,Limited,38900,8500,Shimmering Silver,Black Leather,Gasoline,Automatic,AWD,2.5L 4-Cylinder,Win Hyundai,Carson,CA,90745,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123045
CAR046,2023,Hyundai,Sonata,SEL Plus,29500,16800,Quartz White,Black Cloth,Gasoline,Automatic,FWD,2.5L 4-Cylinder,Keyes Hyundai,Van Nuys,CA,91401,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123046
CAR047,2023,Kia,Telluride,SX,49900,9200,Everlasting Silver,Black Nappa,Gasoline,Automatic,AWD,3.8L V6,Kia of Carson,Carson,CA,90745,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123047
CAR048,2023,Kia,Telluride,EX,44500,15600,Sangria Wine,Gray Leather,Gasoline,Automatic,AWD,3.8L V6,Galpin Kia,North Hills,CA,91343,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123048
CAR049,2023,Kia,K5,GT-Line,31200,11500,Wolf Gray,Black Cloth,Gasoline,Automatic,FWD,1.6L Turbo,Kia of Irvine,Irvine,CA,92618,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123049
CAR050,2023,Mazda,CX-5,Carbon Edition,35900,8900,Polymetal Gray,Black Leather,Gasoline,Automatic,AWD,2.5L Turbo,Galpin Mazda,Van Nuys,CA,91401,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123050
CAR051,2023,Mazda,CX-5,Turbo Signature,39500,6200,Machine Gray,Caturra Brown,Gasoline,Automatic,AWD,2.5L Turbo,Tustin Mazda,Tustin,CA,92782,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123051
CAR052,2023,Mazda,Mazda3,Premium Plus,28900,12400,Soul Red Crystal,Black Leather,Gasoline,Automatic,FWD,2.5L 4-Cylinder,Puente Hills Mazda,City of Industry,CA,91748,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123052
CAR053,2023,Subaru,Outback,Limited,38500,10500,Crystal White,Java Brown,Gasoline,Automatic,AWD,2.5L 4-Cylinder,Subaru of Glendale,Glendale,CA,91204,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123053
CAR054,2023,Subaru,Outback,Wilderness,42900,7800,Geyser Blue,Gray StarTex,Gasoline,Automatic,AWD,2.4L Turbo,Timmons Subaru,Long Beach,CA,90807,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123054
CAR055,2023,Subaru,Forester,Touring,38200,11200,Jasper Green,Saddle Brown,Gasoline,Automatic,AWD,2.5L 4-Cylinder,Puente Hills Subaru,City of Industry,CA,91748,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123055
CAR056,2022,Jeep,Wrangler,Rubicon,52900,18500,Firecracker Red,Black Cloth,Gasoline,Automatic,4WD,3.6L V6,Glendale Dodge,Glendale,CA,91204,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123056
CAR057,2023,Jeep,Wrangler,Sahara,48500,9800,Sarge Green,Black Leather,Gasoline,Automatic,4WD,2.0L Turbo,Russell Westbrook CDJR,Van Nuys,CA,91401,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123057
CAR058,2023,Jeep,Grand Cherokee,Limited,55900,8200,Diamond Black,Global Black,Gasoline,Automatic,4WD,3.6L V6,Scott Robinson CDJR,Torrance,CA,90505,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123058
CAR059,2022,RAM,1500,Laramie,54500,22400,Patriot Blue,Black Leather,Gasoline,Automatic,4WD,5.7L HEMI,Browning CDJR,Norco,CA,92860,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123059
CAR060,2023,RAM,1500,Limited,68900,6500,Diamond Black,Indigo/Sea Salt,Gasoline,Automatic,4WD,5.7L HEMI,Huntington Beach CDJR,Huntington Beach,CA,92648,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123060
CAR061,2021,Toyota,Camry,SE,24500,45200,Predawn Gray,Black Fabric,Gasoline,Automatic,FWD,2.5L 4-Cylinder,CarMax Los Angeles,Los Angeles,CA,90016,Fair Deal,false,true,true,Cars.com,https://www.cars.com/listing/123061
CAR062,2020,Honda,Civic,Sport,22900,52300,Sonic Gray,Black Cloth,Gasoline,Automatic,FWD,2.0L 4-Cylinder,Carvana,Online,CA,90001,Fair Deal,false,true,true,Autotrader,https://www.autotrader.com/listing/123062
CAR063,2021,Ford,Explorer,XLT,38900,38500,Rapid Red,Ebony Cloth,Gasoline,Automatic,4WD,2.3L Turbo,AutoNation Ford,Torrance,CA,90503,Good Deal,false,false,true,KBB,https://www.kbb.com/listing/123063
CAR064,2020,Chevrolet,Equinox,LT,24500,48200,Summit White,Jet Black,Gasoline,Automatic,AWD,1.5L Turbo,Hertz Car Sales,Gardena,CA,90248,Fair Deal,false,true,false,Cars.com,https://www.cars.com/listing/123064
CAR065,2019,BMW,X3,xDrive30i,32900,58500,Jet Black,Black SensaTec,Gasoline,Automatic,AWD,2.0L Turbo,Enterprise Car Sales,Los Angeles,CA,90045,Fair Deal,false,true,true,Autotrader,https://www.autotrader.com/listing/123065
CAR066,2020,Mercedes-Benz,GLC,GLC 300,38500,42100,Lunar Blue,Silk Beige,Gasoline,Automatic,AWD,2.0L Turbo,CarMax Irvine,Irvine,CA,92618,Good Deal,false,true,true,KBB,https://www.kbb.com/listing/123066
CAR067,2021,Audi,Q5,Premium,42500,35600,Florett Silver,Black Leather,Gasoline,Automatic,AWD,2.0L Turbo,Shift,Online,CA,90001,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123067
CAR068,2019,Lexus,RX,RX 350,38900,52400,Nebula Gray,Black Leather,Gasoline,Automatic,AWD,3.5L V6,Vroom,Online,CA,90001,Fair Deal,false,true,true,Autotrader,https://www.autotrader.com/listing/123068
CAR069,2022,Toyota,Highlander,XLE,42500,24800,Celestial Silver,Black Leather,Gasoline,Automatic,AWD,3.5L V6,Toyota of Orange,Orange,CA,92867,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123069
CAR070,2023,Honda,Pilot,Touring,52900,8500,Sonic Gray,Black Leather,Gasoline,Automatic,AWD,3.5L V6,Honda of Pasadena,Pasadena,CA,91107,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123070
CAR071,2021,Nissan,Altima,SR,25900,32400,Super Black,Charcoal Cloth,Gasoline,Automatic,FWD,2.5L 4-Cylinder,Nissan of Van Nuys,Van Nuys,CA,91401,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123071
CAR072,2023,Nissan,Rogue,SL,38500,9800,Champagne Silver,Charcoal Leather,Gasoline,Automatic,AWD,1.5L Turbo,Mossy Nissan,San Diego,CA,92111,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123072
CAR073,2022,Volkswagen,Tiguan,SEL R-Line,35900,18500,Pure White,Black Leatherette,Gasoline,Automatic,AWD,2.0L Turbo,VW of Downtown LA,Los Angeles,CA,90007,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123073
CAR074,2023,Volkswagen,Atlas,SEL Premium R-Line,52500,7200,Oryx White,Shetland Leather,Gasoline,Automatic,AWD,3.6L V6,Galpin VW,North Hills,CA,91343,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123074
CAR075,2023,Porsche,Cayenne,Base,82500,6500,Carrara White,Black Leather,Gasoline,Automatic,AWD,3.0L Turbo V6,Porsche South Bay,Hawthorne,CA,90250,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123075
CAR076,2022,Porsche,Macan,S,68900,15200,Gentian Blue,Black Leather,Gasoline,Automatic,AWD,2.9L Turbo V6,Rusnak Porsche,Pasadena,CA,91107,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123076
CAR077,2023,Genesis,G70,3.3T Sport,48500,8900,Uyuni White,Black Sport,Gasoline,Automatic,AWD,3.3L Twin Turbo V6,Genesis of Glendale,Glendale,CA,91204,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123077
CAR078,2023,Genesis,GV70,3.5T Sport Prestige,62500,5800,Cardiff Green,Ultramarine Blue,Gasoline,Automatic,AWD,3.5L Twin Turbo V6,Genesis of Cerritos,Cerritos,CA,90703,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123078
CAR079,2022,Volvo,XC60,B5 Momentum,45900,22400,Crystal White,Charcoal Leather,Gasoline,Automatic,AWD,2.0L Turbo,Volvo of San Diego,San Diego,CA,92111,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123079
CAR080,2023,Volvo,XC90,B6 Ultimate,72500,6200,Thunder Grey,Blonde Leather,Gasoline,Automatic,AWD,2.0L Turbo,Rusnak Volvo,Pasadena,CA,91107,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123080
CAR081,2020,Toyota,Corolla,SE,19900,42500,Classic Silver,Black Fabric,Gasoline,Automatic,FWD,2.0L 4-Cylinder,CarMax Burbank,Burbank,CA,91502,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123081
CAR082,2021,Honda,HR-V,EX,24500,35600,Crystal Black,Black Cloth,Gasoline,Automatic,AWD,1.8L 4-Cylinder,Carvana,Online,CA,90001,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123082
CAR083,2022,Ford,Bronco Sport,Big Bend,32900,18200,Area 51,Ebony Cloth,Gasoline,Automatic,4WD,1.5L Turbo,Galpin Ford,North Hills,CA,91343,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123083
CAR084,2023,Ford,Bronco,Outer Banks,52500,7500,Eruption Green,Navy Pier,Gasoline,Automatic,4WD,2.7L EcoBoost,Fritts Ford,Riverside,CA,92504,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123084
CAR085,2023,Chevrolet,Corvette,Stingray 3LT,78500,4200,Torch Red,Morello Red,Gasoline,Automatic,RWD,6.2L V8,Martin Chevrolet,Torrance,CA,90503,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123085
CAR086,2022,Chevrolet,Tahoe,Z71,62500,22400,Black,Jet Black,Gasoline,Automatic,4WD,5.3L V8,Rydell Chevrolet,Northridge,CA,91324,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123086
CAR087,2023,GMC,Sierra 1500,Denali,72500,5800,Summit White,Jet Black,Gasoline,Automatic,4WD,6.2L V8,Rydell GMC,Northridge,CA,91324,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123087
CAR088,2023,GMC,Yukon,AT4,82900,6500,Onyx Black,Jet Black,Gasoline,Automatic,4WD,6.2L V8,SoCal Buick GMC,Irvine,CA,92618,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123088
CAR089,2022,Dodge,Charger,Scat Pack,48900,15200,Pitch Black,Black Cloth,Gasoline,Automatic,RWD,6.4L HEMI V8,Russell Westbrook CDJR,Van Nuys,CA,91401,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123089
CAR090,2023,Dodge,Durango,R/T,58500,8900,Reactor Blue,Black Nappa,Gasoline,Automatic,AWD,5.7L HEMI V8,Scott Robinson CDJR,Torrance,CA,90505,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123090
CAR091,2021,Acura,TLX,A-Spec,38500,28500,Platinum White,Red Leather,Gasoline,Automatic,AWD,2.0L Turbo,Acura of Glendale,Glendale,CA,91204,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123091
CAR092,2023,Acura,MDX,Type S,68900,6200,Apex Blue,Red Leather,Gasoline,Automatic,AWD,3.0L Turbo V6,Acura of Beverly Hills,Beverly Hills,CA,90210,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123092
CAR093,2022,Infiniti,QX60,Luxe,48500,19800,Majestic White,Wheat Leather,Gasoline,Automatic,AWD,3.5L V6,Infiniti of Beverly Hills,Beverly Hills,CA,90210,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123093
CAR094,2023,Lincoln,Navigator,Reserve,92500,5200,Pristine White,Slate Gray,Gasoline,Automatic,4WD,3.5L Twin Turbo V6,Lincoln of Van Nuys,Van Nuys,CA,91401,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123094
CAR095,2023,Cadillac,Escalade,Premium Luxury,98500,4800,Shadow Metallic,Jet Black,Gasoline,Automatic,4WD,6.2L V8,Cadillac of Beverly Hills,Beverly Hills,CA,90210,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123095
CAR096,2022,Land Rover,Range Rover Sport,HSE,78900,18500,Santorini Black,Ebony Leather,Gasoline,Automatic,AWD,3.0L I6,Land Rover South Bay,Torrance,CA,90505,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123096
CAR097,2023,Rivian,R1T,Adventure,82500,8500,Rivian Blue,Ocean Coast,Electric,Automatic,AWD,Quad Motor,Rivian Venice,Venice,CA,90291,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123097
CAR098,2023,Rivian,R1S,Launch Edition,88900,5200,El Cap Granite,Forest Edge,Electric,Automatic,AWD,Quad Motor,Rivian South Coast,Costa Mesa,CA,92626,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123098
CAR099,2023,Lucid,Air,Touring,92500,6800,Stellar White,Tahoe Leather,Electric,Automatic,AWD,Dual Motor,Lucid Beverly Hills,Beverly Hills,CA,90210,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123099
CAR100,2023,Polestar,2,Long Range Dual Motor,52900,9200,Thunder,Charcoal WeaveTech,Electric,Automatic,AWD,Dual Motor,Polestar South Bay,Torrance,CA,90505,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123100
CAR101,2023,Toyota,Tacoma,TRD Off-Road,42900,8500,Magnetic Gray,Black Cloth,Gasoline,Automatic,4WD,3.5L V6,Toyota of Cerritos,Cerritos,CA,90703,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123101
CAR102,2023,Toyota,Tacoma,Limited,48500,5200,Army Green,Hickory Leather,Gasoline,Automatic,4WD,3.5L V6,Longo Toyota,El Monte,CA,91731,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123102
CAR103,2022,Toyota,4Runner,TRD Pro,58900,18500,Lime Rush,Black SofTex,Gasoline,Automatic,4WD,4.0L V6,Hamer Toyota,Mission Hills,CA,91345,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123103
CAR104,2023,Toyota,Tundra,TRD Pro,68500,6200,Solar Octane,Black Leather,Gasoline,Automatic,4WD,3.4L Twin Turbo V6,Toyota of Hollywood,Los Angeles,CA,90028,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123104
CAR105,2023,Toyota,Prius,XLE,32500,9800,Wind Chill Pearl,Black SofTex,Hybrid,Automatic,AWD,2.0L Hybrid,Carson Toyota,Carson,CA,90745,Good Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123105
CAR106,2023,Toyota,Sienna,XLE,48900,7500,Celestial Silver,Gray Leather,Hybrid,Automatic,AWD,2.5L Hybrid,Toyota of Orange,Orange,CA,92867,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123106
CAR107,2022,Toyota,Supra,3.0 Premium,52900,12400,Renaissance Red,Black Leather,Gasoline,Automatic,RWD,3.0L Turbo I6,Longo Toyota,El Monte,CA,91731,Good Deal,true,true,true,Cars.com,https://www.cars.com/listing/123107
CAR108,2023,Toyota,GR86,Premium,32500,6800,Track bRED,Black Ultrasuede,Gasoline,Manual,RWD,2.4L Boxer,Toyota of Glendale,Glendale,CA,91204,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123108
CAR109,2023,Toyota,Crown,Platinum,52900,4500,Heavy Metal,Black Softex,Hybrid,Automatic,AWD,2.5L Hybrid,Keyes Toyota,Van Nuys,CA,91401,Great Deal,true,true,true,KBB,https://www.kbb.com/listing/123109
CAR110,2023,Honda,Civic,Si,29500,8900,Rallye Red,Black Cloth,Gasoline,Manual,FWD,1.5L Turbo,Galpin Honda,Mission Hills,CA,91340,Great Deal,true,true,true,Cars.com,https://www.cars.com/listing/123110
CAR111,2023,Honda,Civic,Type R,44900,3200,Championship White,Black/Red Suede,Gasoline,Manual,FWD,2.0L Turbo,Honda of Downtown LA,Los Angeles,CA,90007,Great Deal,true,true,true,Autotrader,https://www.autotrader.com/listing/123111
CAR112,2023,Honda,HR-V,EX-L,32500,9800,Nordic Forest,Black Leather,Gasoline,Automatic,AWD,2.0L 4-Cylinder,Goudy Honda,Alhambra,CA,91801,Good Deal,true,true,true,KBB,https://www.kbb.com/listing/123112
