id,name,brand,category,age_min,age_max,price,description,features_json,educational,battery_required,in_stock,stock_quantity
TOY-045,Hatchimals Mystery Egg,Spin Master,Action Figures & Dolls,5,8,69.99,Interactive hatching creature egg,"{""hatching_time_min"": 20, ""interactions"": ""100+""}",0,1,1,8
TOY-046,FurReal Friends Tiger,Hasbro,Action Figures & Dolls,4,8,99.99,Interactive pet tiger with 100+ sounds,"{""sounds"": 100, ""movements"": ""interactive""}",0,1,1,6
TOY-047,American Girl Truly Me Doll,American Girl,Action Figures & Dolls,8,12,115.00,18-inch doll with book and accessories,"{""height_inches"": 18, ""includes"": [""outfit"", ""book""]}",0,0,1,7
TOY-048,Playmobil Pirate Ship,Playmobil,Action Figures & Dolls,4,10,79.99,Floating pirate ship with crew,"{""features"": [""floating"", ""working cannon""], ""figures"": 3}",0,0,1,11
TOY-049,LEGO Harry Potter Hogwarts Castle,LEGO,Building & Construction,10,16,469.99,Massive Hogwarts castle with Great Hall and towers,"{""pieces"": 6020, ""minifigures"": 27, ""features"": [""Great Hall"", ""Chamber of Secrets""]}",0,0,1,3
TOY-050,LEGO Creator Expert Taj Mahal,LEGO,Building & Construction,16,99,369.99,Detailed replica of the Taj Mahal,"{""pieces"": 5923, ""scale"": ""1:450""}",0,0,1,4
TOY-051,LEGO Ideas Ship in a Bottle,LEGO,Building & Construction,12,99,79.99,Display set with buildable ship and bottle,"{""pieces"": 962, ""display_stand"": true}",0,0,1,14
TOY-052,LEGO Architecture Eiffel Tower,LEGO,Building & Construction,16,99,629.99,Giant scale model of the Eiffel Tower,"{""pieces"": 10001, ""height_inches"": 59}",0,0,1,2
TOY-053,LEGO Super Mario Starter Course,LEGO,Building & Construction,6,12,59.99,Interactive Mario building set with LCD figure,"{""pieces"": 231, ""interactive"": true}",1,1,1,16
TOY-054,LEGO Minecraft The Village,LEGO,Building & Construction,8,14,89.99,Minecraft village with houses and characters,"{""pieces"": 1106, ""minifigures"": 4}",0,0,1,12
TOY-055,LEGO Ninjago Dragon,LEGO,Building & Construction,8,14,79.99,Poseable ninja dragon with ninja figures,"{""pieces"": 747, ""minifigures"": 5}",0,0,1,14
TOY-056,LEGO Disney Princess Castle,LEGO,Building & Construction,6,12,99.99,Disney castle with princess minifigures,"{""pieces"": 698, ""minifigures"": 5}",0,0,1,10
TOY-057,LEGO Jurassic World T-Rex,LEGO,Building & Construction,8,12,59.99,T-Rex breakout scene with vehicles,"{""pieces"": 577, ""dinosaurs"": 1, ""vehicles"": 2}",0,0,1,15
TOY-058,LEGO Speed Champions Ferrari,LEGO,Building & Construction,7,14,24.99,Ferrari race car with driver minifigure,"{""pieces"": 275, ""scale"": ""1:20""}",0,0,1,22
TOY-059,LEGO Classic Large Creative Box,LEGO,Building & Construction,4,99,59.99,Large box of assorted LEGO bricks,"{""pieces"": 790, ""colors"": 33}",1,0,1,18
TOY-060,LEGO DUPLO Town,LEGO,Building & Construction,2,5,49.99,DUPLO town set for toddlers,"{""pieces"": 129, ""figures"": 5}",1,0,1,20
TOY-061,LEGO BrickHeadz Mandalorian,LEGO,Building & Construction,10,99,19.99,Collectible brick-built figure,"{""pieces"": 295, ""display_base"": true}",0,0,1,25
TOY-062,LEGO Dots Bracelet Mega Pack,LEGO,Building & Construction,6,12,19.99,DIY bracelet making kit with tiles,"{""bracelets"": 5, ""tiles"": 300}",1,0,1,28
TOY-063,K'NEX Thrill Rides Coaster,K'NEX,Building & Construction,9,16,99.99,Motorized roller coaster building set,"{""pieces"": 475, ""height_inches"": 24, ""motorized"": true}",1,1,1,8
TOY-064,Lincoln Logs Classic Set,Lincoln Logs,Building & Construction,3,8,49.99,Classic wooden log building set,"{""pieces"": 137, ""projects"": 3}",1,0,1,15
TOY-065,Tinkertoy Super Building Set,Tinkertoy,Building & Construction,3,8,39.99,Classic construction set with rods and connectors,"{""pieces"": 200, ""projects"": 30}",1,0,1,18
TOY-066,Hot Wheels Track Builder Set,Hot Wheels,Vehicles & RC,6,12,39.99,Customizable track system with launcher,"{""track_feet"": 15, ""connectors"": 30}",0,0,1,20
TOY-067,Hot Wheels Monster Trucks Set,Hot Wheels,Vehicles & RC,3,8,29.99,Set of 4 die-cast monster trucks,"{""trucks"": 4, ""scale"": ""1:64""}",0,0,1,25
TOY-068,Matchbox Construction Site,Matchbox,Vehicles & RC,3,8,34.99,Construction playset with vehicles,"{""vehicles"": 5, ""accessories"": 10}",0,0,1,18
TOY-069,Tonka Steel Classics Dump Truck,Tonka,Vehicles & RC,3,8,39.99,Durable steel construction truck,"{""material"": ""steel"", ""length_inches"": 17}",0,0,1,12
TOY-070,Bruder CAT Excavator,Bruder,Vehicles & RC,4,10,69.99,Realistic construction vehicle replica,"{""scale"": ""1:16"", ""features"": [""working arm"", ""rotating cab""]}",1,0,1,10
TOY-071,Traxxas Slash RC Truck,Traxxas,Vehicles & RC,14,99,299.99,High-speed 4x4 RC short course truck,"{""scale"": ""1:10"", ""speed_mph"": 30, ""range_feet"": 300}",0,1,1,5
TOY-072,DJI Tello Drone,DJI,Vehicles & RC,14,99,99.99,Programmable mini drone for beginners,"{""flight_time_min"": 13, ""camera_mp"": 5}",1,1,1,8
TOY-073,LEGO Technic RC Car,LEGO,Vehicles & RC,11,16,199.99,App-controlled LEGO race car,"{""pieces"": 463, ""app_controlled"": true}",1,1,1,7
TOY-074,Thomas & Friends Super Station,Fisher-Price,Vehicles & RC,3,7,99.99,3-in-1 Thomas track set with train,"{""configurations"": 3, ""track_feet"": 35}",0,1,1,9
TOY-075,Disney Cars Lightning McQueen RC,Disney,Vehicles & RC,4,8,49.99,Remote control Lightning McQueen,"{""scale"": ""1:24"", ""range_feet"": 100}",0,1,1,15
TOY-076,Paw Patrol Chase RC Vehicle,Spin Master,Vehicles & RC,3,6,39.99,Remote control Chase police vehicle,"{""range_feet"": 50, ""lights"": true}",0,1,1,18
TOY-077,Mario Kart RC,Nintendo,Vehicles & RC,4,99,59.99,Official Mario Kart remote control car,"{""scale"": ""1:18"", ""anti_gravity"": true}",0,1,1,12
TOY-078,Air Hogs Jet,Air Hogs,Vehicles & RC,8,14,34.99,Indoor flying jet with easy control,"{""flight_time_min"": 8, ""range_feet"": 200}",0,1,1,14
TOY-079,Barbie Fashionistas Doll Pack,Barbie,Action Figures & Dolls,3,9,49.99,Set of 5 diverse Barbie dolls,"{""dolls"": 5, ""outfits"": 5}",0,0,1,12
TOY-080,Barbie Camper Van,Barbie,Action Figures & Dolls,3,9,109.99,Transforming camper with pool and slide,"{""features"": [""pool"", ""slide"", ""hammock""], ""accessories"": 60}",0,0,1,8
TOY-081,Ken Doll Fashionista,Barbie,Action Figures & Dolls,3,9,12.99,Ken fashion doll with outfit,"{""height_inches"": 12, ""articulation"": ""basic""}",0,0,1,25
TOY-082,Barbie Color Reveal,Barbie,Action Figures & Dolls,3,9,24.99,Mystery doll revealed with water,"{""surprises"": 7, ""water_reveal"": true}",0,0,1,20
TOY-083,Disney Princess Ultimate Collection,Disney,Action Figures & Dolls,3,10,99.99,Set of 12 Disney princess dolls,"{""dolls"": 12, ""height_inches"": 11}",0,0,1,7
TOY-084,Frozen 2 Elsa Singing Doll,Disney,Action Figures & Dolls,3,8,34.99,Singing Elsa doll with lights,"{""songs"": 4, ""height_inches"": 14}",0,1,1,15
TOY-085,Encanto Mirabel Doll,Disney,Action Figures & Dolls,3,8,24.99,Mirabel fashion doll with accessories,"{""height_inches"": 11, ""accessories"": 5}",0,0,1,18
TOY-086,Rainbow High Fashion Doll,MGA Entertainment,Action Figures & Dolls,6,12,29.99,Fashion doll with designer outfit,"{""outfits"": 2, ""height_inches"": 11}",0,0,1,16
TOY-087,Bratz 20th Anniversary Doll,MGA Entertainment,Action Figures & Dolls,6,12,34.99,Collector edition Bratz doll,"{""edition"": ""anniversary"", ""accessories"": 10}",0,0,1,12
TOY-088,Na Na Na Surprise,MGA Entertainment,Action Figures & Dolls,5,10,19.99,Balloon surprise fashion doll,"{""surprises"": 8, ""balloon_included"": true}",0,0,1,22
TOY-089,Cry Babies Magic Tears,IMC Toys,Action Figures & Dolls,3,8,14.99,Mini crying baby doll with house,"{""tears"": ""water"", ""house_included"": true}",0,0,1,28
TOY-090,Baby Born Interactive Doll,Zapf Creation,Action Figures & Dolls,3,8,59.99,Lifelike baby doll that eats and drinks,"{""functions"": [""drinks"", ""cries"", ""bathes""], ""accessories"": 10}",0,0,1,10
TOY-091,WWE Championship Belt,Mattel,Action Figures & Dolls,6,15,39.99,Replica championship wrestling belt,"{""material"": ""plastic"", ""adjustable"": true}",0,0,1,14
TOY-092,WWE Action Figure Set,Mattel,Action Figures & Dolls,6,12,29.99,Set of 4 WWE superstar figures,"{""figures"": 4, ""height_inches"": 6}",0,0,1,18
TOY-093,G.I. Joe Classified Figure,Hasbro,Action Figures & Dolls,4,99,24.99,Premium 6-inch G.I. Joe figure,"{""height_inches"": 6, ""accessories"": 5}",0,0,1,16
TOY-094,Power Rangers Lightning Collection,Hasbro,Action Figures & Dolls,4,99,24.99,Premium collector Power Rangers figure,"{""height_inches"": 6, ""articulation_points"": 28}",0,0,1,15
TOY-095,Teenage Mutant Ninja Turtles Set,Playmates,Action Figures & Dolls,4,10,49.99,Set of 4 TMNT action figures,"{""figures"": 4, ""accessories"": 12}",0,0,1,12
TOY-096,DC Comics Batman Figure,DC,Action Figures & Dolls,4,12,19.99,12-inch Batman action figure,"{""height_inches"": 12, ""accessories"": 3}",0,0,1,20
TOY-097,Marvel Avengers Titan Set,Hasbro,Action Figures & Dolls,4,12,59.99,Set of 5 Avengers 12-inch figures,"{""figures"": 5, ""height_inches"": 12}",0,0,1,10
TOY-098,Sonic the Hedgehog Figure Set,Jakks Pacific,Action Figures & Dolls,4,10,29.99,Set of 4 Sonic characters,"{""figures"": 4, ""height_inches"": 4}",0,0,1,18
TOY-099,Pokemon Battle Figure Set,Pokemon,Action Figures & Dolls,4,10,24.99,Set of 8 Pokemon battle figures,"{""figures"": 8, ""scale"": ""1:20""}",0,0,1,22
TOY-100,Funko Pop Marvel Collection,Funko,Action Figures & Dolls,6,99,49.99,Set of 4 Marvel Funko Pop figures,"{""figures"": 4, ""height_inches"": 4}",0,0,1,15
TOY-101,Schleich Dinosaur Set,Schleich,Action Figures & Dolls,3,10,39.99,Set of 5 detailed dinosaur figures,"{""dinosaurs"": 5, ""hand_painted"": true}",1,0,1,16
TOY-102,Breyer Horse Collection,Breyer,Action Figures & Dolls,4,12,49.99,Set of 4 collectible horse models,"{""horses"": 4, ""scale"": ""1:12""}",0,0,1,12
TOY-103,Calico Critters Family Set,Epoch,Action Figures & Dolls,3,10,24.99,Family of rabbit figurines,"{""figures"": 4, ""accessories"": 3}",0,0,1,18
TOY-104,Playmobil City Life Hospital,Playmobil,Action Figures & Dolls,4,10,99.99,Hospital playset with figures,"{""rooms"": 5, ""figures"": 6, ""accessories"": 200}",1,0,1,8
TOY-105,Playmobil Zoo,Playmobil,Action Figures & Dolls,4,10,79.99,Zoo playset with animals and figures,"{""animals"": 12, ""figures"": 4}",1,0,1,10
TOY-106,Monopoly Junior,Hasbro,Games & Puzzles,5,8,19.99,Simplified Monopoly for kids,"{""players"": ""2-4"", ""playtime_min"": 30}",1,0,1,25
TOY-107,Candy Land,Hasbro,Games & Puzzles,3,6,14.99,Classic first board game for kids,"{""players"": ""2-4"", ""playtime_min"": 15}",1,0,1,30
TOY-108,Chutes and Ladders,Hasbro,Games & Puzzles,3,6,14.99,Classic counting board game,"{""players"": ""2-4"", ""playtime_min"": 20}",1,0,1,28
TOY-109,Connect 4,Hasbro,Games & Puzzles,6,99,12.99,Classic vertical four-in-a-row game,"{""players"": ""2"", ""playtime_min"": 10}",1,0,1,35
TOY-110,Operation Game,Hasbro,Games & Puzzles,6,99,24.99,Classic skill game with buzzer,"{""players"": ""1+"", ""ailments"": 13}",1,1,1,22
TOY-111,Battleship,Hasbro,Games & Puzzles,7,99,19.99,Classic naval combat strategy game,"{""players"": ""2"", ""playtime_min"": 30}",1,0,1,20
TOY-112,Clue,Hasbro,Games & Puzzles,8,99,24.99,Classic mystery detective game,"{""players"": ""3-6"", ""playtime_min"": 45}",1,0,1,18
TOY-113,Risk,Hasbro,Games & Puzzles,10,99,34.99,Classic world domination strategy game,"{""players"": ""2-6"", ""playtime_min"": 120}",1,0,1,15
TOY-114,Scrabble,Hasbro,Games & Puzzles,8,99,24.99,Classic crossword word game,"{""players"": ""2-4"", ""tiles"": 100}",1,0,1,20
TOY-115,Trivial Pursuit Family Edition,Hasbro,Games & Puzzles,8,99,29.99,Family trivia game with kid questions,"{""players"": ""2-6"", ""questions"": 2400}",1,0,1,16
TOY-116,Sorry!,Hasbro,Games & Puzzles,6,99,14.99,Classic slide pursuit game,"{""players"": ""2-4"", ""playtime_min"": 30}",0,0,1,25
TOY-117,Yahtzee,Hasbro,Games & Puzzles,8,99,14.99,Classic dice rolling game,"{""players"": ""1+"", ""dice"": 5}",0,0,1,28
TOY-118,Boggle,Hasbro,Games & Puzzles,8,99,14.99,Word search dice game,"{""players"": ""1+"", ""dice"": 16}",1,0,1,22
TOY-119,Guess Who?,Hasbro,Games & Puzzles,6,99,17.99,Classic face guessing game,"{""players"": ""2"", ""characters"": 24}",1,0,1,20
TOY-120,Mouse Trap,Hasbro,Games & Puzzles,6,99,24.99,Crazy contraption board game,"{""players"": ""2-4"", ""parts"": 25}",0,0,1,16
TOY-121,Ticket to Ride,Days of Wonder,Games & Puzzles,8,99,54.99,Cross-country train adventure game,"{""players"": ""2-5"", ""playtime_min"": 60}",1,0,1,12
TOY-122,Catan,Catan Studio,Games & Puzzles,10,99,49.99,Strategy resource building game,"{""players"": ""3-4"", ""playtime_min"": 90}",1,0,1,14
TOY-123,Codenames,Czech Games,Games & Puzzles,10,99,24.99,Word association party game,"{""players"": ""4-8"", ""playtime_min"": 15}",1,0,1,18
TOY-124,Pandemic,Z-Man Games,Games & Puzzles,8,99,44.99,Cooperative disease fighting game,"{""players"": ""2-4"", ""playtime_min"": 45}",1,0,1,15
TOY-125,Exploding Kittens,Exploding Kittens,Games & Puzzles,7,99,19.99,Strategic kitty-powered card game,"{""players"": ""2-5"", ""cards"": 56}",0,0,1,25
TOY-126,Cards Against Humanity Family,Cards Against Humanity,Games & Puzzles,8,99,24.99,Family-friendly fill in the blank game,"{""players"": ""4-20"", ""cards"": 600}",0,0,1,20
TOY-127,What Do You Meme?,What Do You Meme,Games & Puzzles,17,99,29.99,Adult caption photo game,"{""players"": ""3-20"", ""cards"": 435}",0,0,1,18
TOY-128,Dixit,Libellud,Games & Puzzles,8,99,34.99,Creative storytelling card game,"{""players"": ""3-6"", ""cards"": 84}",1,0,1,15
TOY-129,Azul,Plan B Games,Games & Puzzles,8,99,39.99,Pattern building tile game,"{""players"": ""2-4"", ""playtime_min"": 45}",1,0,1,12
TOY-130,Wingspan,Stonemaier Games,Games & Puzzles,10,99,60.00,Bird collection engine building game,"{""players"": ""1-5"", ""bird_cards"": 170}",1,0,1,10
TOY-131,Sequence,Jax,Games & Puzzles,7,99,19.99,Strategy board card game,"{""players"": ""2-12"", ""cards"": 104}",1,0,1,22
TOY-132,Blokus,Mattel,Games & Puzzles,7,99,24.99,Strategy shape placement game,"{""players"": ""2-4"", ""pieces"": 84}",1,0,1,18
TOY-133,Splendor,Space Cowboys,Games & Puzzles,10,99,39.99,Gem collecting strategy game,"{""players"": ""2-4"", ""playtime_min"": 30}",1,0,1,14
TOY-134,7 Wonders,Repos Production,Games & Puzzles,10,99,49.99,Ancient civilization card game,"{""players"": ""3-7"", ""playtime_min"": 30}",1,0,1,12
TOY-135,Spot It!,Blue Orange,Games & Puzzles,6,99,14.99,Symbol matching speed game,"{""players"": ""2-8"", ""cards"": 55}",1,0,1,30
TOY-136,Qwirkle,MindWare,Games & Puzzles,6,99,24.99,Mix and match tile game,"{""players"": ""2-4"", ""tiles"": 108}",1,0,1,20
TOY-137,Kingdomino,Blue Orange,Games & Puzzles,8,99,19.99,Domino kingdom building game,"{""players"": ""2-4"", ""dominoes"": 48}",1,0,1,18
TOY-138,Hive,Gen42 Games,Games & Puzzles,9,99,34.99,Strategy bug placement game,"{""players"": ""2"", ""pieces"": 22}",1,0,1,15
TOY-139,Rubiks Cube Original,Rubiks,Games & Puzzles,8,99,14.99,Classic 3x3 twisting puzzle,"{""size"": ""3x3"", ""combinations"": ""43 quintillion""}",1,0,1,35
TOY-140,Rubiks Cube 4x4,Rubiks,Games & Puzzles,8,99,19.99,Advanced 4x4 twisting puzzle,"{""size"": ""4x4""}",1,0,1,25
TOY-141,Perplexus Beast,Spin Master,Games & Puzzles,8,99,29.99,3D maze ball with 100 barriers,"{""barriers"": 100, ""difficulty"": ""advanced""}",1,0,1,18
TOY-142,ThinkFun Gravity Maze,ThinkFun,Games & Puzzles,8,99,29.99,Marble run logic game,"{""challenges"": 60, ""pieces"": 9}",1,0,1,16
TOY-143,ThinkFun Rush Hour,ThinkFun,Games & Puzzles,8,99,24.99,Traffic jam logic puzzle,"{""challenges"": 40, ""difficulty_levels"": 4}",1,0,1,20
TOY-144,Kanoodle,Educational Insights,Games & Puzzles,7,99,12.99,Brain teasing puzzle game,"{""puzzles"": 200, ""pieces"": 12}",1,0,1,28
TOY-145,IQ Puzzler Pro,SmartGames,Games & Puzzles,6,99,14.99,Multi-level IQ puzzle game,"{""challenges"": 120, ""modes"": 3}",1,0,1,25
TOY-146,Crayola Inspiration Art Case,Crayola,Arts & Crafts,4,12,49.99,150 piece deluxe art set,"{""pieces"": 150, ""case"": ""portable""}",1,0,1,18
TOY-147,Crayola Light Up Tracing Pad,Crayola,Arts & Crafts,6,12,24.99,LED powered tracing activity,"{""sheets"": 10, ""graphite_pencil"": true}",1,1,1,20
TOY-148,Crayola Silly Scents Set,Crayola,Arts & Crafts,3,10,19.99,Scented markers and crayons,"{""markers"": 20, ""scents"": 20}",0,0,1,25
TOY-149,Spirograph Deluxe Set,Spirograph,Arts & Crafts,8,99,29.99,Classic design drawing set,"{""wheels"": 19, ""designs"": ""unlimited""}",1,0,1,16
TOY-150,Aquabeads Mega Set,Epoch,Arts & Crafts,4,10,34.99,Water fusing bead craft kit,"{""beads"": 2500, ""colors"": 24}",1,0,1,14
TOY-151,Perler Beads Mega Kit,Perler,Arts & Crafts,6,12,29.99,Fuse bead activity kit,"{""beads"": 5000, ""pegboards"": 4}",1,0,1,18
TOY-152,Rainbow Loom,Rainbow Loom,Arts & Crafts,7,14,24.99,Rubber band bracelet loom,"{""bands"": 600, ""clips"": 24}",1,0,1,22
TOY-153,Friendship Bracelet Kit,Alex Toys,Arts & Crafts,7,14,14.99,Thread bracelet making kit,"{""threads"": 120, ""patterns"": 16}",1,0,1,25
TOY-154,String Art Kit,Craftster,Arts & Crafts,8,14,19.99,Nail and string art set,"{""boards"": 3, ""string_yards"": 50}",1,0,1,20
TOY-155,Shrinky Dinks Deluxe,Alex Toys,Arts & Crafts,6,12,19.99,Shrink art jewelry making kit,"{""sheets"": 25, ""accessories"": 30}",1,0,1,22
