id,title,author,genre,isbn,price,stock,published_year,publisher,pages,description,rating,review_count
19,Wuthering Heights,Emily Brontë,Gothic Fiction,978-0141439556,10.99,14,1847,Penguin Classics,416,A dark tale of passion and revenge on the Yorkshire moors.,3.6,22641
20,Great Expectations,Charles Dickens,Fiction,978-0141439563,12.99,16,1861,Penguin Classics,544,A poor orphan's journey to becoming a gentleman in Victorian England.,4.4,2947
21,A Tale of Two Cities,Charles Dickens,Historical Fiction,978-0141439600,11.99,18,1859,Penguin Classics,489,A story of love and sacrifice during the French Revolution.,4.6,35242
22,The Picture of Dorian Gray,Oscar Wilde,Gothic Fiction,978-0141439570,10.99,20,1890,Penguin Classics,272,A tale of beauty corruption and moral decay in Victorian London.,3.7,24907
23,Frankenstein,Mary Shelley,Gothic Horror,978-0141439471,9.99,22,1818,Penguin Classics,352,The original science fiction novel about the dangers of playing God.,3.6,19313
24,Dracula,Bram Stoker,Gothic Horror,978-0141439846,11.99,19,1897,Penguin Classics,488,The classic vampire tale that defined the genre.,4.7,40635
25,The Count of Monte Cristo,Alexandre Dumas,Adventure,978-0140449266,16.99,11,1844,Penguin Classics,1276,An epic tale of betrayal imprisonment and revenge.,4.8,23800
26,Les Misérables,Victor Hugo,Historical Fiction,978-0451419439,19.99,8,1862,Signet Classics,1488,An epic story of redemption and revolution in 19th century France.,4.4,46274
27,The Alchemist,Paulo Coelho,Fiction,978-0062315007,16.99,28,1988,HarperOne,208,A shepherd boy's journey to find his personal legend.,3.6,43436
28,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-Fiction,978-0062316110,24.99,15,2011,Harper,464,A groundbreaking narrative of humanity's creation and evolution.,3.8,19065
29,Thinking Fast and Slow,Daniel Kahneman,Psychology,978-0374533557,18.99,12,2011,Farrar Straus and Giroux,499,A tour of the mind explaining the two systems that drive the way we think.,5.0,15356
30,Atomic Habits,James Clear,Self-Help,978-0735211292,18.99,40,2018,Avery,320,A proven framework for improving every day through tiny changes.,4.8,25011
31,The Lean Startup,Eric Ries,Business,978-0307887894,16.99,14,2011,Currency,336,How today's entrepreneurs use continuous innovation to create successful businesses.,3.9,41760
32,Dune,Frank Herbert,Science Fiction,978-0441172719,18.99,16,1965,Ace,688,An epic science fiction saga of politics religion and ecology on a desert planet.,4.8,10759
33,Foundation,Isaac Asimov,Science Fiction,978-0553293357,17.99,13,1951,Bantam Spectra,296,The story of a foundation established to preserve knowledge during galactic collapse.,4.1,13830
34,Neuromancer,William Gibson,Cyberpunk,978-0441569595,16.99,10,1984,Ace,271,The groundbreaking cyberpunk novel that defined a genre.,4.5,46094
35,Snow Crash,Neal Stephenson,Cyberpunk,978-0553380958,17.99,9,1992,Bantam Spectra,480,A wild ride through a future America dominated by corporations and virtual reality.,4.9,42569
36,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction Comedy,978-0345391803,15.99,24,1979,Del Rey,224,A comedic science fiction adventure following the last surviving human.,3.6,41713
37,Ender's Game,Orson Scott Card,Science Fiction,978-0812550702,15.99,17,1985,Tor Books,324,A brilliant child is trained to command humanity's fleet against alien invaders.,3.8,47884
38,The Handmaid's Tale,Margaret Atwood,Dystopian,978-0385490818,16.99,19,1985,Anchor,311,A chilling vision of a totalitarian theocracy built on the subjugation of women.,3.9,30394
39,Never Let Me Go,Kazuo Ishiguro,Dystopian,978-1400078776,16.99,11,2005,Vintage,288,A haunting story of friendship and love at an English boarding school.,4.1,42043
40,The Road,Cormac McCarthy,Post-Apocalyptic,978-0307387899,16.99,13,2006,Vintage,287,A father and son journey through a devastated America.,4.5,14492
41,Gone Girl,Gillian Flynn,Thriller,978-0307588371,16.99,21,2012,Crown,419,A twisting thriller about a wife's disappearance and a husband's guilt.,4.5,3765
42,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,978-0307454546,17.99,14,2005,Vintage Crime,672,A journalist and a hacker investigate a decades-old disappearance.,3.8,2203
43,The Da Vinci Code,Dan Brown,Thriller,978-0307474278,17.99,18,2003,Anchor,489,A symbologist unravels a conspiracy hidden in Da Vinci's artwork.,4.7,26390
44,And Then There Were None,Agatha Christie,Mystery,978-0062073488,15.99,16,1939,William Morrow,272,Ten strangers are lured to an island where they are murdered one by one.,3.9,13926
45,The Shining,Stephen King,Horror,978-0307743657,17.99,15,1977,Anchor,497,A family's stay at an isolated hotel descends into supernatural terror.,4.9,37270
46,It,Stephen King,Horror,978-1501142970,19.99,12,1986,Scribner,1168,Seven friends confront an ancient evil that has haunted their town.,4.8,20722
47,The Name of the Wind,Patrick Rothfuss,Fantasy,978-0756404741,18.99,14,2007,DAW Books,662,A legendary hero tells the true story of his extraordinary life.,3.8,32817
48,A Game of Thrones,George R.R. Martin,Fantasy,978-0553593716,18.99,20,1996,Bantam,835,Noble families vie for control of the Iron Throne in a land of intrigue and magic.,4.1,42229
49,The Way of Kings,Brandon Sanderson,Fantasy,978-0765365279,19.99,11,2010,Tor Books,1007,An epic fantasy of war destiny and the nature of heroism.,4.2,17459
50,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,978-0765350381,16.99,16,2006,Tor Books,541,A street thief leads a rebellion against an immortal ruler using forbidden magic.,3.7,48923
51,The Midnight Library,Matt Haig,Fiction,978-0525559474,17.99,25,2020,Viking,304,A woman discovers a library between life and death containing infinite versions of her life.,4.3,17319
52,Where the Crawdads Sing,Delia Owens,Mystery,978-0735219090,18.99,30,2018,G.P. Putnam's Sons,384,A murder mystery intertwined with a coming-of-age story set in North Carolina marshlands.,4.6,28177
53,Project Hail Mary,Andy Weir,Science Fiction,978-0593135204,19.99,22,2021,Ballantine Books,496,An astronaut wakes up alone on a spacecraft with no memory of how he got there.,4.8,26275
54,The Silent Patient,Alex Michaelides,Thriller,978-1250301697,17.99,28,2019,Celadon Books,336,A woman shoots her husband and never speaks another word.,4.0,9165
55,Educated,Tara Westover,Memoir,978-0399590504,18.99,20,2018,Random House,352,A woman raised by survivalists earns a PhD from Cambridge.,4.3,6057
56,Becoming,Michelle Obama,Memoir,978-1524763138,32.50,18,2018,Crown,448,The former First Lady's intimate memoir of her journey.,4.6,7285
57,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-Help,978-0062457714,16.99,35,2016,Harper,224,A counterintuitive approach to living a good life.,3.7,10584
58,Circe,Madeline Miller,Fantasy,978-0316556347,17.99,16,2018,Little Brown,400,The witch Circe's journey from outcast to powerful goddess.,4.7,27766
59,The Song of Achilles,Madeline Miller,Fantasy,978-0062060624,16.99,19,2012,Ecco,378,A retelling of the Iliad from the perspective of Patroclus.,4.4,25316
60,Piranesi,Susanna Clarke,Fantasy,978-1635575637,17.99,14,2020,Bloomsbury,272,A man explores an infinite house filled with ocean tides and statues.,4.1,30774
61,The House in the Cerulean Sea,TJ Klune,Fantasy,978-1250217318,17.99,21,2020,Tor Books,396,A caseworker for magical children discovers a special orphanage.,4.3,36356
62,Mexican Gothic,Silvia Moreno-Garcia,Horror,978-0525620785,17.99,15,2020,Del Rey,301,A socialite confronts dark secrets in a crumbling Mexican mansion.,4.8,852
63,The Vanishing Half,Brit Bennett,Fiction,978-0525536291,18.99,23,2020,Riverhead Books,352,Twin sisters choose different paths and different racial identities.,4.5,7607
64,Such a Fun Age,Kiley Reid,Fiction,978-0525541905,17.99,17,2019,G.P. Putnam's Sons,320,A young Black babysitter and her white employer face a racial incident.,4.5,35290
65,Normal People,Sally Rooney,Fiction,978-1984822185,17.99,24,2018,Hogarth,288,Two Irish teenagers navigate class differences and intimacy.,4.6,42106
66,Beautiful World Where Are You,Sally Rooney,Fiction,978-0374602604,18.99,19,2021,Farrar Straus and Giroux,368,Four young people navigate love friendship and politics in Ireland.,4.0,19334
67,Klara and the Sun,Kazuo Ishiguro,Science Fiction,978-0593318171,18.99,16,2021,Knopf,320,An Artificial Friend observes humanity from a store window.,4.2,29835
68,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,978-0765387561,17.99,22,2020,Tor Books,448,A woman makes a Faustian bargain to live forever but be forgotten.,3.5,47423
69,Anxious People,Fredrik Backman,Fiction,978-1501160837,18.99,20,2020,Atria Books,352,A failed bank robber takes hostages during an apartment open house.,4.8,17361
70,A Man Called Ove,Fredrik Backman,Fiction,978-1476738024,17.99,26,2012,Atria Books,337,A curmudgeonly widower finds unexpected friendship with new neighbors.,5.0,11808
71,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,978-1501161933,17.99,32,2017,Atria Books,400,An aging Hollywood icon reveals the truth about her glamorous life.,4.3,7073
72,Daisy Jones & The Six,Taylor Jenkins Reid,Fiction,978-1524798628,17.99,24,2019,Ballantine Books,368,The rise and fall of a fictional 1970s rock band.,4.8,19658
73,Malibu Rising,Taylor Jenkins Reid,Fiction,978-1524798659,18.99,21,2021,Ballantine Books,384,One epic party in 1983 Malibu changes the lives of the Riva siblings.,4.8,33370
74,The Four Winds,Kristin Hannah,Historical Fiction,978-1250178602,18.99,18,2021,St. Martin's Press,464,A woman's struggle during the Dust Bowl and Great Depression.,4.4,10116
75,The Nightingale,Kristin Hannah,Historical Fiction,978-1250080400,17.99,27,2015,St. Martin's Press,440,Two sisters in Nazi-occupied France find courage in the darkest days.,4.1,10687
76,The Great Alone,Kristin Hannah,Fiction,978-0312577230,17.99,19,2018,St. Martin's Press,448,A family seeks a fresh start in 1970s Alaska's dangerous wilderness.,4.3,34857
77,Little Fires Everywhere,Celeste Ng,Fiction,978-0735224315,17.99,23,2017,Penguin Press,352,A mysterious artist and her daughter upend a planned community.,4.9,39352
78,Everything I Never Told You,Celeste Ng,Fiction,978-0143127550,17.99,15,2014,Penguin Books,304,A Chinese-American family deals with the death of their favorite daughter.,4.0,1376
79,The Dutch House,Ann Patchett,Fiction,978-0062963673,18.99,17,2019,Harper,352,A brother and sister navigate memory and inheritance over five decades.,3.7,23888
80,Commonwealth,Ann Patchett,Fiction,978-0062491831,17.99,14,2016,Harper,336,One kiss at a christening party changes the course of two families.,4.8,20253
81,The Kite Runner,Khaled Hosseini,Fiction,978-1594631931,16.99,28,2003,Riverhead Books,400,A haunting tale of friendship and redemption set in Afghanistan.,3.9,15885
82,A Thousand Splendid Suns,Khaled Hosseini,Fiction,978-1594483851,16.99,22,2007,Riverhead Books,432,Two Afghan women forge an unlikely bond across generations.,4.8,5261
83,And the Mountains Echoed,Khaled Hosseini,Fiction,978-1594632389,17.99,16,2013,Riverhead Books,416,Siblings are separated in Afghanistan with ripples across generations.,3.6,31949
84,The Book Thief,Markus Zusak,Historical Fiction,978-0375842207,14.99,29,2005,Knopf,584,A young girl steals books in Nazi Germany narrated by Death.,4.7,49946
85,All the Light We Cannot See,Anthony Doerr,Historical Fiction,978-1501173219,18.99,21,2014,Scribner,544,A blind French girl and a German boy's paths cross in WWII.,4.3,8341
86,The Tattooist of Auschwitz,Heather Morris,Historical Fiction,978-0062797155,16.99,24,2018,Harper,288,A love story born in the darkest of places.,3.7,31248
87,The Alice Network,Kate Quinn,Historical Fiction,978-0062654199,17.99,18,2017,William Morrow,544,Two women across two wars hunt down a traitor.,4.9,10921
88,The Rose Code,Kate Quinn,Historical Fiction,978-0062943477,18.99,15,2021,William Morrow,656,Three women at Bletchley Park uncover a traitor among them.,3.9,39853
89,The Paris Wife,Paula McLain,Historical Fiction,978-0345521316,17.99,14,2011,Ballantine Books,336,Ernest Hemingway's first wife tells her story of 1920s Paris.,4.1,13980
90,Hamnet,Maggie O'Farrell,Historical Fiction,978-0525657606,18.99,17,2020,Knopf,320,A reimagining of Shakespeare's son's life and death.,4.9,49597
91,The Pillars of the Earth,Ken Follett,Historical Fiction,978-0451166890,20.99,12,1989,Signet,1008,The building of a cathedral in 12th century England.,4.6,13282
92,World Without End,Ken Follett,Historical Fiction,978-0451228376,20.99,10,2007,Dutton,1024,The sequel to Pillars set during the Black Death.,4.6,26248
93,A Column of Fire,Ken Follett,Historical Fiction,978-0525954972,19.99,11,2017,Viking,928,The third Kingsbridge novel set during the religious wars.,5.0,42690
94,Shogun,James Clavell,Historical Fiction,978-0385343251,20.99,13,1975,Blackstone,1152,An English navigator becomes embroiled in feudal Japan politics.,4.1,34019
95,Memoirs of a Geisha,Arthur Golden,Historical Fiction,978-0679781585,17.99,19,1997,Vintage,448,A geisha recounts her life from poverty to success in Kyoto.,4.2,16346
96,The Other Boleyn Girl,Philippa Gregory,Historical Fiction,978-0743227445,17.99,16,2001,Touchstone,672,Mary Boleyn's story as sister to Anne Boleyn.,3.8,22256
97,Wolf Hall,Hilary Mantel,Historical Fiction,978-0312429980,18.99,12,2009,Picador,560,Thomas Cromwell's rise to power in Henry VIII's court.,3.5,36401
98,Bring Up the Bodies,Hilary Mantel,Historical Fiction,978-1250024176,18.99,11,2012,Picador,432,Cromwell engineers the downfall of Anne Boleyn.,3.8,14532
99,The Mirror and the Light,Hilary Mantel,Historical Fiction,978-1250622679,20.99,9,2020,Henry Holt,784,The final chapter of Thomas Cromwell's life.,3.5,46489
100,Rebecca,Daphne du Maurier,Gothic Romance,978-0380730407,17.99,23,1938,Avon,449,A young bride is haunted by her husband's first wife.,4.4,15103
101,The Secret History,Donna Tartt,Literary Thriller,978-1400031702,18.99,18,1992,Vintage,559,A group of classics students at an elite college commit murder.,3.6,2158
102,The Goldfinch,Donna Tartt,Fiction,978-0316055444,20.99,14,2013,Little Brown,784,A boy survives a terrorist attack and steals a priceless painting.,4.8,4743
103,A Little Life,Hanya Yanagihara,Fiction,978-0804172707,18.99,12,2015,Anchor,832,Four friends navigate success and trauma in New York City.,4.3,18350
104,The Sympathizer,Viet Thanh Nguyen,Fiction,978-0802124944,17.99,15,2015,Grove Press,384,A communist spy reflects on his role in the Vietnam War's end.,4.5,14140
105,Pachinko,Min Jin Lee,Historical Fiction,978-1455563920,18.99,20,2017,Grand Central,496,Four generations of a Korean family in Japan.,4.3,47505
106,Homegoing,Yaa Gyasi,Historical Fiction,978-1101971062,17.99,17,2016,Vintage,320,Two half-sisters' descendants across three centuries.,4.9,37523
107,The Underground Railroad,Colson Whitehead,Historical Fiction,978-0345804327,17.99,19,2016,Anchor,320,An escaped slave discovers a literal underground railroad.,4.4,16025
108,Beloved,Toni Morrison,Fiction,978-1400033416,17.99,16,1987,Vintage,324,A former slave is haunted by the ghost of her daughter.,4.7,26777
109,Song of Solomon,Toni Morrison,Fiction,978-1400033423,17.99,14,1977,Vintage,337,A Black man embarks on a journey to discover his heritage.,3.8,6452
110,The Color Purple,Alice Walker,Fiction,978-0156028356,16.99,21,1982,Mariner Books,300,Letters reveal a Black woman's struggle and triumph in the South.,4.5,23319
111,The Remains of the Day,Kazuo Ishiguro,Fiction,978-0679731726,16.99,17,1989,Vintage,256,An English butler reflects on his life of service.,4.1,30706
112,On Earth We're Briefly Gorgeous,Ocean Vuong,Fiction,978-0525562047,17.99,14,2019,Penguin Press,256,A son writes to his illiterate mother about their Vietnamese-American family.,4.8,3650
113,The Nickel Boys,Colson Whitehead,Historical Fiction,978-0345804341,17.99,18,2019,Anchor,224,Two boys endure abuse at a reform school in Jim Crow Florida.,4.5,42448
114,Harrow the Ninth,Tamsyn Muir,Science Fantasy,978-1250313225,18.99,15,2020,Tor,528,The necromancer Harrowhark serves a dying god in space.,3.6,26486
115,Gideon the Ninth,Tamsyn Muir,Science Fantasy,978-1250313195,17.99,19,2019,Tor,448,Lesbian necromancers in space compete in a deadly trial.,4.6,7261
116,The Poppy War,R.F. Kuang,Fantasy,978-0062662569,17.99,20,2018,Harper Voyager,544,A war orphan discovers her shamanic powers in a fantasy China.,3.9,12565
117,The Dragon Republic,R.F. Kuang,Fantasy,978-0062662606,18.99,16,2019,Harper Voyager,672,The war continues as alliances shift in this epic sequel.,4.3,9286
118,The Burning God,R.F. Kuang,Fantasy,978-0062662644,18.99,14,2020,Harper Voyager,656,The explosive conclusion to the Poppy War trilogy.,4.1,18354
119,Babel,R.F. Kuang,Fantasy,978-0063021426,28.99,22,2022,Harper Voyager,560,A dark academic fantasy about translation and colonialism at Oxford.,4.2,5040
120,Yellowface,R.F. Kuang,Fiction,978-0063250833,27.99,25,2023,William Morrow,336,A white author steals her dead friend's manuscript.,4.2,36166
121,Recursion,Blake Crouch,Science Fiction,978-1524759780,17.99,21,2019,Crown,336,A detective and a neuroscientist race to stop false memories.,3.6,42838
122,Dark Matter,Blake Crouch,Science Fiction,978-1101904244,17.99,24,2016,Crown,352,A physicist is abducted into a multiverse of his own making.,5.0,1067
123,The Martian,Andy Weir,Science Fiction,978-0553418026,16.99,30,2014,Crown,384,An astronaut must survive alone on Mars.,5.0,49485
124,Artemis,Andy Weir,Science Fiction,978-0553448146,17.99,18,2017,Crown,320,A smuggler gets caught up in a conspiracy on the Moon.,4.8,10999
125,Children of Time,Adrian Tchaikovsky,Science Fiction,978-1447273301,17.99,15,2015,Tor,608,Humans and evolved spiders vie for a terraformed planet.,4.1,31646
126,Children of Ruin,Adrian Tchaikovsky,Science Fiction,978-1509865857,18.99,12,2019,Tor,592,The sequel exploring first contact with alien life.,3.8,26382
127,Seveneves,Neal Stephenson,Science Fiction,978-0062334510,20.99,11,2015,William Morrow,880,Humanity survives the Moon's destruction in orbit.,4.9,10889
128,The Three-Body Problem,Liu Cixin,Science Fiction,978-0765382030,17.99,23,2014,Tor,400,China's Cultural Revolution meets alien contact.,4.1,25686
129,The Dark Forest,Liu Cixin,Science Fiction,978-0765386694,18.99,18,2015,Tor,512,Humanity prepares for alien invasion over four centuries.,3.9,29919
130,Death's End,Liu Cixin,Science Fiction,978-0765386632,18.99,15,2016,Tor,608,The epic conclusion of the Three-Body trilogy.,3.9,45751
131,Hyperion,Dan Simmons,Science Fiction,978-0553283686,18.99,14,1989,Spectra,500,Seven pilgrims share their tales on a journey to the Time Tombs.,4.9,36522
132,The Fall of Hyperion,Dan Simmons,Science Fiction,978-0553288209,18.99,12,1990,Spectra,517,The Shrike pilgrims reach their destination as war erupts.,4.5,31994
133,Leviathan Wakes,James S.A. Corey,Science Fiction,978-0316129084,17.99,20,2011,Orbit,592,A detective and a ship captain uncover a vast conspiracy.,3.7,19545
134,Caliban's War,James S.A. Corey,Science Fiction,978-0316129060,17.99,17,2012,Orbit,624,The second Expanse novel as protomolecule spreads.,3.8,3932
135,Abaddon's Gate,James S.A. Corey,Science Fiction,978-0316129077,17.99,15,2013,Orbit,539,The Ring opens a gateway to a thousand new worlds.,4.4,35633
136,Old Man's War,John Scalzi,Science Fiction,978-0765348272,16.99,19,2005,Tor,320,Senior citizens are recruited into an interstellar military.,3.6,20652
137,The Ghost Brigades,John Scalzi,Science Fiction,978-0765354068,16.99,16,2006,Tor,352,Clone soldiers hunt a traitor with stolen memories.,3.6,38384
138,Redshirts,John Scalzi,Science Fiction,978-0765334794,16.99,22,2012,Tor,320,Crew members realize they're expendable on their starship.,4.2,34907
139,The Long Way to a Small Angry Planet,Becky Chambers,Science Fiction,978-0062444134,16.99,24,2014,Harper Voyager,464,A diverse crew travels through space building wormholes.,3.7,33381
140,A Closed and Common Orbit,Becky Chambers,Science Fiction,978-0062569400,16.99,20,2016,Harper Voyager,384,An AI adjusts to life in a human body.,3.6,12278
141,The Name of the Wind,Patrick Rothfuss,Fantasy,978-0756404741,17.99,35,2007,DAW Books,662,A legendary figure tells his own story.,3.6,4553
142,The Way of Kings,Brandon Sanderson,Fantasy,978-0765326355,18.99,40,2010,Tor Books,1007,An epic fantasy of war and magic on Roshar.,4.5,15514
143,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,978-0765350381,16.99,45,2006,Tor Books,541,A thief leads a heist against an immortal emperor.,4.1,37434
144,The Lies of Locke Lamora,Scott Lynch,Fantasy,978-0553588941,17.99,28,2006,Bantam Spectra,499,A con artist pulls off elaborate heists in a fantasy world.,3.9,39062
145,The Blade Itself,Joe Abercrombie,Fantasy,978-0316387316,16.99,32,2006,Orbit,531,A grimdark tale of warriors and politics.,3.6,5472
146,Gardens of the Moon,Steven Erikson,Fantasy,978-0765348784,18.99,22,1999,Tor Books,666,The beginning of an epic fantasy series.,4.1,38351
147,The Fifth Season,N.K. Jemisin,Fantasy,978-0316229296,16.99,38,2015,Orbit,468,A world plagued by catastrophic seasons.,4.3,20833
148,Circe,Madeline Miller,Fantasy,978-0316556347,17.99,42,2018,Little Brown,393,The witch of Greek mythology tells her story.,4.9,13486
149,Piranesi,Susanna Clarke,Fantasy,978-1635575637,17.00,35,2020,Bloomsbury,272,A man lives in a mysterious house of infinite halls.,4.5,20690
150,The Priory of the Orange Tree,Samantha Shannon,Fantasy,978-1635570298,18.99,28,2019,Bloomsbury,848,An epic standalone fantasy of queens and dragons.,3.9,26038
151,The Poppy War,R.F. Kuang,Fantasy,978-0062662569,17.99,33,2018,Harper Voyager,527,A war orphan discovers her shamanic powers.,3.7,42403
152,An Ember in the Ashes,Sabaa Tahir,Fantasy,978-1595148049,18.99,30,2015,Razorbill,446,A slave and a soldier in a brutal empire.,3.9,20820
153,Children of Blood and Bone,Tomi Adeyemi,Fantasy,978-1250170972,19.99,35,2018,Henry Holt,525,Magic returns to a world that outlawed it.,4.9,4854
154,The House in the Cerulean Sea,TJ Klune,Fantasy,978-1250217288,17.99,45,2020,Tor Books,398,A caseworker visits an orphanage for magical children.,3.5,40808
155,Spinning Silver,Naomi Novik,Fantasy,978-0399180996,17.00,28,2018,Del Rey,466,A fairy tale retelling set in a harsh winter land.,5.0,6652
156,The Bear and the Nightingale,Katherine Arden,Fantasy,978-1101885956,17.00,32,2017,Del Rey,323,Russian folklore comes alive in winter.,3.6,14069
157,Sorcery of Thorns,Margaret Rogerson,Fantasy,978-1481497619,18.99,26,2019,Margaret K. McElderry,456,A librarian apprentice battles demons among magical books.,4.3,8780
158,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,978-0765387561,17.99,40,2020,Tor Books,448,A woman makes a Faustian bargain to live forever.,4.9,4608
159,Daughter of the Moon Goddess,Sue Lynn Tan,Fantasy,978-0063031319,18.99,24,2022,Harper Voyager,496,A retelling of the Chinese legend of Chang'e.,4.8,24317
160,The Atlas Six,Olivie Blake,Fantasy,978-1250854513,18.99,30,2022,Tor Books,400,Six magicians compete for a secret society.,3.9,28816
161,Gone Girl,Gillian Flynn,Thriller,978-0307588371,16.99,50,2012,Crown,419,A wife disappears on her fifth anniversary.,4.8,46207
162,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,978-0307454546,17.99,42,2005,Knopf,465,A journalist and hacker investigate a disappearance.,4.0,42958
163,The Silent Patient,Alex Michaelides,Thriller,978-1250301697,17.99,55,2019,Celadon Books,336,A woman shoots her husband and never speaks again.,4.3,43869
164,The Woman in the Window,A.J. Finn,Thriller,978-0062678416,16.99,38,2018,William Morrow,427,An agoraphobic woman witnesses something in a neighbors house.,4.7,19720
165,Big Little Lies,Liane Moriarty,Thriller,978-0399587191,17.00,45,2014,Berkley,460,Three women and a school trivia night gone wrong.,4.9,6888
166,The Last Thing He Told Me,Laura Dave,Thriller,978-1501171345,17.99,40,2021,Simon & Schuster,320,A woman discovers her husband had secrets.,4.9,8900
167,The Maid,Nita Prose,Mystery,978-0593356159,18.00,35,2022,Ballantine Books,304,A hotel maid discovers a dead body.,3.9,7114
168,The Thursday Murder Club,Richard Osman,Mystery,978-0241988268,17.99,48,2020,Viking,400,Four retirees investigate cold cases.,4.6,10287
169,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,Mystery,978-1492657965,17.99,28,2018,Sourcebooks,432,Groundhog Day meets Agatha Christie.,3.9,39738
170,Mexican Gothic,Silvia Moreno-Garcia,Horror,978-0525620785,17.00,32,2020,Del Rey,301,A socialite investigates her cousins strange husband.,3.8,22571
171,The Only Good Indians,Stephen Graham Jones,Horror,978-1982136451,17.00,25,2020,Gallery/Saga Press,320,Four Native American men are haunted by their past.,3.8,41665
172,House of Leaves,Mark Z. Danielewski,Horror,978-0375703768,20.00,18,2000,Pantheon,709,A house that is bigger on the inside.,4.8,33222
173,The Haunting of Hill House,Shirley Jackson,Horror,978-0143039983,16.00,30,1959,Penguin Classics,182,The classic haunted house story.,4.2,3429
174,Pet Sematary,Stephen King,Horror,978-1501156700,18.00,35,1983,Gallery Books,416,Sometimes dead is better.,3.6,27859
175,It,Stephen King,Horror,978-1501142970,19.99,40,1986,Scribner,1138,A clown terrorizes a small town.,4.7,2989
176,The Shining,Stephen King,Horror,978-0307743657,17.00,45,1977,Anchor,447,A family winters at an isolated hotel.,3.5,8673
177,Bird Box,Josh Malerman,Horror,978-0062259660,16.99,32,2014,Ecco,262,Something outside will drive you mad if you look.,4.5,17267
178,The Exorcist,William Peter Blatty,Horror,978-0061007224,16.99,22,1971,Harper,385,A girl is possessed by a demon.,3.7,29056
