id,title,rating,duration_minutes,genre,description,release_date,director,cast
MOV031,Oppenheimer,R,180,Drama/Biography,The story of J. Robert Oppenheimer and his role in the development of the atomic bomb.,2023-07-21,Christopher Nolan,Cillian Murphy; Emily Blunt; Robert Downey Jr.; Matt Damon
MOV032,Barbie,PG-13,114,Comedy/Fantasy,Barbie suffers a crisis that leads her to question her world and her existence.,2023-07-21,Greta Gerwig,Margot Robbie; Ryan Gosling; America Ferrera; Kate McKinnon
MOV033,Spider-Man: Across the Spider-Verse,PG,140,Animation/Action,Miles Morales catapults across the Multiverse where he encounters a team of Spider-People.,2023-06-02,Joaquim Dos Santos,Shameik Moore; Hailee Steinfeld; Oscar Isaac; Jake Johnson
MOV034,The Super Mario Bros. Movie,PG,92,Animation/Adventure,Mario and Luigi go on a whirlwind adventure through the Mushroom Kingdom.,2023-04-05,Aaron Horvath,Chris Pratt; Anya Taylor-Joy; Charlie Day; Jack Black
MOV035,John Wick: Chapter 4,R,169,Action/Thriller,John Wick uncovers a path to defeating The High Table but must face a new enemy with powerful alliances.,2023-03-24,Chad Stahelski,Keanu Reeves; Donnie Yen; Bill Skarsgård; Ian McShane
MOV036,Guardians of the Galaxy Vol. 3,PG-13,150,Action/Adventure,The Guardians must protect Rocket while facing threats from his past and a powerful new enemy.,2023-05-05,James Gunn,Chris Pratt; Zoe Saldana; Dave Bautista; Bradley Cooper
MOV037,Mission: Impossible - Dead Reckoning Part One,PG-13,163,Action/Thriller,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,2023-07-12,Christopher McQuarrie,Tom Cruise; Hayley Atwell; Ving Rhames; Simon Pegg
MOV038,The Holdovers,R,133,Comedy/Drama,A cranky teacher at a prep school is forced to remain on campus over Christmas with a student who has nowhere to go.,2023-10-27,Alexander Payne,Paul Giamatti; Da'Vine Joy Randolph; Dominic Sessa
MOV039,Killers of the Flower Moon,R,206,Drama/History,Members of the Osage tribe in the United States are murdered under mysterious circumstances.,2023-10-20,Martin Scorsese,Leonardo DiCaprio; Robert De Niro; Lily Gladstone
MOV040,Poor Things,R,141,Comedy/Drama,The incredible tale of Belle Baxter brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.,2023-12-08,Yorgos Lanthimos,Emma Stone; Mark Ruffalo; Willem Dafoe
MOV041,American Fiction,R,117,Comedy/Drama,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book.,2023-12-15,Cord Jefferson,Jeffrey Wright; Tracee Ellis Ross; John Ortiz; Issa Rae
MOV042,Anatomy of a Fall,R,151,Drama/Thriller,A woman is suspected of her husband's murder and their blind son faces a moral dilemma as the sole witness.,2023-10-13,Justine Triet,Sandra Hüller; Swann Arlaud; Milo Machado Graner
MOV043,May December,R,117,Drama,A director visits a couple whose marriage many years ago became tabloid fodder.,2023-11-17,Todd Haynes,Natalie Portman; Julianne Moore; Charles Melton
MOV044,The Zone of Interest,PG-13,105,Drama/History,The commandant of Auschwitz and his wife strive to build a dream life for their family in a house beside the camp.,2023-12-15,Jonathan Glazer,Christian Friedel; Sandra Hüller
MOV045,Past Lives,PG-13,105,Drama/Romance,Two childhood friends are reunited in New York for one fateful week as they confront notions of destiny and love.,2023-06-02,Celine Song,Greta Lee; Teo Yoo; John Magaro
MOV046,The Iron Claw,R,132,Drama/Biography,The story of the Von Erichs a dynasty of wrestlers who made a huge impact on the sport from the 1960s to the 1980s.,2023-12-22,Sean Durkin,Zac Efron; Jeremy Allen White; Harris Dickinson
MOV047,Anyone But You,R,103,Comedy/Romance,Two people who hate each other find themselves at a destination wedding.,2023-12-22,Will Gluck,Sydney Sweeney; Glen Powell; Alexandra Shipp
MOV048,Mean Girls,PG-13,112,Comedy/Musical,A new student at a high school must navigate cliques and social hierarchy.,2024-01-12,Samantha Jayne,Angourie Rice; Renee Rapp; Auli'i Cravalho; Jaquel Spivey
MOV049,Argylle,PG-13,139,Action/Thriller,A reclusive author who writes espionage novels finds her fictional plots crossing paths with reality.,2024-02-02,Matthew Vaughn,Bryce Dallas Howard; Sam Rockwell; Henry Cavill
MOV050,Madame Web,PG-13,116,Action/Sci-Fi,A paramedic develops psychic abilities and realizes she can see the future.,2024-02-14,S.J. Clarkson,Dakota Johnson; Sydney Sweeney; Isabela Merced
MOV051,Bob Marley: One Love,PG-13,104,Drama/Biography,A celebration of the life and music of Bob Marley.,2024-02-14,Reinaldo Marcus Green,Kingsley Ben-Adir; Lashana Lynch; James Norton
MOV052,Drive-Away Dolls,R,84,Comedy/Crime,Two young women take a road trip with an unexpected stowaway.,2024-02-23,Ethan Coen,Margaret Qualley; Geraldine Viswanathan; Beanie Feldstein
MOV053,Imaginary,PG-13,104,Horror,A woman moves back into her childhood home and her stepdaughter finds a stuffed bear with sinister abilities.,2024-03-08,Jeff Wadlow,DeWanda Wise; Tom Payne; Taegen Burns
MOV054,Love Lies Bleeding,R,104,Romance/Thriller,A gym manager falls for an ambitious bodybuilder caught up in a web of crime.,2024-03-08,Rose Glass,Kristen Stewart; Katy O'Brian; Ed Harris
MOV055,Monkey Man,R,121,Action/Thriller,An underground fighter seeks revenge against corrupt leaders who murdered his mother.,2024-04-05,Dev Patel,Dev Patel; Sharlto Copley; Pitobash
MOV056,Abigail,R,109,Horror/Comedy,A group of criminals kidnap a ballerina for ransom but discover she's no ordinary girl.,2024-04-19,Matt Bettinelli-Olpin,Melissa Barrera; Dan Stevens; Alisha Weir
MOV057,Unfrosted,PG-13,93,Comedy,The story of Kellogg's and Post's race to create a new breakfast pastry.,2024-05-03,Jerry Seinfeld,Jerry Seinfeld; Melissa McCarthy; Jim Gaffigan; Hugh Grant
MOV058,IF,PG,104,Comedy/Fantasy,A girl discovers she can see imaginary friends and embarks on a magical adventure.,2024-05-17,John Krasinski,Cailey Fleming; Ryan Reynolds; John Krasinski; Fiona Shaw
MOV059,The Garfield Movie,PG,101,Animation/Comedy,Garfield is taken on an outdoor adventure with his estranged father.,2024-05-24,Mark Dindal,Chris Pratt; Samuel L. Jackson; Hannah Waddingham
MOV060,The Watchers,PG-13,102,Horror/Thriller,A 28-year-old artist gets stranded in an expansive forest in western Ireland.,2024-06-07,Ishana Night Shyamalan,Dakota Fanning; Georgina Campbell; Olwen Fouéré
MOV061,The Bikeriders,R,116,Drama,A woman tells the story of a Midwestern motorcycle club as it transforms into a gang.,2024-06-21,Jeff Nichols,Austin Butler; Jodie Comer; Tom Hardy; Michael Shannon
MOV062,MaXXXine,R,103,Horror/Thriller,In 1980s Hollywood an adult film star pursues fame while a mysterious killer stalks adult film stars.,2024-07-05,Ti West,Mia Goth; Elizabeth Debicki; Moses Sumney; Michelle Monaghan
MOV063,Fly Me to the Moon,PG-13,132,Comedy/Romance,Marketing specialist is hired to fix NASA's public image during the moon landing.,2024-07-12,Greg Berlanti,Scarlett Johansson; Channing Tatum; Nick Dillenburg
MOV064,Longlegs,R,101,Horror/Thriller,An FBI agent is assigned to an unsolved serial killer case that unravels a series of occult clues.,2024-07-12,Osgood Perkins,Maika Monroe; Nicolas Cage; Blair Underwood
MOV065,Trap,PG-13,105,Thriller,A father and daughter attend a concert only to realize they've entered the epicenter of a dark event.,2024-08-02,M. Night Shyamalan,Josh Hartnett; Ariel Donoghue; Saleka Shyamalan
MOV066,Harold and the Purple Crayon,PG,91,Animation/Adventure,Harold uses his magical purple crayon to escape his animated homeland.,2024-08-02,Carlos Saldanha,Zachary Levi; Lil Rel Howery; Zooey Deschanel
MOV067,Blink Twice,R,102,Thriller,A tech billionaire invites a cocktail waitress to his private island.,2024-08-23,Zoë Kravitz,Naomi Ackie; Channing Tatum; Christian Slater
MOV068,The Crow,R,111,Action/Fantasy,A man returns from the dead to avenge his and his fiancée's murders.,2024-08-23,Rupert Sanders,Bill Skarsgård; FKA Twigs; Danny Huston
MOV069,Reagan,PG-13,135,Drama/Biography,The story of Ronald Reagan's journey from humble beginnings to the presidency.,2024-08-30,Sean McNamara,Dennis Quaid; Penelope Ann Miller; Jon Voight
MOV070,The Substance,R,140,Horror/Sci-Fi,A fading celebrity discovers a black market drug that promises to make her young again.,2024-09-20,Coralie Fargeat,Demi Moore; Margaret Qualley; Dennis Quaid
MOV071,Speak No Evil,PG-13,110,Horror/Thriller,A family is invited to stay at the country estate of another couple they met on vacation.,2024-09-13,James Watkins,James McAvoy; Mackenzie Davis; Scoot McNairy
MOV072,The Apprentice,R,120,Drama/Biography,A young Donald Trump in 1970s and 80s New York is mentored by the ruthless lawyer Roy Cohn.,2024-10-11,Ali Abbasi,Sebastian Stan; Jeremy Strong; Maria Bakalova
MOV073,Terrifier 3,R,125,Horror,Art the Clown returns to terrorize the residents of Miles County on Christmas Eve.,2024-10-11,Damien Leone,David Howard Thornton; Lauren LaVera; Samantha Scaffidi
MOV074,Conclave,PG-13,120,Drama/Thriller,Cardinals gather to vote for a new Pope following the unexpected death of the beloved pontiff.,2024-10-25,Edward Berger,Ralph Fiennes; Stanley Tucci; John Lithgow; Isabella Rossellini
MOV075,Here,PG-13,104,Drama,The story of multiple families who lived in one home over the course of a century.,2024-11-01,Robert Zemeckis,Tom Hanks; Robin Wright; Paul Bettany
MOV076,Heretic,R,111,Horror/Thriller,Two young missionaries are forced to prove their faith when they knock on the door of the wrong house.,2024-11-08,Scott Beck,Hugh Grant; Sophie Thatcher; Chloe East
MOV077,Red One,PG-13,123,Action/Comedy,After Santa Claus is kidnapped the Head of North Pole Security must team up with a bounty hunter.,2024-11-15,Jake Kasdan,Dwayne Johnson; Chris Evans; Lucy Liu; J.K. Simmons
MOV078,A Real Pain,R,90,Comedy/Drama,Mismatched cousins reunite for a tour through Poland to honor their grandmother.,2024-11-01,Jesse Eisenberg,Jesse Eisenberg; Kieran Culkin; Will Sharpe
MOV079,Anora,R,139,Comedy/Drama,A young sex worker from Brooklyn gets her chance at a Cinderella story.,2024-11-27,Sean Baker,Mikey Madison; Mark Eydelshteyn; Yura Borisov
MOV080,Queer,R,135,Drama/Romance,An American expat and his intoxicated, chaotic life in 1950s Mexico City.,2024-11-27,Luca Guadagnino,Daniel Craig; Drew Starkey; Jason Schwartzman
