id,name,category,description,price,stock,is_vegan,is_gluten_free,is_dairy_free,is_nut_free,calories,allergens,ingredients,available_daily
86,Shortbread Cookie,Cookies,Traditional Scottish butter cookie,2.49,40,0,0,0,1,160,Wheat Dairy,"Flour, butter, sugar, salt",1
87,Biscotti (Almond),Cookies,Twice-baked Italian cookie perfect for dipping,2.99,35,0,0,0,0,140,Wheat Eggs Tree Nuts,"Flour, almonds, eggs, sugar, anise, vanilla",1
88,Biscotti (Chocolate Hazelnut),Cookies,Chocolate biscotti studded with hazelnuts,3.29,30,0,0,0,0,160,Wheat Eggs Tree Nuts,"Flour, cocoa, hazelnuts, eggs, sugar, vanilla",1
89,Coconut Macaroon,Cookies,Chewy coconut cookie dipped in chocolate,2.79,35,0,1,0,1,150,Eggs,"Coconut, egg whites, sugar, vanilla, chocolate",1
90,Linzer Cookie,Cookies,Almond cookie sandwich filled with raspberry jam,3.49,25,0,0,0,0,200,Wheat Dairy Eggs Tree Nuts,"Flour, almonds, butter, eggs, raspberry jam, powdered sugar",1
91,Mushroom Swiss Quiche,Savory,Earthy mushrooms and Swiss cheese in flaky crust,6.49,15,0,0,0,1,360,Wheat Dairy Eggs,"Flour, butter, mushrooms, Swiss cheese, eggs, cream",1
92,Tomato Basil Quiche,Savory,Fresh tomatoes and basil with mozzarella,5.99,16,0,0,0,1,330,Wheat Dairy Eggs,"Flour, butter, tomatoes, basil, mozzarella, eggs, cream",1
93,Chicken Pot Pie (individual),Savory,Creamy chicken and vegetables in flaky crust,7.99,18,0,0,0,1,480,Wheat Dairy Eggs,"Flour, butter, chicken, peas, carrots, cream, eggs",1
94,Beef and Ale Pie (individual),Savory,Slow-braised beef in rich ale gravy,8.49,12,0,0,0,1,520,Wheat Dairy Eggs,"Flour, butter, beef, ale, onions, mushrooms, eggs",1
95,Spanakopita,Savory,Greek spinach and feta wrapped in phyllo,4.99,20,0,0,0,1,280,Wheat Dairy Eggs,"Phyllo, spinach, feta, eggs, onions, dill, olive oil",1
96,Cheese Straws,Savory,Flaky puff pastry twisted with cheddar,3.49,30,0,0,0,1,180,Wheat Dairy,"Puff pastry, cheddar cheese, cayenne, paprika",1
97,Empanada (Beef),Savory,Argentine pastry filled with seasoned beef,4.49,22,0,0,0,1,320,Wheat Eggs,"Flour, beef, onions, olives, eggs, paprika, cumin",1
98,Empanada (Chicken),Savory,Flaky pastry filled with seasoned chicken,4.49,20,0,0,0,1,300,Wheat Eggs,"Flour, chicken, onions, peppers, eggs, oregano",1
99,Vegan Mushroom Hand Pie,Savory,Flaky pie filled with savory mushroom mixture,5.49,15,1,0,1,1,290,Wheat,"Flour, coconut oil, mushrooms, onions, thyme, vegetable broth",1
100,Gluten-Free Quiche (Broccoli Cheddar),Savory,Crustless quiche with broccoli and cheddar,7.49,10,0,1,0,1,280,Dairy Eggs,"Eggs, broccoli, cheddar cheese, cream, onions, garlic",1
101,Pain au Chocolat,Pastries,French chocolate-filled puff pastry,4.29,35,0,0,0,1,320,Wheat Dairy Eggs,"Puff pastry, butter, dark chocolate, eggs",1
102,Bear Claw,Pastries,Almond-filled pastry shaped like a bear claw,3.99,25,0,0,0,0,350,Wheat Dairy Eggs Tree Nuts,"Flour, butter, almond paste, sugar, eggs",1
103,Kouign-Amann,Pastries,Caramelized Breton butter cake,4.99,18,0,0,0,1,400,Wheat Dairy,"Flour, butter, sugar, salt, yeast",1
104,Palmier,Pastries,Crispy caramelized puff pastry hearts,2.99,30,0,0,0,1,180,Wheat Dairy,"Puff pastry, butter, sugar",1
105,Napoleon (Mille-Feuille),Pastries,Layers of puff pastry with vanilla cream,5.49,15,0,0,0,1,380,Wheat Dairy Eggs,"Puff pastry, pastry cream, fondant, chocolate",1
106,Cream Puff,Pastries,Light choux pastry filled with vanilla cream,3.99,25,0,0,0,1,280,Wheat Dairy Eggs,"Flour, butter, eggs, vanilla pastry cream",1
107,Profiterole,Pastries,Cream puffs drizzled with chocolate sauce,4.49,20,0,0,0,1,320,Wheat Dairy Eggs,"Flour, butter, eggs, pastry cream, chocolate sauce",1
108,Cannoli,Pastries,Sicilian crispy shell filled with sweet ricotta,4.49,22,0,0,0,0,310,Wheat Dairy Eggs,"Flour, ricotta, powdered sugar, chocolate chips, pistachios",1
109,Strudel (Apple),Pastries,Thin-layered Austrian pastry with spiced apples,4.99,15,0,0,0,1,280,Wheat Dairy,"Flour, apples, raisins, cinnamon, bread crumbs, butter",1
110,Rugelach (Chocolate),Pastries,Crescent-shaped Jewish pastry with chocolate,3.49,25,0,0,0,1,180,Wheat Dairy Eggs,"Flour, cream cheese, butter, chocolate, walnuts",1
111,Lemon Poppy Seed Muffin,Pastries,Bright lemon muffin with crunchy poppy seeds,3.49,35,0,0,0,1,280,Wheat Dairy Eggs,"Flour, poppy seeds, lemon, butter, eggs, sugar",1
112,Carrot Muffin,Pastries,Spiced muffin with carrots and cream cheese swirl,3.79,28,0,0,0,1,300,Wheat Dairy Eggs,"Flour, carrots, cream cheese, sugar, eggs, cinnamon, nutmeg",1
113,Corn Muffin,Pastries,Sweet and savory cornmeal muffin,2.99,40,0,0,0,1,220,Wheat Dairy Eggs,"Cornmeal, flour, butter, eggs, milk, honey",1
114,Morning Glory Muffin,Pastries,Hearty muffin with carrots apples and coconut,3.79,25,0,0,0,1,310,Wheat Dairy Eggs,"Flour, carrots, apples, coconut, raisins, eggs, oil",1
115,Pumpkin Muffin,Pastries,Spiced pumpkin muffin with cream cheese frosting,3.79,22,0,0,0,1,290,Wheat Dairy Eggs,"Flour, pumpkin puree, cream cheese, eggs, cinnamon, nutmeg",0
116,Vegan Banana Muffin,Pastries,Moist banana muffin made without animal products,3.99,18,1,0,1,1,260,Wheat,"Flour, bananas, coconut oil, maple syrup, oat milk, vanilla",1
117,Gluten-Free Blueberry Muffin,Pastries,Almond flour muffin bursting with blueberries,4.49,15,0,1,0,0,270,Eggs Tree Nuts,"Almond flour, blueberries, eggs, honey, coconut oil",1
118,Cinnamon Raisin Bagel,Bread,Sweet bagel with cinnamon swirl and raisins,2.99,35,1,0,1,1,290,Wheat,"Flour, raisins, cinnamon, malt, water, yeast",1
119,Sesame Bagel,Bread,Classic bagel coated with toasted sesame seeds,2.69,38,1,0,1,1,270,Wheat Sesame,"Flour, sesame seeds, malt, water, yeast, salt",1
120,Onion Bagel,Bread,Savory bagel topped with dried onion flakes,2.69,35,1,0,1,1,260,Wheat,"Flour, dried onion, malt, water, yeast, salt",1
121,Asiago Bagel,Bread,Bagel topped with melted asiago cheese,3.29,28,0,0,0,1,300,Wheat Dairy,"Flour, asiago cheese, malt, water, yeast, salt",1
122,Blueberry Bagel,Bread,Sweet bagel studded with dried blueberries,3.19,30,1,0,1,1,280,Wheat,"Flour, dried blueberries, malt, water, yeast, sugar",1
123,Garlic Knots,Bread,Soft bread knots brushed with garlic butter,3.49,40,0,0,0,1,180,Wheat Dairy,"Flour, butter, garlic, parsley, parmesan, yeast",1
124,Dinner Roll (6 pack),Bread,Soft fluffy dinner rolls,4.99,35,0,0,0,1,120,Wheat Dairy Eggs,"Flour, butter, eggs, milk, yeast, sugar",1
125,Parker House Rolls (6 pack),Bread,Buttery folded dinner rolls,5.49,28,0,0,0,1,140,Wheat Dairy Eggs,"Flour, butter, eggs, milk, yeast, sugar",1
126,Hawaiian Sweet Rolls (6 pack),Bread,Soft sweet rolls with pineapple flavor,5.99,25,0,0,0,1,160,Wheat Dairy Eggs,"Flour, butter, eggs, pineapple juice, brown sugar, yeast",1
127,Monkey Bread,Bread,Pull-apart bread coated in cinnamon sugar,12.99,10,0,0,0,1,380,Wheat Dairy Eggs,"Flour, butter, brown sugar, cinnamon, yeast, cream cheese glaze",1
128,Coffee Cake,Cakes,Cinnamon streusel topped breakfast cake,5.99,18,0,0,0,1,340,Wheat Dairy Eggs,"Flour, butter, sour cream, eggs, cinnamon, brown sugar",1
129,Bundt Cake (Vanilla),Cakes,Classic vanilla bundt with vanilla glaze,24.99,8,0,0,0,1,320,Wheat Dairy Eggs,"Flour, butter, eggs, vanilla, sour cream, sugar",0
130,Bundt Cake (Chocolate),Cakes,Rich chocolate bundt with chocolate glaze,26.99,6,0,0,0,1,380,Wheat Dairy Eggs,"Flour, cocoa, butter, eggs, sour cream, chocolate glaze",0
131,Fruit Tartlet,Pastries,Individual tart with pastry cream and fresh fruit,4.99,18,0,0,0,1,240,Wheat Dairy Eggs,"Flour, butter, eggs, pastry cream, seasonal fruits",1
132,Chocolate Tart,Pastries,Rich chocolate ganache in buttery shell,5.49,15,0,0,0,1,380,Wheat Dairy Eggs,"Flour, butter, chocolate, cream, eggs, sugar",1
133,Pecan Tart,Pastries,Individual pecan tart with caramel filling,5.49,14,0,0,0,0,420,Wheat Dairy Eggs Tree Nuts,"Flour, butter, pecans, corn syrup, brown sugar, eggs",1
134,Lemon Tart,Pastries,Tangy lemon curd in crisp pastry shell,5.29,16,0,0,0,1,280,Wheat Dairy Eggs,"Flour, butter, lemons, eggs, sugar",1
135,Vegan Chocolate Tart,Pastries,Rich chocolate tart made with coconut cream,6.49,10,1,0,1,1,360,Wheat,"Flour, coconut oil, dark chocolate, coconut cream, maple syrup",1
136,Cheese Danish Braid,Pastries,Large danish braid filled with sweet cheese,8.99,12,0,0,0,1,340,Wheat Dairy Eggs,"Flour, butter, cream cheese, eggs, sugar, vanilla",1
137,Raspberry Danish,Pastries,Flaky pastry with raspberry filling and icing,4.29,22,0,0,0,1,310,Wheat Dairy Eggs,"Flour, butter, raspberries, cream cheese, eggs, sugar",1
138,Peach Danish,Pastries,Danish pastry topped with glazed peaches,4.29,20,0,0,0,1,300,Wheat Dairy Eggs,"Flour, butter, peaches, cream cheese, eggs, sugar",0
139,Sugar-Free Oat Cookie,Cookies,Sweetened with stevia for diabetic-friendly option,3.49,20,0,0,0,1,120,Wheat Oats,"Oats, flour, butter, stevia, eggs, vanilla",1
140,Keto Chocolate Brownie,Pastries,Low-carb brownie made with almond flour,4.99,12,0,1,0,0,180,Eggs Tree Nuts,"Almond flour, cocoa, butter, eggs, erythritol, vanilla",1
