id,name,brand,category,subcategory,price,description,specs_json,in_stock,stock_quantity,warranty_months,price_match_eligible
LP009,Microsoft Surface Laptop 6,Microsoft,Laptops,Business,1199.99,Premium design with Intel Core Ultra,"{""display"": ""13.5 inch PixelSense"", ""processor"": ""Intel Core Ultra 5"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""touchscreen"": true}",1,12,12,1
LP010,Razer Blade 15,Razer,Laptops,Gaming,2499.99,Ultimate gaming laptop with RTX 4080,"{""display"": ""15.6 inch QHD 240Hz"", ""processor"": ""Intel Core i9"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""graphics"": ""NVIDIA RTX 4080""}",0,0,12,1
LP011,MacBook Pro 16" M3 Max,Apple,Laptops,Professional,3499.99,M3 Max chip for ultimate creative performance,"{""display"": ""16.2 inch Liquid Retina XDR"", ""chip"": ""Apple M3 Max"", ""ram"": ""36GB"", ""storage"": ""1TB SSD"", ""battery"": ""22 hours""}",1,5,12,1
LP012,Dell Inspiron 15,Dell,Laptops,Consumer,599.99,Everyday computing at an affordable price,"{""display"": ""15.6 inch FHD"", ""processor"": ""Intel Core i5"", ""ram"": ""8GB"", ""storage"": ""512GB SSD""}",1,35,12,1
LP013,HP Pavilion 15,HP,Laptops,Consumer,549.99,Versatile laptop for work and play,"{""display"": ""15.6 inch FHD"", ""processor"": ""AMD Ryzen 5"", ""ram"": ""8GB"", ""storage"": ""256GB SSD""}",1,40,12,1
LP014,Lenovo IdeaPad Flex 5,Lenovo,Laptops,Convertible,699.99,Flexible 2-in-1 for creative tasks,"{""display"": ""14 inch FHD Touch"", ""processor"": ""AMD Ryzen 5"", ""ram"": ""8GB"", ""storage"": ""512GB SSD"", ""touchscreen"": true}",1,25,12,1
LP015,ASUS VivoBook 15,ASUS,Laptops,Consumer,449.99,Colorful and capable everyday laptop,"{""display"": ""15.6 inch FHD"", ""processor"": ""Intel Core i3"", ""ram"": ""8GB"", ""storage"": ""256GB SSD""}",1,45,12,1
LP016,Acer Nitro 5,Acer,Laptops,Gaming,899.99,Entry-level gaming with RTX graphics,"{""display"": ""15.6 inch FHD 144Hz"", ""processor"": ""Intel Core i5"", ""ram"": ""8GB"", ""storage"": ""512GB SSD"", ""graphics"": ""NVIDIA RTX 4050""}",1,18,12,1
LP017,MSI Stealth 16 Studio,MSI,Laptops,Gaming,2299.99,Professional-grade gaming laptop,"{""display"": ""16 inch QHD+ 240Hz"", ""processor"": ""Intel Core i9"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""graphics"": ""NVIDIA RTX 4070""}",1,6,12,1
LP018,Lenovo Legion Pro 7i,Lenovo,Laptops,Gaming,2199.99,Maximum gaming performance,"{""display"": ""16 inch WQXGA 240Hz"", ""processor"": ""Intel Core i9"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""graphics"": ""NVIDIA RTX 4080""}",1,5,12,1
LP019,HP Envy x360 15,HP,Laptops,Convertible,899.99,Premium 2-in-1 with AMD power,"{""display"": ""15.6 inch FHD OLED Touch"", ""processor"": ""AMD Ryzen 7"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""touchscreen"": true}",1,14,12,1
LP020,Dell G15,Dell,Laptops,Gaming,999.99,Affordable gaming with solid performance,"{""display"": ""15.6 inch FHD 120Hz"", ""processor"": ""Intel Core i7"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""graphics"": ""NVIDIA RTX 4060""}",1,15,12,1
LP021,ASUS Zenbook 14 OLED,ASUS,Laptops,Professional,999.99,Stunning OLED in ultraportable design,"{""display"": ""14 inch 2.8K OLED"", ""processor"": ""Intel Core Ultra 5"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}",1,12,12,1
LP022,Samsung Galaxy Book4 Pro,Samsung,Laptops,Professional,1299.99,AMOLED display with Galaxy ecosystem,"{""display"": ""14 inch 3K AMOLED"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}",1,10,12,1
LP023,Microsoft Surface Laptop Studio 2,Microsoft,Laptops,Professional,1999.99,Versatile creative powerhouse,"{""display"": ""14.4 inch PixelSense Flow"", ""processor"": ""Intel Core i7"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""graphics"": ""NVIDIA RTX 4050""}",1,8,12,1
LP024,Acer Swift Go 14,Acer,Laptops,Consumer,799.99,Lightweight productivity laptop,"{""display"": ""14 inch WQXGA+"", ""processor"": ""Intel Core Ultra 5"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}",1,20,12,1
LP025,Lenovo Yoga 9i,Lenovo,Laptops,Convertible,1499.99,Premium 2-in-1 with rotating soundbar,"{""display"": ""14 inch 4K OLED Touch"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""touchscreen"": true}",1,8,12,1
TB001,iPad Pro 12.9" M4 256GB,Apple,Tablets,Premium,1099.99,Ultra Retina XDR display with M4 chip,"{""display"": ""12.9 inch Ultra Retina XDR"", ""chip"": ""Apple M4"", ""storage"": ""256GB"", ""cellular"": false, ""apple_pencil"": ""Pro""}",1,15,12,1
TB002,iPad Pro 11" M4 256GB,Apple,Tablets,Premium,999.99,Compact Pro with M4 power,"{""display"": ""11 inch Ultra Retina XDR"", ""chip"": ""Apple M4"", ""storage"": ""256GB"", ""cellular"": false, ""apple_pencil"": ""Pro""}",1,18,12,1
TB003,iPad Air 13" M2 256GB,Apple,Tablets,Mid-Range,799.99,Air with M2 chip and larger display,"{""display"": ""13 inch Liquid Retina"", ""chip"": ""Apple M2"", ""storage"": ""256GB"", ""cellular"": false, ""apple_pencil"": ""Pro""}",1,20,12,1
TB004,iPad Air 11" M2 128GB,Apple,Tablets,Mid-Range,599.99,Perfect balance of power and portability,"{""display"": ""11 inch Liquid Retina"", ""chip"": ""Apple M2"", ""storage"": ""128GB"", ""cellular"": false, ""apple_pencil"": ""Pro""}",1,25,12,1
TB005,iPad 10th Gen 64GB,Apple,Tablets,Entry,449.99,Colorful iPad with A14 Bionic,"{""display"": ""10.9 inch Liquid Retina"", ""chip"": ""A14 Bionic"", ""storage"": ""64GB"", ""cellular"": false, ""apple_pencil"": ""1st Gen""}",1,35,12,1
TB006,iPad mini 6 64GB,Apple,Tablets,Compact,499.99,Mighty powerful in a compact size,"{""display"": ""8.3 inch Liquid Retina"", ""chip"": ""A15 Bionic"", ""storage"": ""64GB"", ""cellular"": false, ""apple_pencil"": ""2nd Gen""}",1,28,12,1
TB007,Samsung Galaxy Tab S9 Ultra 256GB,Samsung,Tablets,Premium,1199.99,14.6 inch AMOLED with S Pen,"{""display"": ""14.6 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 2"", ""storage"": ""256GB"", ""s_pen"": true, ""water_resistant"": true}",1,10,12,1
TB008,Samsung Galaxy Tab S9+ 256GB,Samsung,Tablets,Premium,999.99,Large AMOLED display for productivity,"{""display"": ""12.4 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 2"", ""storage"": ""256GB"", ""s_pen"": true, ""water_resistant"": true}",1,12,12,1
TB009,Samsung Galaxy Tab S9 128GB,Samsung,Tablets,Mid-Range,799.99,Compact flagship tablet,"{""display"": ""11 inch Dynamic AMOLED 2X"", ""chip"": ""Snapdragon 8 Gen 2"", ""storage"": ""128GB"", ""s_pen"": true, ""water_resistant"": true}",1,18,12,1
TB010,Samsung Galaxy Tab S9 FE 128GB,Samsung,Tablets,Mid-Range,449.99,Fan Edition with premium features,"{""display"": ""10.9 inch LCD"", ""chip"": ""Exynos 1380"", ""storage"": ""128GB"", ""s_pen"": true, ""water_resistant"": true}",1,25,12,1
TB011,Microsoft Surface Pro 10,Microsoft,Tablets,2-in-1,1199.99,Pro tablet with Intel Core Ultra,"{""display"": ""13 inch PixelSense Flow"", ""processor"": ""Intel Core Ultra 5"", ""storage"": ""256GB SSD"", ""ram"": ""16GB"", ""kickstand"": true}",1,12,12,1
TB012,Microsoft Surface Go 4,Microsoft,Tablets,2-in-1,599.99,Portable Surface for everyday tasks,"{""display"": ""10.5 inch PixelSense"", ""processor"": ""Intel N200"", ""storage"": ""128GB SSD"", ""ram"": ""8GB"", ""kickstand"": true}",1,20,12,1
TB013,Amazon Fire HD 10 64GB,Amazon,Tablets,Budget,149.99,Great value tablet for entertainment,"{""display"": ""10.1 inch FHD"", ""storage"": ""64GB"", ""ram"": ""3GB"", ""alexa"": true}",1,60,12,0
TB014,Amazon Fire HD 8 32GB,Amazon,Tablets,Budget,99.99,Compact tablet for media consumption,"{""display"": ""8 inch HD"", ""storage"": ""32GB"", ""ram"": ""2GB"", ""alexa"": true}",1,75,12,0
TB015,Lenovo Tab P12 128GB,Lenovo,Tablets,Mid-Range,349.99,Large display Android tablet,"{""display"": ""12.7 inch 3K"", ""chip"": ""MediaTek Dimensity 7050"", ""storage"": ""128GB"", ""stylus"": true}",1,22,12,1
SH001,Google Nest Learning Thermostat,Google,Smart Home,Thermostats,249.99,Learns your schedule and programs itself to save energy,"{""display"": ""2.08 inch LCD"", ""wifi"": true, ""compatibility"": ""Works with Google Assistant and Alexa"", ""sensors"": ""Temperature, Humidity, Occupancy""}",1,30,24,1
SH002,Amazon Echo Show 10,Amazon,Smart Home,Smart Displays,249.99,Smart display with motion that follows you,"{""display"": ""10.1 inch HD"", ""speaker"": ""2x 1 inch tweeters"", ""camera"": ""13MP"", ""alexa"": true, ""motion"": true}",1,25,12,1
SH003,Ring Video Doorbell Pro 2,Ring,Smart Home,Security,249.99,Advanced security with 3D Motion Detection and Bird's Eye View,"{""resolution"": ""1536p HD+"", ""field_of_view"": ""150 degrees"", ""two_way_audio"": true, ""night_vision"": true, ""subscription_required"": true}",1,35,12,1
SH004,Philips Hue Starter Kit,Philips,Smart Home,Lighting,199.99,Smart lighting system with 4 color bulbs and Bridge,"{""bulbs"": 4, ""lumens"": ""800 per bulb"", ""colors"": ""16 million"", ""bridge_included"": true, ""voice_control"": true}",1,40,24,1
SH005,Ecobee Smart Thermostat Premium,Ecobee,Smart Home,Thermostats,249.99,Built-in air quality monitor and smart sensor included,"{""display"": ""Glass touch display"", ""wifi"": true, ""air_quality"": true, ""smart_sensor"": true, ""siri_alexa_google"": true}",1,20,36,1
SH006,Arlo Pro 4 Security Camera 3-Pack,Arlo,Smart Home,Security,499.99,Wire-free 2K HDR security cameras with color night vision,"{""resolution"": ""2K HDR"", ""field_of_view"": ""160 degrees"", ""battery"": ""Up to 6 months"", ""two_way_audio"": true, ""spotlight"": true}",1,15,12,1
SH007,August Wi-Fi Smart Lock,August,Smart Home,Locks,229.99,Retrofit smart lock with built-in Wi-Fi,"{""connectivity"": ""Wi-Fi, Bluetooth"", ""auto_lock"": true, ""auto_unlock"": true, ""voice_control"": true, ""doorsense"": true}",1,25,12,1
SH008,Nest Cam Indoor/Outdoor,Google,Smart Home,Security,179.99,Weatherproof camera with 24/7 live video,"{""resolution"": ""1080p HDR"", ""field_of_view"": ""135 degrees"", ""battery"": ""Built-in"", ""night_vision"": true, ""two_way_audio"": true}",1,30,12,1
SH009,Wyze Cam v3 Pro,Wyze,Smart Home,Security,35.99,Affordable 2K security camera,"{""resolution"": ""2K"", ""field_of_view"": ""130 degrees"", ""night_vision"": true, ""two_way_audio"": true, ""local_storage"": true}",1,100,12,0
SH010,TP-Link Kasa Smart Plug 4-Pack,TP-Link,Smart Home,Plugs,29.99,Simple smart home automation,"{""max_load"": ""15A"", ""wifi"": true, ""voice_control"": true, ""scheduling"": true, ""energy_monitoring"": false}",1,75,12,0
SH011,Amazon Echo Dot 5th Gen,Amazon,Smart Home,Smart Speakers,49.99,Compact smart speaker with Alexa,"{""speaker"": ""1.73 inch"", ""wifi"": true, ""bluetooth"": true, ""alexa"": true}",1,80,12,1
SH012,Google Nest Hub 2nd Gen,Google,Smart Home,Smart Displays,99.99,Smart display for your home,"{""display"": ""7 inch"", ""speaker"": ""1.7 inch"", ""google_assistant"": true, ""sleep_sensing"": true}",1,45,12,1
SH013,Apple HomePod mini,Apple,Smart Home,Smart Speakers,99.99,Room-filling sound with Siri,"{""speaker"": ""Full-range"", ""wifi"": true, ""bluetooth"": true, ""siri"": true, ""thread"": true}",1,50,12,1
SH014,Sonos One,Sonos,Smart Home,Smart Speakers,219.99,Smart speaker with Alexa and Google Assistant,"{""speaker"": ""Tweeter + Mid-woofer"", ""wifi"": true, ""voice_control"": true, ""trueplay"": true}",1,25,24,1
SH015,Ring Indoor Cam,Ring,Smart Home,Security,59.99,Compact indoor security camera,"{""resolution"": ""1080p"", ""field_of_view"": ""140 degrees"", ""two_way_audio"": true, ""night_vision"": true}",1,55,12,1
SH016,Nanoleaf Shapes Hexagons Starter Kit,Nanoleaf,Smart Home,Lighting,199.99,Modular smart light panels,"{""panels"": 9, ""lumens"": ""100 per panel"", ""colors"": ""16 million"", ""touch_enabled"": true, ""rhythm_music"": true}",1,20,24,1
