id,name,brand,sport,category,price,description,specs_json,skill_level,gender,in_stock,stock_quantity
CMP006,Magma 15 Sleeping Bag,REI Co-op,Camping,Sleeping Bags,349.99,Premium 15F down sleeping bag for cold conditions,"{""temp_rating"": ""15F"", ""fill"": ""850-fill Down"", ""weight"": ""0.9kg""}",Advanced,Unisex,1,8
CMP007,Moab 3 Hiking Boots,Merrell,Camping,Footwear,139.99,Versatile hiking boots with Vibram sole,"{""waterproof"": true, ""sole"": ""Vibram"", ""support"": ""Mid-cut""}",All,Men,1,25
CMP008,Targhee III WP Boots,Keen,Camping,Footwear,174.99,Waterproof hiking boots with toe protection,"{""waterproof"": true, ""sole"": ""Rubber"", ""support"": ""Mid-cut""}",All,Women,1,20
CMP009,Jetboil Flash Stove,Jetboil,Camping,Equipment,119.99,Fast-boiling compact camping stove,"{""boil_time"": ""100 seconds"", ""capacity"": ""1L"", ""fuel"": ""Isobutane""}",All,Unisex,1,18
CMP010,Helinox Chair One,Helinox,Camping,Equipment,109.99,Ultralight packable camp chair,"{""weight"": ""0.9kg"", ""capacity"": ""145kg"", ""packed_size"": ""35x10x12cm""}",All,Unisex,1,22
WTR001,Perception Pescador Pro 12,Perception,Water Sports,Kayaks,1199.99,Sit-on-top fishing kayak with stable hull,"{""length"": ""12ft"", ""width"": ""32.5in"", ""weight"": ""64lbs"", ""capacity"": ""375lbs""}",Beginner,Unisex,1,4
WTR002,Intex Explorer K2,Intex,Water Sports,Kayaks,149.99,Inflatable 2-person recreational kayak,"{""length"": ""10ft"", ""width"": ""36in"", ""weight"": ""31lbs"", ""capacity"": ""400lbs""}",Beginner,Unisex,1,12
WTR003,Thurso Waterwalker 10.6,Thurso,Water Sports,Paddleboards,599.99,All-around inflatable stand-up paddleboard,"{""length"": ""10.6ft"", ""width"": ""31in"", ""weight"": ""25lbs"", ""capacity"": ""260lbs""}",Beginner,Unisex,1,10
WTR004,Rip Curl Omega 3/2 Wetsuit,Rip Curl,Water Sports,Wetsuits,169.99,Entry-level 3/2mm fullsuit for mild water,"{""thickness"": ""3/2mm"", ""material"": ""Neoprene"", ""entry"": ""Back zip""}",Beginner,Men,1,15
WTR005,O'Neill Epic 4/3 Wetsuit,O'Neill,Water Sports,Wetsuits,249.99,Performance 4/3mm wetsuit for cooler water,"{""thickness"": ""4/3mm"", ""material"": ""Ultraflex"", ""entry"": ""Back zip""}",Intermediate,Men,1,12
WTR006,Stohlquist Edge PFD,Stohlquist,Water Sports,Safety,89.99,Comfortable high-back life jacket for kayaking,"{""type"": ""Type III"", ""buoyancy"": ""16.5lbs"", ""pockets"": 2}",All,Unisex,1,25
TMS001,Evolution Pro Basketball,Spalding,Team Sports,Basketballs,34.99,Indoor/outdoor composite basketball,"{""size"": ""Official"", ""material"": ""Composite leather"", ""indoor_outdoor"": true}",All,Unisex,1,40
TMS002,Mercurial Vapor 15,Nike,Team Sports,Soccer Cleats,274.99,Speed-focused soccer cleats for firm ground,"{""surface"": ""FG"", ""upper"": ""Flyknit"", ""plate"": ""Carbon fiber""}",Advanced,Unisex,1,15
TMS003,Copa Pure.1 FG,Adidas,Team Sports,Soccer Cleats,219.99,Premium leather soccer cleats,"{""surface"": ""FG"", ""upper"": ""K-Leather"", ""fit"": ""Classic""}",Intermediate,Unisex,1,18
TMS004,Team Soccer Ball,Adidas,Team Sports,Soccer Balls,29.99,Machine-stitched training ball,"{""size"": ""5"", ""material"": ""TPU"", ""panels"": 32}",All,Unisex,1,50
TMS005,Rawlings R9 Baseball Glove,Rawlings,Team Sports,Baseball,149.99,Game-ready leather baseball glove,"{""size"": ""11.5in"", ""position"": ""Infield"", ""material"": ""Leather""}",Intermediate,Unisex,1,20
TMS006,Louisville Slugger Meta Bat,Louisville Slugger,Team Sports,Baseball,449.99,High-performance BBCOR baseball bat,"{""length"": ""33in"", ""weight"": ""-3"", ""material"": ""Composite""}",Advanced,Unisex,1,8
FIT001,Bowflex SelectTech 552,Bowflex,Fitness,Weights,549.99,Adjustable dumbbells replace 15 sets of weights,"{""weight_range"": ""5-52.5lbs"", ""increments"": ""2.5lbs""}",All,Unisex,1,10
FIT002,Rogue Echo Barbell,Rogue,Fitness,Weights,195.99,Olympic weightlifting barbell,"{""weight"": ""20kg"", ""length"": ""2.2m"", ""capacity"": ""700lbs""}",Intermediate,Unisex,1,12
FIT003,Manduka PRO Yoga Mat,Manduka,Fitness,Yoga,129.99,Professional-grade 6mm yoga mat,"{""thickness"": ""6mm"", ""length"": ""71in"", ""material"": ""PVC""}",All,Unisex,1,30
FIT004,Jade Harmony Yoga Mat,Jade,Fitness,Yoga,89.99,Natural rubber yoga mat with great grip,"{""thickness"": ""5mm"", ""length"": ""68in"", ""material"": ""Natural rubber""}",All,Unisex,1,25
FIT005,TRX Pro4 Suspension Trainer,TRX,Fitness,Equipment,249.99,Professional suspension training system,"{""weight"": ""1.5lbs"", ""capacity"": ""350lbs"", ""anchor"": ""Included""}",Intermediate,Unisex,1,15
FIT006,Theraband Resistance Set,Theraband,Fitness,Accessories,34.99,Set of 5 resistance bands with varying tensions,"{""bands"": 5, ""resistance_range"": ""Light to X-Heavy""}",All,Unisex,1,50
FIT007,Assault AirBike Elite,Assault,Fitness,Cardio,999.99,Commercial-grade air bike for HIIT workouts,"{""resistance"": ""Air"", ""display"": ""LCD"", ""max_user"": ""350lbs""}",Advanced,Unisex,1,5
FIT008,Concept2 RowErg,Concept2,Fitness,Cardio,1099.99,Gold standard indoor rowing machine,"{""resistance"": ""Air"", ""monitor"": ""PM5"", ""foldable"": true}",All,Unisex,1,6
RUN011,Fresh Foam 1080v13,New Balance,Running,Shoes,164.99,Plush cushioning for long distance comfort,"{""weight"": ""291g"", ""drop"": ""6mm"", ""cushion"": ""Fresh Foam X""}",All,Unisex,1,28
RUN012,Gel-Kayano 30,Asics,Running,Shoes,159.99,Stability shoe with gel cushioning technology,"{""weight"": ""309g"", ""drop"": ""10mm"", ""cushion"": ""FF Blast+"", ""stability"": true}",All,Unisex,1,24
RUN013,Novablast 4,Asics,Running,Shoes,139.99,Bouncy responsive shoe for energetic runs,"{""weight"": ""266g"", ""drop"": ""8mm"", ""cushion"": ""FF Blast+""}",Intermediate,Unisex,1,30
RUN014,Endorphin Speed 3,Saucony,Running,Shoes,169.99,Nylon plate trainer for speed workouts,"{""weight"": ""215g"", ""drop"": ""8mm"", ""cushion"": ""PWRRUN PB"", ""plate"": true}",Intermediate,Unisex,1,18
RUN015,Kinvara 14,Saucony,Running,Shoes,119.99,Lightweight daily trainer with minimal drop,"{""weight"": ""213g"", ""drop"": ""4mm"", ""cushion"": ""PWRRUN""}",All,Unisex,1,32
RUN016,Cloudmonster,On,Running,Shoes,169.99,Maximum cushioned trainer with CloudTec,"{""weight"": ""285g"", ""drop"": ""6mm"", ""cushion"": ""Helion""}",Intermediate,Unisex,1,20
RUN017,Cloudsurfer,On,Running,Shoes,149.99,Responsive daily trainer for road running,"{""weight"": ""265g"", ""drop"": ""9mm"", ""cushion"": ""Helion""}",All,Unisex,1,25
RUN018,Alphafly 3,Nike,Running,Shoes,284.99,Elite carbon racing super shoe,"{""weight"": ""212g"", ""drop"": ""8mm"", ""cushion"": ""ZoomX"", ""carbon_plate"": true}",Pro,Unisex,1,8
RUN019,Metaspeed Sky Paris,Asics,Running,Shoes,249.99,Carbon plate racer for marathon racing,"{""weight"": ""195g"", ""drop"": ""5mm"", ""cushion"": ""FF Turbo"", ""carbon_plate"": true}",Pro,Unisex,1,10
RUN020,Adizero Adios Pro 3,Adidas,Running,Shoes,249.99,Carbon rod racing flat for elite runners,"{""weight"": ""215g"", ""drop"": ""6.5mm"", ""cushion"": ""Lightstrike Pro"", ""carbon_plate"": true}",Pro,Unisex,1,12
RUN021,Endorphin Elite,Saucony,Running,Shoes,274.99,Super shoe with carbon plate for racing,"{""weight"": ""198g"", ""drop"": ""8mm"", ""cushion"": ""PWRRUN HG"", ""carbon_plate"": true}",Pro,Unisex,1,6
RUN022,Speedgoat 5,Hoka,Running,Shoes,154.99,Trail running shoe with Vibram Megagrip,"{""weight"": ""292g"", ""drop"": ""4mm"", ""cushion"": ""EVA"", ""terrain"": ""Trail""}",Intermediate,Unisex,1,22
RUN023,Peregrine 13,Saucony,Running,Shoes,139.99,Versatile trail shoe with rock plate,"{""weight"": ""269g"", ""drop"": ""4mm"", ""cushion"": ""PWRRUN"", ""terrain"": ""Trail""}",Intermediate,Unisex,1,25
RUN024,Wildhorse 8,Nike,Running,Shoes,139.99,Rugged trail shoe with aggressive traction,"{""weight"": ""284g"", ""drop"": ""8mm"", ""terrain"": ""Trail""}",All,Unisex,1,20
RUN025,Terrex Speed Ultra,Adidas,Running,Shoes,179.99,Lightweight trail racing shoe,"{""weight"": ""245g"", ""drop"": ""6mm"", ""terrain"": ""Trail"", ""plate"": true}",Advanced,Unisex,1,15
RUN026,Ultra Running Shorts,Nike,Running,Apparel,64.99,Lightweight shorts with built-in brief,"{""material"": ""Dri-FIT"", ""inseam"": ""5in"", ""pockets"": 3}",All,Men,1,35
RUN027,Boston Marathon Shorts,Adidas,Running,Apparel,54.99,Split shorts for racing and training,"{""material"": ""AEROREADY"", ""inseam"": ""3in""}",All,Men,1,40
RUN028,Flyvent Running Tee,Brooks,Running,Apparel,54.99,Ventilated mesh running shirt,"{""material"": ""Polyester mesh"", ""fit"": ""Semi-fitted""}",All,Women,1,38
RUN029,Swiftly Tech Long Sleeve,Lululemon,Running,Apparel,88.00,Seamless long sleeve for cold weather,"{""material"": ""Nylon-Lycra"", ""fit"": ""Slim"", ""thumbholes"": true}",All,Women,1,30
RUN030,Run Visible Vest,Brooks,Running,Apparel,89.99,High-visibility reflective running vest,"{""material"": ""Polyester"", ""reflective"": true, ""water_resistant"": true}",All,Unisex,1,25
RUN031,Fenix 7X Pro,Garmin,Running,Accessories,899.99,Premium multisport GPS watch with solar charging,"{""gps"": true, ""heart_rate"": true, ""battery"": ""37 days"", ""solar"": true}",Pro,Unisex,1,8
RUN032,Coros Pace 3,Coros,Running,Accessories,229.99,Lightweight GPS running watch,"{""gps"": true, ""heart_rate"": true, ""battery"": ""17 days"", ""weight"": ""39g""}",Intermediate,Unisex,1,18
RUN033,Polar Vantage V3,Polar,Running,Accessories,599.99,Advanced multisport watch with biosensing,"{""gps"": true, ""heart_rate"": true, ""battery"": ""8 days"", ""ecg"": true}",Advanced,Unisex,1,10
RUN034,Flipbelt Running Belt,Flipbelt,Running,Accessories,29.99,Tubular running belt for secure storage,"{""material"": ""Spandex"", ""capacity"": ""Phone + keys""}",All,Unisex,1,50
RUN035,Goodr OG Sunglasses,Goodr,Running,Accessories,25.00,No-slip running sunglasses,"{""lens"": ""Polarized"", ""weight"": ""21g"", ""no_bounce"": true}",All,Unisex,1,60
RUN036,Aftershokz OpenRun Pro,Shokz,Running,Accessories,179.99,Bone conduction headphones for safe running,"{""battery"": ""10 hours"", ""bluetooth"": true, ""waterproof"": ""IP55""}",All,Unisex,1,22
RUN037,Balega Hidden Comfort Socks,Balega,Running,Accessories,16.00,Cushioned no-show running socks,"{""cushion"": ""Medium"", ""material"": ""Drynamix""}",All,Unisex,1,80
RUN038,Injinji Trail Midweight,Injinji,Running,Accessories,18.00,Toe socks for blister prevention,"{""cushion"": ""Midweight"", ""height"": ""Crew"", ""toes"": true}",All,Unisex,1,55
RUN039,Nathan Vaporairess Vest,Nathan,Running,Accessories,149.99,Hydration vest for long runs,"{""capacity"": ""2L"", ""storage"": ""4L"", ""flasks"": 2}",Intermediate,Women,1,18
RUN040,Salomon ADV Skin 12,Salomon,Running,Accessories,169.99,Race vest for ultra running,"{""capacity"": ""12L"", ""flasks"": 2, ""poles"": true}",Advanced,Unisex,1,15
CYC011,Tarmac SL7,Specialized,Cycling,Bikes,6499.99,Lightweight carbon road bike,"{""frame"": ""FACT 10r Carbon"", ""groupset"": ""Shimano Ultegra Di2"", ""speeds"": 24}",Pro,Unisex,1,3
CYC012,Madone SLR 6,Trek,Cycling,Bikes,7499.99,Aero carbon road bike with IsoFlow technology,"{""frame"": ""OCLV 800 Carbon"", ""groupset"": ""SRAM Rival eTap AXS"", ""speeds"": 24}",Pro,Unisex,1,2
CYC013,Diverge STR Comp,Specialized,Cycling,Bikes,4999.99,Gravel bike with Future Shock suspension,"{""frame"": ""Carbon"", ""groupset"": ""SRAM Rival eTap AXS"", ""suspension"": true}",Advanced,Unisex,1,4
CYC014,Marlin 7,Trek,Cycling,Bikes,899.99,Hardtail mountain bike for trail riding,"{""frame"": ""Alpha Gold Aluminum"", ""groupset"": ""Shimano Deore"", ""suspension"": ""100mm""}",Beginner,Unisex,1,10
CYC015,Stumpjumper Alloy,Specialized,Cycling,Bikes,2999.99,Full suspension trail mountain bike,"{""frame"": ""M5 Aluminum"", ""travel"": ""140mm"", ""groupset"": ""SRAM SX Eagle""}",Intermediate,Unisex,1,5
CYC016,Orbea Gain M30,Orbea,Cycling,Bikes,4299.99,Lightweight e-road bike,"{""frame"": ""Carbon"", ""motor"": ""Mahle X35+"", ""battery"": ""360Wh""}",All,Unisex,1,4
CYC017,Canyon Speedmax CF 8,Canyon,Cycling,Bikes,3999.99,Triathlon/TT bike,"{""frame"": ""Carbon"", ""groupset"": ""Shimano Ultegra"", ""aero"": true}",Advanced,Unisex,1,3
CYC018,Cannondale Synapse Carbon 3,Cannondale,Cycling,Bikes,3200.00,Endurance road bike for long rides,"{""frame"": ""Carbon"", ""groupset"": ""Shimano 105"", ""tire_clearance"": ""35mm""}",Intermediate,Unisex,1,6
CYC019,Giant Defy Advanced 2,Giant,Cycling,Bikes,2650.00,Comfortable endurance road bike,"{""frame"": ""Advanced-Grade Composite"", ""groupset"": ""Shimano 105""}",Intermediate,Unisex,1,7
CYC020,Pinarello Dogma F,Pinarello,Cycling,Bikes,12499.99,Pro-level aero road bike,"{""frame"": ""Torayca T1100 Carbon"", ""groupset"": ""SRAM Red eTap AXS""}",Pro,Unisex,1,2
CYC021,S-Works Evade 3,Specialized,Cycling,Helmets,279.99,Aero road helmet with MIPS,"{""weight"": ""260g"", ""mips"": true, ""vents"": 8, ""aero"": true}",Pro,Unisex,1,12
CYC022,Giro Aether MIPS,Giro,Cycling,Helmets,249.99,Premium road helmet with spherical technology,"{""weight"": ""270g"", ""mips"": true, ""vents"": 15}",Advanced,Unisex,1,15
CYC023,POC Ventral Air MIPS,POC,Cycling,Helmets,274.99,Well-ventilated aero helmet,"{""weight"": ""285g"", ""mips"": true, ""vents"": 14}",Advanced,Unisex,1,10
CYC024,Bell Super Air R MIPS,Bell,Cycling,Helmets,219.99,Full face convertible MTB helmet,"{""weight"": ""420g"", ""mips"": true, ""chin_bar"": ""Removable""}",Advanced,Unisex,1,8
CYC025,Smith Forefront 2 MIPS,Smith,Cycling,Helmets,199.99,All-mountain helmet with Koroyd,"{""weight"": ""360g"", ""mips"": true, ""visor"": true}",Intermediate,Unisex,1,14
CYC026,Castelli Aero Race 6.0 Jersey,Castelli,Cycling,Apparel,179.99,Aero race jersey with dimpled fabric,"{""material"": ""Aero"", ""fit"": ""Race"", ""pockets"": 3}",Pro,Men,1,15
CYC027,Assos Mille GT Jersey,Assos,Cycling,Apparel,159.00,Premium lightweight summer jersey,"{""material"": ""Type.611"", ""fit"": ""Regular"", ""pockets"": 3}",Intermediate,Men,1,18
CYC028,Pearl Izumi Quest Jersey,Pearl Izumi,Cycling,Apparel,59.99,Value cycling jersey for training,"{""material"": ""SELECT Transfer"", ""fit"": ""Semi-form"", ""pockets"": 3}",Beginner,Men,1,30
CYC029,Sportful Bodyfit Pro Bib,Sportful,Cycling,Apparel,189.99,High-end bib shorts for long rides,"{""material"": ""Summerweight"", ""chamois"": ""Total Comfort 3D""}",Advanced,Men,1,14
CYC030,Machines for Freedom All-Day Short,Machines for Freedom,Cycling,Apparel,175.00,Women-specific bib shorts,"{""material"": ""Italian Lycra"", ""chamois"": ""Elastic Interface""}",Advanced,Women,1,12
CYC031,Castelli Gabba R,Castelli,Cycling,Apparel,229.99,Foul weather cycling jacket,"{""material"": ""Gore-Tex Infinium"", ""waterproof"": true, ""breathable"": true}",All,Men,1,15
CYC032,Gore Wear C5 GTX Jacket,Gore Wear,Cycling,Apparel,249.99,Fully waterproof cycling jacket,"{""material"": ""Gore-Tex"", ""waterproof"": true, ""sealed_seams"": true}",All,Unisex,1,12
CYC033,Shimano RC9 Cycling Shoes,Shimano,Cycling,Shoes,399.99,Top-tier carbon road cycling shoes,"{""closure"": ""BOA"", ""sole"": ""Carbon"", ""cleat"": ""SPD-SL""}",Pro,Unisex,1,10
CYC034,Specialized Torch 2.0,Specialized,Cycling,Shoes,189.99,Mid-range road cycling shoes,"{""closure"": ""BOA"", ""sole"": ""Composite"", ""cleat"": ""3-bolt""}",Intermediate,Unisex,1,18
CYC035,Giro Regime,Giro,Cycling,Shoes,149.99,Value road shoes with BOA,"{""closure"": ""BOA"", ""sole"": ""Nylon"", ""cleat"": ""3-bolt""}",Beginner,Unisex,1,22
CYC036,Five Ten Freerider Pro,Five Ten,Cycling,Shoes,149.99,Flat pedal MTB shoes with Stealth rubber,"{""closure"": ""Lace"", ""sole"": ""Stealth S1"", ""type"": ""Flat""}",Intermediate,Unisex,1,20
CYC037,Shimano ME7 MTB Shoes,Shimano,Cycling,Shoes,199.99,Trail MTB shoes for clipless pedals,"{""closure"": ""BOA"", ""sole"": ""Carbon composite"", ""cleat"": ""SPD""}",Intermediate,Unisex,1,16
CYC038,Wahoo Kickr Core,Wahoo,Cycling,Equipment,899.99,Smart indoor trainer with Zwift compatibility,"{""resistance"": ""1800W"", ""accuracy"": ""2%"", ""zwift"": true}",Intermediate,Unisex,1,8
CYC039,Tacx Neo 2T,Garmin,Cycling,Equipment,1399.99,Premium direct-drive smart trainer,"{""resistance"": ""2200W"", ""accuracy"": ""1%"", ""road_feel"": true}",Advanced,Unisex,1,5
CYC040,Zipp 303 Firecrest Wheelset,Zipp,Cycling,Accessories,2000.00,Carbon tubeless-ready wheelset,"{""depth"": ""40mm"", ""weight"": ""1355g"", ""tubeless"": true}",Advanced,Unisex,1,4
CYC041,Shimano Dura-Ace C50 Wheelset,Shimano,Cycling,Accessories,2599.99,Top-tier carbon disc wheelset,"{""depth"": ""50mm"", ""weight"": ""1461g"", ""tubeless"": true}",Pro,Unisex,1,3
CYC042,Continental GP5000 S TR,Continental,Cycling,Accessories,79.99,Premium tubeless road tire,"{""width"": ""28mm"", ""tpi"": 180, ""tubeless"": true}",All,Unisex,1,50
CYC043,Vittoria Corsa Pro,Vittoria,Cycling,Accessories,89.99,High-end racing tire with graphene,"{""width"": ""26mm"", ""tpi"": 320, ""tubeless"": true}",Advanced,Unisex,1,40
CYC044,Park Tool IB-3 Multi-Tool,Park Tool,Cycling,Accessories,29.99,Essential cycling multi-tool,"{""tools"": 17, ""weight"": ""175g""}",All,Unisex,1,60
CYC045,Topeak Mini Morph Pump,Topeak,Cycling,Accessories,44.99,Mini pump with foot peg for leverage,"{""max_psi"": 160, ""hose"": true}",All,Unisex,1,45
GLF001,Stealth 2 Driver,TaylorMade,Golf,Clubs,599.99,Forgiving driver with carbon face,"{""loft"": ""10.5"", ""adjustable"": true, ""shaft"": ""Graphite""}",Intermediate,Men,1,12
GLF002,Paradym X Driver,Callaway,Golf,Clubs,549.99,High-MOI driver for straighter shots,"{""loft"": ""10.5"", ""adjustable"": true, ""ai_face"": true}",Beginner,Men,1,14
GLF003,G430 Max Driver,Ping,Golf,Clubs,579.99,Adjustable driver with turbulators,"{""loft"": ""10.5"", ""adjustable"": true, ""face"": ""Forged""}",Intermediate,Unisex,1,10
GLF004,Stealth 2 Fairway Wood 3W,TaylorMade,Golf,Clubs,349.99,Versatile fairway wood with carbon face,"{""loft"": ""15"", ""length"": ""43.25in""}",Intermediate,Men,1,15
GLF005,Apex DCB Irons,Callaway,Golf,Clubs,1299.99,Game improvement iron set 5-PW,"{""clubs"": ""5-PW"", ""forged"": true, ""ai_face"": true}",Beginner,Men,1,8
GLF006,P790 Irons,TaylorMade,Golf,Clubs,1499.99,Premium players distance irons 4-PW,"{""clubs"": ""4-PW"", ""hollow"": true, ""forged"": true}",Intermediate,Unisex,1,6
GLF007,JPX 923 Hot Metal Pro,Mizuno,Golf,Clubs,1199.99,Forgiving irons with distance 5-PW,"{""clubs"": ""5-PW"", ""chromoly"": true}",Intermediate,Unisex,1,9
GLF008,Spider GT Putter,TaylorMade,Golf,Clubs,349.99,Mallet putter with True Path alignment,"{""length"": ""34in"", ""head"": ""Mallet"", ""insert"": ""Pure Roll""}",All,Unisex,1,18
GLF009,Scotty Cameron Special Select,Titleist,Golf,Clubs,449.99,Tour-proven blade putter,"{""length"": ""34in"", ""head"": ""Blade"", ""milled"": true}",Advanced,Unisex,1,10
GLF010,Jaws Raw Wedge,Callaway,Golf,Clubs,179.99,Raw face wedge for maximum spin,"{""loft"": ""56"", ""bounce"": ""10"", ""grind"": ""S""}",Intermediate,Unisex,1,20
GLF011,Vokey SM9 Wedge,Titleist,Golf,Clubs,189.99,Tour-preferred wedge,"{""loft"": ""58"", ""bounce"": ""8"", ""grind"": ""M""}",Advanced,Unisex,1,18
GLF012,Pro V1 Golf Balls,Titleist,Golf,Balls,54.99,Premium tour golf ball dozen,"{""construction"": ""4-piece"", ""cover"": ""Urethane"", ""quantity"": 12}",Advanced,Unisex,1,40
GLF013,Chrome Soft Golf Balls,Callaway,Golf,Balls,47.99,Soft feel premium ball dozen,"{""construction"": ""4-piece"", ""cover"": ""Urethane"", ""quantity"": 12}",Intermediate,Unisex,1,45
GLF014,TP5x Golf Balls,TaylorMade,Golf,Balls,52.99,5-layer tour ball dozen,"{""construction"": ""5-piece"", ""cover"": ""Urethane"", ""quantity"": 12}",Advanced,Unisex,1,38
GLF015,Velocity Golf Balls,Titleist,Golf,Balls,34.99,Distance ball for average golfers,"{""construction"": ""2-piece"", ""cover"": ""Ionomer"", ""quantity"": 12}",Beginner,Unisex,1,55
GLF016,FlexTech Crossover Stand Bag,TaylorMade,Golf,Bags,249.99,Lightweight stand bag with 14-way divider,"{""divider"": ""14-way"", ""pockets"": 8, ""weight"": ""5.5lbs""}",All,Unisex,1,15
GLF017,Fairway C Stand Bag,Callaway,Golf,Bags,229.99,Feature-rich stand bag,"{""divider"": ""4-way"", ""pockets"": 7, ""weight"": ""4.7lbs""}",All,Unisex,1,18
