id,name,brand,category,pet_type,price,description,weight_lbs,size,in_stock,stock_quantity
DOG020,Merrick Real Texas Beef,Merrick,Food,Dogs,64.99,Real deboned beef as first ingredient,22,Large Bag,1,20
DOG021,Canidae All Life Stages,Canidae,Food,Dogs,54.99,Multi-protein formula for all ages,40,Large Bag,1,25
DOG022,Nutro Wholesome Essentials,Nutro,Food,Dogs,47.99,Farm-raised chicken and brown rice,30,Large Bag,1,30
DOG023,Diamond Naturals Adult Chicken,Diamond,Food,Dogs,39.99,Real cage-free chicken protein,40,Large Bag,1,35
DOG024,Victor Hi-Pro Plus,Victor,Food,Dogs,52.99,High energy formula for active dogs,40,Large Bag,1,22
DOG025,Acana Red Meat Recipe,Acana,Food,Dogs,79.99,Free-run beef lamb and pork,25,Large Bag,1,18
DOG026,Fromm Gold Adult,Fromm,Food,Dogs,64.99,Duck chicken and lamb formula,33,Large Bag,1,20
DOG027,Zignature Lamb Limited Ingredient,Zignature,Food,Dogs,69.99,Single protein limited ingredient diet,25,Large Bag,1,16
DOG028,Natural Balance L.I.D. Sweet Potato & Fish,Natural Balance,Food,Dogs,59.99,Limited ingredient grain-free formula,26,Large Bag,1,24
DOG029,Instinct Raw Boost Chicken,Instinct,Food,Dogs,69.99,High protein kibble with freeze-dried raw,21,Large Bag,1,18
DOG030,Stella & Chewy's Freeze-Dried Dinner,Stella & Chewy's,Food,Dogs,44.99,Raw freeze-dried dinner patties,14,Bag,1,22
DOG031,Open Farm Ancient Grains Beef,Open Farm,Food,Dogs,74.99,Humanely raised beef with ancient grains,22,Large Bag,1,15
DOG032,Earthborn Holistic Great Plains,Earthborn,Food,Dogs,49.99,Grain-free bison protein formula,28,Large Bag,1,26
DOG033,Rachael Ray Nutrish Zero Grain,Rachael Ray,Food,Dogs,36.99,Real beef with zero grains,26,Large Bag,1,32
DOG034,Iams ProActive Health Adult,Iams,Food,Dogs,34.99,Chicken-based formula for healthy weight,30,Large Bag,1,38
DOG035,Pedigree Complete Nutrition Adult,Pedigree,Food,Dogs,24.99,Affordable complete nutrition,30,Large Bag,1,45
DOG036,Cesar Filets in Gravy Variety,Cesar,Food,Dogs,19.99,Wet food variety pack 24 trays,5,Pack,1,40
DOG037,Blue Buffalo Wilderness Trail Treats,Blue Buffalo,Food,Dogs,8.99,Grain-free duck treats,10,Bag,1,55
DOG038,Zuke's Mini Naturals Chicken,Zuke's,Food,Dogs,11.99,Low calorie training treats,6,Bag,1,60
DOG039,Old Mother Hubbard Biscuits,Old Mother Hubbard,Food,Dogs,7.99,Classic oven-baked dog biscuits,3.5,Bag,1,50
DOG040,Milk-Bone Original Biscuits,Milk-Bone,Food,Dogs,9.99,Crunchy treats for healthy teeth,10,Box,1,55
DOG041,West Paw Zogoflex Hurley,West Paw,Toys,Dogs,18.99,Guaranteed tough bone-shaped chew toy,0.5,Large,1,35
DOG042,Benebone Real Flavor Wishbone,Benebone,Toys,Dogs,16.99,Bacon-infused durable chew toy,0.6,Large,1,40
DOG043,Playology Dual Layer Bone,Playology,Toys,Dogs,14.99,Scented chew toy for engagement,0.4,Medium,1,38
DOG044,Zippy Paws Skinny Peltz,Zippy Paws,Toys,Dogs,12.99,No stuffing squeaky toy 3-pack,0.5,,1,45
DOG045,Multipet Lamb Chop,Multipet,Toys,Dogs,9.99,Classic plush squeaky toy,0.3,Large,1,55
DOG046,JW Pet Hol-ee Roller,JW Pet,Toys,Dogs,8.99,Treat-dispensing ball toy,0.25,Large,1,50
DOG047,Starmark Treat Dispensing Bob-A-Lot,Starmark,Toys,Dogs,16.99,Weighted wobble treat toy,1,Large,1,32
DOG048,Nina Ottosson Dog Brick Puzzle,Nina Ottosson,Toys,Dogs,24.99,Level 2 puzzle toy for mental stimulation,1,Large,1,25
DOG049,Trixie Activity Flip Board,Trixie,Toys,Dogs,14.99,Interactive puzzle feeder,0.75,,1,30
DOG050,Hyper Pet Flippy Flopper,Hyper Pet,Toys,Dogs,11.99,Soft flying disc for fetch,0.25,,1,45
DOG051,Chuckit Kick Fetch Ball,Chuckit,Toys,Dogs,19.99,Kick-and-fetch toy for active dogs,1,Large,1,28
DOG052,KONG Wobbler,KONG,Toys,Dogs,19.99,Treat dispensing wobble toy,1.5,Large,1,30
DOG053,Outward Hound Fun Feeder,Outward Hound,Toys,Dogs,14.99,Slow feeder bowl to prevent bloat,2,Large,1,40
DOG054,PetSafe Busy Buddy Twist n Treat,PetSafe,Toys,Dogs,9.99,Adjustable treat dispensing toy,0.3,Medium,1,48
DOG055,Goughnuts MAXX Stick,Goughnuts,Toys,Dogs,29.99,Virtually indestructible stick toy,1,Large,1,18
DOG056,Jolly Pets Tug-n-Toss Ball,Jolly Pets,Toys,Dogs,17.99,Horse-ball toy for dogs,2,8-inch,1,25
DOG057,Mammoth Flossy Chews Rope,Mammoth,Toys,Dogs,12.99,Cotton blend rope for tug and dental,0.75,Large,1,35
DOG058,Hartz Dura Play Bacon Ball,Hartz,Toys,Dogs,6.99,Bacon-scented squeaky ball,0.2,Medium,1,60
DOG059,Petmate Chuckit Indoor Ball,Chuckit,Toys,Dogs,7.99,Soft ball for indoor play,0.15,,1,55
DOG060,Snuggle Puppy Behavioral Aid,Snuggle Puppy,Toys,Dogs,34.99,Heartbeat toy for anxious puppies,1.5,,1,22
DOG061,K&H Pet Products Thermo-Snuggly Sleeper,K&H,Beds,Dogs,69.99,Heated orthopedic bed,12,Large,1,15
DOG062,PetFusion Ultimate Dog Bed,PetFusion,Beds,Dogs,119.99,Memory foam bed with waterproof liner,15,Large,1,12
DOG063,Big Barker Orthopedic Bed,Big Barker,Beds,Dogs,279.99,Premium orthopedic bed for large breeds,35,Large,1,8
DOG064,Best Friends by Sheri Luxury Shag Bed,Best Friends,Beds,Dogs,54.99,Faux fur donut calming bed,5,Large,1,20
DOG065,Casper Dog Bed,Casper,Beds,Dogs,149.99,Pressure-relieving memory foam bed,20,Large,1,10
DOG066,Kuranda Elevated Dog Bed,Kuranda,Beds,Dogs,89.99,Chew-proof elevated cot,10,Large,1,15
DOG067,Serta Orthopedic Quilted Couch,Serta,Beds,Dogs,79.99,Bolster bed with quilted sleep surface,12,Large,1,18
DOG068,Snoozer Luxury Overstuffed Sofa,Snoozer,Beds,Dogs,159.99,Furniture-grade pet sofa,18,Large,1,10
DOG069,AmazonBasics Padded Pet Bolster Bed,AmazonBasics,Beds,Dogs,29.99,Affordable bolster bed,6,Large,1,35
DOG070,Frisco Plush Orthopedic Sofa Bed,Frisco,Beds,Dogs,44.99,Budget orthopedic bed with bolsters,8,Large,1,28
DOG071,MidWest iCrate Folding Metal Crate,MidWest,Crates,Dogs,54.99,Double door folding crate with divider,25,42-inch,1,20
DOG072,Petmate Vari Kennel,Petmate,Crates,Dogs,79.99,Airline approved plastic kennel,18,Large,1,15
DOG073,AmazonBasics Foldable Metal Crate,AmazonBasics,Crates,Dogs,42.99,Budget-friendly wire crate,22,42-inch,1,25
DOG074,Impact Collapsible Dog Crate,Impact,Crates,Dogs,349.99,Aluminum collapsible travel crate,20,Large,1,6
DOG075,Frisco Heavy Duty Crate,Frisco,Crates,Dogs,129.99,Escape-proof heavy duty crate,45,Large,1,12
DOG076,NexGard Chewables Flea & Tick,NexGard,Health,Dogs,89.99,6-month supply beef-flavored chewables,0.25,Large Dog,1,30
DOG077,Simparica Trio Chewables,Simparica,Health,Dogs,109.99,6-month heartworm flea tick protection,0.25,Large Dog,1,25
DOG078,Heartgard Plus Chewables,Heartgard,Health,Dogs,54.99,6-month heartworm prevention,0.25,Large Dog,1,35
DOG079,Seresto Flea & Tick Collar,Seresto,Health,Dogs,64.99,8-month flea and tick collar,0.5,Large Dog,1,28
DOG080,Vet's Best Flea & Tick Spray,Vet's Best,Health,Dogs,12.99,Natural plant-based flea spray,1,32oz,1,45
DOG081,Zesty Paws Multivitamin Bites,Zesty Paws,Health,Dogs,25.99,Daily vitamin soft chews,0.5,90ct,1,40
DOG082,Nutramax Dasuquin Joint Supplement,Nutramax,Health,Dogs,49.99,Advanced joint supplement,0.75,84ct,1,32
DOG083,VetriScience GlycoFlex 3,VetriScience,Health,Dogs,39.99,Hip and joint support chews,0.5,120ct,1,35
DOG084,Nordic Naturals Omega-3 Pet,Nordic Naturals,Health,Dogs,29.99,Fish oil soft gels for skin and coat,0.5,180ct,1,38
DOG085,PetHonesty Allergy Relief Chews,PetHonesty,Health,Dogs,26.99,Salmon oil probiotics for allergies,0.5,90ct,1,42
DOG086,Purina FortiFlora Probiotic,Purina,Health,Dogs,34.99,Probiotic supplement powder,0.5,30ct,1,45
DOG087,Vetoquinol Pro-Pectalin,Vetoquinol,Health,Dogs,19.99,Anti-diarrheal gel,0.5,15ml,1,50
DOG088,Tomlyn Nutri-Cal High Calorie Gel,Tomlyn,Health,Dogs,11.99,Energy supplement paste,0.25,4.25oz,1,55
DOG089,Proviable Probiotics Kit,Proviable,Health,Dogs,44.99,Multi-strain probiotic kit,0.5,30ct,1,28
DOG090,Pet Naturals Calming Chews,Pet Naturals,Health,Dogs,12.99,Natural calming supplement,0.25,30ct,1,50
DOG091,Chris Christensen Spectrum One Shampoo,Chris Christensen,Grooming,Dogs,19.99,Professional all-purpose shampoo,1,16oz,1,30
DOG092,TropiClean Waterless Shampoo,TropiClean,Grooming,Dogs,11.99,No-rinse grooming spray,1,20oz,1,45
DOG093,Wahl Pro Series Pet Clipper,Wahl,Grooming,Dogs,49.99,Rechargeable cordless clipper,2,,1,20
DOG094,Andis UltraEdge Detachable Blade Clipper,Andis,Grooming,Dogs,89.99,Professional 2-speed clipper,2,,1,15
DOG095,Safari Professional Nail Trimmer,Safari,Grooming,Dogs,8.99,Stainless steel nail clipper,0.25,Large,1,60
DOG096,Dremel PawControl Nail Grinder,Dremel,Grooming,Dogs,34.99,Quiet nail grinding tool,0.75,,1,35
DOG097,Hertzko Self-Cleaning Slicker Brush,Hertzko,Grooming,Dogs,15.99,Retractable bristle brush,0.5,,1,45
DOG098,Kong ZoomGroom,Kong,Grooming,Dogs,9.99,Rubber curry brush for bathing,0.25,,1,55
DOG099,Pet Grooming Gloves,Pet Grooming,Grooming,Dogs,12.99,Silicone deshedding gloves pair,0.25,,1,60
DOG100,Chris Christensen Big G Slicker,Chris Christensen,Grooming,Dogs,54.99,Professional coral slicker brush,0.5,,1,18
DOG101,Ruffwear Front Range Harness,Ruffwear,Accessories,Dogs,39.95,Padded everyday harness,0.5,Large,1,30
DOG102,Kurgo Tru-Fit Smart Harness,Kurgo,Accessories,Dogs,34.99,Crash-tested car harness,0.75,Large,1,25
DOG103,Julius-K9 IDC Powerharness,Julius-K9,Accessories,Dogs,49.99,Professional working harness,1,Size 2,1,20
DOG104,Blue-9 Balance Harness,Blue-9,Accessories,Dogs,39.99,Front-clip no-pull harness,0.5,Large,1,28
DOG105,PetSafe Easy Walk Harness,PetSafe,Accessories,Dogs,27.99,Front-clip anti-pull harness,0.5,Large,1,35
DOG106,Flexi New Classic Retractable Leash,Flexi,Accessories,Dogs,19.99,16ft retractable leash,0.75,Large,1,45
DOG107,Mendota Products Slip Lead,Mendota,Accessories,Dogs,16.99,British-style slip lead,0.25,6ft,1,40
DOG108,Ruffwear Knot-a-Leash,Ruffwear,Accessories,Dogs,29.95,Reflective climbing rope leash,0.5,5ft,1,32
DOG109,Max and Neo Double Handle Leash,Max and Neo,Accessories,Dogs,24.99,Dual handle traffic leash,0.25,6ft,1,38
DOG110,PetSafe Gentle Leader Headcollar,PetSafe,Accessories,Dogs,22.99,No-pull head halter,0.25,Large,1,30
DOG111,Outward Hound PoochPouch Front Carrier,Outward Hound,Accessories,Dogs,39.99,Front carrier for small dogs,1,Medium,1,22
DOG112,K9 Sport Sack AIR 2,K9 Sport Sack,Accessories,Dogs,89.99,Backpack carrier for hiking,2,Medium,1,15
DOG113,Sherpa Original Deluxe Carrier,Sherpa,Accessories,Dogs,54.99,Airline-approved soft carrier,3,Large,1,20
DOG114,Sleepypod Mobile Pet Bed,Sleepypod,Accessories,Dogs,189.99,Crash-tested carrier bed,5,Medium,1,10
DOG115,MidWest Canine Camper Tent Crate,MidWest,Accessories,Dogs,64.99,Pop-up travel crate tent,4,Large,1,18
DOG116,Ruffwear Approach Pack,Ruffwear,Accessories,Dogs,89.95,Dog hiking backpack,0.75,Large,1,15
DOG117,Outward Hound DayPak,Outward Hound,Accessories,Dogs,29.99,Saddlebag backpack for dogs,0.5,Large,1,25
DOG118,Doggles ILS Dog Goggles,Doggles,Accessories,Dogs,24.99,UV protective dog eyewear,0.25,Large,1,28
DOG119,Muttluks Fleece-Lined Dog Boots,Muttluks,Accessories,Dogs,59.99,All-weather dog boots set of 4,0.5,Large,1,18
DOG120,PAWZ Waterproof Dog Boots,PAWZ,Accessories,Dogs,19.99,Disposable rubber boots 12-pack,0.25,Large,1,35
CAT017,Wellness CORE Grain-Free Original,Wellness,Food,Cats,49.99,High-protein grain-free turkey and chicken,11,Large Bag,1,25
CAT018,Orijen Cat & Kitten Dry Food,Orijen,Food,Cats,49.99,Biologically appropriate with 90% meat,4,Bag,1,20
CAT019,Taste of the Wild Rocky Mountain,Taste of the Wild,Food,Cats,39.99,Grain-free venison and salmon,14,Large Bag,1,28
CAT020,Merrick Purrfect Bistro Chicken,Merrick,Food,Cats,44.99,Real deboned chicken recipe,12,Large Bag,1,22
CAT021,Nutro Wholesome Essentials Indoor,Nutro,Food,Cats,35.99,Farm-raised chicken for indoor cats,14,Large Bag,1,30
CAT022,Instinct Original Grain-Free Chicken,Instinct,Food,Cats,52.99,High protein raw-coated kibble,11,Large Bag,1,24
CAT023,Natural Balance L.I.D. Duck,Natural Balance,Food,Cats,42.99,Limited ingredient green pea and duck,10,Large Bag,1,26
CAT024,Fancy Feast Gourmet Variety Pack,Fancy Feast,Food,Cats,24.99,Wet food variety 24 cans,6,Pack,1,45
CAT025,Sheba Perfect Portions Cuts,Sheba,Food,Cats,19.99,Twin-pack wet food 24 servings,3,Pack,1,40
CAT026,Weruva Paw Lickin Chicken,Weruva,Food,Cats,34.99,Human-grade shredded chicken 12-pack,3.5,Pack,1,32
CAT027,Tiki Cat Luau Variety Pack,Tiki Cat,Food,Cats,39.99,Grain-free pate 12-pack,3,Pack,1,28
CAT028,Feline Greenies Dental Treats,Greenies,Food,Cats,7.99,Dental treats for cats,0.25,5.5oz,1,55
CAT029,Temptations Classic Variety Pack,Temptations,Food,Cats,14.99,Crunchy treats variety 4-pack,1,Pack,1,50
CAT030,Whole Hearted Freeze-Dried Salmon,Whole Hearted,Food,Cats,12.99,Single ingredient salmon treats,0.25,3oz,1,45
CAT031,GoCat Da Bird Feather Wand,GoCat,Toys,Cats,12.99,Realistic feather wand toy,0.25,,1,45
CAT032,KONG Kickeroo,Kong,Toys,Cats,9.99,Catnip-filled kick toy,0.25,,1,50
CAT033,Petlinks Mystery Motion Toy,Petlinks,Toys,Cats,24.99,Concealed motion electronic toy,1,,1,28
CAT034,SmartyKat Hot Pursuit,SmartyKat,Toys,Cats,19.99,Electronic concealed motion toy,1,,1,32
CAT035,Catit Design Senses Circuit,Catit,Toys,Cats,22.99,Illuminated ball circuit track,2,,1,30
CAT036,PetFusion Ambush Interactive Toy,PetFusion,Toys,Cats,34.99,Electronic feather pop-up toy,1.5,,1,22
CAT037,Petstages Tower of Tracks,Petstages,Toys,Cats,14.99,3-level ball track tower,1.5,,1,40
CAT038,Trixie 5-in-1 Activity Center,Trixie,Toys,Cats,24.99,Multi-game activity puzzle,2,,1,25
CAT039,Doc & Phoebe Indoor Hunting Feeder,Doc & Phoebe,Toys,Cats,29.99,Hide and hunt feeder mice 3-pack,0.5,,1,28
CAT040,KONG Active Feather Teaser,Kong,Toys,Cats,5.99,Elastic feather teaser toy,0.1,,1,60
CAT041,Catit Flower Fountain,Catit,Health,Cats,34.99,3L drinking fountain with filter,4,,1,25
CAT042,PetSafe Drinkwell Platinum,PetSafe,Health,Cats,44.99,168oz water fountain,5,,1,20
CAT043,Pioneer Pet Raindrop Fountain,Pioneer Pet,Health,Cats,49.99,Stainless steel water fountain,4,,1,18
CAT044,Cat Mate Pet Fountain,Cat Mate,Health,Cats,29.99,70oz multi-height fountain,3,,1,28
CAT045,ARM & HAMMER Clump & Seal Litter,ARM & HAMMER,Health,Cats,19.99,28lb odor sealing clumping litter,28,,1,40
CAT046,Dr. Elsey's Precious Cat,Dr. Elsey's,Health,Cats,24.99,40lb premium clumping litter,40,,1,35
CAT047,World's Best Cat Litter Original,World's Best,Health,Cats,29.99,28lb corn-based clumping litter,28,,1,30
CAT048,Fresh Step Clean Paws,Fresh Step,Health,Cats,22.99,Low tracking clumping litter,22.5,,1,38
CAT049,Tidy Cats Breeze System Starter Kit,Tidy Cats,Health,Cats,39.99,Pellet litter system kit,10,,1,22
CAT050,PetSafe ScoopFree Self-Cleaning Box,PetSafe,Health,Cats,169.99,Automatic self-cleaning litter box,15,,1,12
CAT051,Litter-Robot 4,Litter-Robot,Health,Cats,649.99,WiFi-enabled automatic litter robot,24,,1,5
CAT052,Catit Jumbo Hooded Pan,Catit,Health,Cats,34.99,Extra large covered litter box,8,,1,25
CAT053,Nature's Miracle Litter Box Odor Destroyer,Nature's Miracle,Health,Cats,7.99,Litter deodorizing spray,0.5,24oz,1,50
CAT054,Feliway Classic Diffuser,Feliway,Health,Cats,34.99,Calming pheromone diffuser,0.5,,1,35
CAT055,Revolution Plus Topical,Revolution Plus,Health,Cats,124.99,6-month flea tick heartworm,0.25,,1,20
CAT056,Go Cat Feather Cat Catcher,GoCat,Toys,Cats,8.99,Long wand teaser toy,0.25,,1,55
CAT057,KONG Naturals Scratcher,Kong,Health,Cats,14.99,Reversible cardboard scratcher,2,,1,40
CAT058,SmartCat Ultimate Scratching Post,SmartCat,Health,Cats,49.99,32-inch sisal scratching post,16,,1,20
CAT059,PetFusion Jumbo Cat Scratcher,PetFusion,Health,Cats,59.99,Reversible curved scratcher,12,,1,18
CAT060,AmazonBasics Cat Scratching Post,AmazonBasics,Health,Cats,24.99,Medium jute scratching post,6,,1,35
CAT061,Armarkat Classic Cat Tree,Armarkat,Beds,Cats,149.99,74-inch multi-level cat tree,50,,1,8
CAT062,Go Pet Club 72-inch Cat Tree,Go Pet Club,Beds,Cats,89.99,Multi-level tree with condos,45,,1,12
CAT063,New Cat Condos Premier Cat Tree,New Cat Condos,Beds,Cats,179.99,Large solid wood cat tree,60,,1,6
CAT064,Vesper Cat Furniture High Base,Vesper,Beds,Cats,199.99,Modern design cat furniture,35,,1,8
CAT065,Tuft + Paw Milo Cat Tree,Tuft + Paw,Beds,Cats,349.99,Premium minimalist cat tree,40,,1,5
CAT066,K&H Thermo-Kitty Heated Bed,K&H,Beds,Cats,49.99,Heated cat bed with fleece,3,Large,1,22
CAT067,Aspen Pet Self-Warming Bed,Aspen Pet,Beds,Cats,19.99,Self-warming no electricity,2,24x20,1,35
CAT068,Midwest Curious Cat Cube,Midwest,Beds,Cats,24.99,Collapsible cat cube hideaway,3,,1,30
CAT069,K&H EZ Mount Window Bed,K&H,Beds,Cats,39.99,Suction cup window perch,4,,1,28
CAT070,Kitty City Cat Tunnel,Kitty City,Toys,Cats,19.99,Collapsible play tunnel,2,,1,35
CAT071,Necoichi Raised Cat Food Bowl,Necoichi,Accessories,Cats,14.99,Elevated porcelain food bowl,0.5,,1,40
CAT072,PetRageous Frisky Kitty Bowls,PetRageous,Accessories,Cats,12.99,Set of 2 stoneware bowls,1,,1,45
CAT073,Van Ness Automatic Feeder,Van Ness,Accessories,Cats,24.99,Gravity-fed auto feeder,3,,1,30
CAT074,PetSafe Healthy Pet Automatic Feeder,PetSafe,Accessories,Cats,89.99,Programmable 12-meal feeder,4,,1,18
CAT075,Catit Pixi Smart Feeder,Catit,Accessories,Cats,129.99,WiFi-enabled smart feeder,5,,1,12
CAT076,SureFlap Microchip Cat Flap,SureFlap,Accessories,Cats,119.99,Microchip-activated cat door,3,,1,15
CAT077,PetSafe Interior Cat Door,PetSafe,Accessories,Cats,24.99,2-way interior cat door,1,,1,35
CAT078,Cat Amazing Puzzle Feeder,Cat Amazing,Toys,Cats,18.99,Interactive puzzle feeder,0.5,,1,32
CAT079,Lickimat Casper Cat Mat,Lickimat,Accessories,Cats,11.99,Slow feeder lick mat,0.25,,1,45
CAT080,Safari Self-Cleaning Cat Brush,Safari,Grooming,Cats,11.99,Retractable slicker brush,0.25,,1,50
BRD007,Lafeber Nutri-Berries Parakeet,Lafeber,Food,Birds,14.99,Foraging food pellets and seeds,0.75,,1,35
BRD008,Roudybush Daily Maintenance Pellets,Roudybush,Food,Birds,18.99,Extruded nutritional pellets,3,,1,28
BRD009,Harrison's High Potency Coarse,Harrison's,Food,Birds,29.99,Organic certified pellets,5,,1,20
