id,name,category,description,price,stock
51,Sympathy Card,Cards,Thoughtful sympathy card,5.99,60
52,Anniversary Card,Cards,Romantic anniversary card,6.99,50
53,New Baby Card,Cards,Welcome baby greeting card,5.99,45
54,Blank Premium Card,Cards,High-quality blank card for custom message,7.99,70
55,Wine - Rose,Wine,Refreshing French rose wine,25.99,20
56,Wine - Pinot Noir,Wine,Elegant Oregon Pinot Noir,32.99,15
57,Wine - Prosecco,Wine,Italian Prosecco sparkling wine,22.99,25
58,Wine - Moscato,Wine,Sweet Moscato dessert wine,19.99,20
59,Wine Gift Set,Wine,Wine with glasses gift set,54.99,10
60,Champagne Premium (Moet),Wine,Moet Chandon champagne,59.99,12
61,Scented Candle (Rose),Candles,Romantic rose scented candle,18.99,30
62,Scented Candle (Ocean),Candles,Fresh ocean breeze candle,18.99,30
63,Scented Candle (Eucalyptus),Candles,Refreshing eucalyptus mint candle,19.99,25
64,Candle Gift Box,Candles,Set of 6 mini scented candles,29.99,20
65,Battery Tea Lights (10),Candles,Flameless LED tea light candles,12.99,40
66,Pillar Candle Set,Candles,3 unscented pillar candles,16.99,30
67,Cheese and Cracker Box,Food,Gourmet cheese and artisan crackers,39.99,15
68,Macaron Box (12),Food,French macarons assorted flavors,28.99,20
69,Brownie Box (6),Food,Fudgy chocolate brownies,19.99,25
70,Cake Pops (6),Food,Decorated cake pops assortment,16.99,30
71,Tea Gift Set,Food,Premium tea collection with honey,32.99,18
72,Coffee Gift Set,Food,Gourmet coffee and biscotti,34.99,15
73,Spa Gift Set,Self Care,Bath bombs soap and lotion set,44.99,20
74,Luxury Hand Cream,Self Care,Premium moisturizing hand cream,18.99,35
75,Aromatherapy Diffuser Oil,Self Care,Essential oil for diffuser,14.99,40
76,Silk Eye Mask,Self Care,Luxurious silk sleep mask,24.99,25
77,Gift Wrap Upgrade,Services,Premium gift wrapping with ribbon,5.99,200
78,Personal Video Message,Services,Record a personal video greeting,9.99,100
79,Same-Day Rush Fee,Services,Guaranteed same-day delivery,15.99,100
80,Photo Print Add-on,Services,Include a 4x6 photo with arrangement,8.99,50
