id,name,category,occasion,description,price,size,flowers_included,colors,vase_included,same_day_available,stock,image_url
31,Grand Gesture,Roses,Anniversary,"100 roses for the ultimate romantic statement",299.99,Deluxe,"Red Roses (100)",Red,1,0,5,
32,Succulent Garden,Plants,Thank You,"Low-maintenance succulent arrangement in decorative container",45.99,Small,"Assorted Succulents (5-7)",Green,1,1,25,
33,Peace Lily Plant,Plants,Sympathy,"Classic peace lily symbolizing hope and healing",49.99,Medium,"Peace Lily",White,1,1,20,
34,Fiddle Leaf Fig,Plants,Corporate,"Trendy indoor plant for modern spaces",89.99,Large,"Fiddle Leaf Fig",Green,1,0,10,
35,Mixed Flower Basket,Mixed Flowers,Get Well,"Cheerful basket arrangement to brighten any room",69.99,Large,"Roses, Carnations, Daisies, Alstroemeria","Mixed",0,1,22,
36,Apricot Sunset Roses,Roses,Birthday,"Stunning apricot-colored roses with hints of pink",74.99,Medium,"Apricot Roses (15), Eucalyptus","Apricot, Pink",1,1,18,
37,White Rose Serenity,Roses,Sympathy,"Pure white roses for peaceful remembrance",84.99,Large,"White Roses (24), Baby's Breath",White,1,1,15,
38,Yellow Joy Roses,Roses,Friendship,"Cheerful yellow roses to celebrate friendship",64.99,Medium,"Yellow Roses (12), Solidago","Yellow, Green",1,1,22,
39,Coral Reef Roses,Roses,Thank You,"Beautiful coral-colored roses with tropical flair",69.99,Medium,"Coral Roses (12), Ferns","Coral, Green",1,1,20,
40,Lavender Rose Bliss,Roses,Birthday,"Rare lavender roses for someone special",79.99,Medium,"Lavender Roses (12), Purple Statice","Lavender, Purple",1,0,12,
41,Peach Perfection,Roses,Anniversary,"Soft peach roses symbolizing gratitude and appreciation",74.99,Medium,"Peach Roses (15), Hypericum","Peach, Burgundy",1,1,16,
42,Burgundy Majesty,Roses,Anniversary,"Deep burgundy roses for passionate love",89.99,Large,"Burgundy Roses (18), Dark Greenery","Burgundy, Dark Green",1,0,10,
43,Bi-Color Fiesta,Roses,Celebration,"Striking bi-color roses in red and yellow",79.99,Large,"Bi-Color Roses (18)","Red, Yellow",1,1,14,
44,Spray Rose Cascade,Roses,Wedding,"Delicate spray roses perfect for wedding celebrations",69.99,Medium,"Spray Roses (multiple varieties)","White, Pink, Cream",0,1,18,
45,Forever Yours,Roses,Valentine's Day,"Three dozen red roses for eternal love",179.99,Deluxe,"Red Roses (36)",Red,1,1,8,
46,Asiatic Lily Sunshine,Lilies,Get Well,"Bright asiatic lilies to lift spirits",59.99,Medium,"Yellow Asiatic Lilies (8), Solidago","Yellow, Green",1,1,25,
47,Casa Blanca Elegance,Lilies,Sympathy,"Fragrant Casa Blanca lilies of pure elegance",94.99,Large,"Casa Blanca Lilies (10), Ferns",White,1,0,10,
48,Tiger Lily Wild,Lilies,Birthday,"Dramatic orange tiger lilies with spots",64.99,Medium,"Tiger Lilies (8), Greenery","Orange, Black spots",0,1,18,
49,Pink Lily Serenade,Lilies,Anniversary,"Sweet pink oriental lilies",74.99,Large,"Pink Oriental Lilies (10)","Pink, White",1,1,15,
50,Lily Garden Mix,Lilies,Thank You,"Mixed lilies in various colors",69.99,Large,"Asiatic Lilies (mixed colors)","Pink, Yellow, Orange, White",0,1,20,
51,Double Lily Delight,Lilies,Celebration,"Double-bloom lilies for twice the beauty",84.99,Large,"Double Asiatic Lilies (12)","Pink, Peach",1,0,8,
52,Calla Lily Sophistication,Lilies,Corporate,"Elegant calla lilies for professional settings",79.99,Medium,"White Calla Lilies (12)",White,1,1,14,
53,Mini Calla Rainbow,Lilies,Birthday,"Colorful mini calla lilies",59.99,Small,"Mini Calla Lilies (assorted)","Pink, Yellow, Orange, Purple",0,1,22,
54,Bird of Paradise Majesty,Tropical,Corporate,"Dramatic birds of paradise for impressive displays",89.99,Large,"Birds of Paradise (5), Monstera",Orange,1,0,8,
55,Anthurium Heart,Tropical,Anniversary,"Heart-shaped anthurium blooms for lovers",74.99,Medium,"Red Anthurium (5), Ti Leaves","Red, Green",1,0,12,
56,Ginger Spice,Tropical,Celebration,"Exotic red ginger flowers",69.99,Medium,"Red Ginger (6), Tropical Foliage",Red,1,0,10,
57,Protea Statement,Tropical,Corporate,"Architectural protea blooms for modern spaces",84.99,Large,"King Protea, Pincushion Protea","Pink, Orange",1,0,6,
58,Tropical Sunset Bouquet,Tropical,Birthday,"Mix of tropical flowers in warm sunset hues",79.99,Large,"Heliconia, Anthurium, Orchids, Ginger","Red, Orange, Yellow",1,0,10,
59,Monstera Modern,Tropical,Corporate,"Trendy monstera leaves with tropical accents",64.99,Medium,"Monstera Leaves, Anthurium",Green,1,0,15,
60,Island Breeze,Tropical,Thank You,"Light and airy tropical arrangement",54.99,Small,"Orchids, Anthurium, Palm Fronds","White, Pink, Green",0,0,18,
61,Dendrobium Orchid Spray,Orchids,Thank You,"Graceful dendrobium orchid spray",54.99,Medium,"Purple Dendrobium Orchids",Purple,1,1,20,
62,Cymbidium Cascade,Orchids,Anniversary,"Luxurious cymbidium orchid cascade",129.99,Large,"Cymbidium Orchids (3 stems)","Green, Yellow",1,0,6,
63,Oncidium Dancing Lady,Orchids,Celebration,"Cheerful dancing lady orchids",69.99,Medium,"Yellow Oncidium Orchids",Yellow,1,1,12,
64,Vanda Blue Magic,Orchids,Anniversary,"Rare blue vanda orchids",149.99,Large,"Blue Vanda Orchids (2 stems)",Blue,1,0,4,
65,Orchid Garden Arrangement,Orchids,Corporate,"Multiple orchid varieties in garden style",119.99,Large,"Phalaenopsis, Dendrobium, Oncidium","White, Purple, Yellow",1,0,8,
66,Mini Orchid Trio,Orchids,Thank You,"Three mini orchid plants in decorative container",89.99,Small,"Mini Phalaenopsis (3)","White, Pink, Purple",1,1,15,
67,Potted Snake Plant,Plants,Corporate,"Hardy snake plant for low-light spaces",39.99,Medium,"Snake Plant (Sansevieria)",Green,1,1,30,
68,Pothos Hanging Basket,Plants,Thank You,"Trailing pothos perfect for shelves",34.99,Medium,"Golden Pothos","Green, Yellow",0,1,25,
69,ZZ Plant Modern,Plants,Corporate,"Stylish ZZ plant requiring minimal care",59.99,Medium,"ZZ Plant",Green,1,1,20,
70,Bromeliad Tropical,Plants,Birthday,"Vibrant bromeliad in decorative pot",49.99,Medium,"Bromeliad","Red, Pink, Orange",1,1,18,
71,Money Tree Fortune,Plants,Congratulations,"Braided money tree for good luck",64.99,Medium,"Money Tree (Pachira)",Green,1,1,22,
72,Bamboo Harmony,Plants,Corporate,"Lucky bamboo arrangement",29.99,Small,"Lucky Bamboo (8 stalks)",Green,1,1,35,
73,Bonsai Juniper,Plants,Retirement,"Traditional juniper bonsai",79.99,Small,"Juniper Bonsai",Green,1,0,8,
74,Air Plant Collection,Plants,Thank You,"Modern air plant display",44.99,Small,"Air Plants (5), Decorative Holder",Green,1,1,20,
75,Herb Garden Trio,Plants,Housewarming,"Fresh herb plants for the kitchen",39.99,Small,"Basil, Rosemary, Mint",Green,0,1,25,
76,Aloe Vera Wellness,Plants,Get Well,"Healing aloe vera plant",29.99,Small,"Aloe Vera Plant",Green,1,1,30,
77,Wedding Classic Centerpiece,Centerpieces,Wedding,"Elegant white and green wedding centerpiece",129.99,Large,"White Roses, Hydrangeas, Eucalyptus, Candles","White, Green",1,0,5,
78,Rustic Wedding Centerpiece,Centerpieces,Wedding,"Farmhouse-style wedding centerpiece in wooden box",99.99,Medium,"Garden Roses, Ranunculus, Greenery","Blush, Cream, Green",0,0,8,
79,Modern Glamour Centerpiece,Centerpieces,Wedding,"Contemporary centerpiece with crystals",149.99,Large,"White Orchids, Calla Lilies, Crystals",White,1,0,4,
80,Garden Party Centerpiece,Centerpieces,Birthday,"Cheerful centerpiece for outdoor celebrations",79.99,Medium,"Mixed Garden Flowers","Pink, Yellow, Purple",0,1,12,
81,Tropical Luau Centerpiece,Centerpieces,Celebration,"Fun tropical centerpiece for parties",84.99,Large,"Tropical Flowers, Pineapple, Ti Leaves","Orange, Pink, Green",0,0,10,
82,Holiday Centerpiece,Centerpieces,Christmas,"Festive holiday centerpiece with candles",89.99,Large,"Red Roses, Pine, Holly, Candles","Red, Green",1,0,20,
83,Thanksgiving Harvest,Centerpieces,Thanksgiving,"Autumn harvest centerpiece",79.99,Large,"Sunflowers, Wheat, Gourds, Fall Leaves","Orange, Yellow, Brown",0,0,15,
84,Corporate Event Centerpiece,Centerpieces,Corporate,"Professional centerpiece for business events",109.99,Large,"White Flowers, Modern Greenery","White, Green",1,0,10,
85,Sympathy Wreath White,Wreaths,Sympathy,"Traditional white flower wreath for services",149.99,Large,"White Carnations, Roses, Lilies",White,0,0,8,
86,Sympathy Wreath Mixed,Wreaths,Sympathy,"Colorful wreath celebrating life",159.99,Large,"Mixed Flowers in Wreath Form","Pink, Purple, White",0,0,6,
87,Christmas Door Wreath,Wreaths,Christmas,"Fresh evergreen wreath for doors",69.99,Large,"Pine, Cedar, Holly, Pinecones","Green, Red",0,0,25,
88,Spring Door Wreath,Wreaths,Easter,"Fresh spring flower wreath",79.99,Large,"Tulips, Daffodils, Pussy Willows","Pink, Yellow, White",0,0,12,
89,Memorial Standing Wreath,Wreaths,Sympathy,"Standing funeral wreath on easel",199.99,Deluxe,"White Roses, Lilies, Gladiolus",White,0,0,5,
90,Autumn Harvest Wreath,Wreaths,Thanksgiving,"Fall-themed decorative wreath",74.99,Large,"Maple Leaves, Berries, Wheat","Red, Orange, Brown",0,0,15,
91,Wedding Corsage White,Corsages,Wedding,"Classic white rose corsage for mother of bride",34.99,Small,"White Spray Roses, Ribbon",White,0,1,20,
92,Prom Corsage Pink,Corsages,Prom,"Pretty pink corsage for prom",29.99,Small,"Pink Spray Roses, Baby's Breath",Pink,0,1,25,
93,Wrist Corsage Orchid,Corsages,Wedding,"Elegant orchid wrist corsage",39.99,Small,"Dendrobium Orchids, Ribbon",Purple,0,1,15,
94,Homecoming Corsage,Corsages,Homecoming,"School spirit corsage with ribbon",24.99,Small,"Carnations, School Colors","Varies",0,1,30,
95,Wedding Boutonniere,Boutonnieres,Wedding,"Classic rose boutonniere for groom",14.99,Small,"White Rose, Greenery",White,0,1,40,
96,Prom Boutonniere,Boutonnieres,Prom,"Matching boutonniere for prom",12.99,Small,"Spray Rose, Filler","White, Pink",0,1,35,
97,Rustic Boutonniere,Boutonnieres,Wedding,"Country-style boutonniere with succulents",16.99,Small,"Succulent, Dusty Miller","Green, Silver",0,1,20,
98,Elegant Calla Boutonniere,Boutonnieres,Wedding,"Sophisticated mini calla boutonniere",18.99,Small,"Mini Calla Lily, Bear Grass",White,0,1,15,
99,Dried Flower Bouquet,Dried Flowers,Home Decor,"Long-lasting dried flower arrangement",59.99,Medium,"Dried Roses, Lavender, Pampas Grass","Neutral, Pink",0,1,30,
100,Pampas Grass Bundle,Dried Flowers,Home Decor,"Trendy pampas grass for bohemian decor",44.99,Large,"Pampas Grass (5 stems)","Cream, Natural",0,1,25,
101,Preserved Rose Dome,Dried Flowers,Anniversary,"Preserved rose under glass dome",79.99,Small,"Preserved Rose",Red,0,1,15,
102,Dried Lavender Bundle,Dried Flowers,Thank You,"Fragrant dried lavender bundle",24.99,Small,"Dried Lavender","Purple",0,1,40,
103,Eucalyptus Garland,Dried Flowers,Wedding,"Fresh eucalyptus garland for events",89.99,Large,"Silver Dollar Eucalyptus (8ft)",Green,0,0,10,
104,Boho Dried Bouquet,Dried Flowers,Home Decor,"Bohemian dried flower mix",54.99,Medium,"Dried Protea, Bunny Tails, Palms","Natural, Pink, Brown",0,1,20,
105,Christmas Poinsettia,Seasonal,Christmas,"Classic red poinsettia plant",24.99,Medium,"Red Poinsettia",Red,1,1,50,
106,White Poinsettia,Seasonal,Christmas,"Elegant white poinsettia plant",27.99,Medium,"White Poinsettia",White,1,1,35,
107,Christmas Amaryllis,Seasonal,Christmas,"Stunning red amaryllis bulb in pot",34.99,Medium,"Red Amaryllis","Red, White",1,1,25,
108,Easter Lily Plant,Seasonal,Easter,"Traditional Easter lily in basket",29.99,Medium,"Easter Lily",White,1,1,40,
109,Spring Tulip Garden,Seasonal,Easter,"Potted tulips in spring colors",39.99,Medium,"Tulip Bulbs (mixed)","Pink, Yellow, Purple",0,1,30,
110,Autumn Mums,Seasonal,Fall,"Colorful chrysanthemum plant for fall",19.99,Medium,"Chrysanthemum","Orange, Yellow, Burgundy",0,1,45,
111,Graduation Cap Bouquet,Mixed Flowers,Graduation,"Celebratory bouquet with graduation theme",64.99,Medium,"Roses, Sunflowers, School Colors","Varies",0,1,20,
112,Congrats Grad Arrangement,Mixed Flowers,Graduation,"Achievement-celebrating arrangement",74.99,Large,"Bright Mixed Flowers, Graduation Pick","Yellow, Orange, Red",0,1,15,
113,Retirement Wishes,Mixed Flowers,Retirement,"Elegant arrangement for career celebration",84.99,Large,"Roses, Orchids, Lilies","Pink, White, Yellow",1,1,12,
114,Good Luck Bouquet,Mixed Flowers,Good Luck,"Four-leaf clover themed arrangement",54.99,Medium,"Green and White Flowers, Clover","Green, White",0,1,18,
115,Housewarming Welcome,Mixed Flowers,Housewarming,"Welcoming arrangement for new home",59.99,Medium,"Sunflowers, Roses, Cheerful Mix","Yellow, Orange",0,1,22,
116,Apology Bouquet,Mixed Flowers,Apology,"Sincere arrangement to say sorry",69.99,Large,"Purple Roses, White Lilies","Purple, White",1,1,15,
117,Thinking of You,Mixed Flowers,Just Because,"Gentle reminder someone cares",49.99,Medium,"Soft Pink Flowers, Lavender","Pink, Lavender",0,1,25,
118,Boss's Day Arrangement,Mixed Flowers,Corporate,"Professional arrangement for Boss's Day",64.99,Medium,"Elegant Mixed Flowers","White, Yellow, Purple",1,1,20,
119,Secretary's Day Bouquet,Mixed Flowers,Corporate,"Appreciation bouquet for administrative staff",54.99,Medium,"Bright Cheerful Flowers","Pink, Yellow",0,1,22,
120,Teacher Appreciation,Mixed Flowers,Thank You,"Thank you arrangement for educators",44.99,Small,"Daisies, Carnations, Apples","Red, Yellow, White",0,1,30,
121,Petite Romance,Roses,Valentine's Day,"Small but meaningful rose bouquet",39.99,Small,"Red Roses (6)",Red,0,1,40,
122,Galentine's Blooms,Mixed Flowers,Valentine's Day,"Friendship flowers for Galentine's Day",54.99,Medium,"Pink Roses, Peonies, Ranunculus","Pink, Blush",0,1,25,
123,Self-Love Bouquet,Mixed Flowers,Valentine's Day,"Treat yourself arrangement",49.99,Medium,"Mixed Pink and Red Flowers","Pink, Red",0,1,20,
124,Mom Deserves Best,Mixed Flowers,Mother's Day,"Premium Mother's Day arrangement",99.99,Large,"Peonies, Garden Roses, Hydrangeas","Pink, Peach, White",1,0,30,
125,First Mother's Day,Mixed Flowers,Mother's Day,"Special arrangement for new moms",69.99,Medium,"Soft Pink Flowers, Baby's Breath","Pink, White",1,1,20,
126,Grandma's Garden,Mixed Flowers,Mother's Day,"Classic arrangement for grandmothers",64.99,Medium,"Roses, Carnations, Daisies","Pink, Purple, White",0,1,25,
127,Father's Day Modern,Mixed Flowers,Father's Day,"Masculine arrangement for dad",59.99,Medium,"Succulents, Protea, Modern Greenery","Green, Orange",1,1,18,
128,Dad's Favorite Plant,Plants,Father's Day,"Low-maintenance plant for dad",49.99,Medium,"Snake Plant or ZZ Plant",Green,1,1,20,
129,Bridal Bouquet Classic,Bridal,Wedding,"Traditional white bridal bouquet",199.99,Large,"White Roses, Peonies, Stephanotis",White,0,0,5,
130,Bridal Bouquet Garden,Bridal,Wedding,"Romantic garden-style bridal bouquet",249.99,Large,"Garden Roses, Ranunculus, Eucalyptus","Blush, Cream, Pink",0,0,4,
131,Bridal Bouquet Modern,Bridal,Wedding,"Contemporary bridal bouquet",229.99,Large,"Calla Lilies, Orchids, Monstera","White, Green",0,0,3,
132,Bridal Bouquet Cascade,Bridal,Wedding,"Dramatic cascading bridal bouquet",279.99,Deluxe,"White Orchids, Roses, Ivy","White, Green",0,0,2,
133,Bridesmaid Bouquet,Bridal,Wedding,"Coordinating bridesmaid bouquet",89.99,Medium,"Roses, Ranunculus, Greenery","Blush, Pink",0,0,10,
134,Flower Girl Basket,Bridal,Wedding,"Petals and flowers for flower girl",49.99,Small,"Rose Petals, Mini Bouquet","White, Pink",0,0,8,
135,Get Well Sunshine,Mixed Flowers,Get Well,"Bright flowers to speed recovery",54.99,Medium,"Sunflowers, Daisies, Roses","Yellow, White",0,1,30,
136,Hospital Cheer,Mixed Flowers,Get Well,"Cheerful arrangement for hospital rooms",44.99,Small,"Colorful Mixed Flowers","Mixed",0,1,35,
137,Recovery Wishes,Mixed Flowers,Get Well,"Soothing pastel arrangement",59.99,Medium,"Pastel Roses, Hydrangeas, Stock","Pink, Lavender, White",1,1,20,
138,Speedy Recovery,Plants,Get Well,"Long-lasting plant for recovery",39.99,Medium,"Blooming Kalanchoe","Pink, Red, Yellow",1,1,25,
139,Budget Blooms,Mixed Flowers,Just Because,"Beautiful flowers at a great price",29.99,Small,"Seasonal Mixed Flowers","Mixed",0,1,50,
140,Value Bouquet,Mixed Flowers,Just Because,"Affordable everyday flowers",34.99,Small,"Carnations, Daisies, Filler","Mixed",0,1,45,
141,Deal of the Day,Mixed Flowers,Just Because,"Florist's choice at special price",39.99,Medium,"Florist's Selection","Mixed",0,1,40,
142,Premium Selection,Mixed Flowers,Anniversary,"Luxury arrangement with premium blooms",149.99,Large,"Peonies, Garden Roses, Orchids","Pink, White, Cream",1,0,8,
143,Signature Collection,Mixed Flowers,Anniversary,"Our most luxurious arrangement",199.99,Deluxe,"Premium Roses, Orchids, Calla Lilies, Peonies","White, Pink",1,0,5,
144,Executive Arrangement,Mixed Flowers,Corporate,"Impressive arrangement for executives",129.99,Large,"White Roses, Orchids, Elegant Greenery","White, Green",1,0,10,
145,Lobby Statement,Mixed Flowers,Corporate,"Grand arrangement for reception areas",179.99,Deluxe,"Large-scale Mixed Flowers","White, Green, Accent Color",1,0,5,
146,Conference Table Display,Mixed Flowers,Corporate,"Low centerpiece for meetings",89.99,Medium,"White and Green Flowers","White, Green",1,0,15,
147,Sympathy Basket,Mixed Flowers,Sympathy,"Comforting basket arrangement",94.99,Large,"White and Lavender Flowers","White, Lavender",0,1,12,
148,Sympathy Standing Spray,Mixed Flowers,Sympathy,"Standing easel spray for services",169.99,Deluxe,"White Roses, Lilies, Gladiolus",White,0,0,6,
149,Sympathy Cross,Mixed Flowers,Sympathy,"Cross-shaped tribute arrangement",189.99,Deluxe,"White Carnations, Roses",White,0,0,4,
150,Sympathy Heart,Mixed Flowers,Sympathy,"Heart-shaped memorial tribute",179.99,Large,"Red Roses Heart Shape",Red,0,0,5,
151,Casket Spray White,Mixed Flowers,Sympathy,"Full casket spray in white",349.99,Deluxe,"White Roses, Lilies, Orchids, Gladiolus",White,0,0,3,
152,Casket Spray Colorful,Mixed Flowers,Sympathy,"Full casket spray with color",379.99,Deluxe,"Mixed Roses, Lilies, Carnations","Pink, Red, White",0,0,2,
153,Urn Wreath,Wreaths,Sympathy,"Small wreath to surround urn",79.99,Small,"White Flowers",White,0,0,8,
154,Photo Frame Tribute,Mixed Flowers,Sympathy,"Arrangement around photo frame",99.99,Medium,"White and Accent Flowers","White, Pink",0,0,6,
155,Memory Garden,Plants,Sympathy,"Dish garden for lasting memory",69.99,Medium,"Mixed Green Plants",Green,1,1,10,
156,European Garden,Mixed Flowers,Get Well,"Mixed plants and flowers in basket",79.99,Large,"Blooming and Green Plants Mixed","Green, Mixed Blooms",0,1,12,
157,Dish Garden Deluxe,Plants,Sympathy,"Large mixed plant garden",89.99,Large,"Assorted Tropical Plants",Green,1,1,10,
158,Tulip Bundle Red,Tulips,Valentine's Day,"Fresh red tulips in sleek wrap",44.99,Medium,"Red Tulips (15)",Red,0,1,30,
159,Tulip Rainbow,Tulips,Birthday,"Mixed color tulips for celebrations",49.99,Medium,"Tulips (20 mixed colors)","Red, Yellow, Pink, Purple, White",0,1,25,
160,French Tulip Vase,Tulips,Anniversary,"Elegant French tulips in vase",69.99,Medium,"French Tulips (15)",Pink,1,1,15,
161,Tulip Garden Pot,Tulips,Easter,"Potted tulip bulbs for spring",39.99,Medium,"Tulip Bulbs (6-8)","Mixed",0,1,20,
162,White Tulip Purity,Tulips,Sympathy,"Pure white tulips for remembrance",54.99,Medium,"White Tulips (20)",White,0,1,18,
163,Peony Paradise,Peonies,Anniversary,"Luxurious seasonal peonies",99.99,Medium,"Peonies (8-10)",Pink,1,0,8,
164,Coral Charm Peonies,Peonies,Birthday,"Stunning coral peonies",109.99,Medium,"Coral Peonies (8)",Coral,1,0,6,
165,White Peony Elegance,Peonies,Wedding,"Bridal white peonies",119.99,Large,"White Peonies (12)",White,1,0,5,
166,Blush Peony Bowl,Peonies,Anniversary,"Garden-cut peonies in bowl",89.99,Medium,"Blush Peonies (6), Eucalyptus","Blush, Green",1,0,7,
167,Hydrangea Classic Blue,Hydrangeas,Thank You,"Blue hydrangeas in elegant display",64.99,Medium,"Blue Hydrangeas (3 stems)",Blue,1,1,15,
168,Hydrangea White Cloud,Hydrangeas,Wedding,"Pure white hydrangea arrangement",69.99,Medium,"White Hydrangeas (3 stems)",White,1,1,12,
169,Hydrangea Pink Blush,Hydrangeas,Birthday,"Soft pink hydrangea blooms",64.99,Medium,"Pink Hydrangeas (3 stems)",Pink,1,1,14,
170,Hydrangea Garden Mix,Hydrangeas,Mother's Day,"Mixed hydrangea colors",74.99,Large,"Hydrangeas (4 stems mixed)","Blue, Pink, White",1,1,10,
171,Sunflower Burst,Sunflowers,Birthday,"Cheerful sunflower arrangement",49.99,Medium,"Sunflowers (8), Solidago",Yellow,0,1,35,
172,Sunflower Field,Sunflowers,Thank You,"Large sunflower display",69.99,Large,"Sunflowers (15)",Yellow,1,1,20,
173,Sunflower Mason Jar,Sunflowers,Just Because,"Rustic sunflowers in mason jar",39.99,Small,"Sunflowers (5), Wheat","Yellow, Brown",0,1,30,
174,Sunflower and Rose Mix,Sunflowers,Birthday,"Sunflowers with red roses",59.99,Medium,"Sunflowers (5), Red Roses (6)","Yellow, Red",0,1,25,
175,Gerbera Daisy Rainbow,Gerbera Daisies,Birthday,"Colorful gerbera daisies",44.99,Medium,"Gerbera Daisies (12 mixed)","Pink, Orange, Yellow, Red",0,1,30,
176,Gerbera Daisy Vase,Gerbera Daisies,Get Well,"Cheerful gerberas in clear vase",54.99,Medium,"Gerbera Daisies (15)",Mixed,1,1,25,
177,Mini Gerbera Bunch,Gerbera Daisies,Thank You,"Petite gerbera bouquet",34.99,Small,"Mini Gerbera Daisies (20)",Mixed,0,1,35,
