id,name,origin_country,origin_region,farm,altitude,process,roast_level,flavor_notes,description,price_12oz,price_2lb,price_5lb,stock,rating,reviews_count,is_single_origin,is_organic,is_fair_trade,roast_date,harvest_season
14,Decaf Colombia,Colombia,Huila,Various Farms,1600-1800m,Swiss Water Decaf,Medium,Caramel|Chocolate|Mild Fruit|Clean,Chemical-free Swiss Water decaffeinated Colombian. All the flavor without the caffeine. Sweet and smooth.,19.00,32.00,74.00,40,4.5,167,1,0,0,2024-01-13,Year-round
15,Cold Brew Blend,Blend,Various,Multiple Farms,Various,Various,Medium-Dark,Chocolate|Caramel|Low Acidity|Smooth,Specially crafted for cold brewing. Extra smooth with sweet chocolate notes and minimal bitterness.,16.00,27.00,62.00,55,4.6,234,0,0,0,2024-01-15,Year-round
16,Yemen Mocha Matari,Yemen,Bani Mattar,Small Holders,2000-2400m,Natural,Medium,Wine|Blueberry|Chocolate|Complex,Rare Yemeni coffee from ancient terraces. Intense fruit and wine notes with chocolate undertones. Limited availability.,48.00,82.00,185.00,8,4.9,67,1,0,1,2024-01-05,October-December
17,Java Estate,Indonesia,West Java,Jampit Estate,1400-1500m,Washed,Medium-Dark,Herbal|Earthy|Chocolate|Full Body,Historic Indonesian Java with refined character. Herbal complexity with earthy depth and chocolate finish.,22.00,37.00,84.00,32,4.6,145,1,0,0,2024-01-11,July-September
18,Mexico Chiapas,Mexico,Chiapas,Cooperativa Maya Vinic,1200-1700m,Washed,Medium,Cocoa|Almond|Mild Citrus|Balanced,Organic Mexican coffee from indigenous cooperatives. Gentle cocoa and nut flavors with balanced acidity.,17.00,28.00,65.00,52,4.4,189,1,1,1,2024-01-12,November-March
19,Burundi Kayanza,Burundi,Kayanza,Nemba Washing Station,1700-1900m,Washed,Light,Red Grape|Floral|Sweet|Complex,Outstanding Burundian micro-lot. Grape-like sweetness with delicate floral notes and complex acidity.,25.00,42.00,95.00,22,4.8,98,1,0,1,2024-01-09,March-July
20,Honduras Marcala,Honduras,La Paz,Finca Santa Rosa,1500-1800m,Washed,Medium,Caramel|Apple|Nutty|Clean,Excellent Honduran specialty grade. Sweet caramel notes with apple brightness and nutty undertones.,18.00,30.00,70.00,48,4.5,176,1,0,1,2024-01-14,November-March
21,Tanzania Peaberry,Tanzania,Kilimanjaro,Machare Estate,1400-1800m,Washed,Medium,Blackberry|Wine|Lemon|Bright,Unique peaberry beans from Mount Kilimanjaro slopes. Intense berry notes with wine-like complexity.,26.00,44.00,98.00,28,4.7,134,1,0,0,2024-01-10,July-December
22,Hawaiian Kona Extra Fancy,USA,Hawaii,Greenwell Farms,600-900m,Washed,Medium,Butter|Macadamia|Mild|Silky,Premium Hawaiian Kona from the Big Island. Buttery smooth with delicate nutty notes and silky body.,52.00,88.00,200.00,15,4.8,112,1,0,0,2024-01-08,August-January
23,Vietnamese Robusta,Vietnam,Central Highlands,Da Lat,500-800m,Natural,Dark,Bold|Bitter|Chocolate|Strong,Strong Vietnamese robusta for those who like intensity. Perfect for traditional Vietnamese coffee.,14.00,23.00,54.00,65,4.2,256,1,0,0,2024-01-13,October-January
24,Bolivia Caranavi,Bolivia,Yungas,Cooperativa CENAPROC,1400-1800m,Washed,Light,Floral|Citrus|Delicate|Sweet,Rare Bolivian specialty coffee. Delicate floral notes with sweet citrus and clean finish.,24.00,40.00,92.00,18,4.7,78,1,1,1,2024-01-07,May-September
25,El Salvador Pacamara,El Salvador,Apaneca,Finca Kilimanjaro,1500-1700m,Honey,Medium,Tropical Fruit|Honey|Creamy|Complex,Unique Pacamara variety with exceptional cup complexity. Tropical fruit notes with honey sweetness.,28.00,47.00,105.00,20,4.8,95,1,0,0,2024-01-10,November-February
26,Sidamo Guji Natural,Ethiopia,Guji,Shakiso,1900-2100m,Natural,Light,Blueberry|Strawberry|Wine|Intense,Fruit bomb Ethiopian natural. Intense blueberry and strawberry notes with wine-like fermentation character.,24.50,41.00,93.00,30,4.9,187,1,1,0,2024-01-14,October-December
27,PNG Sigri Estate,Papua New Guinea,Western Highlands,Sigri Estate,1500-1700m,Washed,Medium,Melon|Brown Sugar|Herbal|Clean,Exotic PNG coffee with unique fruit character. Melon-like sweetness with clean herbal finish.,21.50,36.00,82.00,35,4.6,124,1,0,0,2024-01-11,April-September
28,India Monsoon Malabar,India,Karnataka,Aspinwall,1000-1200m,Monsooned,Medium-Dark,Spice|Musty|Low Acidity|Full Body,Unique monsooned Indian coffee. Distinctive earthy and spicy notes with virtually no acidity.,19.50,33.00,76.00,42,4.5,198,1,0,0,2024-01-12,Year-round
29,Nicaragua Jinotega,Nicaragua,Jinotega,Finca La Bendicion,1200-1500m,Washed,Medium,Caramel|Orange|Hazelnut|Balanced,Excellent Nicaraguan specialty. Caramel sweetness with citrus brightness and nutty complexity.,18.50,31.00,72.00,45,4.6,156,1,0,1,2024-01-13,November-February
30,Espresso Single Origin Ethiopia,Ethiopia,Sidamo,Bensa,1850-2000m,Natural,Medium,Blueberry|Dark Chocolate|Wine|Crema,Single origin espresso from Sidamo. Fruity natural process with excellent crema and chocolate base.,23.00,39.00,88.00,38,4.7,167,1,0,0,2024-01-15,October-December
31,Breakfast Blend,Blend,Latin America,Multiple Farms,Various,Washed,Light,Bright|Citrus|Mild|Clean,Light and bright morning coffee. Gentle citrus notes with clean finish. Perfect way to start your day.,15.00,25.00,58.00,88,4.4,412,0,0,0,2024-01-15,Year-round
32,House Blend,Blend,Various,Multiple Farms,Various,Various,Medium,Balanced|Chocolate|Nutty|Smooth,Our everyday house blend. Perfectly balanced for any occasion or brewing method.,14.50,24.00,56.00,95,4.4,534,0,0,0,2024-01-15,Year-round
33,Uganda Bugisu,Uganda,Mount Elgon,Sipi Falls,1500-2000m,Washed,Medium,Wine|Chocolate|Fruity|Complex,Underrated Ugandan specialty. Wine-like acidity with chocolate base and fruity complexity.,20.00,34.00,78.00,38,4.6,112,1,0,1,2024-01-10,October-February
34,Zambia Isanya Estate,Zambia,Northern Province,Isanya Estate,1200-1500m,Washed,Light,Citrus|Floral|Tea-like|Delicate,Rare Zambian coffee with delicate character. Tea-like body with citrus and floral notes.,27.00,45.00,102.00,12,4.7,56,1,0,0,2024-01-06,May-August
35,Dominican Republic Barahona,Dominican Republic,Barahona,Polo,800-1300m,Washed,Medium,Chocolate|Mild Fruit|Smooth|Clean,Caribbean coffee with gentle character. Chocolate sweetness with mild fruit notes and clean finish.,19.00,32.00,74.00,40,4.5,134,1,0,0,2024-01-11,October-February
36,Malawi Mzuzu,Malawi,Northern Region,Mzuzu Union,1200-1800m,Washed,Medium,Citrus|Floral|Caramel|Bright,Rare African coffee from Malawi. Bright citrus acidity with floral notes and caramel sweetness.,23.00,39.00,88.00,25,4.6,89,1,0,1,2024-01-09,April-August
37,Jamaica Blue Mountain,Jamaica,Blue Mountains,Wallenford Estate,1200-1500m,Washed,Medium,Mild|Nutty|Floral|No Bitterness,Legendary Jamaican coffee with perfectly balanced profile. Mild and smooth with zero bitterness.,75.00,128.00,290.00,8,4.9,156,1,0,0,2024-01-05,August-March
38,Thai Doi Chaang,Thailand,Chiang Rai,Doi Chaang Village,1300-1500m,Washed,Medium,Chocolate|Citrus|Herbal|Smooth,Northern Thai coffee from hill tribe farmers. Smooth chocolate notes with herbal undertones.,19.00,32.00,74.00,35,4.5,112,1,0,1,2024-01-12,November-February
39,Myanmar Shan State,Myanmar,Shan State,Ywangan,1100-1400m,Natural,Light,Tropical Fruit|Wine|Floral|Complex,Emerging specialty origin from Myanmar. Complex fruit-forward natural with wine-like fermentation.,22.00,37.00,84.00,28,4.6,78,1,0,0,2024-01-10,December-March
40,Ecuador Loja,Ecuador,Loja,Vilcabamba,1500-1900m,Washed,Medium,Brown Sugar|Orange|Floral|Clean,High altitude Ecuadorian coffee. Brown sugar sweetness with orange zest and clean finish.,21.00,35.00,80.00,32,4.6,98,1,1,0,2024-01-11,May-August
41,Puerto Rico Yauco Selecto,Puerto Rico,Yauco,Hacienda San Pedro,900-1200m,Washed,Medium,Chocolate|Butter|Mild|Balanced,Premium Puerto Rican from renowned Yauco region. Buttery smooth with milk chocolate notes.,45.00,76.00,172.00,10,4.7,87,1,0,0,2024-01-08,October-February
42,Venezuela Tachira,Venezuela,Tachira,Finca La Montana,1200-1600m,Washed,Medium,Wine|Cherry|Chocolate|Spice,Rare Venezuelan coffee. Wine-like acidity with cherry and chocolate complexity.,28.00,47.00,105.00,12,4.7,65,1,0,0,2024-01-06,September-December
43,Congo Kivu,DRC,North Kivu,Lake Kivu Region,1500-2000m,Washed,Light,Lemon|Floral|Tea-like|Bright,Exceptional Congolese coffee supporting peace efforts. Bright lemony acidity with tea-like delicacy.,26.00,44.00,98.00,18,4.8,72,1,0,1,2024-01-07,March-June
44,Timor Leste Maubisse,Timor Leste,Ainaro,Maubisse,1400-1700m,Washed,Medium,Chocolate|Earthy|Spice|Full Body,Organic coffee from young nation. Full-bodied with chocolate and earthy spice notes.,20.00,34.00,78.00,30,4.5,89,1,1,1,2024-01-10,May-September
45,Cuba Serrano Superior,Cuba,Sierra Maestra,Various Farms,1000-1200m,Washed,Medium,Tobacco|Cocoa|Mild|Smooth,Classic Cuban coffee with smooth character. Tobacco and cocoa notes with low acidity.,32.00,54.00,122.00,15,4.6,78,1,0,0,2024-01-07,November-February
46,Philippines Benguet,Philippines,Cordillera,Benguet Province,1400-1700m,Washed,Medium,Citrus|Floral|Chocolate|Clean,Premium Philippine arabica from mountain farms. Citrus brightness with chocolate undertones.,22.00,37.00,84.00,25,4.5,95,1,0,0,2024-01-11,November-March
47,Nepal Everest,Nepal,Nuwakot,Himalayan Range,1200-1600m,Washed,Light,Floral|Apple|Delicate|Sweet,Rare Himalayan coffee. Delicate floral notes with apple-like sweetness and tea-like body.,29.00,49.00,110.00,12,4.7,56,1,1,0,2024-01-06,September-December
48,Haiti Blue Pine Forest,Haiti,Thiotte,Pine Forest,1200-1500m,Washed,Medium,Chocolate|Fruit|Smooth|Medium Acidity,Haitian coffee supporting community development. Chocolate and fruit notes with smooth body.,21.00,35.00,80.00,28,4.5,89,1,1,1,2024-01-09,July-November
49,Laos Bolaven Plateau,Laos,Bolaven Plateau,Jhai Coffee,1100-1300m,Natural,Medium,Berry|Wine|Chocolate|Syrupy,Lao natural processed coffee. Syrupy body with berry and wine notes. Bold and sweet.,19.00,32.00,74.00,35,4.5,102,1,0,1,2024-01-12,November-January
50,Cameroon Java,Cameroon,North West,Oku,1800-2200m,Washed,Medium,Citrus|Chocolate|Wine|Complex,High altitude African coffee. Complex cup with citrus and wine-like acidity.,24.00,40.00,92.00,22,4.6,78,1,0,0,2024-01-08,October-January
51,Ethiopia Harrar Natural,Ethiopia,Harrar,Oromia,1700-2100m,Natural,Medium,Blueberry|Chocolate|Wine|Wild,Classic Ethiopian Harrar with wild fruit character. Intense blueberry with wine fermentation notes.,23.50,40.00,90.00,32,4.8,198,1,0,0,2024-01-13,October-December
52,Ethiopia Limu,Ethiopia,Limu,Jimma Zone,1700-2000m,Washed,Light,Wine|Spice|Floral|Balanced,Underrated Ethiopian region. Wine-like acidity with spicy floral complexity.,22.00,37.00,84.00,38,4.7,145,1,0,1,2024-01-11,October-December
53,Colombia Narino,Colombia,Narino,Various Farms,1800-2200m,Washed,Medium,Citrus|Caramel|Balanced|Clean,High altitude Colombian from volcanic slopes. Bright citrus with caramel sweetness.,19.50,33.00,76.00,45,4.6,189,1,0,1,2024-01-14,April-June
54,Colombia Gesha Village,Colombia,Narino,Finca El Diviso,1900-2100m,Washed,Light,Jasmine|Peach|Bergamot|Silky,Colombian-grown Gesha variety. Exceptional jasmine florals with peachy sweetness.,55.00,93.00,210.00,8,4.9,67,1,0,0,2024-01-07,April-June
55,Colombia Pink Bourbon,Colombia,Huila,Various Farms,1800-2000m,Honey,Medium,Raspberry|Rose|Caramel|Juicy,Rare pink bourbon variety. Juicy raspberry notes with rose-like florals and caramel.,32.00,54.00,122.00,15,4.8,89,1,0,0,2024-01-10,April-June
56,Guatemala Huehuetenango,Guatemala,Huehuetenango,Finca El Injerto,1500-2000m,Washed,Light,Apple|Floral|Bright|Complex,Premium Guatemalan from high plateau. Apple-like brightness with floral complexity.,26.00,44.00,98.00,25,4.8,156,1,0,0,2024-01-09,December-March
57,Guatemala Pacamara,Guatemala,Antigua,Finca Santa Clara,1600-1800m,Natural,Medium,Tropical|Honey|Creamy|Sweet,Natural processed Pacamara variety. Tropical fruit sweetness with creamy honey body.,30.00,51.00,115.00,18,4.8,98,1,0,0,2024-01-08,December-March
58,Costa Rica Black Honey,Costa Rica,West Valley,Finca Cumbres del Poas,1400-1600m,Black Honey,Medium,Stone Fruit|Brown Sugar|Syrupy|Complex,Extended honey process for maximum sweetness. Syrupy body with intense stone fruit.,27.00,45.00,102.00,20,4.8,112,1,0,0,2024-01-11,November-February
59,Costa Rica Gesha,Costa Rica,Tarrazu,Hacienda La Minita,1500-1700m,Washed,Light,Jasmine|Citrus|Tea-like|Elegant,Costa Rican grown Gesha variety. Elegant jasmine aromatics with citrus brightness.,48.00,82.00,185.00,10,4.9,78,1,0,0,2024-01-06,November-February
60,Honduras Comsa Lempira,Honduras,La Paz,COMSA Cooperative,1400-1700m,Anaerobic,Medium,Berry|Tropical|Wine|Funky,Anaerobic fermentation process. Funky berry and tropical notes with wine complexity.,25.00,42.00,95.00,22,4.7,89,1,1,1,2024-01-10,November-March
61,Nicaragua Maragogype,Nicaragua,Matagalpa,Finca San Jose,1200-1400m,Washed,Light,Mild|Citrus|Tea-like|Delicate,Giant elephant bean variety. Delicate tea-like body with mild citrus notes.,24.00,40.00,92.00,28,4.6,98,1,0,0,2024-01-12,November-February
62,Panama Boquete Bourbon,Panama,Boquete,Finca Lerida,1500-1700m,Washed,Medium,Orange|Chocolate|Caramel|Bright,Classic Panama bourbon variety. Orange zest brightness with chocolate caramel sweetness.,28.00,47.00,105.00,22,4.7,112,1,0,0,2024-01-09,January-March
63,Panama Elida Natural,Panama,Boquete,Finca Elida,1700-1900m,Natural,Light,Strawberry|Mango|Floral|Intense,Award-winning natural processed Panama. Intense strawberry and tropical fruit explosion.,58.00,98.00,220.00,6,5.0,56,1,0,0,2024-01-05,January-March
64,Brazil Daterra,Brazil,Cerrado,Daterra Farm,1050-1200m,Pulped Natural,Medium,Hazelnut|Chocolate|Sweet|Low Acidity,Precision farming from award-winning Daterra. Sweet hazelnut chocolate with low acidity.,18.00,30.00,70.00,55,4.6,234,1,0,0,2024-01-13,May-September
65,Brazil Jazblu,Brazil,Sul de Minas,Fazenda Jazblu,1100-1200m,Natural,Medium,Blueberry|Chocolate|Jam|Sweet,Rare naturally mutated variety with blue color. Intense blueberry jam sweetness.,35.00,59.00,132.00,12,4.8,78,1,0,0,2024-01-08,May-September
66,Kenya Peaberry,Kenya,Kiambu,Gachatha,1700-1900m,Washed,Medium,Grapefruit|Tomato|Brown Sugar|Intense,Peaberry selection from Kiambu. Intensified Kenya flavor with grapefruit punch.,28.00,47.00,105.00,20,4.8,134,1,0,0,2024-01-10,October-December
67,Rwanda Mushonyi,Rwanda,Western Province,Mushonyi Station,1800-2000m,Washed,Light,Orange|Floral|Honey|Silky,Exceptional Rwandan from Lake Kivu shores. Orange blossom florals with honey sweetness.,25.00,42.00,95.00,25,4.8,112,1,0,1,2024-01-09,March-June
68,Burundi Kibira,Burundi,Ngozi,Kibira Forest,1700-1900m,Natural,Light,Strawberry|Hibiscus|Sweet|Juicy,Natural processed Burundian with fruit intensity. Strawberry jammy sweetness with hibiscus florals.,27.00,45.00,102.00,18,4.8,89,1,0,1,2024-01-07,March-July
69,Tanzania Mount Meru,Tanzania,Arusha,Ngila Estate,1450-1700m,Washed,Medium,Apricot|Chocolate|Almond|Bright,Lesser known Tanzanian region. Apricot sweetness with chocolate almond complexity.,23.00,39.00,88.00,28,4.6,98,1,0,0,2024-01-11,July-December
70,Uganda Sipi Falls,Uganda,Mount Elgon,Sipi Falls,1600-1900m,Washed,Light,Citrus|Floral|Delicate|Bright,Premium Ugandan from Sipi Falls region. Delicate citrus florals with bright acidity.,22.00,37.00,84.00,32,4.7,89,1,0,1,2024-01-10,October-February
71,Sumatra Blue Lintong,Indonesia,North Sumatra,Lintong,1200-1500m,Wet-Hulled,Dark,Earthy|Spice|Chocolate|Herbal,Premium Lintong blue collection. Complex earthy spice with chocolate depth.,21.00,35.00,80.00,38,4.6,156,1,0,0,2024-01-12,September-December
72,Sumatra Gayo Peaberry,Indonesia,Aceh,Gayo Highlands,1400-1700m,Wet-Hulled,Medium-Dark,Cedar|Dark Chocolate|Tobacco|Full,Rare Gayo peaberry selection. Intensified body with cedar and tobacco complexity.,24.00,40.00,92.00,22,4.7,112,1,1,1,2024-01-09,Year-round
73,Java Preanger,Indonesia,West Java,Preanger,1200-1500m,Washed,Medium,Herbal|Spice|Cocoa|Clean,Historic Java variety with refined character. Clean herbal spice with cocoa undertones.,21.00,35.00,80.00,30,4.6,98,1,0,0,2024-01-11,July-September
74,Sulawesi Toraja,Indonesia,South Sulawesi,Tana Toraja,1400-1800m,Wet-Hulled,Medium,Dark Chocolate|Herbs|Earthy|Spicy,Ceremonial coffee from Toraja highlands. Dark chocolate with herbal earthy complexity.,22.00,37.00,84.00,28,4.6,134,1,0,0,2024-01-10,Year-round
75,Flores Bajawa,Indonesia,East Nusa Tenggara,Bajawa,1200-1600m,Wet-Hulled,Medium,Sweet Tobacco|Chocolate|Spice|Full,Volcanic island coffee from Flores. Sweet tobacco with chocolate and exotic spice.,23.00,39.00,88.00,25,4.6,89,1,0,0,2024-01-08,May-September
76,Bali Kintamani,Indonesia,Bali,Kintamani,1200-1500m,Wet-Hulled,Medium,Citrus|Sweet|Herbal|Clean,Balinese coffee from volcanic highlands. Unusually citrusy for Indonesian with sweet herbs.,20.00,34.00,78.00,35,4.5,145,1,0,0,2024-01-12,May-October
77,Organic Peru Villa Rica,Peru,Pasco,Villa Rica,1400-1800m,Washed,Medium,Chocolate|Caramel|Mild|Clean,Certified organic Peruvian. Chocolate caramel sweetness with mild clean finish.,18.00,30.00,70.00,48,4.5,167,1,1,1,2024-01-13,April-September
78,Peru Cenfrocafe,Peru,Cajamarca,CENFROCAFE,1400-1850m,Washed,Medium,Citrus|Chocolate|Nutty|Balanced,Award-winning cooperative coffee. Balanced citrus chocolate with nutty undertones.,19.00,32.00,74.00,42,4.6,134,1,1,1,2024-01-11,April-September
79,Bolivia Yungas Red Catuai,Bolivia,Yungas,Sol de Manana,1600-1900m,Washed,Light,Floral|Lemon|Sweet|Delicate,Red catuai variety from Yungas cloud forest. Delicate lemony florals with sweet finish.,26.00,44.00,98.00,15,4.7,67,1,1,1,2024-01-06,May-September
80,Organic Chiapas Altura,Mexico,Chiapas,Finca Irlanda,1400-1800m,Washed,Medium,Cocoa|Orange|Mild|Balanced,Oldest organic certified farm in Mexico. Mild cocoa with orange zest accents.,18.50,31.00,72.00,45,4.5,156,1,1,1,2024-01-12,November-March
81,Decaf Ethiopia,Ethiopia,Sidamo,Various,1800-2000m,Swiss Water Decaf,Light,Blueberry|Floral|Sweet|Delicate,Swiss Water decaf Ethiopian. All the fruity complexity without caffeine.,22.00,37.00,84.00,32,4.6,98,1,0,0,2024-01-14,Year-round
82,Decaf Brazil,Brazil,Minas Gerais,Various,1100-1300m,Swiss Water Decaf,Medium,Chocolate|Nutty|Smooth|Low Acidity,Swiss Water decaf Brazilian. Smooth chocolate nutty character caffeine-free.,17.50,29.00,68.00,45,4.5,134,0,0,0,2024-01-14,Year-round
83,Decaf Mexico MWP,Mexico,Oaxaca,Various,1400-1700m,Mountain Water Decaf,Medium,Cocoa|Caramel|Mild|Clean,Mexican decaf using Mountain Water Process. Clean cocoa caramel profile.,18.00,30.00,70.00,38,4.5,112,1,1,0,2024-01-13,Year-round
84,Half Caf Blend,Blend,Various,Multiple Farms,Various,Various,Medium,Balanced|Chocolate|Smooth|Versatile,50% regular 50% Swiss Water decaf. Half the caffeine full flavor.,16.00,27.00,62.00,55,4.4,189,0,0,0,2024-01-15,Year-round
85,French Roast,Blend,Various,Multiple Farms,Various,Various,Dark,Smoky|Bittersweet|Bold|Low Acidity,Classic dark French roast. Smoky bittersweet character for dark roast lovers.,15.50,26.00,60.00,72,4.3,287,0,0,0,2024-01-14,Year-round
86,Italian Roast,Blend,Various,Multiple Farms,Various,Various,Dark,Charred|Chocolate|Intense|Bold,Deep dark Italian style roast. Intense smoky chocolate for the boldest taste.,15.50,26.00,60.00,68,4.3,256,0,0,0,2024-01-14,Year-round
87,Vienna Roast,Blend,Central America,Multiple Farms,Various,Various,Medium-Dark,Bittersweet|Caramel|Balanced|Smooth,Classic Vienna roast level. Balanced bittersweet caramel between medium and dark.,16.00,27.00,62.00,58,4.4,198,0,0,0,2024-01-14,Year-round
88,New Orleans Style,Blend,Various,Multiple Farms,Various,Various,Dark,Chicory|Chocolate|Bold|Unique,Traditional New Orleans coffee with chicory. Bold and distinctive southern style.,14.50,24.00,56.00,48,4.4,167,0,0,0,2024-01-15,Year-round
89,Mocha Java Blend,Blend,Ethiopia/Indonesia,Multiple Farms,Various,Various,Medium,Chocolate|Wine|Earthy|Complex,Historic blend of Ethiopian and Indonesian. Complex chocolate wine earthy notes.,19.00,32.00,74.00,42,4.6,198,0,0,0,2024-01-15,Year-round
90,Sumatra Peaberry Blend,Blend,Indonesia,Various Farms,Various,Various,Dark,Earthy|Spice|Chocolate|Intense,Bold Indonesian blend featuring peaberry beans. Intensified earthy spice character.,21.00,35.00,80.00,35,4.6,145,0,0,0,2024-01-14,Year-round
91,African Safari Blend,Blend,Africa,Multiple Origins,Various,Various,Medium,Berry|Wine|Bright|Complex,Blend of East African origins. Bright berry and wine complexity from the continent.,20.00,34.00,78.00,38,4.6,167,0,0,0,2024-01-15,Year-round
92,Central American Blend,Blend,Central America,Multiple Farms,Various,Various,Medium,Chocolate|Citrus|Balanced|Clean,Blend of premium Central American origins. Balanced chocolate citrus clean profile.,17.00,28.00,65.00,55,4.5,212,0,0,0,2024-01-15,Year-round
93,South American Blend,Blend,South America,Multiple Farms,Various,Various,Medium,Caramel|Nutty|Smooth|Approachable,Smooth blend from Colombia Brazil and Peru. Caramel nutty approachable for everyone.,16.00,27.00,62.00,62,4.5,245,0,0,0,2024-01-15,Year-round
94,Pacific Island Blend,Blend,Pacific,Multiple Islands,Various,Various,Medium,Mild|Floral|Smooth|Exotic,Blend of Pacific island coffees. Exotic mild floral character from island origins.,24.00,40.00,92.00,25,4.6,98,0,0,0,2024-01-14,Year-round
95,Womens Cooperative Blend,Blend,Various,Women Farmers,Various,Various,Medium,Fruity|Floral|Balanced|Sweet,Supporting women coffee farmers worldwide. Fruity floral balanced with purpose.,19.00,32.00,74.00,42,4.6,178,0,1,1,2024-01-15,Year-round
