id,name,category,room,price,description,dimensions_json,weight_lbs,material,color,assembly_required,assembly_time_minutes,in_stock,stock_quantity
BR001,Malmo Queen Platform Bed,Beds,Bedroom,799.99,Queen platform bed with upholstered headboard and solid wood frame,"{""width"": 65, ""depth"": 86, ""height"": 48, ""unit"": ""inches""}",150,Wood/Fabric,Gray,1,75,1,10
BR002,Stockholm King Bed Frame,Beds,Bedroom,999.99,King size bed with oak slat headboard and under-bed storage,"{""width"": 80, ""depth"": 88, ""height"": 45, ""unit"": ""inches""}",180,Wood,Natural Oak,1,90,1,6
BR003,Copenhagen Twin Bed,Beds,Bedroom,449.99,Twin bed with spindle headboard in solid beech wood,"{""width"": 42, ""depth"": 78, ""height"": 40, ""unit"": ""inches""}",75,Wood,White,1,45,1,12
BR004,Oslo 6-Drawer Dresser,Dressers,Bedroom,649.99,Wide dresser with soft-close drawers and walnut veneer,"{""width"": 60, ""depth"": 18, ""height"": 34, ""unit"": ""inches""}",135,Wood,Walnut,1,60,1,8
BR005,Bergen 4-Drawer Chest,Dressers,Bedroom,399.99,Tall chest of drawers with brass hardware,"{""width"": 32, ""depth"": 18, ""height"": 48, ""unit"": ""inches""}",95,Wood,White,1,45,1,15
BR006,Helsinki Nightstand,Nightstands,Bedroom,179.99,Bedside table with drawer and open shelf,"{""width"": 20, ""depth"": 16, ""height"": 24, ""unit"": ""inches""}",28,Wood,Natural Oak,1,20,1,25
BR007,Aarhus Nightstand Set,Nightstands,Bedroom,299.99,Set of 2 matching nightstands with USB charging,"{""width"": 18, ""depth"": 14, ""height"": 22, ""unit"": ""inches""}",45,Wood,Black,1,30,1,12
BR008,Gothenburg Wardrobe,Wardrobes,Bedroom,899.99,2-door wardrobe with interior shelves and hanging rod,"{""width"": 48, ""depth"": 24, ""height"": 78, ""unit"": ""inches""}",195,Wood,White,1,120,1,5
BR009,Turku Vanity with Mirror,Vanities,Bedroom,449.99,Vanity table with tilting mirror and storage drawers,"{""width"": 42, ""depth"": 18, ""height"": 55, ""unit"": ""inches""}",65,Wood,White,1,45,1,10
BR010,Tampere Bench,Benches,Bedroom,199.99,Upholstered end-of-bed bench with storage,"{""width"": 48, ""depth"": 18, ""height"": 18, ""unit"": ""inches""}",35,Wood/Fabric,Beige,1,25,1,18
DR001,Copenhagen Dining Table,Tables,Dining Room,899.99,Extendable dining table seats 6-8 with butterfly leaf,"{""width"": 72, ""depth"": 36, ""height"": 30, ""unit"": ""inches""}",125,Wood,Natural Oak,1,60,1,8
DR002,Malmo Round Dining Table,Tables,Dining Room,599.99,48-inch round pedestal table in solid oak,"{""width"": 48, ""depth"": 48, ""height"": 30, ""unit"": ""inches""}",95,Wood,Walnut,1,45,1,10
DR003,Stockholm Dining Chair Set,Chairs,Dining Room,449.99,Set of 4 upholstered dining chairs with oak legs,"{""width"": 20, ""depth"": 22, ""height"": 34, ""unit"": ""inches""}",60,Wood/Fabric,Gray,1,30,1,15
DR004,Oslo Dining Chair Set,Chairs,Dining Room,349.99,Set of 4 Windsor-style dining chairs in solid beech,"{""width"": 18, ""depth"": 20, ""height"": 36, ""unit"": ""inches""}",48,Wood,Black,1,20,1,20
DR005,Bergen Bench,Benches,Dining Room,249.99,Dining bench seats 2-3 with solid wood construction,"{""width"": 48, ""depth"": 15, ""height"": 18, ""unit"": ""inches""}",35,Wood,Natural Oak,1,25,1,18
DR006,Helsinki Buffet,Buffets,Dining Room,749.99,Sideboard with drawers and cabinet storage,"{""width"": 60, ""depth"": 18, ""height"": 34, ""unit"": ""inches""}",145,Wood,White/Oak,1,75,1,6
DR007,Aarhus Bar Cart,Bar Carts,Dining Room,299.99,Rolling bar cart with 2 tiers and wine rack,"{""width"": 32, ""depth"": 16, ""height"": 32, ""unit"": ""inches""}",28,Metal/Wood,Gold/Walnut,1,20,1,22
DR008,Gothenburg China Cabinet,Cabinets,Dining Room,999.99,Display cabinet with glass doors and interior lighting,"{""width"": 42, ""depth"": 16, ""height"": 72, ""unit"": ""inches""}",165,Wood/Glass,White,1,90,1,4
OF001,Stockholm Standing Desk,Desks,Office,699.99,Electric sit-stand desk with memory presets,"{""width"": 60, ""depth"": 30, ""height"": 49, ""unit"": ""inches""}",95,Wood/Metal,Walnut/Black,1,45,1,12
OF002,Copenhagen Writing Desk,Desks,Office,449.99,Compact writing desk with drawer and cable management,"{""width"": 48, ""depth"": 24, ""height"": 30, ""unit"": ""inches""}",55,Wood,White,1,30,1,18
OF003,Malmo L-Desk,Desks,Office,599.99,L-shaped corner desk with ample workspace,"{""width"": 66, ""depth"": 66, ""height"": 30, ""unit"": ""inches""}",115,Wood,Natural Oak,1,60,1,8
OF004,Oslo Executive Chair,Chairs,Office,399.99,Ergonomic office chair with lumbar support and adjustable arms,"{""width"": 27, ""depth"": 28, ""height"": 45, ""unit"": ""inches""}",45,Mesh/Metal,Black,1,20,1,20
OF005,Bergen Task Chair,Chairs,Office,249.99,Mid-back task chair with breathable mesh,"{""width"": 24, ""depth"": 24, ""height"": 40, ""unit"": ""inches""}",32,Mesh/Metal,Gray,1,15,1,30
OF006,Helsinki Filing Cabinet,Filing Cabinets,Office,299.99,3-drawer lateral file cabinet with lock,"{""width"": 36, ""depth"": 20, ""height"": 40, ""unit"": ""inches""}",85,Metal,White,1,30,1,15
OF007,Aarhus Bookshelf,Shelving,Office,279.99,5-tier ladder bookshelf with metal frame,"{""width"": 30, ""depth"": 12, ""height"": 72, ""unit"": ""inches""}",45,Wood/Metal,Walnut/Black,1,35,1,20
OF008,Gothenburg Monitor Stand,Accessories,Office,79.99,Bamboo monitor riser with storage drawer,"{""width"": 22, ""depth"": 10, ""height"": 5, ""unit"": ""inches""}",5,Bamboo,Natural,0,0,1,50
OD001,Malibu Patio Dining Set,Patio Sets,Outdoor,1199.99,7-piece outdoor dining set with umbrella hole,"{""width"": 72, ""depth"": 42, ""height"": 30, ""unit"": ""inches""}",185,Teak,Natural,1,90,1,5
OD002,Laguna Sectional Sofa,Sofas,Outdoor,1499.99,Modular outdoor sectional with weather-resistant cushions,"{""width"": 100, ""depth"": 80, ""height"": 32, ""unit"": ""inches""}",210,Wicker/Metal,Gray,1,120,1,4
OD003,Pacific Lounge Chair Set,Loungers,Outdoor,599.99,Set of 2 adjustable chaise loungers with cushions,"{""width"": 28, ""depth"": 78, ""height"": 38, ""unit"": ""inches""}",95,Aluminum,White,1,45,1,8
OD004,Coastal Adirondack Chair,Chairs,Outdoor,199.99,Classic Adirondack chair in recycled HDPE,"{""width"": 30, ""depth"": 36, ""height"": 38, ""unit"": ""inches""}",38,Plastic,Navy Blue,1,25,1,25
OD005,Marina Coffee Table,Tables,Outdoor,249.99,Outdoor coffee table with tempered glass top,"{""width"": 42, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",35,Wicker/Glass,Brown,1,20,1,15
OD006,Harbor Side Table,Tables,Outdoor,99.99,Small outdoor side table perfect for drinks,"{""width"": 18, ""depth"": 18, ""height"": 20, ""unit"": ""inches""}",12,Metal,Black,1,10,1,35
OD007,Sunset Planter Set,Planters,Outdoor,149.99,Set of 3 modern planters in varying sizes,"{""width"": 14, ""depth"": 14, ""height"": 16, ""unit"": ""inches""}",25,Ceramic,Terracotta,0,0,1,20
OD008,Beach Umbrella 9ft,Umbrellas,Outdoor,179.99,Tilting patio umbrella with crank lift,"{""width"": 108, ""depth"": 108, ""height"": 96, ""unit"": ""inches""}",22,Aluminum/Polyester,Beige,1,15,1,18
LR011,Reykjavik Recliner,Chairs,Living Room,699.99,Power recliner with USB charging and cup holders,"{""width"": 36, ""depth"": 38, ""height"": 40, ""unit"": ""inches""}",95,Leather,Brown,0,0,1,8
LR012,Nuuk Sleeper Sofa,Sofas,Living Room,1199.99,Queen sleeper sofa with memory foam mattress,"{""width"": 86, ""depth"": 38, ""height"": 35, ""unit"": ""inches""}",195,Fabric,Charcoal,0,0,1,5
LR013,Stavanger Console Table,Tables,Living Room,249.99,Narrow console table with shelf for entryway,"{""width"": 48, ""depth"": 12, ""height"": 30, ""unit"": ""inches""}",35,Wood,Espresso,1,25,1,18
LR014,Trondheim Ottoman,Ottomans,Living Room,179.99,Round storage ottoman with removable lid,"{""width"": 24, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",22,Fabric,Sage Green,1,15,1,25
LR015,Uppsala Cube Ottoman Set,Ottomans,Living Room,129.99,Set of 2 fabric cube ottomans,"{""width"": 15, ""depth"": 15, ""height"": 15, ""unit"": ""inches""}",18,Fabric,Cream,0,0,1,30
LR016,Odense Media Console,TV Stands,Living Room,599.99,70-inch media console with sliding barn doors,"{""width"": 70, ""depth"": 16, ""height"": 26, ""unit"": ""inches""}",110,Wood,Rustic Gray,1,75,1,7
LR017,Aalborg Corner Shelf,Shelving,Living Room,149.99,5-tier corner shelf maximizes space,"{""width"": 24, ""depth"": 24, ""height"": 60, ""unit"": ""inches""}",28,Wood,White,1,25,1,22
LR018,Esbjerg Sofa Table,Tables,Living Room,199.99,Long sofa table fits behind couch,"{""width"": 60, ""depth"": 12, ""height"": 28, ""unit"": ""inches""}",32,Wood/Metal,Walnut/Black,1,20,1,15
LR019,Roskilde Accent Cabinet,Cabinets,Living Room,349.99,Accent cabinet with patterned doors,"{""width"": 32, ""depth"": 14, ""height"": 32, ""unit"": ""inches""}",55,Wood,Navy Blue,1,30,1,12
LR020,Viborg Plant Stand Set,Plant Stands,Living Room,89.99,Set of 3 metal plant stands varying heights,"{""width"": 12, ""depth"": 12, ""height"": 30, ""unit"": ""inches""}",15,Metal,Gold,1,15,1,28
LR021,Kolding Swivel Chair,Chairs,Living Room,449.99,360-degree swivel accent chair in velvet,"{""width"": 30, ""depth"": 32, ""height"": 32, ""unit"": ""inches""}",42,Velvet,Emerald Green,0,0,1,10
LR022,Horsens Media Tower,TV Stands,Living Room,199.99,Tall media tower for CD DVD and games,"{""width"": 10, ""depth"": 10, ""height"": 52, ""unit"": ""inches""}",35,Wood,Black,1,30,1,20
LR023,Silkeborg Leather Sofa,Sofas,Living Room,1899.99,Top grain leather sofa with nailhead trim,"{""width"": 90, ""depth"": 38, ""height"": 35, ""unit"": ""inches""}",175,Leather,Cognac,0,0,1,4
LR024,Herning Tufted Loveseat,Sofas,Living Room,799.99,Chesterfield-style tufted loveseat,"{""width"": 62, ""depth"": 34, ""height"": 30, ""unit"": ""inches""}",95,Velvet,Teal,0,0,1,8
LR025,Vejle Lift Top Coffee Table,Tables,Living Room,349.99,Coffee table with lift-top for laptop use,"{""width"": 44, ""depth"": 22, ""height"": 19, ""unit"": ""inches""}",65,Wood,Espresso,1,35,1,12
LR026,Fredericia Floating Shelves,Shelving,Living Room,79.99,Set of 3 floating wall shelves,"{""width"": 24, ""depth"": 6, ""height"": 2, ""unit"": ""inches""}",12,Wood,Natural Oak,1,20,1,35
LR027,Sonderborg Table Lamp Set,Lighting,Living Room,99.99,Set of 2 ceramic table lamps,"{""width"": 12, ""depth"": 12, ""height"": 24, ""unit"": ""inches""}",14,Ceramic,White,0,0,1,20
LR028,Nyborg Pendant Light,Lighting,Living Room,179.99,Modern geometric pendant light,"{""width"": 18, ""depth"": 18, ""height"": 15, ""unit"": ""inches""}",8,Metal,Black/Gold,1,25,1,15
LR029,Holstebro Area Rug 5x7,Rugs,Living Room,249.99,Soft shag area rug in neutral tones,"{""width"": 84, ""depth"": 60, ""height"": 1.5, ""unit"": ""inches""}",25,Polyester,Ivory,0,0,1,18
LR030,Skanderborg Wall Mirror,Mirrors,Living Room,199.99,Large round wall mirror with gold frame,"{""width"": 36, ""depth"": 2, ""height"": 36, ""unit"": ""inches""}",22,Glass/Metal,Gold,1,15,1,14
BR011,Malmo California King Bed,Beds,Bedroom,1199.99,California king bed with storage drawers,"{""width"": 76, ""depth"": 88, ""height"": 50, ""unit"": ""inches""}",210,Wood,Gray,1,105,1,4
BR012,Oslo Bunk Bed,Beds,Bedroom,699.99,Twin over twin bunk bed with ladder,"{""width"": 42, ""depth"": 80, ""height"": 65, ""unit"": ""inches""}",145,Wood,White,1,90,1,8
BR013,Bergen Full Daybed,Beds,Bedroom,549.99,Full daybed with trundle for guests,"{""width"": 56, ""depth"": 80, ""height"": 38, ""unit"": ""inches""}",125,Wood/Metal,Black,1,60,1,10
BR014,Stockholm Canopy Bed,Beds,Bedroom,1499.99,King canopy bed with modern metal frame,"{""width"": 82, ""depth"": 88, ""height"": 82, ""unit"": ""inches""}",165,Metal,Matte Black,1,120,1,3
BR015,Helsinki Murphy Bed,Beds,Bedroom,1899.99,Queen murphy bed with shelving,"{""width"": 66, ""depth"": 14, ""height"": 84, ""unit"": ""inches""}",285,Wood,White,1,180,0,2
BR016,Aarhus 8-Drawer Dresser,Dressers,Bedroom,849.99,Extra wide dresser with mirror,"{""width"": 72, ""depth"": 18, ""height"": 34, ""unit"": ""inches""}",175,Wood,Natural Oak,1,75,1,6
BR017,Gothenburg Tall Chest,Dressers,Bedroom,549.99,7-drawer tall chest with jewelry tray,"{""width"": 36, ""depth"": 18, ""height"": 54, ""unit"": ""inches""}",115,Wood,Espresso,1,55,1,9
BR018,Turku 3-Drawer Nightstand,Nightstands,Bedroom,229.99,Nightstand with USB ports and outlet,"{""width"": 24, ""depth"": 16, ""height"": 26, ""unit"": ""inches""}",38,Wood,White,1,25,1,18
BR019,Tampere Floating Nightstand,Nightstands,Bedroom,149.99,Wall-mounted nightstand with drawer,"{""width"": 18, ""depth"": 12, ""height"": 8, ""unit"": ""inches""}",15,Wood,Walnut,1,35,1,22
BR020,Reykjavik Armoire,Wardrobes,Bedroom,1199.99,Traditional armoire with hanging and shelves,"{""width"": 42, ""depth"": 22, ""height"": 72, ""unit"": ""inches""}",225,Wood,Cherry,1,150,1,3
BR021,Nuuk Walk-In Closet System,Wardrobes,Bedroom,799.99,Modular closet organizer system,"{""width"": 96, ""depth"": 16, ""height"": 84, ""unit"": ""inches""}",165,Wood/Metal,White,1,180,1,5
BR022,Stavanger Jewelry Armoire,Storage,Bedroom,349.99,Standing jewelry armoire with mirror,"{""width"": 18, ""depth"": 14, ""height"": 48, ""unit"": ""inches""}",55,Wood,Espresso,1,40,1,12
BR023,Trondheim Blanket Chest,Storage,Bedroom,299.99,Cedar-lined blanket chest,"{""width"": 42, ""depth"": 18, ""height"": 20, ""unit"": ""inches""}",48,Cedar,Natural,1,35,1,14
BR024,Uppsala Shoe Rack,Storage,Bedroom,129.99,3-tier shoe rack holds 15 pairs,"{""width"": 30, ""depth"": 12, ""height"": 24, ""unit"": ""inches""}",18,Wood/Metal,Gray,1,20,1,28
BR025,Odense Laundry Hamper,Storage,Bedroom,79.99,Woven hamper with removable liner,"{""width"": 18, ""depth"": 14, ""height"": 24, ""unit"": ""inches""}",8,Wicker,Natural,0,0,1,35
BR026,Aalborg Valet Stand,Accessories,Bedroom,119.99,Gentleman valet stand for suit,"{""width"": 18, ""depth"": 16, ""height"": 48, ""unit"": ""inches""}",12,Wood,Walnut,1,15,1,20
BR027,Esbjerg Full Length Mirror,Mirrors,Bedroom,179.99,Floor standing full length mirror,"{""width"": 24, ""depth"": 2, ""height"": 65, ""unit"": ""inches""}",28,Glass/Wood,Black,1,20,1,15
BR028,Roskilde Bedroom Bench,Benches,Bedroom,249.99,Upholstered bench with gold legs,"{""width"": 52, ""depth"": 18, ""height"": 20, ""unit"": ""inches""}",38,Velvet/Metal,Blush Pink,1,25,1,10
BR029,Viborg Headboard Only Queen,Headboards,Bedroom,349.99,Tufted headboard attaches to wall,"{""width"": 64, ""depth"": 4, ""height"": 52, ""unit"": ""inches""}",45,Fabric,Gray,1,45,1,12
BR030,Kolding Headboard Only King,Headboards,Bedroom,449.99,Channel tufted headboard for king,"{""width"": 80, ""depth"": 4, ""height"": 54, ""unit"": ""inches""}",55,Velvet,Navy Blue,1,45,1,8
DR009,Horsens Farmhouse Table,Tables,Dining Room,1099.99,Solid wood farmhouse table seats 8,"{""width"": 84, ""depth"": 42, ""height"": 30, ""unit"": ""inches""}",165,Wood,Reclaimed Gray,1,75,1,5
DR010,Silkeborg Counter Height Table,Tables,Dining Room,499.99,Counter height dining table seats 4,"{""width"": 48, ""depth"": 36, ""height"": 36, ""unit"": ""inches""}",85,Wood,Black,1,50,1,10
DR011,Herning Drop Leaf Table,Tables,Dining Room,399.99,Space-saving drop leaf table,"{""width"": 42, ""depth"": 30, ""height"": 30, ""unit"": ""inches""}",65,Wood,White,1,35,1,15
DR012,Vejle Bistro Table,Tables,Dining Room,249.99,Small bistro table for two,"{""width"": 30, ""depth"": 30, ""height"": 30, ""unit"": ""inches""}",45,Marble/Metal,White/Gold,1,25,1,18
DR013,Fredericia Parsons Chairs Set,Chairs,Dining Room,549.99,Set of 6 upholstered parsons chairs,"{""width"": 18, ""depth"": 22, ""height"": 38, ""unit"": ""inches""}",72,Fabric,Cream,1,45,1,8
DR014,Sonderborg Counter Stools Set,Chairs,Dining Room,349.99,Set of 2 counter height stools,"{""width"": 18, ""depth"": 18, ""height"": 26, ""unit"": ""inches""}",32,Metal/Wood,Black/Walnut,1,20,1,20
DR015,Nyborg Bar Stools Set,Chairs,Dining Room,399.99,Set of 2 swivel bar stools,"{""width"": 20, ""depth"": 20, ""height"": 30, ""unit"": ""inches""}",38,Leather/Metal,Brown/Chrome,1,25,1,15
DR016,Holstebro Upholstered Bench,Benches,Dining Room,299.99,Tufted dining bench seats 3,"{""width"": 54, ""depth"": 16, ""height"": 20, ""unit"": ""inches""}",42,Fabric,Gray,1,30,1,12
DR017,Skanderborg Server,Buffets,Dining Room,649.99,Narrow server with wine storage,"{""width"": 48, ""depth"": 16, ""height"": 36, ""unit"": ""inches""}",95,Wood,Walnut,1,50,1,8
DR018,Randers Credenza,Buffets,Dining Room,899.99,Mid-century modern credenza,"{""width"": 66, ""depth"": 18, ""height"": 30, ""unit"": ""inches""}",125,Wood,Natural Oak,1,60,1,6
DR019,Hjorring Hutch,Cabinets,Dining Room,799.99,Hutch topper for buffet with glass doors,"{""width"": 60, ""depth"": 14, ""height"": 48, ""unit"": ""inches""}",85,Wood/Glass,White,1,75,1,5
DR020,Slagelse Corner Cabinet,Cabinets,Dining Room,549.99,Corner china cabinet with display,"{""width"": 32, ""depth"": 32, ""height"": 72, ""unit"": ""inches""}",95,Wood/Glass,Cherry,1,60,1,7
DR021,Naestved Wine Rack,Bar Carts,Dining Room,199.99,Wall mounted wine rack holds 24 bottles,"{""width"": 36, ""depth"": 8, ""height"": 24, ""unit"": ""inches""}",18,Metal,Black,1,25,1,22
DR022,Ringsted Serving Cart,Bar Carts,Dining Room,249.99,3-tier serving cart on wheels,"{""width"": 28, ""depth"": 16, ""height"": 34, ""unit"": ""inches""}",25,Metal/Glass,Chrome,1,20,1,18
DR023,Svendborg Chandelier,Lighting,Dining Room,349.99,Modern sputnik chandelier,"{""width"": 24, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",15,Metal,Gold,1,45,1,10
DR024,Haderslev Pendant Cluster,Lighting,Dining Room,279.99,3-light pendant cluster for over table,"{""width"": 30, ""depth"": 8, ""height"": 48, ""unit"": ""inches""}",12,Glass/Metal,Clear/Brass,1,35,1,14
DR025,Grenaa Dining Room Rug,Rugs,Dining Room,349.99,Stain resistant dining rug 6x9,"{""width"": 108, ""depth"": 72, ""height"": 0.3, ""unit"": ""inches""}",28,Polypropylene,Blue/Ivory,0,0,1,12
OF009,Randers Executive Desk,Desks,Office,899.99,Large executive desk with file drawers,"{""width"": 72, ""depth"": 36, ""height"": 30, ""unit"": ""inches""}",145,Wood,Dark Walnut,1,90,1,5
OF010,Hjorring Floating Desk,Desks,Office,249.99,Wall-mounted floating desk saves space,"{""width"": 42, ""depth"": 20, ""height"": 8, ""unit"": ""inches""}",35,Wood,White,1,40,1,18
OF011,Slagelse Secretary Desk,Desks,Office,449.99,Traditional secretary desk with hutch,"{""width"": 36, ""depth"": 18, ""height"": 42, ""unit"": ""inches""}",85,Wood,Cherry,1,60,1,10
OF012,Naestved Computer Desk,Desks,Office,349.99,Computer desk with keyboard tray,"{""width"": 54, ""depth"": 24, ""height"": 30, ""unit"": ""inches""}",65,Wood/Metal,Black,1,40,1,15
OF013,Ringsted Drafting Table,Desks,Office,549.99,Adjustable drafting table for artists,"{""width"": 42, ""depth"": 30, ""height"": 36, ""unit"": ""inches""}",55,Wood/Metal,Natural/Black,1,45,1,8
OF014,Svendborg High Back Chair,Chairs,Office,499.99,Leather executive chair with headrest,"{""width"": 28, ""depth"": 30, ""height"": 50, ""unit"": ""inches""}",52,Leather,Black,1,25,1,12
OF015,Haderslev Kneeling Chair,Chairs,Office,199.99,Ergonomic kneeling chair,"{""width"": 20, ""depth"": 28, ""height"": 24, ""unit"": ""inches""}",22,Fabric/Wood,Black,1,15,1,20
OF016,Grenaa Gaming Chair,Chairs,Office,349.99,Racing style gaming chair,"{""width"": 26, ""depth"": 28, ""height"": 52, ""unit"": ""inches""}",48,Leather/Mesh,Black/Red,1,30,1,15
OF017,Lemvig Ball Chair,Chairs,Office,149.99,Exercise ball chair for active sitting,"{""width"": 22, ""depth"": 22, ""height"": 24, ""unit"": ""inches""}",15,Fabric/Rubber,Gray,0,0,1,25
OF018,Thisted Credenza,Storage,Office,599.99,Office credenza with locking doors,"{""width"": 60, ""depth"": 20, ""height"": 30, ""unit"": ""inches""}",115,Wood,Espresso,1,65,1,7
OF019,Skive Vertical File,Filing Cabinets,Office,249.99,4-drawer vertical file cabinet,"{""width"": 18, ""depth"": 24, ""height"": 52, ""unit"": ""inches""}",75,Metal,Black,1,25,1,18
OF020,Mariager Printer Stand,Accessories,Office,129.99,Printer stand with storage,"{""width"": 24, ""depth"": 20, ""height"": 26, ""unit"": ""inches""}",32,Wood/Metal,White,1,25,1,22
OF021,Hobro Cable Management Box,Accessories,Office,39.99,Desk cable organizer box,"{""width"": 16, ""depth"": 6, ""height"": 6, ""unit"": ""inches""}",3,Plastic,White,0,0,1,50
OF022,Struer Desk Lamp,Lighting,Office,79.99,LED desk lamp with USB charging,"{""width"": 6, ""depth"": 18, ""height"": 18, ""unit"": ""inches""}",4,Metal,Black,0,0,1,35
OF023,Ikast Office Rug,Rugs,Office,199.99,Low pile office rug 5x7,"{""width"": 84, ""depth"": 60, ""height"": 0.2, ""unit"": ""inches""}",18,Nylon,Charcoal,0,0,1,20
OF024,Frederikshavn Whiteboard,Accessories,Office,149.99,Magnetic whiteboard 4x3 feet,"{""width"": 48, ""depth"": 2, ""height"": 36, ""unit"": ""inches""}",22,Metal/Glass,White,1,20,1,18
OF025,Bronderslev Corkboard,Accessories,Office,69.99,Large cork bulletin board,"{""width"": 36, ""depth"": 1, ""height"": 24, ""unit"": ""inches""}",8,Cork/Wood,Natural,1,10,1,28
OD009,Sunset Egg Chair,Chairs,Outdoor,799.99,Hanging egg chair with stand,"{""width"": 42, ""depth"": 42, ""height"": 78, ""unit"": ""inches""}",85,Wicker/Metal,Gray,1,60,1,6
OD010,Coastal Rocking Chair,Chairs,Outdoor,249.99,Outdoor rocking chair in HDPE,"{""width"": 28, ""depth"": 34, ""height"": 42, ""unit"": ""inches""}",42,Plastic,White,1,30,1,15
OD011,Pacific Swivel Chair,Chairs,Outdoor,349.99,Outdoor swivel glider with cushion,"{""width"": 32, ""depth"": 34, ""height"": 36, ""unit"": ""inches""}",55,Wicker,Brown,1,35,1,10
OD012,Marina Bistro Set,Patio Sets,Outdoor,299.99,3-piece bistro set for balcony,"{""width"": 24, ""depth"": 24, ""height"": 30, ""unit"": ""inches""}",45,Metal,Black,1,30,1,18
OD013,Harbor Bar Height Set,Patio Sets,Outdoor,899.99,5-piece bar height patio set,"{""width"": 42, ""depth"": 42, ""height"": 42, ""unit"": ""inches""}",135,Aluminum,Gray,1,75,1,5
OD014,Laguna Conversation Set,Patio Sets,Outdoor,1299.99,4-piece seating with fire pit table,"{""width"": 84, ""depth"": 84, ""height"": 32, ""unit"": ""inches""}",195,Wicker,Espresso,1,90,1,4
OD015,Malibu Daybed,Loungers,Outdoor,1199.99,Outdoor daybed with canopy,"{""width"": 72, ""depth"": 54, ""height"": 72, ""unit"": ""inches""}",145,Wicker/Fabric,Gray,1,105,1,3
OD016,Beach Double Lounger,Loungers,Outdoor,449.99,Double wide chaise for two,"{""width"": 54, ""depth"": 78, ""height"": 38, ""unit"": ""inches""}",85,Wicker,Natural,1,50,1,8
OD017,Coastal Hammock Stand,Hammocks,Outdoor,299.99,Steel hammock stand with hammock,"{""width"": 144, ""depth"": 48, ""height"": 48, ""unit"": ""inches""}",55,Steel/Cotton,Bronze/Stripe,1,40,1,12
OD018,Pacific Pergola,Structures,Outdoor,1499.99,10x12 aluminum pergola kit,"{""width"": 144, ""depth"": 120, ""height"": 96, ""unit"": ""inches""}",285,Aluminum,Gray,1,360,0,2
OD019,Marina Gazebo,Structures,Outdoor,1999.99,12x12 hardtop gazebo,"{""width"": 144, ""depth"": 144, ""height"": 108, ""unit"": ""inches""}",425,Aluminum/Steel,Brown,1,480,0,1
OD020,Harbor Fire Pit,Fire Pits,Outdoor,399.99,Propane fire pit table,"{""width"": 42, ""depth"": 42, ""height"": 24, ""unit"": ""inches""}",75,Concrete/Metal,Gray,1,60,1,10
OD021,Laguna Fire Bowl,Fire Pits,Outdoor,249.99,Wood burning fire bowl,"{""width"": 30, ""depth"": 30, ""height"": 24, ""unit"": ""inches""}",35,Steel,Black,1,30,1,15
