product_id,name,brand,category,subcategory,description,price,size,color,ingredients,rating,review_count,image_url,product_url,in_stock,is_bestseller,is_new,is_sale,sale_price,clean_beauty
SPH0011,Matte Concealer - Light-Medium,YSL Beauty,Face,Concealer,YSL Beauty Oil-control matte finish concealer. Award-winning formula.,69.74,0.27 oz / 8 mL,Light-Medium,"Tocopherol, Water, Cyclopentasiloxane, Phenoxyethanol, Talc, Synthetic Colors, Coconut Oil, Shea Butter",4.3,9786,https://sephora.com/images/SPH0011.jpg,https://sephora.com/product/SPH0011,1,0,0,0,,0
SPH0012,Serum Concealer - Medium,YSL Beauty,Face,Concealer,YSL Beauty Lightweight serum-infused concealer. Loved by beauty enthusiasts.,44.41,0.22 oz / 6.5 mL,Medium,"Sodium Hyaluronate, Cyclopentasiloxane, Water, Tocopherol, Fragrance, Polyethylene, Argan Oil, Coconut Oil",4.1,8139,https://sephora.com/images/SPH0012.jpg,https://sephora.com/product/SPH0012,1,1,0,0,,0
SPH0013,Setting Powder,Lawless,Face,Powder,Lawless Translucent setting powder. Cruelty-free and vegan.,35.1,0.25 oz / 7 g,,"Water, Tocopherol, Cyclopentasiloxane, Phenoxyethanol, Chamomile Extract, Argan Oil, Squalane",4.4,9172,https://sephora.com/images/SPH0013.jpg,https://sephora.com/product/SPH0013,1,0,0,0,,1
SPH0014,Pressed Powder,MAC,Face,Powder,MAC Finely-milled pressed powder. Cruelty-free and vegan.,21.57,0.35 oz / 10 g,,"Sodium Hyaluronate, Phenoxyethanol, Glycerin, Cyclopentasiloxane, Mineral Oil, Polyethylene, Coconut Oil, Argan Oil",4.0,2054,https://sephora.com/images/SPH0014.jpg,https://sephora.com/product/SPH0014,1,0,1,0,,0
SPH0015,Loose Powder,Benefit Cosmetics,Face,Powder,Benefit Cosmetics Ultra-fine loose setting powder. A cult favorite.,18.64,0.35 oz / 10 g,,"Phenoxyethanol, Dimethicone, Glycerin, Tocopherol, Synthetic Colors, Polyethylene, Rosehip Oil, Aloe Vera",3.7,12867,https://sephora.com/images/SPH0015.jpg,https://sephora.com/product/SPH0015,1,1,0,0,,0
SPH0016,Bronzing Powder,Danessa Myricks Beauty,Face,Powder,Danessa Myricks Beauty Sun-kissed bronzing powder. A cult favorite.,25.08,0.28 oz / 8 g,,"Sodium Hyaluronate, Glycerin, Cyclopentasiloxane, Tocopherol, Polyethylene, Talc, Argan Oil, Jojoba Oil",3.7,3754,https://sephora.com/images/SPH0016.jpg,https://sephora.com/product/SPH0016,1,0,0,0,,0
SPH0017,Powder Blush - Mauve,Rare Beauty,Face,Blush,Rare Beauty Silky powder blush. Loved by beauty enthusiasts.,30.97,Standard Size,Mauve,"Sodium Hyaluronate, Cyclopentasiloxane, Tocopherol, Phenoxyethanol, Vitamin E, Chamomile Extract, Jojoba Oil",4.6,2957,https://sephora.com/images/SPH0017.jpg,https://sephora.com/product/SPH0017,1,0,0,0,,1
SPH0018,Cream Blush - Plum,Milk Makeup,Face,Blush,Milk Makeup Creamy blendable blush. Award-winning formula.,24.68,Standard Size,Plum,"Tocopherol, Cyclopentasiloxane, Phenoxyethanol, Dimethicone, Vitamin E, Coconut Oil, Squalane",4.3,2305,https://sephora.com/images/SPH0018.jpg,https://sephora.com/product/SPH0018,1,0,0,0,,1
SPH0019,Liquid Blush - Mauve,MAC,Face,Blush,MAC Buildable liquid blush. Dermatologist tested.,31.55,Standard Size,Mauve,"Sodium Hyaluronate, Cyclopentasiloxane, Glycerin, Phenoxyethanol, Silicones, Fragrance, Vitamin E, Aloe Vera",3.9,1882,https://sephora.com/images/SPH0019.jpg,https://sephora.com/product/SPH0019,1,0,1,0,,0
SPH0020,Blush Stick - Plum,NARS,Face,Blush,NARS Easy-to-apply blush stick. A cult favorite.,40.29,Standard Size,Plum,"Dimethicone, Glycerin, Phenoxyethanol, Cyclopentasiloxane, Talc, Silicones, Coconut Oil, Vitamin E",3.9,12087,https://sephora.com/images/SPH0020.jpg,https://sephora.com/product/SPH0020,1,0,0,0,,0
SPH0021,Matte Bronzer - Deep Bronze,ONE/SIZE by Patrick Starrr,Face,Bronzer,ONE/SIZE by Patrick Starrr Natural matte bronzer. Dermatologist tested.,21.34,Standard Size,Deep Bronze,"Water, Cyclopentasiloxane, Phenoxyethanol, Sodium Hyaluronate, Chamomile Extract, Coconut Oil, Aloe Vera",4.0,3439,https://sephora.com/images/SPH0021.jpg,https://sephora.com/product/SPH0021,1,0,0,0,,1
SPH0022,Shimmer Bronzer - Deep Bronze,Saie,Face,Bronzer,Saie Luminous shimmer bronzer. Loved by beauty enthusiasts.,25.0,Standard Size,Deep Bronze,"Sodium Hyaluronate, Water, Phenoxyethanol, Glycerin, Argan Oil, Shea Butter, Chamomile Extract",3.4,10919,https://sephora.com/images/SPH0022.jpg,https://sephora.com/product/SPH0022,0,0,0,0,,1
SPH0023,Cream Bronzer - Golden,Tower 28,Face,Bronzer,Tower 28 Creamy blendable bronzer. A cult favorite.,27.87,Standard Size,Golden,"Cyclopentasiloxane, Dimethicone, Water, Tocopherol, Argan Oil, Vitamin E, Green Tea Extract",4.3,3867,https://sephora.com/images/SPH0023.jpg,https://sephora.com/product/SPH0023,1,0,0,0,,1
SPH0024,Bronzer Stick - Deep Bronze,NARS,Face,Bronzer,NARS Contour bronzer stick. Dermatologist tested.,44.49,Standard Size,Deep Bronze,"Phenoxyethanol, Tocopherol, Glycerin, Sodium Hyaluronate, Talc, Silicones, Argan Oil, Jojoba Oil",4.4,4204,https://sephora.com/images/SPH0024.jpg,https://sephora.com/product/SPH0024,1,1,0,0,,0
SPH0025,Powder Highlighter - Champagne,Saie,Face,Highlighter,Saie Intense powder highlighter. Cruelty-free and vegan.,27.84,Standard Size,Champagne,"Glycerin, Dimethicone, Phenoxyethanol, Water, Vitamin E, Aloe Vera, Shea Butter",4.3,7337,https://sephora.com/images/SPH0025.jpg,https://sephora.com/product/SPH0025,1,1,0,0,,1
SPH0026,Liquid Highlighter - Bronze,Caliray,Face,Highlighter,Caliray Dewy liquid highlighter. A cult favorite.,33.18,Standard Size,Bronze,"Glycerin, Water, Sodium Hyaluronate, Phenoxyethanol, Squalane, Shea Butter, Chamomile Extract",4.5,6261,https://sephora.com/images/SPH0026.jpg,https://sephora.com/product/SPH0026,1,0,0,0,,1
SPH0027,Cream Highlighter - Champagne,MAC,Face,Highlighter,MAC Buildable cream highlighter. Loved by beauty enthusiasts.,43.83,Standard Size,Champagne,"Cyclopentasiloxane, Sodium Hyaluronate, Dimethicone, Water, Polyethylene, Fragrance, Vitamin E, Argan Oil",4.7,8103,https://sephora.com/images/SPH0027.jpg,https://sephora.com/product/SPH0027,1,0,1,0,,0
SPH0028,Highlighter Stick - Bronze,Armani Beauty,Face,Highlighter,Armani Beauty Portable highlighter stick. Dermatologist tested.,52.69,Standard Size,Bronze,"Water, Cyclopentasiloxane, Glycerin, Dimethicone, Fragrance, Polyethylene, Shea Butter, Jojoba Oil",3.9,789,https://sephora.com/images/SPH0028.jpg,https://sephora.com/product/SPH0028,1,1,0,0,,0
SPH0029,Contour Palette,Too Faced,Face,Contour,Too Faced Multi-shade contour palette. Cruelty-free and vegan.,43.61,Standard Size,,"Sodium Hyaluronate, Phenoxyethanol, Water, Cyclopentasiloxane, Synthetic Colors, Parabens, Vitamin E, Squalane",4.3,12270,https://sephora.com/images/SPH0029.jpg,https://sephora.com/product/SPH0029,0,0,0,0,,0
SPH0030,Contour Stick,Westman Atelier,Face,Contour,Westman Atelier Blendable contour stick. Award-winning formula.,74.14,Standard Size,,"Phenoxyethanol, Glycerin, Dimethicone, Tocopherol, Chamomile Extract, Argan Oil, Coconut Oil",3.7,10310,https://sephora.com/images/SPH0030.jpg,https://sephora.com/product/SPH0030,1,0,0,0,,1
SPH0031,Contour Powder,Hourglass,Face,Contour,Hourglass Sculpting contour powder. A cult favorite.,52.97,Standard Size,,"Water, Tocopherol, Glycerin, Phenoxyethanol, Fragrance, Polyethylene, Argan Oil, Coconut Oil",4.5,6680,https://sephora.com/images/SPH0031.jpg,https://sephora.com/product/SPH0031,1,0,0,1,39.06,0
SPH0032,Pore-Minimizing Primer,Lawless,Face,Primer,Lawless Smoothing pore-blurring primer. Cruelty-free and vegan.,30.38,Standard Size,,"Water, Glycerin, Cyclopentasiloxane, Sodium Hyaluronate, Squalane, Jojoba Oil, Rosehip Oil",3.9,5930,https://sephora.com/images/SPH0032.jpg,https://sephora.com/product/SPH0032,1,0,0,0,,1
SPH0033,Hydrating Primer,Chanel,Face,Primer,Chanel Moisturizing makeup primer. Dermatologist tested.,68.37,Standard Size,,"Water, Sodium Hyaluronate, Phenoxyethanol, Dimethicone, Talc, Parabens, Aloe Vera, Vitamin E",4.5,2214,https://sephora.com/images/SPH0033.jpg,https://sephora.com/product/SPH0033,1,1,0,0,,0
SPH0034,Mattifying Primer,Saie,Face,Primer,Saie Oil-control primer. Award-winning formula.,27.66,Standard Size,,"Water, Tocopherol, Glycerin, Phenoxyethanol, Aloe Vera, Vitamin E, Green Tea Extract",4.3,2778,https://sephora.com/images/SPH0034.jpg,https://sephora.com/product/SPH0034,1,0,0,0,,1
SPH0035,Illuminating Primer,Jones Road,Face,Primer,Jones Road Glow-boosting primer. Award-winning formula.,46.46,Standard Size,,"Water, Dimethicone, Tocopherol, Cyclopentasiloxane, Argan Oil, Rosehip Oil, Green Tea Extract",3.9,14197,https://sephora.com/images/SPH0035.jpg,https://sephora.com/product/SPH0035,1,0,1,0,,1
SPH0036,Color-Correcting Primer,Chanel,Face,Primer,Chanel Tone-evening primer. Award-winning formula.,44.06,Standard Size,,"Dimethicone, Glycerin, Sodium Hyaluronate, Tocopherol, Parabens, Synthetic Colors, Rosehip Oil, Vitamin E",4.4,4774,https://sephora.com/images/SPH0036.jpg,https://sephora.com/product/SPH0036,1,0,0,0,,0
SPH0037,Matte Setting Spray,Tarte,Face,Setting Spray,Tarte Long-wear matte finish spray. Award-winning formula.,45.86,Standard Size,,"Sodium Hyaluronate, Water, Cyclopentasiloxane, Phenoxyethanol, Chamomile Extract, Squalane, Coconut Oil",4.5,12223,https://sephora.com/images/SPH0037.jpg,https://sephora.com/product/SPH0037,1,0,0,0,,1
SPH0038,Dewy Setting Spray,Natasha Denona,Face,Setting Spray,Natasha Denona Hydrating glow spray. Loved by beauty enthusiasts.,148.77,Standard Size,,"Cyclopentasiloxane, Water, Sodium Hyaluronate, Phenoxyethanol, Parabens, Polyethylene, Jojoba Oil, Coconut Oil",3.6,277,https://sephora.com/images/SPH0038.jpg,https://sephora.com/product/SPH0038,1,0,0,0,,0
SPH0039,All-Day Setting Spray,Pat McGrath Labs,Face,Setting Spray,Pat McGrath Labs 24-hour makeup lock spray. Dermatologist tested.,85.53,Standard Size,,"Water, Dimethicone, Phenoxyethanol, Sodium Hyaluronate, Talc, Silicones, Jojoba Oil, Vitamin E",4.1,562,https://sephora.com/images/SPH0039.jpg,https://sephora.com/product/SPH0039,1,0,0,1,61.64,0
SPH0040,Neutral Eyeshadow Palette - Rose Gold,Lancome,Eyes,Eyeshadow Palette,Lancome Everyday neutral shades palette. Loved by beauty enthusiasts.,53.83,Standard,Rose Gold,"Glycerin, Dimethicone, Cyclopentasiloxane, Tocopherol, Silicones, Polyethylene, Vitamin E, Chamomile Extract",4.6,8999,https://sephora.com/images/SPH0040.jpg,https://sephora.com/product/SPH0040,1,0,0,0,,0
SPH0041,Smoky Eyeshadow Palette - Colorful,Danessa Myricks Beauty,Eyes,Eyeshadow Palette,Danessa Myricks Beauty Dramatic smoky shades palette. Award-winning formula.,18.1,Mini,Colorful,"Glycerin, Sodium Hyaluronate, Tocopherol, Cyclopentasiloxane, Synthetic Colors, Silicones, Aloe Vera, Jojoba Oil",4.0,13885,https://sephora.com/images/SPH0041.jpg,https://sephora.com/product/SPH0041,1,0,0,0,,0
SPH0042,Colorful Eyeshadow Palette - Rose Gold,Charlotte Tilbury,Eyes,Eyeshadow Palette,Charlotte Tilbury Vibrant multi-color palette. Loved by beauty enthusiasts.,45.45,Mini,Rose Gold,"Phenoxyethanol, Glycerin, Water, Cyclopentasiloxane, Parabens, Silicones, Aloe Vera, Argan Oil",4.3,13950,https://sephora.com/images/SPH0042.jpg,https://sephora.com/product/SPH0042,1,0,1,0,,0
SPH0043,Mini Eyeshadow Palette - Cool,Tarte,Eyes,Eyeshadow Palette,Tarte Travel-size eyeshadow palette. Award-winning formula.,24.14,Standard,Cool,"Water, Sodium Hyaluronate, Dimethicone, Glycerin, Coconut Oil, Aloe Vera, Argan Oil",3.2,5547,https://sephora.com/images/SPH0043.jpg,https://sephora.com/product/SPH0043,1,0,0,1,18.35,1
SPH0044,Quad Eyeshadow - Warm,Ami Cole,Eyes,Eyeshadow Palette,Ami Cole 4-pan eyeshadow quad. Award-winning formula.,22.34,Standard,Warm,"Dimethicone, Water, Glycerin, Sodium Hyaluronate, Coconut Oil, Shea Butter, Rosehip Oil",3.7,13307,https://sephora.com/images/SPH0044.jpg,https://sephora.com/product/SPH0044,1,0,0,1,15.68,1
SPH0045,Shimmer Eyeshadow - Neutral,Natasha Denona,Eyes,Eyeshadow Single,Natasha Denona High-pigment shimmer shadow. Dermatologist tested.,75.57,Standard Size,Neutral,"Cyclopentasiloxane, Glycerin, Tocopherol, Dimethicone, Fragrance, Talc, Squalane, Argan Oil",3.8,4024,https://sephora.com/images/SPH0045.jpg,https://sephora.com/product/SPH0045,1,0,0,0,,0
SPH0046,Matte Eyeshadow - Rose Gold,NYX Professional Makeup,Eyes,Eyeshadow Single,NYX Professional Makeup Velvety matte eyeshadow. A cult favorite.,17.89,Standard Size,Rose Gold,"Tocopherol, Cyclopentasiloxane, Phenoxyethanol, Dimethicone, Polyethylene, Fragrance, Argan Oil, Green Tea Extract",5.0,8208,https://sephora.com/images/SPH0046.jpg,https://sephora.com/product/SPH0046,1,0,0,0,,0
SPH0047,Glitter Eyeshadow - Colorful,Rose Inc,Eyes,Eyeshadow Single,Rose Inc Sparkly glitter shadow. Award-winning formula.,32.96,Standard Size,Colorful,"Water, Dimethicone, Phenoxyethanol, Cyclopentasiloxane, Argan Oil, Jojoba Oil, Squalane",3.8,10578,https://sephora.com/images/SPH0047.jpg,https://sephora.com/product/SPH0047,1,0,1,0,,1
SPH0048,Cream Eyeshadow - Smoky,MAC,Eyes,Eyeshadow Single,MAC Long-wearing cream shadow. Loved by beauty enthusiasts.,22.65,Standard Size,Smoky,"Water, Cyclopentasiloxane, Glycerin, Tocopherol, Mineral Oil, Talc, Green Tea Extract, Argan Oil",3.5,3083,https://sephora.com/images/SPH0048.jpg,https://sephora.com/product/SPH0048,1,0,1,0,,0
SPH0049,Volumizing Mascara - Brown,Milk Makeup,Eyes,Mascara,Milk Makeup Dramatic volume mascara. Award-winning formula.,22.56,0.3 oz / 9 mL,Brown,"Dimethicone, Glycerin, Phenoxyethanol, Cyclopentasiloxane, Shea Butter, Green Tea Extract, Coconut Oil",4.6,12288,https://sephora.com/images/SPH0049.jpg,https://sephora.com/product/SPH0049,1,0,0,0,,1
SPH0050,Lengthening Mascara - Brown,Ami Cole,Eyes,Mascara,Ami Cole Lash-extending mascara. A cult favorite.,31.59,0.3 oz / 9 mL,Brown,"Cyclopentasiloxane, Phenoxyethanol, Dimethicone, Water, Green Tea Extract, Coconut Oil, Jojoba Oil",4.4,6782,https://sephora.com/images/SPH0050.jpg,https://sephora.com/product/SPH0050,1,0,0,0,,1
SPH0051,Waterproof Mascara - Black,NARS,Eyes,Mascara,NARS Smudge-proof waterproof mascara. Award-winning formula.,28.05,0.24 oz / 7 mL,Black,"Glycerin, Dimethicone, Sodium Hyaluronate, Water, Silicones, Talc, Argan Oil, Vitamin E",4.5,7439,https://sephora.com/images/SPH0051.jpg,https://sephora.com/product/SPH0051,0,0,0,0,,0
SPH0052,Tubing Mascara - Black,RMS Beauty,Eyes,Mascara,RMS Beauty Buildable tubing formula mascara. A cult favorite.,47.66,0.24 oz / 7 mL,Black,"Water, Dimethicone, Tocopherol, Sodium Hyaluronate, Vitamin E, Chamomile Extract, Coconut Oil",3.8,10472,https://sephora.com/images/SPH0052.jpg,https://sephora.com/product/SPH0052,1,0,0,1,35.79,1
SPH0053,Curling Mascara - Black-Brown,Jones Road,Eyes,Mascara,Jones Road Lash-lifting curling mascara. Dermatologist tested.,30.19,0.3 oz / 9 mL,Black-Brown,"Water, Phenoxyethanol, Sodium Hyaluronate, Glycerin, Jojoba Oil, Shea Butter, Rosehip Oil",4.3,4485,https://sephora.com/images/SPH0053.jpg,https://sephora.com/product/SPH0053,1,1,0,0,,1
SPH0054,Liquid Eyeliner - Green,Rose Inc,Eyes,Eyeliner,Rose Inc Precision liquid eyeliner. Cruelty-free and vegan.,43.37,Standard Size,Green,"Cyclopentasiloxane, Glycerin, Dimethicone, Sodium Hyaluronate, Chamomile Extract, Green Tea Extract, Jojoba Oil",4.3,4711,https://sephora.com/images/SPH0054.jpg,https://sephora.com/product/SPH0054,1,0,0,0,,1
SPH0055,Pencil Eyeliner - Black,ONE/SIZE by Patrick Starrr,Eyes,Eyeliner,ONE/SIZE by Patrick Starrr Creamy pencil eyeliner. Loved by beauty enthusiasts.,41.32,Standard Size,Black,"Tocopherol, Dimethicone, Glycerin, Water, Chamomile Extract, Squalane, Rosehip Oil",3.4,2127,https://sephora.com/images/SPH0055.jpg,https://sephora.com/product/SPH0055,0,1,0,0,,1
SPH0056,Gel Eyeliner - Green,Clinique,Eyes,Eyeliner,Clinique Long-lasting gel eyeliner. Award-winning formula.,42.54,Standard Size,Green,"Glycerin, Sodium Hyaluronate, Phenoxyethanol, Water, Polyethylene, Talc, Aloe Vera, Squalane",3.9,14803,https://sephora.com/images/SPH0056.jpg,https://sephora.com/product/SPH0056,1,0,0,0,,0
SPH0057,Felt-Tip Eyeliner - Black,Fenty Beauty,Eyes,Eyeliner,Fenty Beauty Easy-glide felt tip liner. Dermatologist tested.,29.7,Standard Size,Black,"Phenoxyethanol, Dimethicone, Glycerin, Sodium Hyaluronate, Parabens, Polyethylene, Argan Oil, Chamomile Extract",4.8,13295,https://sephora.com/images/SPH0057.jpg,https://sephora.com/product/SPH0057,1,0,0,1,23.38,0
SPH0058,Waterproof Eyeliner - Burgundy,Tarte,Eyes,Eyeliner,Tarte Smudge-proof waterproof liner. Award-winning formula.,32.62,Standard Size,Burgundy,"Tocopherol, Phenoxyethanol, Dimethicone, Cyclopentasiloxane, Aloe Vera, Argan Oil, Rosehip Oil",3.2,12203,https://sephora.com/images/SPH0058.jpg,https://sephora.com/product/SPH0058,1,0,0,0,,1
SPH0059,Brow Pencil - Taupe,Armani Beauty,Eyes,Eyebrow,Armani Beauty Micro-tip brow pencil. Award-winning formula.,40.35,Standard Size,Taupe,"Sodium Hyaluronate, Water, Phenoxyethanol, Cyclopentasiloxane, Synthetic Colors, Talc, Aloe Vera, Rosehip Oil",3.7,7257,https://sephora.com/images/SPH0059.jpg,https://sephora.com/product/SPH0059,1,0,1,0,,0
SPH0060,Brow Gel - Soft Brown,Rose Inc,Eyes,Eyebrow,Rose Inc Tinted brow styling gel. A cult favorite.,28.18,Standard Size,Soft Brown,"Phenoxyethanol, Sodium Hyaluronate, Dimethicone, Glycerin, Coconut Oil, Jojoba Oil, Squalane",3.9,13480,https://sephora.com/images/SPH0060.jpg,https://sephora.com/product/SPH0060,1,0,0,0,,1
SPH0061,Brow Pomade - Black,Natasha Denona,Eyes,Eyebrow,Natasha Denona Sculpting brow pomade. Award-winning formula.,160.58,Standard Size,Black,"Dimethicone, Tocopherol, Phenoxyethanol, Cyclopentasiloxane, Parabens, Fragrance, Aloe Vera, Green Tea Extract",4.2,9637,https://sephora.com/images/SPH0061.jpg,https://sephora.com/product/SPH0061,0,0,0,0,,0
SPH0062,Brow Powder - Auburn,ILIA,Eyes,Eyebrow,ILIA Natural-look brow powder. Dermatologist tested.,33.89,Standard Size,Auburn,"Phenoxyethanol, Glycerin, Sodium Hyaluronate, Dimethicone, Jojoba Oil, Shea Butter, Rosehip Oil",3.2,14277,https://sephora.com/images/SPH0062.jpg,https://sephora.com/product/SPH0062,1,0,1,1,28.08,1
SPH0063,Brow Pen - Taupe,RMS Beauty,Eyes,Eyebrow,RMS Beauty Hair-stroke brow pen. Cruelty-free and vegan.,36.56,Standard Size,Taupe,"Glycerin, Tocopherol, Phenoxyethanol, Sodium Hyaluronate, Vitamin E, Green Tea Extract, Rosehip Oil",4.2,14893,https://sephora.com/images/SPH0063.jpg,https://sephora.com/product/SPH0063,1,0,0,0,,1
SPH0064,Eyeshadow Primer,MAKEUP BY MARIO,Eyes,Eye Primer,MAKEUP BY MARIO Crease-proof eyeshadow base. Award-winning formula.,57.89,Standard Size,,"Cyclopentasiloxane, Water, Tocopherol, Phenoxyethanol, Polyethylene, Mineral Oil, Shea Butter, Vitamin E",3.9,9651,https://sephora.com/images/SPH0064.jpg,https://sephora.com/product/SPH0064,1,0,1,0,,0
SPH0065,Glitter Primer,Charlotte Tilbury,Eyes,Eye Primer,Charlotte Tilbury Sparkle-boosting glitter base. Loved by beauty enthusiasts.,37.71,Standard Size,,"Tocopherol, Glycerin, Sodium Hyaluronate, Cyclopentasiloxane, Polyethylene, Mineral Oil, Rosehip Oil, Squalane",4.3,6828,https://sephora.com/images/SPH0065.jpg,https://sephora.com/product/SPH0065,1,0,0,0,,0
SPH0066,Natural Lashes,Lancome,Eyes,False Lashes,Lancome Everyday natural false lashes. A cult favorite.,54.31,Standard Size,,"Water, Cyclopentasiloxane, Sodium Hyaluronate, Glycerin, Parabens, Talc, Aloe Vera, Shea Butter",3.9,5233,https://sephora.com/images/SPH0066.jpg,https://sephora.com/product/SPH0066,1,0,0,0,,0
SPH0067,Dramatic Lashes,Caliray,Eyes,False Lashes,Caliray Statement false lashes. Award-winning formula.,19.54,Standard Size,,"Glycerin, Cyclopentasiloxane, Dimethicone, Tocopherol, Green Tea Extract, Squalane, Shea Butter",4.6,11801,https://sephora.com/images/SPH0067.jpg,https://sephora.com/product/SPH0067,1,0,0,0,,1
SPH0068,Magnetic Lashes,Tarte,Eyes,False Lashes,Tarte Easy-apply magnetic lashes. Loved by beauty enthusiasts.,35.17,Standard Size,,"Cyclopentasiloxane, Sodium Hyaluronate, Glycerin, Water, Argan Oil, Vitamin E, Shea Butter",4.1,4936,https://sephora.com/images/SPH0068.jpg,https://sephora.com/product/SPH0068,1,0,0,0,,1
SPH0069,Matte Lipstick - Orange,MAKEUP BY MARIO,Lips,Lipstick,MAKEUP BY MARIO Long-wearing matte lipstick. Cruelty-free and vegan.,56.39,0.1 oz / 3 g,Orange,"Sodium Hyaluronate, Tocopherol, Cyclopentasiloxane, Phenoxyethanol, Mineral Oil, Fragrance, Rosehip Oil, Aloe Vera",3.6,9600,https://sephora.com/images/SPH0069.jpg,https://sephora.com/product/SPH0069,1,0,0,0,,0
SPH0070,Satin Lipstick - Pink,Milk Makeup,Lips,Lipstick,Milk Makeup Creamy satin-finish lipstick. Cruelty-free and vegan.,40.46,0.1 oz / 3 g,Pink,"Sodium Hyaluronate, Dimethicone, Cyclopentasiloxane, Phenoxyethanol, Jojoba Oil, Coconut Oil, Argan Oil",3.7,5775,https://sephora.com/images/SPH0070.jpg,https://sephora.com/product/SPH0070,1,0,0,0,,1
SPH0071,Sheer Lipstick - Coral,e.l.f. Cosmetics,Lips,Lipstick,e.l.f. Cosmetics Buildable sheer lipstick. Dermatologist tested.,6.1,0.14 oz / 4 g,Coral,"Water, Dimethicone, Sodium Hyaluronate, Glycerin, Rosehip Oil, Argan Oil, Squalane",4.1,12824,https://sephora.com/images/SPH0071.jpg,https://sephora.com/product/SPH0071,1,0,1,0,,1
