product_id,name,description,price,original_price,currency,category,subcategory,brand,department,in_stock,stock_quantity,rating,review_count,image_url,product_url,pickup_available,delivery_available,source_store
WMT00000011,Home Style Oranges,Juicy citrus. Home Style quality guaranteed.,1.37,1.33,USD,Grocery,Produce,Home,Grocery & Essentials,1,167,4.4,1774,/images/walmart/grocery/11.jpg,/product/WMT00000011,1,1,grocery
WMT00000012,Green Valley Grapes,Sweet seedless. Green Valley quality guaranteed.,3.61,4.02,USD,Grocery,Produce,Green,Grocery & Essentials,1,420,4.6,3686,/images/walmart/grocery/12.jpg,/product/WMT00000012,1,1,grocery
WMT00000013,Fresh Farms Organic Grapes,Sweet seedless. Fresh Farms quality guaranteed.,6.74,7.62,USD,Grocery,Produce,Fresh,Grocery & Essentials,1,499,3.8,2716,/images/walmart/grocery/13.jpg,/product/WMT00000013,1,1,grocery
WMT00000014,Nature's Best Organic Strawberries,Sweet berries. Nature's Best quality guaranteed.,5.09,5.53,USD,Grocery,Produce,Nature's,Grocery & Essentials,1,122,4.0,2779,/images/walmart/grocery/14.jpg,/product/WMT00000014,1,1,grocery
WMT00000015,Green Valley Blueberries,Antioxidant-rich. Green Valley quality guaranteed.,5.04,4.76,USD,Grocery,Produce,Green,Grocery & Essentials,1,276,4.3,1058,/images/walmart/grocery/15.jpg,/product/WMT00000015,1,1,grocery
WMT00000016,Simply Good Organic Lemons,Tart citrus. Simply Good quality guaranteed.,0.73,0.68,USD,Grocery,Produce,Simply,Grocery & Essentials,1,129,4.3,1670,/images/walmart/grocery/16.jpg,/product/WMT00000016,1,1,grocery
WMT00000017,Golden Harvest Limes,Zesty citrus. Golden Harvest quality guaranteed.,0.5,0.5,USD,Grocery,Produce,Golden,Grocery & Essentials,1,304,3.8,1123,/images/walmart/grocery/17.jpg,/product/WMT00000017,1,1,grocery
WMT00000018,Fresh Farms Mangoes,Tropical sweetness. Fresh Farms quality guaranteed.,1.97,1.9,USD,Grocery,Produce,Fresh,Grocery & Essentials,1,365,3.8,3087,/images/walmart/grocery/18.jpg,/product/WMT00000018,1,1,grocery
WMT00000019,Green Valley Mangoes,Tropical sweetness. Green Valley quality guaranteed.,2.35,2.23,USD,Grocery,Produce,Green,Grocery & Essentials,1,190,4.1,4687,/images/walmart/grocery/19.jpg,/product/WMT00000019,1,1,grocery
WMT00000020,Organic Choice Mangoes,Tropical sweetness. Organic Choice quality guaranteed.,1.69,1.66,USD,Grocery,Produce,Organic,Grocery & Essentials,1,481,4.5,796,/images/walmart/grocery/20.jpg,/product/WMT00000020,1,1,grocery
WMT00000021,Local Pride Pineapple,Tropical delight. Local Pride quality guaranteed.,4.23,4.78,USD,Grocery,Produce,Local,Grocery & Essentials,1,179,3.9,2474,/images/walmart/grocery/21.jpg,/product/WMT00000021,1,1,grocery
WMT00000022,Home Style Organic Watermelon,Refreshing summer. Home Style quality guaranteed.,7.82,8.09,USD,Grocery,Produce,Home,Grocery & Essentials,1,430,4.8,4518,/images/walmart/grocery/22.jpg,/product/WMT00000022,1,1,grocery
WMT00000023,Sunrise Farms Cantaloupe,Sweet melon. Sunrise Farms quality guaranteed.,3.29,3.43,USD,Grocery,Produce,Sunrise,Grocery & Essentials,1,256,3.8,2298,/images/walmart/grocery/23.jpg,/product/WMT00000023,1,1,grocery
WMT00000024,Market Fresh Peaches,Juicy stone fruit. Market Fresh quality guaranteed.,3.15,3.43,USD,Grocery,Produce,Market,Grocery & Essentials,1,282,4.6,911,/images/walmart/grocery/24.jpg,/product/WMT00000024,1,1,grocery
WMT00000025,Home Style Peaches,Juicy stone fruit. Home Style quality guaranteed.,3.52,3.48,USD,Grocery,Produce,Home,Grocery & Essentials,1,397,4.0,4181,/images/walmart/grocery/25.jpg,/product/WMT00000025,1,1,grocery
WMT00000026,Golden Harvest Pears,Sweet and tender. Golden Harvest quality guaranteed.,2.69,2.72,USD,Grocery,Produce,Golden,Grocery & Essentials,1,240,4.1,4109,/images/walmart/grocery/26.jpg,/product/WMT00000026,1,1,grocery
WMT00000027,Local Pride Cherries,Sweet or tart. Local Pride quality guaranteed.,8.92,8.32,USD,Grocery,Produce,Local,Grocery & Essentials,1,249,4.2,4741,/images/walmart/grocery/27.jpg,/product/WMT00000027,1,1,grocery
WMT00000028,Pure & Simple Cherries,Sweet or tart. Pure & Simple quality guaranteed.,7.11,8.03,USD,Grocery,Produce,Pure,Grocery & Essentials,1,418,4.1,4637,/images/walmart/grocery/28.jpg,/product/WMT00000028,1,1,grocery
WMT00000029,Daily Delight Blackberries,Dark berries. Daily Delight quality guaranteed.,4.73,5.31,USD,Grocery,Produce,Daily,Grocery & Essentials,1,283,4.4,404,/images/walmart/grocery/29.jpg,/product/WMT00000029,1,1,grocery
WMT00000030,Home Style Organic Kiwi,Tangy tropical. Home Style quality guaranteed.,1.21,1.13,USD,Grocery,Produce,Home,Grocery & Essentials,1,356,4.1,2396,/images/walmart/grocery/30.jpg,/product/WMT00000030,1,1,grocery
WMT00000031,Local Pride Organic Kiwi,Tangy tropical. Local Pride quality guaranteed.,1.15,1.1,USD,Grocery,Produce,Local,Grocery & Essentials,1,236,4.9,4518,/images/walmart/grocery/31.jpg,/product/WMT00000031,1,1,grocery
WMT00000032,Sunrise Farms Pomegranate,Antioxidant seeds. Sunrise Farms quality guaranteed.,2.49,2.7,USD,Grocery,Produce,Sunrise,Grocery & Essentials,1,224,4.0,1759,/images/walmart/grocery/32.jpg,/product/WMT00000032,1,1,grocery
WMT00000033,Quality First Organic Grapefruit,Tart citrus. Quality First quality guaranteed.,1.55,1.65,USD,Grocery,Produce,Quality,Grocery & Essentials,1,147,4.4,1549,/images/walmart/grocery/33.jpg,/product/WMT00000033,1,1,grocery
WMT00000034,Fresh Farms Papaya,Tropical fruit. Fresh Farms quality guaranteed.,3.57,4.03,USD,Grocery,Produce,Fresh,Grocery & Essentials,1,242,4.3,285,/images/walmart/grocery/34.jpg,/product/WMT00000034,1,1,grocery
WMT00000035,Classic Kitchen Carrots,Sweet and crunchy. Classic Kitchen quality guaranteed.,1.48,1.52,USD,Grocery,Produce,Classic,Grocery & Essentials,1,147,4.5,1865,/images/walmart/grocery/35.jpg,/product/WMT00000035,1,1,grocery
WMT00000036,Premium Select Carrots,Sweet and crunchy. Premium Select quality guaranteed.,1.93,1.98,USD,Grocery,Produce,Premium,Grocery & Essentials,1,93,4.0,2156,/images/walmart/grocery/36.jpg,/product/WMT00000036,1,1,grocery
WMT00000037,Golden Harvest Celery,Crisp stalks. Golden Harvest quality guaranteed.,2.44,2.57,USD,Grocery,Produce,Golden,Grocery & Essentials,1,306,4.5,748,/images/walmart/grocery/37.jpg,/product/WMT00000037,1,1,grocery
WMT00000038,Sunrise Farms Organic Cucumber,Cool and refreshing. Sunrise Farms quality guaranteed.,1.53,1.43,USD,Grocery,Produce,Sunrise,Grocery & Essentials,1,241,4.1,4424,/images/walmart/grocery/38.jpg,/product/WMT00000038,1,1,grocery
WMT00000039,Market Fresh Tomatoes,Vine-ripened. Market Fresh quality guaranteed.,3.66,3.69,USD,Grocery,Produce,Market,Grocery & Essentials,1,67,3.9,3809,/images/walmart/grocery/39.jpg,/product/WMT00000039,1,1,grocery
WMT00000040,Organic Choice Tomatoes,Vine-ripened. Organic Choice quality guaranteed.,2.62,2.84,USD,Grocery,Produce,Organic,Grocery & Essentials,1,106,3.9,198,/images/walmart/grocery/40.jpg,/product/WMT00000040,1,1,grocery
WMT00000041,Farm Fresh Organic Tomatoes,Vine-ripened. Farm Fresh quality guaranteed.,3.59,3.34,USD,Grocery,Produce,Farm,Grocery & Essentials,1,396,4.2,4591,/images/walmart/grocery/41.jpg,/product/WMT00000041,1,1,grocery
WMT00000042,Simply Good Onions,Cooking essential. Simply Good quality guaranteed.,1.53,1.44,USD,Grocery,Produce,Simply,Grocery & Essentials,1,251,4.6,2219,/images/walmart/grocery/42.jpg,/product/WMT00000042,1,1,grocery
WMT00000043,Golden Harvest Organic Onions,Cooking essential. Golden Harvest quality guaranteed.,1.22,1.35,USD,Grocery,Produce,Golden,Grocery & Essentials,1,489,4.0,81,/images/walmart/grocery/43.jpg,/product/WMT00000043,1,1,grocery
WMT00000044,Premium Select Onions,Cooking essential. Premium Select quality guaranteed.,0.94,1.0,USD,Grocery,Produce,Premium,Grocery & Essentials,1,274,4.3,2737,/images/walmart/grocery/44.jpg,/product/WMT00000044,1,1,grocery
WMT00000045,Heritage Foods Garlic,Flavorful bulbs. Heritage Foods quality guaranteed.,0.77,0.73,USD,Grocery,Produce,Heritage,Grocery & Essentials,1,429,4.8,541,/images/walmart/grocery/45.jpg,/product/WMT00000045,1,1,grocery
WMT00000046,Green Valley Garlic,Flavorful bulbs. Green Valley quality guaranteed.,0.67,0.63,USD,Grocery,Produce,Green,Grocery & Essentials,1,217,4.1,983,/images/walmart/grocery/46.jpg,/product/WMT00000046,1,1,grocery
WMT00000047,Heritage Foods Potatoes,Versatile staple. Heritage Foods quality guaranteed.,1.26,1.28,USD,Grocery,Produce,Heritage,Grocery & Essentials,1,219,4.3,2363,/images/walmart/grocery/47.jpg,/product/WMT00000047,1,1,grocery
WMT00000048,Home Style Sweet Potatoes,Nutritious root. Home Style quality guaranteed.,1.73,1.88,USD,Grocery,Produce,Home,Grocery & Essentials,1,293,4.8,2318,/images/walmart/grocery/48.jpg,/product/WMT00000048,1,1,grocery
WMT00000049,Golden Harvest Mushrooms,Earthy fungi. Golden Harvest quality guaranteed.,3.69,4.05,USD,Grocery,Produce,Golden,Grocery & Essentials,1,230,4.2,1509,/images/walmart/grocery/49.jpg,/product/WMT00000049,1,1,grocery
WMT00000050,Mountain Fresh Organic Mushrooms,Earthy fungi. Mountain Fresh quality guaranteed.,5.49,5.75,USD,Grocery,Produce,Mountain,Grocery & Essentials,1,233,4.1,1218,/images/walmart/grocery/50.jpg,/product/WMT00000050,1,1,grocery
WMT00000051,Classic Kitchen Asparagus,Tender spears. Classic Kitchen quality guaranteed.,5.21,4.99,USD,Grocery,Produce,Classic,Grocery & Essentials,1,74,4.7,3154,/images/walmart/grocery/51.jpg,/product/WMT00000051,1,1,grocery
WMT00000052,Simply Good Green Beans,Crisp beans. Simply Good quality guaranteed.,2.74,2.67,USD,Grocery,Produce,Simply,Grocery & Essentials,1,120,4.7,3669,/images/walmart/grocery/52.jpg,/product/WMT00000052,1,1,grocery
WMT00000053,Simply Good Organic Corn,Sweet kernels. Simply Good quality guaranteed.,0.75,0.82,USD,Grocery,Produce,Simply,Grocery & Essentials,1,351,4.7,4368,/images/walmart/grocery/53.jpg,/product/WMT00000053,1,1,grocery
WMT00000054,Farm Fresh Corn,Sweet kernels. Farm Fresh quality guaranteed.,0.82,0.89,USD,Grocery,Produce,Farm,Grocery & Essentials,1,185,4.3,618,/images/walmart/grocery/54.jpg,/product/WMT00000054,1,1,grocery
WMT00000055,Golden Harvest Organic Lettuce,Fresh greens. Golden Harvest quality guaranteed.,3.45,3.37,USD,Grocery,Produce,Golden,Grocery & Essentials,1,162,3.9,3591,/images/walmart/grocery/55.jpg,/product/WMT00000055,1,1,grocery
WMT00000056,Home Style Lettuce,Fresh greens. Home Style quality guaranteed.,2.08,2.0,USD,Grocery,Produce,Home,Grocery & Essentials,1,142,3.9,4391,/images/walmart/grocery/56.jpg,/product/WMT00000056,1,1,grocery
WMT00000057,Premium Select Cauliflower,Versatile florets. Premium Select quality guaranteed.,3.25,3.27,USD,Grocery,Produce,Premium,Grocery & Essentials,1,277,4.4,1448,/images/walmart/grocery/57.jpg,/product/WMT00000057,1,1,grocery
WMT00000058,Meadow Gold Brussels Sprouts,Mini cabbages. Meadow Gold quality guaranteed.,3.87,3.69,USD,Grocery,Produce,Meadow,Grocery & Essentials,1,356,3.8,4655,/images/walmart/grocery/58.jpg,/product/WMT00000058,1,1,grocery
WMT00000059,Organic Choice Brussels Sprouts,Mini cabbages. Organic Choice quality guaranteed.,3.92,4.1,USD,Grocery,Produce,Organic,Grocery & Essentials,1,232,4.4,397,/images/walmart/grocery/59.jpg,/product/WMT00000059,1,1,grocery
WMT00000060,Simply Good Brussels Sprouts,Mini cabbages. Simply Good quality guaranteed.,3.61,3.77,USD,Grocery,Produce,Simply,Grocery & Essentials,1,451,3.9,1829,/images/walmart/grocery/60.jpg,/product/WMT00000060,1,1,grocery
WMT00000061,Simply Good Organic Eggplant,Purple veggie. Simply Good quality guaranteed.,3.5,3.76,USD,Grocery,Produce,Simply,Grocery & Essentials,1,342,4.6,1107,/images/walmart/grocery/61.jpg,/product/WMT00000061,1,1,grocery
WMT00000062,Home Style Bell Peppers,Colorful crunch. Home Style quality guaranteed.,1.69,1.84,USD,Grocery,Produce,Home,Grocery & Essentials,1,96,4.8,4469,/images/walmart/grocery/62.jpg,/product/WMT00000062,1,1,grocery
WMT00000063,Farm Fresh Bell Peppers,Colorful crunch. Farm Fresh quality guaranteed.,1.55,1.62,USD,Grocery,Produce,Farm,Grocery & Essentials,1,92,3.8,3835,/images/walmart/grocery/63.jpg,/product/WMT00000063,1,1,grocery
WMT00000064,Simply Good Jalapenos,Spicy peppers. Simply Good quality guaranteed.,1.18,1.32,USD,Grocery,Produce,Simply,Grocery & Essentials,1,437,4.7,140,/images/walmart/grocery/64.jpg,/product/WMT00000064,1,1,grocery
WMT00000065,Heritage Foods Cilantro,Fresh herb. Heritage Foods quality guaranteed.,1.2,1.15,USD,Grocery,Produce,Heritage,Grocery & Essentials,1,376,4.4,1451,/images/walmart/grocery/65.jpg,/product/WMT00000065,1,1,grocery
WMT00000066,Heritage Foods Cilantro,Fresh herb. Heritage Foods quality guaranteed.,1.02,1.06,USD,Grocery,Produce,Heritage,Grocery & Essentials,1,217,4.7,4843,/images/walmart/grocery/66.jpg,/product/WMT00000066,1,1,grocery
WMT00000067,Home Style Basil,Aromatic herb. Home Style quality guaranteed.,3.21,3.17,USD,Grocery,Produce,Home,Grocery & Essentials,1,382,4.4,3280,/images/walmart/grocery/67.jpg,/product/WMT00000067,1,1,grocery
WMT00000068,Nature's Best Basil,Aromatic herb. Nature's Best quality guaranteed.,2.66,2.87,USD,Grocery,Produce,Nature's,Grocery & Essentials,1,353,3.9,2595,/images/walmart/grocery/68.jpg,/product/WMT00000068,1,1,grocery
WMT00000069,Country Best Milk 2%,Reduced fat. Country Best quality guaranteed.,3.34,3.57,USD,Grocery,Dairy,Country,Grocery & Essentials,1,330,4.7,635,/images/walmart/grocery/69.jpg,/product/WMT00000069,1,1,grocery
WMT00000070,Organic Choice Milk 2%,Reduced fat. Organic Choice quality guaranteed.,3.71,3.67,USD,Grocery,Dairy,Organic,Grocery & Essentials,1,127,4.8,2665,/images/walmart/grocery/70.jpg,/product/WMT00000070,1,1,grocery
WMT00000071,Premium Select Heavy Cream,Rich and thick. Premium Select quality guaranteed.,6.03,6.69,USD,Grocery,Dairy,Premium,Grocery & Essentials,1,294,4.9,1096,/images/walmart/grocery/71.jpg,/product/WMT00000071,1,1,grocery
WMT00000072,Country Best Half and Half,Coffee cream. Country Best quality guaranteed.,4.86,4.86,USD,Grocery,Dairy,Country,Grocery & Essentials,1,200,3.9,4529,/images/walmart/grocery/72.jpg,/product/WMT00000072,1,1,grocery
WMT00000073,Premium Select Half and Half,Coffee cream. Premium Select quality guaranteed.,4.47,4.54,USD,Grocery,Dairy,Premium,Grocery & Essentials,1,495,4.3,439,/images/walmart/grocery/73.jpg,/product/WMT00000073,1,1,grocery
WMT00000074,Organic Choice Butter,Salted or unsalted. Organic Choice quality guaranteed.,4.12,4.49,USD,Grocery,Dairy,Organic,Grocery & Essentials,1,365,4.5,3302,/images/walmart/grocery/74.jpg,/product/WMT00000074,1,1,grocery
WMT00000075,Home Style Butter,Salted or unsalted. Home Style quality guaranteed.,5.46,5.39,USD,Grocery,Dairy,Home,Grocery & Essentials,1,252,4.8,4928,/images/walmart/grocery/75.jpg,/product/WMT00000075,1,1,grocery
WMT00000076,Green Valley Organic Sour Cream,Tangy cream. Green Valley quality guaranteed.,3.66,3.47,USD,Grocery,Dairy,Green,Grocery & Essentials,1,382,3.8,1152,/images/walmart/grocery/76.jpg,/product/WMT00000076,1,1,grocery
WMT00000077,Meadow Gold Cottage Cheese,Curds and whey. Meadow Gold quality guaranteed.,5.68,5.35,USD,Grocery,Dairy,Meadow,Grocery & Essentials,1,454,4.1,3941,/images/walmart/grocery/77.jpg,/product/WMT00000077,1,1,grocery
WMT00000078,Quality First Cottage Cheese,Curds and whey. Quality First quality guaranteed.,4.22,4.06,USD,Grocery,Dairy,Quality,Grocery & Essentials,1,90,4.2,4603,/images/walmart/grocery/78.jpg,/product/WMT00000078,1,1,grocery
WMT00000079,Home Style Organic Cream Cheese,Smooth spread. Home Style quality guaranteed.,5.01,4.73,USD,Grocery,Dairy,Home,Grocery & Essentials,1,452,4.7,3580,/images/walmart/grocery/79.jpg,/product/WMT00000079,1,1,grocery
WMT00000080,Pure & Simple Cream Cheese,Smooth spread. Pure & Simple quality guaranteed.,3.42,3.47,USD,Grocery,Dairy,Pure,Grocery & Essentials,1,96,3.8,2183,/images/walmart/grocery/80.jpg,/product/WMT00000080,1,1,grocery
WMT00000081,Home Style Parmesan,Aged Italian. Home Style quality guaranteed.,7.32,7.53,USD,Grocery,Dairy,Home,Grocery & Essentials,1,187,3.9,2398,/images/walmart/grocery/81.jpg,/product/WMT00000081,1,1,grocery
WMT00000082,Classic Kitchen Swiss Cheese,Nutty flavor. Classic Kitchen quality guaranteed.,7.43,7.87,USD,Grocery,Dairy,Classic,Grocery & Essentials,1,236,4.7,1490,/images/walmart/grocery/82.jpg,/product/WMT00000082,1,1,grocery
WMT00000083,Simply Good Organic Feta Cheese,Tangy Greek. Simply Good quality guaranteed.,7.22,7.5,USD,Grocery,Dairy,Simply,Grocery & Essentials,1,375,4.0,3757,/images/walmart/grocery/83.jpg,/product/WMT00000083,1,1,grocery
WMT00000084,Fresh Farms Feta Cheese,Tangy Greek. Fresh Farms quality guaranteed.,5.27,5.94,USD,Grocery,Dairy,Fresh,Grocery & Essentials,1,246,4.4,4322,/images/walmart/grocery/84.jpg,/product/WMT00000084,1,1,grocery
WMT00000085,Nature's Best Organic Brie,Creamy French. Nature's Best quality guaranteed.,10.82,10.89,USD,Grocery,Dairy,Nature's,Grocery & Essentials,1,462,4.2,4914,/images/walmart/grocery/85.jpg,/product/WMT00000085,1,1,grocery
WMT00000086,Green Valley Organic Blue Cheese,Bold and tangy. Green Valley quality guaranteed.,9.64,10.8,USD,Grocery,Dairy,Green,Grocery & Essentials,1,437,4.0,3547,/images/walmart/grocery/86.jpg,/product/WMT00000086,1,1,grocery
WMT00000087,Fresh Farms Blue Cheese,Bold and tangy. Fresh Farms quality guaranteed.,8.53,8.38,USD,Grocery,Dairy,Fresh,Grocery & Essentials,1,104,4.0,1214,/images/walmart/grocery/87.jpg,/product/WMT00000087,1,1,grocery
WMT00000088,Daily Delight Blue Cheese,Bold and tangy. Daily Delight quality guaranteed.,8.5,8.2,USD,Grocery,Dairy,Daily,Grocery & Essentials,1,451,4.0,3044,/images/walmart/grocery/88.jpg,/product/WMT00000088,1,1,grocery
WMT00000089,Local Pride Goat Cheese,Tangy and creamy. Local Pride quality guaranteed.,6.93,6.67,USD,Grocery,Dairy,Local,Grocery & Essentials,1,431,4.0,1333,/images/walmart/grocery/89.jpg,/product/WMT00000089,1,1,grocery
WMT00000090,Farm Fresh Yogurt,Creamy cultured. Farm Fresh quality guaranteed.,1.18,1.2,USD,Grocery,Dairy,Farm,Grocery & Essentials,1,262,3.8,4882,/images/walmart/grocery/90.jpg,/product/WMT00000090,1,1,grocery
WMT00000091,Premium Select Organic Almond Milk,Dairy-free. Premium Select quality guaranteed.,6.02,5.84,USD,Grocery,Dairy,Premium,Grocery & Essentials,1,61,4.4,2120,/images/walmart/grocery/91.jpg,/product/WMT00000091,1,1,grocery
WMT00000092,Pure & Simple Organic Almond Milk,Dairy-free. Pure & Simple quality guaranteed.,6.38,7.01,USD,Grocery,Dairy,Pure,Grocery & Essentials,1,71,4.7,3127,/images/walmart/grocery/92.jpg,/product/WMT00000092,1,1,grocery
WMT00000093,Golden Harvest Almond Milk,Dairy-free. Golden Harvest quality guaranteed.,5.61,5.48,USD,Grocery,Dairy,Golden,Grocery & Essentials,1,414,3.8,859,/images/walmart/grocery/93.jpg,/product/WMT00000093,1,1,grocery
WMT00000094,Classic Kitchen Oat Milk,Plant-based. Classic Kitchen quality guaranteed.,6.01,5.83,USD,Grocery,Dairy,Classic,Grocery & Essentials,1,183,4.4,1172,/images/walmart/grocery/94.jpg,/product/WMT00000094,1,1,grocery
WMT00000095,Simply Good Soy Milk,Protein rich. Simply Good quality guaranteed.,3.62,3.76,USD,Grocery,Dairy,Simply,Grocery & Essentials,1,352,4.0,73,/images/walmart/grocery/95.jpg,/product/WMT00000095,1,1,grocery
WMT00000096,Quality First Ribeye Steak,Marbled beef. Quality First quality guaranteed.,14.96,16.54,USD,Grocery,Meat & Seafood,Quality,Grocery & Essentials,1,201,4.0,4323,/images/walmart/grocery/96.jpg,/product/WMT00000096,1,1,grocery
WMT00000097,Pure & Simple Organic Ribeye Steak,Marbled beef. Pure & Simple quality guaranteed.,22.29,21.87,USD,Grocery,Meat & Seafood,Pure,Grocery & Essentials,1,352,4.7,196,/images/walmart/grocery/97.jpg,/product/WMT00000097,1,1,grocery
WMT00000098,Mountain Fresh Ribeye Steak,Marbled beef. Mountain Fresh quality guaranteed.,19.11,19.09,USD,Grocery,Meat & Seafood,Mountain,Grocery & Essentials,1,231,4.6,1834,/images/walmart/grocery/98.jpg,/product/WMT00000098,1,1,grocery
WMT00000099,Daily Delight NY Strip Steak,Tender cut. Daily Delight quality guaranteed.,14.34,13.84,USD,Grocery,Meat & Seafood,Daily,Grocery & Essentials,1,196,4.3,662,/images/walmart/grocery/99.jpg,/product/WMT00000099,1,1,grocery
WMT00000100,Mountain Fresh Organic Filet Mignon,Premium cut. Mountain Fresh quality guaranteed.,45.8,44.59,USD,Grocery,Meat & Seafood,Mountain,Grocery & Essentials,1,51,3.8,1208,/images/walmart/grocery/100.jpg,/product/WMT00000100,1,1,grocery
WMT00000101,Farm Fresh Ground Turkey,Lean ground. Farm Fresh quality guaranteed.,6.55,6.18,USD,Grocery,Meat & Seafood,Farm,Grocery & Essentials,1,340,4.6,2139,/images/walmart/grocery/101.jpg,/product/WMT00000101,1,1,grocery
WMT00000102,Daily Delight Turkey Breast,Whole breast. Daily Delight quality guaranteed.,10.38,9.76,USD,Grocery,Meat & Seafood,Daily,Grocery & Essentials,1,286,4.9,686,/images/walmart/grocery/102.jpg,/product/WMT00000102,1,1,grocery
WMT00000103,Meadow Gold Organic Turkey Breast,Whole breast. Meadow Gold quality guaranteed.,10.7,11.15,USD,Grocery,Meat & Seafood,Meadow,Grocery & Essentials,1,341,4.6,2624,/images/walmart/grocery/103.jpg,/product/WMT00000103,1,1,grocery
WMT00000104,Daily Delight Pork Chops,Bone-in chops. Daily Delight quality guaranteed.,6.25,5.89,USD,Grocery,Meat & Seafood,Daily,Grocery & Essentials,1,169,4.7,2537,/images/walmart/grocery/104.jpg,/product/WMT00000104,1,1,grocery
WMT00000105,Nature's Best Pork Tenderloin,Lean tender. Nature's Best quality guaranteed.,9.97,9.73,USD,Grocery,Meat & Seafood,Nature's,Grocery & Essentials,1,220,4.4,3082,/images/walmart/grocery/105.jpg,/product/WMT00000105,1,1,grocery
WMT00000106,Heritage Foods Ground Pork,Fresh ground. Heritage Foods quality guaranteed.,5.56,5.86,USD,Grocery,Meat & Seafood,Heritage,Grocery & Essentials,1,376,4.5,4203,/images/walmart/grocery/106.jpg,/product/WMT00000106,1,1,grocery
WMT00000107,Meadow Gold Organic Ground Pork,Fresh ground. Meadow Gold quality guaranteed.,6.84,7.35,USD,Grocery,Meat & Seafood,Meadow,Grocery & Essentials,1,303,4.3,3167,/images/walmart/grocery/107.jpg,/product/WMT00000107,1,1,grocery
WMT00000108,Daily Delight Pork Ribs,Baby back ribs. Daily Delight quality guaranteed.,8.21,9.27,USD,Grocery,Meat & Seafood,Daily,Grocery & Essentials,1,489,4.8,2476,/images/walmart/grocery/108.jpg,/product/WMT00000108,1,1,grocery
WMT00000109,Daily Delight Lamb Chops,Tender lamb. Daily Delight quality guaranteed.,18.26,18.91,USD,Grocery,Meat & Seafood,Daily,Grocery & Essentials,1,478,4.3,2878,/images/walmart/grocery/109.jpg,/product/WMT00000109,1,1,grocery
WMT00000110,Market Fresh Lamb Chops,Tender lamb. Market Fresh quality guaranteed.,19.85,19.18,USD,Grocery,Meat & Seafood,Market,Grocery & Essentials,1,362,4.0,2046,/images/walmart/grocery/110.jpg,/product/WMT00000110,1,1,grocery
WMT00000111,Golden Harvest Lamb Chops,Tender lamb. Golden Harvest quality guaranteed.,15.51,15.65,USD,Grocery,Meat & Seafood,Golden,Grocery & Essentials,1,307,3.8,3548,/images/walmart/grocery/111.jpg,/product/WMT00000111,1,1,grocery
