id,name,category,subcategory,price,description,material,gemstone,carat_weight,metal_purity,dimensions_json,in_stock,stock_quantity,engravable,gift_wrap_eligible,rating,review_count
JWL-028,Gold Bangle Bracelet,Bracelets,Bangle,799.99,Solid gold bangle with hidden clasp,Gold,None,,14K,"{""inner_diameter_mm"": 65, ""width_mm"": 6}",1,9,1,1,4.9,2246
JWL-029,Charm Bracelet Starter,Bracelets,Charm,399.99,Sterling silver charm bracelet with two starter charms,Silver,None,,925,"{""length_inches"": 7.5, ""charm_count"": 2}",1,15,1,1,4.4,1573
JWL-030,Pearl Strand Bracelet,Bracelets,Strand,599.99,Freshwater pearl bracelet with gold clasp,Gold,Pearl,,14K,"{""length_inches"": 7, ""pearl_size_mm"": 6}",1,8,0,1,4.7,626
JWL-031,Cuff Bracelet Gold,Bracelets,Cuff,1199.99,Wide hammered gold cuff bracelet,Gold,None,,14K,"{""inner_diameter_mm"": 60, ""width_mm"": 25}",1,5,1,1,5.0,4571
JWL-032,Diamond Link Bracelet,Bracelets,Link,3299.99,Elegant link bracelet with diamond accents,White Gold,Diamond,1.0,18K,"{""length_inches"": 7.5, ""link_width_mm"": 8}",1,3,0,1,4.7,2483
JWL-033,Ruby Line Bracelet,Bracelets,Tennis,2899.99,Stunning line of rubies with diamond spacers,Gold,Ruby,2.5,18K,"{""length_inches"": 7, ""width_mm"": 4}",1,2,0,1,4.5,3011
JWL-034,Rose Gold Chain Bracelet,Bracelets,Chain,449.99,Delicate rose gold chain bracelet,Rose Gold,None,,14K,"{""length_inches"": 7, ""chain_width_mm"": 2}",1,14,0,1,4.7,388
JWL-035,Rolex Datejust Watch,Watches,Luxury,9999.99,Iconic Rolex Datejust in stainless steel and gold,Two-Tone,None,,N/A,"{""case_diameter_mm"": 41, ""water_resistance_m"": 100}",1,2,0,1,4.5,3449
JWL-036,Cartier Tank Watch,Watches,Luxury,7499.99,Classic Cartier Tank in white gold,White Gold,None,,18K,"{""case_width_mm"": 25, ""case_length_mm"": 31}",1,1,0,1,4.6,735
JWL-037,Omega Seamaster Watch,Watches,Luxury,5999.99,Professional diving watch in stainless steel,Stainless Steel,None,,N/A,"{""case_diameter_mm"": 42, ""water_resistance_m"": 300}",1,3,0,1,4.4,756
JWL-038,Tag Heuer Carrera Watch,Watches,Luxury,4499.99,Sporty chronograph in titanium,Titanium,None,,N/A,"{""case_diameter_mm"": 44, ""water_resistance_m"": 100}",1,4,1,1,4.9,1312
JWL-039,Ladies Diamond Watch,Watches,Fashion,2299.99,Elegant ladies watch with diamond bezel,White Gold,Diamond,0.5,14K,"{""case_diameter_mm"": 28, ""water_resistance_m"": 30}",1,5,0,1,4.6,2569
JWL-040,Gold Dress Watch,Watches,Fashion,1599.99,Classic gold dress watch with leather strap,Gold,None,,18K,"{""case_diameter_mm"": 36, ""strap_width_mm"": 18}",1,6,1,1,4.1,4434
JWL-041,Minimalist Silver Watch,Watches,Fashion,399.99,Modern minimalist watch in sterling silver,Silver,None,,925,"{""case_diameter_mm"": 38, ""water_resistance_m"": 50}",1,12,0,1,4.4,4859
JWL-042,Signet Ring Mens,Rings,Signet,699.99,Classic mens signet ring ready for custom engraving,Gold,None,,14K,"{""face_width_mm"": 12, ""band_width_mm"": 4}",1,7,1,1,4.0,70
JWL-043,Diamond Cluster Ring,Rings,Fashion,1899.99,Floral diamond cluster on white gold band,White Gold,Diamond,0.75,14K,"{""band_width_mm"": 2.5, ""cluster_diameter_mm"": 12}",1,4,0,1,4.1,1068
JWL-044,Mens Titanium Band,Rings,Wedding Band,299.99,Modern brushed titanium wedding band,Titanium,None,,N/A,"{""band_width_mm"": 6, ""thickness_mm"": 2.5}",1,15,1,1,4.1,189
JWL-045,Infinity Necklace,Necklaces,Pendant,549.99,Delicate infinity symbol pendant with diamonds,White Gold,Diamond,0.15,14K,"{""chain_length_inches"": 18, ""pendant_width_mm"": 15}",1,11,0,1,5.0,2815
JWL-046,Birthstone Pendant - January,Necklaces,Birthstone,399.99,Garnet birthstone pendant for January,Gold,Garnet,0.75,14K,"{""chain_length_inches"": 18, ""pendant_size_mm"": 8}",1,6,0,1,4.1,4410
JWL-047,Inside-Out Hoop Earrings,Earrings,Hoops,1299.99,Diamond hoops with stones on inside and outside,White Gold,Diamond,1.0,14K,"{""diameter_mm"": 20, ""width_mm"": 3}",1,5,0,1,4.5,3787
JWL-048,Mens Gold Chain Necklace,Necklaces,Chain,1899.99,Bold Cuban link chain in solid gold,Gold,None,,14K,"{""length_inches"": 22, ""link_width_mm"": 6}",1,4,0,1,4.8,3208
JWL-049,Princess Cut Engagement Ring,Rings,Engagement,5499.99,Modern princess cut diamond solitaire setting,White Gold,Diamond,1.0,14K,"{""band_width_mm"": 2.5, ""setting_height_mm"": 7}",1,4,1,1,4.1,323
JWL-050,Cushion Cut Halo Ring,Rings,Engagement,7299.99,Cushion cut center with double halo,Platinum,Diamond,1.5,950,"{""band_width_mm"": 3, ""setting_height_mm"": 9}",1,2,1,1,4.1,1738
JWL-051,Oval Diamond Engagement Ring,Rings,Engagement,6199.99,Elongating oval cut with hidden halo,White Gold,Diamond,1.25,18K,"{""band_width_mm"": 2.8, ""setting_height_mm"": 8}",1,3,1,1,4.8,3364
JWL-052,Pear Shaped Diamond Ring,Rings,Engagement,5799.99,Elegant pear cut with pavé band,Platinum,Diamond,1.1,950,"{""band_width_mm"": 2.5, ""setting_height_mm"": 8}",1,2,1,1,4.2,4765
JWL-053,Marquise Vintage Ring,Rings,Engagement,4899.99,Vintage marquise with milgrain detail,Rose Gold,Diamond,0.9,14K,"{""band_width_mm"": 2.8, ""setting_height_mm"": 7}",1,3,1,1,4.4,4918
JWL-054,Asscher Cut Art Deco Ring,Rings,Engagement,8499.99,Step cut asscher with baguette accents,Platinum,Diamond,1.75,950,"{""band_width_mm"": 3.2, ""setting_height_mm"": 8}",1,1,1,1,4.6,2731
JWL-055,Radiant Cut Three Stone,Rings,Engagement,6999.99,Radiant center with trapezoid sides,White Gold,Diamond,1.4,18K,"{""band_width_mm"": 3, ""setting_height_mm"": 7}",1,2,1,1,4.4,474
JWL-056,Bezel Set Engagement Ring,Rings,Engagement,4599.99,Modern bezel setting for active lifestyle,Platinum,Diamond,0.85,950,"{""band_width_mm"": 2.2, ""setting_height_mm"": 5}",1,4,1,1,4.2,1506
JWL-057,Split Shank Diamond Ring,Rings,Engagement,5299.99,Round center with split pavé shank,White Gold,Diamond,1.0,14K,"{""band_width_mm"": 4, ""setting_height_mm"": 7}",1,3,1,1,4.8,1588
JWL-058,Twisted Band Engagement Ring,Rings,Engagement,4799.99,Romantic twisted band with round center,Rose Gold,Diamond,0.9,14K,"{""band_width_mm"": 3.5, ""setting_height_mm"": 7}",1,4,1,1,4.7,468
JWL-059,Micropavé Wedding Band,Rings,Wedding Band,1299.99,Delicate band covered in micropavé diamonds,White Gold,Diamond,0.35,14K,"{""band_width_mm"": 1.8, ""setting_height_mm"": 2}",1,10,0,1,4.7,2506
JWL-060,Mens Diamond Wedding Band,Rings,Wedding Band,1799.99,Bold mens band with channel set diamonds,White Gold,Diamond,0.5,14K,"{""band_width_mm"": 6, ""thickness_mm"": 2}",1,6,1,1,4.2,1588
JWL-061,Milgrain Wedding Band,Rings,Wedding Band,799.99,Classic band with milgrain edge detail,Gold,None,,14K,"{""band_width_mm"": 3, ""thickness_mm"": 1.5}",1,15,1,1,4.8,3193
JWL-062,Two Tone Wedding Band,Rings,Wedding Band,1099.99,White and yellow gold two tone design,Two-Tone,None,,14K,"{""band_width_mm"": 5, ""thickness_mm"": 2}",1,8,1,1,4.8,3237
JWL-063,Hammered Finish Band,Rings,Wedding Band,699.99,Artisan hammered texture gold band,Gold,None,,14K,"{""band_width_mm"": 4, ""thickness_mm"": 1.8}",1,12,1,1,4.2,3804
JWL-064,Sapphire Eternity Band,Rings,Eternity,2599.99,Blue sapphires all around in white gold,White Gold,Sapphire,1.5,14K,"{""band_width_mm"": 2.5, ""setting_height_mm"": 3}",1,4,0,1,4.5,836
JWL-065,Ruby Eternity Band,Rings,Eternity,2799.99,Vibrant rubies set all around,Gold,Ruby,1.5,18K,"{""band_width_mm"": 2.5, ""setting_height_mm"": 3}",1,3,0,1,4.0,4521
JWL-066,Emerald Eternity Band,Rings,Eternity,3099.99,Lush emeralds circling the band,Platinum,Emerald,1.75,950,"{""band_width_mm"": 2.8, ""setting_height_mm"": 3}",1,2,0,1,4.9,4234
JWL-067,Alternating Stone Eternity,Rings,Eternity,2399.99,Diamonds alternating with sapphires,White Gold,Multi,1.25,14K,"{""band_width_mm"": 2.2, ""setting_height_mm"": 3}",1,5,0,1,4.9,4175
JWL-068,Wide Diamond Eternity Band,Rings,Eternity,4299.99,Three row diamond eternity band,Platinum,Diamond,2.0,950,"{""band_width_mm"": 5, ""setting_height_mm"": 4}",1,2,0,1,4.9,963
JWL-069,Cocktail Statement Ring,Rings,Fashion,2899.99,Bold statement ring with blue topaz center stone,White Gold,Blue Topaz,5.0,14K,"{""band_width_mm"": 4, ""setting_height_mm"": 12}",1,3,0,1,4.6,2208
JWL-070,Ruby Cocktail Ring,Rings,Fashion,4299.99,Elegant ruby surrounded by diamond halo,Yellow Gold,Ruby,2.5,18K,"{""band_width_mm"": 3.5, ""setting_height_mm"": 10}",1,2,0,1,4.2,3727
JWL-071,Aquamarine Fashion Ring,Rings,Fashion,1899.99,Emerald cut aquamarine with diamond accents,White Gold,Aquamarine,3.0,14K,"{""band_width_mm"": 3, ""setting_height_mm"": 8}",1,4,0,1,4.8,1316
JWL-072,Stackable Diamond Ring,Rings,Stackable,699.99,Delicate diamond band for stacking,Rose Gold,Diamond,0.15,14K,"{""band_width_mm"": 1.5, ""setting_height_mm"": 2}",1,12,0,1,4.2,938
JWL-073,Twisted Stackable Band,Rings,Stackable,449.99,Elegant twisted band with small diamonds,Yellow Gold,Diamond,0.1,14K,"{""band_width_mm"": 1.8, ""setting_height_mm"": 2}",1,15,0,1,4.7,1070
JWL-074,Beaded Stackable Ring,Rings,Stackable,299.99,Classic beaded gold band for stacking,Yellow Gold,None,0,14K,"{""band_width_mm"": 1.5, ""setting_height_mm"": 1.5}",1,20,0,1,4.6,3453
JWL-075,Birthstone January Garnet Ring,Rings,Birthstone,599.99,January birthstone ring with garnet,White Gold,Garnet,1.0,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,6,1,1,4.2,3532
JWL-076,Birthstone February Amethyst Ring,Rings,Birthstone,549.99,February birthstone ring with amethyst,Rose Gold,Amethyst,1.2,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,6,1,1,4.1,1580
JWL-077,Birthstone March Aquamarine Ring,Rings,Birthstone,749.99,March birthstone ring with aquamarine,White Gold,Aquamarine,1.0,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,5,1,1,4.4,2740
JWL-078,Birthstone April Diamond Ring,Rings,Birthstone,1299.99,April birthstone ring with diamond,White Gold,Diamond,0.5,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,4,1,1,4.3,4459
JWL-079,Birthstone May Emerald Ring,Rings,Birthstone,1199.99,May birthstone ring with emerald,Yellow Gold,Emerald,0.8,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,4,1,1,4.1,4765
JWL-080,Birthstone June Pearl Ring,Rings,Birthstone,499.99,June birthstone ring with freshwater pearl,White Gold,Pearl,0,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 8}",1,7,0,1,4.2,2036
JWL-081,Birthstone July Ruby Ring,Rings,Birthstone,1099.99,July birthstone ring with ruby,Rose Gold,Ruby,0.75,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,5,1,1,4.2,409
JWL-082,Birthstone August Peridot Ring,Rings,Birthstone,549.99,August birthstone ring with peridot,Yellow Gold,Peridot,1.0,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,6,1,1,4.1,3972
JWL-083,Birthstone September Sapphire Ring,Rings,Birthstone,1299.99,September birthstone ring with blue sapphire,White Gold,Sapphire,0.8,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,4,1,1,4.7,2288
JWL-084,Birthstone October Opal Ring,Rings,Birthstone,699.99,October birthstone ring with Australian opal,Rose Gold,Opal,1.5,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,5,0,1,4.8,652
JWL-085,Birthstone November Citrine Ring,Rings,Birthstone,499.99,November birthstone ring with citrine,Yellow Gold,Citrine,1.2,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,7,1,1,4.5,2832
JWL-086,Birthstone December Tanzanite Ring,Rings,Birthstone,899.99,December birthstone ring with tanzanite,White Gold,Tanzanite,1.0,14K,"{""band_width_mm"": 2, ""setting_height_mm"": 5}",1,5,1,1,4.1,1879
JWL-087,Diamond Solitaire Pendant,Necklaces,Pendants,1499.99,Classic round diamond solitaire pendant,White Gold,Diamond,0.5,18K,"{""chain_length_inches"": 18, ""pendant_diameter_mm"": 5}",1,8,0,1,4.0,1749
JWL-088,Heart Diamond Pendant,Necklaces,Pendants,1899.99,Heart-shaped diamond pendant on delicate chain,White Gold,Diamond,0.75,14K,"{""chain_length_inches"": 16, ""pendant_width_mm"": 8}",1,5,1,1,4.5,1281
JWL-089,Pearl Drop Pendant,Necklaces,Pendants,599.99,Elegant freshwater pearl pendant with diamond bail,White Gold,Pearl,0,14K,"{""chain_length_inches"": 18, ""pearl_diameter_mm"": 9}",1,10,0,1,4.3,3689
JWL-090,Sapphire Halo Pendant,Necklaces,Pendants,2199.99,Blue sapphire surrounded by diamond halo,White Gold,Sapphire,1.5,18K,"{""chain_length_inches"": 18, ""pendant_diameter_mm"": 10}",1,4,0,1,4.3,3989
JWL-091,Emerald Teardrop Pendant,Necklaces,Pendants,2799.99,Teardrop emerald pendant with diamond accent,Yellow Gold,Emerald,1.2,18K,"{""chain_length_inches"": 16, ""pendant_length_mm"": 15}",1,3,0,1,5.0,2573
JWL-092,Ruby Heart Pendant,Necklaces,Pendants,1699.99,Ruby heart pendant perfect for Valentines,Rose Gold,Ruby,1.0,14K,"{""chain_length_inches"": 16, ""pendant_width_mm"": 10}",1,6,1,1,4.9,4543
JWL-093,Cross Diamond Pendant,Necklaces,Pendants,899.99,Classic cross pendant with diamond accents,White Gold,Diamond,0.25,14K,"{""chain_length_inches"": 18, ""pendant_length_mm"": 20}",1,12,0,1,4.5,4549
JWL-094,Infinity Diamond Pendant,Necklaces,Pendants,749.99,Infinity symbol pendant with diamonds,Rose Gold,Diamond,0.2,14K,"{""chain_length_inches"": 16, ""pendant_width_mm"": 15}",1,10,0,1,4.6,3602
JWL-095,Initial Letter Pendant,Necklaces,Pendants,399.99,Personalized initial pendant with diamond accent,Yellow Gold,Diamond,0.05,14K,"{""chain_length_inches"": 16, ""pendant_height_mm"": 12}",1,25,1,1,4.5,4761
JWL-096,Classic Box Chain,Necklaces,Chains,349.99,Classic box chain in 18 inch length,Yellow Gold,None,0,14K,"{""chain_length_inches"": 18, ""chain_width_mm"": 1}",1,20,0,1,4.1,1312
JWL-097,Rope Chain Necklace,Necklaces,Chains,499.99,Twisted rope chain design,Yellow Gold,None,0,14K,"{""chain_length_inches"": 20, ""chain_width_mm"": 2}",1,15,0,1,4.6,253
JWL-098,Cuban Link Chain,Necklaces,Chains,1299.99,Bold Cuban link chain,Yellow Gold,None,0,14K,"{""chain_length_inches"": 22, ""chain_width_mm"": 5}",1,8,0,1,4.6,772
JWL-099,Singapore Chain,Necklaces,Chains,299.99,Delicate Singapore twist chain,Rose Gold,None,0,14K,"{""chain_length_inches"": 16, ""chain_width_mm"": 1}",1,25,0,1,4.9,1945
JWL-100,Figaro Chain,Necklaces,Chains,599.99,Classic Italian Figaro pattern,Yellow Gold,None,0,14K,"{""chain_length_inches"": 20, ""chain_width_mm"": 3}",1,12,0,1,4.2,1667
JWL-101,Paperclip Chain Necklace,Necklaces,Chains,449.99,Trendy paperclip link design,Yellow Gold,None,0,14K,"{""chain_length_inches"": 18, ""chain_width_mm"": 3}",1,18,0,1,4.6,4281
JWL-102,Choker Diamond Tennis,Necklaces,Chokers,3999.99,Diamond tennis style choker,White Gold,Diamond,3.0,18K,"{""chain_length_inches"": 14, ""stone_count"": 50}",1,2,0,1,4.1,1441
JWL-103,Pearl Choker Necklace,Necklaces,Chokers,899.99,Classic freshwater pearl choker,White Gold,Pearl,0,14K,"{""chain_length_inches"": 15, ""pearl_count"": 35}",1,6,0,1,4.5,3835
JWL-104,Velvet Diamond Choker,Necklaces,Chokers,1299.99,Black velvet choker with diamond pendant,White Gold,Diamond,0.5,14K,"{""chain_length_inches"": 13, ""pendant_width_mm"": 10}",1,4,0,1,4.4,575
JWL-105,Layered Chain Set,Necklaces,Layered,799.99,Set of 3 layered chains at different lengths,Yellow Gold,None,0,14K,"{""chain_lengths_inches"": [14, 16, 18]}",1,10,0,1,4.3,3677
JWL-106,Layered Pendant Set,Necklaces,Layered,1199.99,Layered necklaces with moon star and sun pendants,Rose Gold,Diamond,0.15,14K,"{""chain_lengths_inches"": [14, 16, 20]}",1,7,0,1,4.7,4135
JWL-107,Diamond Stud Earrings 0.25ct,Earrings,Studs,599.99,Classic diamond studs total 0.25 carat,White Gold,Diamond,0.25,14K,"{""diameter_mm"": 3}",1,20,0,1,4.1,2682
JWL-108,Diamond Stud Earrings 0.5ct,Earrings,Studs,1199.99,Classic diamond studs total 0.5 carat,White Gold,Diamond,0.5,14K,"{""diameter_mm"": 4}",1,15,0,1,4.4,3038
JWL-109,Diamond Stud Earrings 1ct,Earrings,Studs,2999.99,Classic diamond studs total 1 carat,White Gold,Diamond,1.0,14K,"{""diameter_mm"": 5}",1,8,0,1,4.1,3225
JWL-110,Diamond Stud Earrings 2ct,Earrings,Studs,7999.99,Luxury diamond studs total 2 carats,Platinum,Diamond,2.0,950Pt,"{""diameter_mm"": 6.5}",1,3,0,1,4.7,3715
JWL-111,Pearl Stud Earrings,Earrings,Studs,299.99,Classic freshwater pearl studs,White Gold,Pearl,0,14K,"{""pearl_diameter_mm"": 7}",1,25,0,1,4.3,1776
JWL-112,Sapphire Stud Earrings,Earrings,Studs,899.99,Blue sapphire studs with diamond halo,White Gold,Sapphire,1.0,14K,"{""diameter_mm"": 6}",1,10,0,1,4.2,3843
JWL-113,Ruby Stud Earrings,Earrings,Studs,799.99,Deep red ruby studs,Yellow Gold,Ruby,0.8,14K,"{""diameter_mm"": 5}",1,8,0,1,4.2,2518
JWL-114,Emerald Stud Earrings,Earrings,Studs,999.99,Vibrant green emerald studs,Yellow Gold,Emerald,0.9,14K,"{""diameter_mm"": 5}",1,7,0,1,5.0,2015
JWL-115,Diamond Drop Earrings,Earrings,Drops,1899.99,Elegant diamond drop earrings,White Gold,Diamond,0.75,18K,"{""drop_length_mm"": 25}",1,6,0,1,4.8,2455
JWL-116,Pearl Drop Earrings,Earrings,Drops,499.99,Classic pearl drop on diamond bail,White Gold,Pearl,0,14K,"{""drop_length_mm"": 30}",1,12,0,1,4.5,448
JWL-117,Sapphire Teardrop Earrings,Earrings,Drops,2299.99,Teardrop sapphires with diamond accents,White Gold,Sapphire,2.0,18K,"{""drop_length_mm"": 28}",1,4,0,1,4.9,2531
JWL-118,Emerald Chandelier Earrings,Earrings,Drops,3499.99,Stunning emerald chandelier design,Yellow Gold,Emerald,3.0,18K,"{""drop_length_mm"": 45}",1,2,0,1,4.9,1328
JWL-119,Opal Dangle Earrings,Earrings,Drops,899.99,Australian opal dangles with diamonds,White Gold,Opal,2.0,14K,"{""drop_length_mm"": 32}",1,5,0,1,4.2,1512
JWL-120,Amethyst Drop Earrings,Earrings,Drops,649.99,Deep purple amethyst drops,Rose Gold,Amethyst,2.5,14K,"{""drop_length_mm"": 25}",1,8,0,1,4.7,4872
JWL-121,Small Diamond Hoop Earrings,Earrings,Hoops,799.99,Small diamond hoops 15mm diameter,White Gold,Diamond,0.25,14K,"{""diameter_mm"": 15}",1,12,0,1,4.5,1604
JWL-122,Medium Diamond Hoop Earrings,Earrings,Hoops,1199.99,Medium diamond hoops 25mm diameter,White Gold,Diamond,0.5,14K,"{""diameter_mm"": 25}",1,10,0,1,4.3,4144
JWL-123,Large Diamond Hoop Earrings,Earrings,Hoops,1699.99,Large diamond hoops 35mm diameter,White Gold,Diamond,0.75,14K,"{""diameter_mm"": 35}",1,6,0,1,4.4,4398
JWL-124,Classic Gold Hoops Small,Earrings,Hoops,249.99,Classic small gold hoops,Yellow Gold,None,0,14K,"{""diameter_mm"": 15}",1,25,0,1,4.2,2136
JWL-125,Classic Gold Hoops Medium,Earrings,Hoops,349.99,Classic medium gold hoops,Yellow Gold,None,0,14K,"{""diameter_mm"": 25}",1,20,0,1,4.8,918
JWL-126,Classic Gold Hoops Large,Earrings,Hoops,449.99,Classic large gold hoops,Yellow Gold,None,0,14K,"{""diameter_mm"": 40}",1,15,0,1,4.8,4272
JWL-127,Rose Gold Twisted Hoops,Earrings,Hoops,399.99,Twisted rose gold hoops,Rose Gold,None,0,14K,"{""diameter_mm"": 30}",1,18,0,1,4.4,897
JWL-128,Diamond Huggie Earrings,Earrings,Huggies,699.99,Small diamond huggies that hug the earlobe,White Gold,Diamond,0.2,14K,"{""diameter_mm"": 12}",1,15,0,1,4.8,2575
JWL-129,Sapphire Huggie Earrings,Earrings,Huggies,599.99,Blue sapphire huggies,White Gold,Sapphire,0.3,14K,"{""diameter_mm"": 12}",1,10,0,1,4.5,2137
JWL-130,Plain Gold Huggies,Earrings,Huggies,299.99,Classic gold huggie hoops,Yellow Gold,None,0,14K,"{""diameter_mm"": 10}",1,22,0,1,4.1,4725
JWL-131,Diamond Ear Climbers,Earrings,Climbers,899.99,Diamond ear climbers that follow ear curve,White Gold,Diamond,0.3,14K,"{""length_mm"": 20}",1,8,0,1,4.7,3270
