id,brand,model,socket,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_watts,price,in_stock,integrated_graphics,cache_mb,release_year,rating,review_count
CPU049,AMD,Ryzen 7 7700,AM5,8,16,3.8,5.3,65,279.99,true,AMD Radeon Graphics,40,2023,4.7,138
CPU050,AMD,Ryzen 9 7900,AM5,12,24,3.7,5.4,65,399.99,true,AMD Radeon Graphics,76,2023,4.6,4861
CPU051,Intel,Core i9-13900KS,LGA1700,24,32,3.0,6.0,150,599.99,false,Intel UHD 770,36,2023,4.9,1083
CPU052,Intel,Core i5-13500,LGA1700,14,20,2.5,4.8,65,229.99,true,Intel UHD 770,24,2023,4.3,160
CPU053,Intel,Core i5-13400,LGA1700,10,16,2.5,4.6,65,199.99,true,Intel UHD 730,20,2023,4.4,2972
CPU054,AMD,Ryzen Threadripper 7980X,sTR5,64,128,3.2,5.1,350,4999.99,true,false,256,2023,4.7,10314
CPU055,AMD,Ryzen Threadripper 7970X,sTR5,32,64,4.0,5.3,350,2499.99,true,false,128,2023,4.7,14108
CPU056,AMD,Ryzen Threadripper 7960X,sTR5,24,48,4.2,5.3,350,1499.99,true,false,76,2023,4.8,13659
CPU057,Intel,Xeon W9-3595X,LGA4677,56,112,2.0,4.5,385,5889.99,false,false,105,2024,4.1,7965
CPU058,Intel,Xeon W7-3465X,LGA4677,28,56,2.5,4.8,300,2249.99,true,false,75,2024,5.0,4351
CPU059,AMD,Ryzen 5 PRO 7545,AM5,6,12,3.8,5.0,65,209.99,true,false,38,2024,5.0,8442
CPU060,AMD,Ryzen 7 PRO 7745,AM5,8,16,3.8,5.3,65,319.99,true,false,40,2024,4.8,12966
CPU061,Intel,Core i5-12400,LGA1700,6,12,2.5,4.4,65,179.99,true,Intel UHD 730,18,2022,4.6,9001
CPU062,Intel,Core i7-12700,LGA1700,12,20,2.1,4.9,65,279.99,true,Intel UHD 770,25,2022,4.8,1121
CPU063,AMD,Ryzen 5 5600,AM4,6,12,3.5,4.4,65,129.99,true,false,35,2022,4.3,4963
CPU064,AMD,Ryzen 7 5800X3D,AM4,8,16,3.4,4.5,105,299.99,true,false,100,2022,4.4,5000
CPU065,Intel,Core i9-11900K,LGA1200,8,16,3.5,5.3,125,279.99,false,Intel UHD 750,16,2021,4.5,7419
CPU066,Intel,Core i7-11700K,LGA1200,8,16,3.6,5.0,125,229.99,false,Intel UHD 750,16,2021,4.1,4181
CPU067,Intel,Core i5-11600K,LGA1200,6,12,3.9,4.9,125,179.99,false,Intel UHD 750,12,2021,4.1,2218
CPU068,AMD,Ryzen 3 5300G,AM4,4,8,4.0,4.2,65,99.99,true,AMD Radeon Vega 6,10,2021,4.7,1268
CPU069,Intel,Core i3-13100,LGA1700,4,8,3.4,4.5,60,129.99,true,Intel UHD 730,12,2023,4.9,6537
CPU070,Intel,Pentium Gold G7400,LGA1700,2,4,3.7,3.7,46,69.99,true,Intel UHD 710,6,2022,4.7,14991
