id,brand,model,wattage,efficiency_rating,modular,form_factor,fan_size_mm,atx_version,price,in_stock,warranty_years,rating,review_count
PSU067,Silverstone,DA850 Gold,850,80+ Gold,Full,ATX,120,ATX 3.0,129.99,true,5,4.7,6640
PSU068,Fractal Design,Ion+ 2 Platinum 860W,860,80+ Platinum,Full,ATX,140,ATX 3.0,169.99,true,10,4.3,2875
PSU069,Fractal Design,Ion+ 2 Platinum 760W,760,80+ Platinum,Full,ATX,140,ATX 3.0,149.99,true,10,4.8,7998
PSU070,Fractal Design,Ion Gold 850W,850,80+ Gold,Full,ATX,140,ATX 2.52,129.99,true,10,4.7,5647
PSU071,Fractal Design,Ion Gold 650W,650,80+ Gold,Full,ATX,140,ATX 2.52,99.99,true,10,4.6,168
PSU072,Antec,HCG850 Gold,850,80+ Gold,Full,ATX,135,ATX 3.0,129.99,true,10,4.6,12980
PSU073,Antec,HCG750 Gold,750,80+ Gold,Full,ATX,135,ATX 3.0,109.99,true,10,4.2,13060
PSU074,Antec,NeoECO 750M Gold,750,80+ Gold,Semi,ATX,120,ATX 2.52,89.99,true,7,4.2,201
PSU075,Antec,NeoECO 650M Gold,650,80+ Gold,Semi,ATX,120,ATX 2.52,79.99,true,7,4.7,8273
PSU076,Super Flower,Leadex III Gold 850W,850,80+ Gold,Full,ATX,135,ATX 2.52,129.99,true,7,4.4,2373
PSU077,Super Flower,Leadex V Platinum 1000W,1000,80+ Platinum,Full,ATX,135,ATX 3.0,199.99,true,10,4.0,12745
PSU078,XPG,Core Reactor II 850W,850,80+ Gold,Full,ATX,135,ATX 3.0,119.99,true,10,4.4,1354
PSU079,XPG,Core Reactor II 750W,750,80+ Gold,Full,ATX,135,ATX 3.0,99.99,true,10,5.0,14211
PSU080,XPG,PYLON 650W,650,80+ Bronze,Non,ATX,120,ATX 2.52,54.99,true,3,4.9,7733
