id,name,description,price,currency,category,tags,image_url,product_url,inventory_count,created_at
prod_029,Sunset Studios Polyester T-Shirt,Soft cotton t-shirt for everyday wear Made from premium polyester. From Sunset Studios collection.,41.4,USD,Tops,"[""casual"", ""basic"", ""cotton"", ""polyester"", ""sunset-studios""]",/images/products/t-shirt-29.jpg,/products/sunset-studios-polyester-t-shirt,170,2025-01-27T17:16:23
prod_030,Timeless Trend Cashmere Blouse,Elegant blouse with flattering drape Made from premium cashmere. From Timeless Trend collection.,82.96,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""cashmere"", ""timeless-trend""]",/images/products/blouse-30.jpg,/products/timeless-trend-cashmere-blouse,95,2025-12-05T17:16:23
prod_031,Everyday Elegance Satin Blouse,Elegant blouse with flattering drape Made from premium satin. From Everyday Elegance collection.,92.71,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""satin"", ""everyday-elegance""]",/images/products/blouse-31.jpg,/products/everyday-elegance-satin-blouse,160,2025-08-14T17:16:23
prod_032,Style Haven Silk Blouse,Elegant blouse with flattering drape Made from premium silk. From Style Haven collection.,86.8,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""silk"", ""style-haven""]",/images/products/blouse-32.jpg,/products/style-haven-silk-blouse,184,2025-09-27T17:16:23
prod_033,The Basics Denim Blouse,Elegant blouse with flattering drape Made from premium denim. From The Basics collection.,81.91,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""denim"", ""the-basics""]",/images/products/blouse-33.jpg,/products/the-basics-denim-blouse,105,2025-07-06T17:16:23
prod_034,Style Haven Linen Blouse,Elegant blouse with flattering drape Made from premium linen. From Style Haven collection.,103.64,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""linen"", ""style-haven""]",/images/products/blouse-34.jpg,/products/style-haven-linen-blouse,11,2025-07-03T17:16:23
prod_035,Pine & Oak Chiffon Blouse,Elegant blouse with flattering drape Made from premium chiffon. From Pine & Oak collection.,67.07,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""chiffon"", ""pine-&-oak""]",/images/products/blouse-35.jpg,/products/pine-&-oak-chiffon-blouse,75,2025-12-25T17:16:23
prod_036,Sunset Studios Tweed Blouse,Elegant blouse with flattering drape Made from premium tweed. From Sunset Studios collection.,113.19,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""tweed"", ""sunset-studios""]",/images/products/blouse-36.jpg,/products/sunset-studios-tweed-blouse,131,2025-03-11T17:16:23
prod_037,Classic Comfort Denim Blouse,Elegant blouse with flattering drape Made from premium denim. From Classic Comfort collection.,106.74,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""denim"", ""classic-comfort""]",/images/products/blouse-37.jpg,/products/classic-comfort-denim-blouse,109,2025-10-01T17:16:23
prod_038,Timeless Trend Chiffon Blouse,Elegant blouse with flattering drape Made from premium chiffon. From Timeless Trend collection.,113.87,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""chiffon"", ""timeless-trend""]",/images/products/blouse-38.jpg,/products/timeless-trend-chiffon-blouse,144,2025-06-27T17:16:23
prod_039,Sunset Studios Silk Blouse,Elegant blouse with flattering drape Made from premium silk. From Sunset Studios collection.,110.47,USD,Tops,"[""elegant"", ""office"", ""blouse"", ""silk"", ""sunset-studios""]",/images/products/blouse-39.jpg,/products/sunset-studios-silk-blouse,47,2025-10-03T17:16:23
prod_040,Style Haven Wool Sweater,Cozy sweater for cooler days Made from premium wool. From Style Haven collection.,78.71,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""wool"", ""style-haven""]",/images/products/sweater-40.jpg,/products/style-haven-wool-sweater,55,2025-09-25T17:16:23
prod_041,Fashion Forward Denim Sweater,Cozy sweater for cooler days Made from premium denim. From Fashion Forward collection.,138.37,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""denim"", ""fashion-forward""]",/images/products/sweater-41.jpg,/products/fashion-forward-denim-sweater,60,2025-03-09T17:16:23
prod_042,Heritage House Denim Sweater,Cozy sweater for cooler days Made from premium denim. From Heritage House collection.,169.98,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""denim"", ""heritage-house""]",/images/products/sweater-42.jpg,/products/heritage-house-denim-sweater,160,2025-02-07T17:16:23
prod_043,The Basics Chiffon Sweater,Cozy sweater for cooler days Made from premium chiffon. From The Basics collection.,129.1,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""chiffon"", ""the-basics""]",/images/products/sweater-43.jpg,/products/the-basics-chiffon-sweater,162,2025-08-10T17:16:23
prod_044,Pine & Oak Polyester Sweater,Cozy sweater for cooler days Made from premium polyester. From Pine & Oak collection.,97.74,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""polyester"", ""pine-&-oak""]",/images/products/sweater-44.jpg,/products/pine-&-oak-polyester-sweater,36,2025-08-01T17:16:23
prod_045,Luxe Label Polyester Sweater,Cozy sweater for cooler days Made from premium polyester. From Luxe Label collection.,138.0,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""polyester"", ""luxe-label""]",/images/products/sweater-45.jpg,/products/luxe-label-polyester-sweater,168,2025-10-14T17:16:23
prod_046,Sunset Studios Leather Sweater,Cozy sweater for cooler days Made from premium leather. From Sunset Studios collection.,149.56,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""leather"", ""sunset-studios""]",/images/products/sweater-46.jpg,/products/sunset-studios-leather-sweater,61,2026-01-03T17:16:23
prod_047,Sunset Studios Jersey Sweater,Cozy sweater for cooler days Made from premium jersey. From Sunset Studios collection.,140.16,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""jersey"", ""sunset-studios""]",/images/products/sweater-47.jpg,/products/sunset-studios-jersey-sweater,150,2025-06-02T17:16:23
prod_048,Fashion Forward Jersey Sweater,Cozy sweater for cooler days Made from premium jersey. From Fashion Forward collection.,139.55,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""jersey"", ""fashion-forward""]",/images/products/sweater-48.jpg,/products/fashion-forward-jersey-sweater,151,2025-11-12T17:16:23
prod_049,Luxe Label Cashmere Sweater,Cozy sweater for cooler days Made from premium cashmere. From Luxe Label collection.,153.73,USD,Tops,"[""warm"", ""cozy"", ""knitwear"", ""cashmere"", ""luxe-label""]",/images/products/sweater-49.jpg,/products/luxe-label-cashmere-sweater,42,2025-12-26T17:16:23
prod_050,Classic Comfort Silk Cardigan,Versatile layering piece Made from premium silk. From Classic Comfort collection.,66.8,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""silk"", ""classic-comfort""]",/images/products/cardigan-50.jpg,/products/classic-comfort-silk-cardigan,89,2025-04-13T17:16:23
prod_051,Coastal Collective Silk Cardigan,Versatile layering piece Made from premium silk. From Coastal Collective collection.,143.0,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""silk"", ""coastal-collective""]",/images/products/cardigan-51.jpg,/products/coastal-collective-silk-cardigan,20,2025-12-11T17:16:23
prod_052,Artisan Apparel Polyester Cardigan,Versatile layering piece Made from premium polyester. From Artisan Apparel collection.,112.0,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""polyester"", ""artisan-apparel""]",/images/products/cardigan-52.jpg,/products/artisan-apparel-polyester-cardigan,29,2025-03-14T17:16:23
prod_053,Silk & Stone Cashmere Cardigan,Versatile layering piece Made from premium cashmere. From Silk & Stone collection.,100.4,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""cashmere"", ""silk-&-stone""]",/images/products/cardigan-53.jpg,/products/silk-&-stone-cashmere-cardigan,189,2025-08-25T17:16:23
prod_054,Fashion Forward Satin Cardigan,Versatile layering piece Made from premium satin. From Fashion Forward collection.,148.61,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""satin"", ""fashion-forward""]",/images/products/cardigan-54.jpg,/products/fashion-forward-satin-cardigan,93,2025-11-18T17:16:23
prod_055,Nordic Style Silk Cardigan,Versatile layering piece Made from premium silk. From Nordic Style collection.,62.41,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""silk"", ""nordic-style""]",/images/products/cardigan-55.jpg,/products/nordic-style-silk-cardigan,76,2026-01-10T17:16:23
prod_056,Timeless Trend Cotton Cardigan,Versatile layering piece Made from premium cotton. From Timeless Trend collection.,80.31,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""cotton"", ""timeless-trend""]",/images/products/cardigan-56.jpg,/products/timeless-trend-cotton-cardigan,138,2025-06-17T17:16:23
prod_057,Modern Muse Polyester Cardigan,Versatile layering piece Made from premium polyester. From Modern Muse collection.,147.74,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""polyester"", ""modern-muse""]",/images/products/cardigan-57.jpg,/products/modern-muse-polyester-cardigan,151,2025-04-05T17:16:23
prod_058,Fashion Forward Chiffon Cardigan,Versatile layering piece Made from premium chiffon. From Fashion Forward collection.,89.52,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""chiffon"", ""fashion-forward""]",/images/products/cardigan-58.jpg,/products/fashion-forward-chiffon-cardigan,112,2025-10-04T17:16:23
prod_059,Silk & Stone Polyester Cardigan,Versatile layering piece Made from premium polyester. From Silk & Stone collection.,124.81,USD,Tops,"[""layering"", ""versatile"", ""knitwear"", ""polyester"", ""silk-&-stone""]",/images/products/cardigan-59.jpg,/products/silk-&-stone-polyester-cardigan,180,2026-01-09T17:16:23
prod_060,Coastal Collective Tweed Tank Top,Essential sleeveless top Made from premium tweed. From Coastal Collective collection.,26.02,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""tweed"", ""coastal-collective""]",/images/products/tank-top-60.jpg,/products/coastal-collective-tweed-tank-top,81,2025-04-12T17:16:23
prod_061,Luxe Label Cotton Tank Top,Essential sleeveless top Made from premium cotton. From Luxe Label collection.,22.81,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""cotton"", ""luxe-label""]",/images/products/tank-top-61.jpg,/products/luxe-label-cotton-tank-top,138,2025-07-19T17:16:23
prod_062,Pine & Oak Satin Tank Top,Essential sleeveless top Made from premium satin. From Pine & Oak collection.,31.56,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""satin"", ""pine-&-oak""]",/images/products/tank-top-62.jpg,/products/pine-&-oak-satin-tank-top,132,2026-01-07T17:16:23
prod_063,Heritage House Denim Tank Top,Essential sleeveless top Made from premium denim. From Heritage House collection.,39.11,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""denim"", ""heritage-house""]",/images/products/tank-top-63.jpg,/products/heritage-house-denim-tank-top,10,2025-11-25T17:16:23
prod_064,Metro Collection Wool Tank Top,Essential sleeveless top Made from premium wool. From Metro Collection collection.,25.74,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""wool"", ""metro-collection""]",/images/products/tank-top-64.jpg,/products/metro-collection-wool-tank-top,41,2025-03-10T17:16:23
prod_065,Coastal Collective Polyester Tank Top,Essential sleeveless top Made from premium polyester. From Coastal Collective collection.,26.39,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""polyester"", ""coastal-collective""]",/images/products/tank-top-65.jpg,/products/coastal-collective-polyester-tank-top,87,2025-04-27T17:16:23
prod_066,Silk & Stone Wool Tank Top,Essential sleeveless top Made from premium wool. From Silk & Stone collection.,23.53,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""wool"", ""silk-&-stone""]",/images/products/tank-top-66.jpg,/products/silk-&-stone-wool-tank-top,52,2025-03-09T17:16:23
prod_067,Everyday Elegance Suede Tank Top,Essential sleeveless top Made from premium suede. From Everyday Elegance collection.,20.73,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""suede"", ""everyday-elegance""]",/images/products/tank-top-67.jpg,/products/everyday-elegance-suede-tank-top,181,2026-01-10T17:16:23
prod_068,Timeless Trend Velvet Tank Top,Essential sleeveless top Made from premium velvet. From Timeless Trend collection.,23.65,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""velvet"", ""timeless-trend""]",/images/products/tank-top-68.jpg,/products/timeless-trend-velvet-tank-top,111,2025-02-04T17:16:23
prod_069,Urban Thread Polyester Tank Top,Essential sleeveless top Made from premium polyester. From Urban Thread collection.,30.46,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""polyester"", ""urban-thread""]",/images/products/tank-top-69.jpg,/products/urban-thread-polyester-tank-top,147,2025-10-02T17:16:23
prod_070,Classic Comfort Cashmere Tank Top,Essential sleeveless top Made from premium cashmere. From Classic Comfort collection.,23.95,USD,Tops,"[""summer"", ""basic"", ""sleeveless"", ""cashmere"", ""classic-comfort""]",/images/products/tank-top-70.jpg,/products/classic-comfort-cashmere-tank-top,100,2025-07-24T17:16:23
prod_071,Pure Cotton Co Velvet Hoodie,Comfortable hooded sweatshirt Made from premium velvet. From Pure Cotton Co collection.,88.98,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""velvet"", ""pure-cotton-co""]",/images/products/hoodie-71.jpg,/products/pure-cotton-co-velvet-hoodie,178,2025-02-12T17:16:23
prod_072,Style Haven Linen Hoodie,Comfortable hooded sweatshirt Made from premium linen. From Style Haven collection.,57.82,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""linen"", ""style-haven""]",/images/products/hoodie-72.jpg,/products/style-haven-linen-hoodie,107,2025-10-20T17:16:23
prod_073,The Basics Wool Hoodie,Comfortable hooded sweatshirt Made from premium wool. From The Basics collection.,89.7,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""wool"", ""the-basics""]",/images/products/hoodie-73.jpg,/products/the-basics-wool-hoodie,30,2025-04-01T17:16:23
prod_074,Style Haven Chiffon Hoodie,Comfortable hooded sweatshirt Made from premium chiffon. From Style Haven collection.,73.3,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""chiffon"", ""style-haven""]",/images/products/hoodie-74.jpg,/products/style-haven-chiffon-hoodie,16,2026-01-12T17:16:23
prod_075,Essential Edit Cotton Hoodie,Comfortable hooded sweatshirt Made from premium cotton. From Essential Edit collection.,79.54,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""cotton"", ""essential-edit""]",/images/products/hoodie-75.jpg,/products/essential-edit-cotton-hoodie,10,2025-11-07T17:16:23
prod_076,Heritage House Denim Hoodie,Comfortable hooded sweatshirt Made from premium denim. From Heritage House collection.,87.5,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""denim"", ""heritage-house""]",/images/products/hoodie-76.jpg,/products/heritage-house-denim-hoodie,119,2025-07-05T17:16:23
prod_077,Timeless Trend Tweed Hoodie,Comfortable hooded sweatshirt Made from premium tweed. From Timeless Trend collection.,75.11,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""tweed"", ""timeless-trend""]",/images/products/hoodie-77.jpg,/products/timeless-trend-tweed-hoodie,138,2025-06-14T17:16:23
prod_078,Modern Muse Cotton Hoodie,Comfortable hooded sweatshirt Made from premium cotton. From Modern Muse collection.,68.94,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""cotton"", ""modern-muse""]",/images/products/hoodie-78.jpg,/products/modern-muse-cotton-hoodie,74,2025-02-05T17:16:23
prod_079,Classic Comfort Silk Hoodie,Comfortable hooded sweatshirt Made from premium silk. From Classic Comfort collection.,61.0,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""silk"", ""classic-comfort""]",/images/products/hoodie-79.jpg,/products/classic-comfort-silk-hoodie,56,2025-06-03T17:16:23
prod_080,Urban Thread Polyester Hoodie,Comfortable hooded sweatshirt Made from premium polyester. From Urban Thread collection.,50.72,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""polyester"", ""urban-thread""]",/images/products/hoodie-80.jpg,/products/urban-thread-polyester-hoodie,68,2025-02-12T17:16:23
prod_081,Nordic Style Denim Hoodie,Comfortable hooded sweatshirt Made from premium denim. From Nordic Style collection.,76.64,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""denim"", ""nordic-style""]",/images/products/hoodie-81.jpg,/products/nordic-style-denim-hoodie,155,2025-01-25T17:16:23
prod_082,Timeless Trend Denim Hoodie,Comfortable hooded sweatshirt Made from premium denim. From Timeless Trend collection.,60.72,USD,Tops,"[""casual"", ""comfortable"", ""athleisure"", ""denim"", ""timeless-trend""]",/images/products/hoodie-82.jpg,/products/timeless-trend-denim-hoodie,85,2025-04-30T17:16:23
prod_083,Luxe Label Polyester Crop Top,Trendy cropped style Made from premium polyester. From Luxe Label collection.,36.92,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""polyester"", ""luxe-label""]",/images/products/crop-top-83.jpg,/products/luxe-label-polyester-crop-top,51,2025-02-16T17:16:23
prod_084,Urban Thread Leather Crop Top,Trendy cropped style Made from premium leather. From Urban Thread collection.,47.14,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""leather"", ""urban-thread""]",/images/products/crop-top-84.jpg,/products/urban-thread-leather-crop-top,58,2025-02-09T17:16:23
prod_085,Pure Cotton Co Silk Crop Top,Trendy cropped style Made from premium silk. From Pure Cotton Co collection.,42.45,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""silk"", ""pure-cotton-co""]",/images/products/crop-top-85.jpg,/products/pure-cotton-co-silk-crop-top,191,2025-07-10T17:16:23
prod_086,Pure Cotton Co Cashmere Crop Top,Trendy cropped style Made from premium cashmere. From Pure Cotton Co collection.,26.36,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""cashmere"", ""pure-cotton-co""]",/images/products/crop-top-86.jpg,/products/pure-cotton-co-cashmere-crop-top,64,2025-10-27T17:16:23
prod_087,The Basics Rayon Crop Top,Trendy cropped style Made from premium rayon. From The Basics collection.,35.52,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""rayon"", ""the-basics""]",/images/products/crop-top-87.jpg,/products/the-basics-rayon-crop-top,200,2025-02-20T17:16:23
prod_088,Nordic Style Denim Crop Top,Trendy cropped style Made from premium denim. From Nordic Style collection.,26.18,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""denim"", ""nordic-style""]",/images/products/crop-top-88.jpg,/products/nordic-style-denim-crop-top,149,2025-04-29T17:16:23
prod_089,Pure Cotton Co Jersey Crop Top,Trendy cropped style Made from premium jersey. From Pure Cotton Co collection.,25.58,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""jersey"", ""pure-cotton-co""]",/images/products/crop-top-89.jpg,/products/pure-cotton-co-jersey-crop-top,189,2025-12-21T17:16:23
prod_090,Modern Muse Jersey Crop Top,Trendy cropped style Made from premium jersey. From Modern Muse collection.,45.57,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""jersey"", ""modern-muse""]",/images/products/crop-top-90.jpg,/products/modern-muse-jersey-crop-top,184,2025-07-29T17:16:23
prod_091,Luxe Label Tweed Crop Top,Trendy cropped style Made from premium tweed. From Luxe Label collection.,25.07,USD,Tops,"[""trendy"", ""young"", ""cropped"", ""tweed"", ""luxe-label""]",/images/products/crop-top-91.jpg,/products/luxe-label-tweed-crop-top,198,2025-03-15T17:16:23
prod_092,Fashion Forward Linen Tunic,Longer relaxed fit top Made from premium linen. From Fashion Forward collection.,70.69,USD,Tops,"[""relaxed"", ""comfortable"", ""flowing"", ""linen"", ""fashion-forward""]",/images/products/tunic-92.jpg,/products/fashion-forward-linen-tunic,134,2025-12-23T17:16:23
prod_093,Silk & Stone Suede Tunic,Longer relaxed fit top Made from premium suede. From Silk & Stone collection.,70.26,USD,Tops,"[""relaxed"", ""comfortable"", ""flowing"", ""suede"", ""silk-&-stone""]",/images/products/tunic-93.jpg,/products/silk-&-stone-suede-tunic,100,2025-03-24T17:16:23
